record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,source_queue_id,state_profile,followup_profile,pressure_group,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s258_stc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-12,24,-195.06,184.54,-379.6,0.486143,-8.1275,0.416667,18.454,-27.114286,0.680601,243.61,48.722,24,1.0,5,-0.800706,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_trend_strength_disagreem_as_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,,trend_strength_disagreement,stress_challenger_trend_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-12,25,-183.11,233.25,-416.36,0.560212,-7.3244,0.4,23.325,-27.757333,0.840318,248.8,49.76,25,1.0,5,-0.735973,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-12,25,-145.72,229.43,-375.15,0.611569,-5.8288,0.44,20.857273,-26.796429,0.77836,186.16,37.232,25,1.0,4,-0.782768,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_return_shock_absorption_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-12,23,-141.61,216.55,-358.16,0.604618,-6.156957,0.391304,24.061111,-25.582857,0.940517,174.7,34.915559,15,0.956522,4,-0.81059,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_trend_strength_disagreem_as_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,,trend_strength_disagreement,stress_challenger_trend_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-99.96,0,-99.96,0.0,-33.32,0.0,,-33.32,,99.96,19.992,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-99.59,0,-99.59,0.0,-33.196667,0.0,,-33.196667,,99.59,19.918,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aia_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-94.61,0,-94.61,0.0,-31.536667,0.0,,-31.536667,,94.61,18.922,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-93.56,0,-93.56,0.0,-31.186667,0.0,,-31.186667,,93.56,18.712,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_lc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,,volatility_regime_expansion,defensive_control_volatility_audit_v1,defensive_control_audit,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-92.35,0,-92.35,0.0,-30.783333,0.0,,-30.783333,,92.35,18.47,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s262_lih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,,volatility_regime_expansion,validation_control_volatility_audit_v1,validation_control_audit,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-86.84,0,-86.84,0.0,-28.946667,0.0,,-28.946667,,86.84,17.368,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aia_return_shock_absorption_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-86.25,0,-86.25,0.0,-28.75,0.0,,-28.75,,86.25,17.25,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s258_stc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-64.45,0,-64.45,0.0,-21.483333,0.0,,-21.483333,,64.45,12.89,3,1.0,3,-1.0,minor_negative_slice(작은 음수 구간)
mt5_ta_s258_stc_trend_strength_disagreem_as_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,,trend_strength_disagreement,stress_challenger_trend_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-06,13,-53.75,118.04,-171.79,0.687118,-4.134615,0.307692,29.51,-19.087778,1.546015,70.23,13.597816,7,0.923077,3,-0.765342,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-06,12,-48.58,80.56,-129.14,0.623819,-4.048333,0.333333,20.14,-16.1425,1.247638,58.78,11.520972,6,0.916667,3,-0.826472,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aia_return_shock_absorption_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-06,9,-41.63,61.62,-103.25,0.596804,-4.625556,0.222222,30.81,-14.75,2.088814,60.51,11.661656,6,0.888889,3,-0.687985,minor_negative_slice(작은 음수 구간)
mt5_ta_s258_stc_trend_strength_disagreem_as_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,,trend_strength_disagreement,stress_challenger_trend_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-07,41,-39.23,263.32,-302.55,0.870335,-0.956829,0.512195,12.539048,-15.1275,0.828891,113.78,22.756,41,1.0,6,-0.344788,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-06,11,-37.11,83.46,-120.57,0.692212,-3.373636,0.272727,27.82,-15.07125,1.845899,52.15,10.125427,5,0.818182,3,-0.711601,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aia_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-06,10,-34.71,82.04,-116.75,0.702698,-3.471,0.3,27.346667,-16.678571,1.639629,59.72,11.375021,5,0.8,3,-0.581212,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_lc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,,volatility_regime_expansion,defensive_control_volatility_audit_v1,defensive_control_audit,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-06,10,-29.48,86.16,-115.64,0.745071,-2.948,0.3,28.72,-16.52,1.738499,51.97,9.946602,5,0.8,3,-0.56725,minor_negative_slice(작은 음수 구간)
mt5_ta_s262_lih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,,volatility_regime_expansion,validation_control_volatility_audit_v1,validation_control_audit,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-07,38,-18.14,227.95,-246.09,0.926287,-0.477368,0.552632,10.854762,-14.475882,0.749851,105.58,21.116,38,1.0,5,-0.171813,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,close_hour_report,20,16,-14.54,53.45,-67.99,0.786145,-0.90875,0.5625,5.938889,-9.712857,0.611446,29.8,5.87088,14,0.875,2,-0.487919,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,,range_expansion_pressure,core_range_resilience_pressure_v2,core_challenger_slice_pressure,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-07,38,-10.59,212.84,-223.43,0.952603,-0.278684,0.526316,10.642,-12.412778,0.857342,79.84,15.968,38,1.0,6,-0.13264,minor_negative_slice(작은 음수 구간)
mt5_ta_s258_stc_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_prune_or_rescue,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-06,9,-9.27,96.78,-106.05,0.912588,-1.03,0.333333,32.26,-17.675,1.825177,35.22,6.696454,4,0.777778,2,-0.263203,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aia_range_expansion_pressure_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-07,36,-5.25,200.36,-205.61,0.974466,-0.145833,0.583333,9.540952,-13.707333,0.696047,84.12,16.824,36,1.0,5,-0.062411,minor_negative_slice(작은 음수 구간)
mt5_ta_s262_lih_volatility_regime_expans_as_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,,volatility_regime_expansion,validation_control_volatility_audit_v1,validation_control_audit,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-06,9,-4.03,97.67,-101.7,0.960374,-0.447778,0.333333,32.556667,-16.95,1.920747,34.94,6.581153,4,0.777778,2,-0.115341,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aia_return_shock_absorption_as_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_watch_gate,pool_wide_state_feature_engineering_followup_pressure_not_retrained,tier_only_total,month,2024-07,39,-1.29,211.19,-212.48,0.993929,-0.033077,0.589744,9.182174,-13.28,0.691429,79.28,15.856,39,1.0,5,-0.016271,minor_negative_slice(작은 음수 구간)
