metric,value,scope,source
shape_available,true,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
trade_frame_net_profit,22708.4,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
trade_frame_pf,2.63907,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
trade_frame_max_drawdown,5217.13,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
trade_frame_dd_to_net,0.229744,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
negative_month_count,1,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
worst_month_net,-261,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
worst_chunk_net,32,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
worst_chunk_start,2026-03-05,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
worst_chunk_end,2026-03-26,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
shape_source_boundary,trade_frame_shape_only_not_money_authority,stage322_trade_frame_shape_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322C/trade_frame_shape_summary.csv
net_profit,472738,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
profit_factor,1.64,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
trade_count,919,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
expectancy,514.41,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
recovery_factor,4.34,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
max_drawdown_percent,19.11,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
order_attempt_count,1086,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
fill_count,1085,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
reject_count,1,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
skip_count,42964,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
fill_rate,0.999079,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
feature_ready_count,9844,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
model_ok_count,9844,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
model_fail_count,42964,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
tier_a_used_count,9844,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
tier_b_fallback_used_count,0,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
no_tier_count,42964,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
report_path,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5/reports/Project_Obsidian_Prime_v2_run322B_execute_cp321b_curve_stability_pressure_mt5_probe_v1_run322A_cp322A_cp321b_exact_replay_control_routed_val.htm,stage322_actual_routed_validation_is,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
net_profit,237628,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
profit_factor,1.51,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
trade_count,637,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
expectancy,373.04,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
recovery_factor,5.72,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
max_drawdown_percent,15.51,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
order_attempt_count,757,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
fill_count,757,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
reject_count,0,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
skip_count,29753,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
fill_rate,1,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
feature_ready_count,7584,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
model_ok_count,7584,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
model_fail_count,29753,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
tier_a_used_count,7584,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
tier_b_fallback_used_count,0,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
no_tier_count,29753,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
report_path,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5/reports/Project_Obsidian_Prime_v2_run322B_execute_cp321b_curve_stability_pressure_mt5_probe_v1_run322A_cp322A_cp321b_exact_replay_control_routed_oos.htm,stage322_actual_routed_oos,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5_kpi_summary.csv
