variant_id,close_month,trade_count,net_profit,gross_profit,swap,commission,expectancy,win_count,loss_count,win_rate_percent,profit_factor_gross,avg_hold_minutes,claim_boundary
cd01_bx3_clone_current_session,2025-11,83,241.92,242.64,-0.72,0.0,2.914699,50,33,60.240964,2.22626,216.325301,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2025-12,59,-0.62,-0.62,0.0,0.0,-0.010508,31,28,52.542373,0.996141,32.881356,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2026-01,82,30.64,30.7,-0.06,0.0,0.373659,39,43,47.560976,1.169025,46.829268,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2026-02,91,148.14,148.38,-0.24,0.0,1.627912,55,36,60.43956,1.660406,81.098901,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2026-03,4,8.34,8.34,0.0,0.0,2.085,2,2,50.0,23.540541,30.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd01_bx3_clone_current_session,2026-04,46,23.29,23.29,0.0,0.0,0.506304,26,20,56.521739,1.231972,30.434783,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-01,87,29.95,30.37,-0.42,0.0,0.344253,44,43,50.574713,1.132423,135.689655,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-02,74,79.82,81.4,-1.58,0.0,1.078649,40,34,54.054054,1.457818,200.143694,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-03,9,37.87,38.05,-0.18,0.0,4.207778,5,4,55.555556,3.915709,473.333333,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-04,119,174.15,174.77,-0.62,0.0,1.463445,60,59,50.420168,1.365696,109.87395,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-05,75,100.37,100.91,-0.54,0.0,1.338267,43,32,57.333333,1.675074,174.266667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-06,68,53.86,54.16,-0.3,0.0,0.792059,36,32,52.941176,1.465332,124.044118,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-07,35,4.71,4.83,-0.12,0.0,0.134571,18,17,51.428571,1.064555,99.142857,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-08,47,-1.43,-1.31,-0.12,0.0,-0.030426,20,27,42.553191,0.988571,85.106383,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-09,51,34.34,34.52,-0.18,0.0,0.673333,23,28,45.098039,1.353037,100.784314,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-10,78,32.14,32.2,-0.06,0.0,0.412051,43,35,55.128205,1.157866,46.602564,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-11,83,241.92,242.64,-0.72,0.0,2.914699,50,33,60.240964,2.22626,216.325301,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2025-12,59,-0.62,-0.62,0.0,0.0,-0.010508,31,28,52.542373,0.996141,32.881356,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2026-01,82,30.64,30.7,-0.06,0.0,0.373659,39,43,47.560976,1.169025,46.829268,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2026-02,91,148.14,148.38,-0.24,0.0,1.627912,55,36,60.43956,1.660406,81.098901,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2026-03,4,8.34,8.34,0.0,0.0,2.085,2,2,50.0,23.540541,30.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,2026-04,46,23.29,23.29,0.0,0.0,0.506304,26,20,56.521739,1.231972,30.434783,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-01,87,6.91,7.33,-0.42,0.0,0.079425,43,44,49.425287,1.030434,135.632184,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-02,73,75.36,76.94,-1.58,0.0,1.032329,39,34,53.424658,1.432733,202.474429,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-03,9,37.87,38.05,-0.18,0.0,4.207778,5,4,55.555556,3.915709,473.333333,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-04,119,174.15,174.77,-0.62,0.0,1.463445,60,59,50.420168,1.365696,109.87395,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-05,75,92.8,93.34,-0.54,0.0,1.237333,42,33,56.0,1.615577,174.266667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-06,68,53.86,54.16,-0.3,0.0,0.792059,36,32,52.941176,1.465332,124.044118,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-07,34,11.67,11.79,-0.12,0.0,0.343235,18,16,52.941176,1.17374,101.176471,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-08,46,7.07,7.19,-0.12,0.0,0.153696,20,26,43.478261,1.069806,86.413043,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-09,51,34.34,34.52,-0.18,0.0,0.673333,23,28,45.098039,1.353037,100.784314,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-10,78,32.14,32.2,-0.06,0.0,0.412051,43,35,55.128205,1.157866,46.602564,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-11,83,241.92,242.64,-0.72,0.0,2.914699,50,33,60.240964,2.22626,216.325301,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2025-12,58,-21.54,-21.54,0.0,0.0,-0.371379,30,28,51.724138,0.865928,32.931034,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2026-01,81,38.2,38.26,-0.06,0.0,0.471605,39,42,48.148148,1.219797,47.222222,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2026-02,90,140.02,140.26,-0.24,0.0,1.555778,55,35,61.111111,1.638649,81.666667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2026-03,4,8.34,8.34,0.0,0.0,2.085,2,2,50.0,23.540541,30.0,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,2026-04,46,23.29,23.29,0.0,0.0,0.506304,26,20,56.521739,1.231972,30.434783,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
