axis,value,candidate_rows,scout_clue_count,meaningful_signal_count,final_like_reference_count,dual_positive_count,best_candidate,best_rank_score,best_val_net_pf_dd_tpd,best_oos_net_pf_dd_tpd,best_signal_to_trade_ratio
label_name,short_h6_tp10_sl8_uq60,864,3,0,0,4,f77b_06019,106288.48807453415,5.200000000000031/1.0182328190743342/0.9520000000000074/3.0476190476190474,-4.399999999999984/0.9565217391304347/0.38799999999999274/3.142857142857143,0.7818181818181819
label_name,short_h6_tp10_sl8_uq70,864,0,0,0,2,f77b_06499,27930.14608695652,47.20000000000002/1.366459627329193/0.5520000000000073/2.2666666666666666,6.400000000000009/1.115942028985507/0.3679999999999927/2.6,0.746031746031746
side,long,5184,146,0,0,68,f77b_04916,126568.92779069768,20.3/1.0337209302325578/1.3330000000000108/1.525,86.55/1.5031976744186049/0.6880000000000109/1.5,0.5030674846625767
side,short,5184,218,0,0,88,f77b_08051,131662.07931516756,272.40000000000003/1.7115987460815043/0.5279999999999927/2.2666666666666666,127.2/1.8030303030303034/0.6239999999999963/2.230769230769231,0.6928571428571428
hold_bars,12,3456,168,0,0,58,f77b_08051,131662.07931516756,272.40000000000003/1.7115987460815043/0.5279999999999927/2.2666666666666666,127.2/1.8030303030303034/0.6239999999999963/2.230769230769231,0.6928571428571428
hold_bars,18,3456,181,0,0,84,f77b_09739,128678.39269639064,304.0500000000001/1.5164331210191078/1.6439999999999966/2.730769230769231,135.20000000000002/1.982558139534884/0.6120000000000072/2.111111111111111,0.47619047619047616
hold_bars,6,3456,15,0,0,14,f77b_06019,106288.48807453415,5.200000000000031/1.0182328190743342/0.9520000000000074/3.0476190476190474,-4.399999999999984/0.9565217391304347/0.38799999999999274/3.142857142857143,0.7818181818181819
feature_set,compact_lifecycle,1728,52,0,0,25,f77b_08563,127463.80601398602,75.60000000000004/1.1636363636363638/0.6119999999999891/2.576923076923077,56.40000000000002/1.3884297520661162/0.3239999999999964/1.7692307692307692,0.5325443786982249
feature_set,full58,1728,42,0,0,25,f77b_09555,126508.47612765958,20.480000000001045/1.0272340425531925/2.097000000000007/1.9743589743589745,56.80000000000004/1.235880398671097/0.86/1.625,0.4256198347107438
feature_set,mega_cap_removed,1728,56,0,0,25,f77b_04916,126568.92779069768,20.3/1.0337209302325578/1.3330000000000108/1.525,86.55/1.5031976744186049/0.6880000000000109/1.5,0.5030674846625767
feature_set,price_action_core,1728,114,0,0,44,f77b_08051,131662.07931516756,272.40000000000003/1.7115987460815043/0.5279999999999927/2.2666666666666666,127.2/1.8030303030303034/0.6239999999999963/2.230769230769231,0.6928571428571428
feature_set,trend_momentum,1728,35,0,0,14,f77b_04679,125079.24099667773,166.8/1.277076411960132/1.6439999999999966/2.357142857142857,10.80000000000004/1.029900332225914/1.1679999999999926/2.0,0.8571428571428571
feature_set,volatility_session,1728,65,0,0,23,f77b_09163,127150.67928562085,31.060000000002038/1.052411325976177/1.263199999999979/2.3461538461538463,116.00000000000004/1.5620155038759695/0.6879999999999927/1.9230769230769231,0.45263157894736844
model,extra_trees_d7_l80,3456,129,0,0,78,f77b_07979,129485.69805970149,227.70000000000016/1.2574626865671639/1.4789999999999963/4.1875,61.20000000000002/1.272727272727273/0.49199999999998906/3.4,0.5508196721311476
model,hist_gbm_d4_l2,3456,86,0,0,33,f77b_08051,131662.07931516756,272.40000000000003/1.7115987460815043/0.5279999999999927/2.2666666666666666,127.2/1.8030303030303034/0.6239999999999963/2.230769230769231,0.6928571428571428
model,logistic_l2_balanced,3456,149,0,0,45,f77b_04916,126568.92779069768,20.3/1.0337209302325578/1.3330000000000108/1.525,86.55/1.5031976744186049/0.6880000000000109/1.5,0.5030674846625767
session,all,2592,173,0,0,50,f77b_08051,131662.07931516756,272.40000000000003/1.7115987460815043/0.5279999999999927/2.2666666666666666,127.2/1.8030303030303034/0.6239999999999963/2.230769230769231,0.6928571428571428
session,cash_late,2592,0,0,0,0,f77b_00013,0.0,0.0/0.0/0.0/0.0,0.0/0.0/0.0/0.0,0.0
session,cash_mid,2592,182,0,0,60,f77b_08059,131525.04447552448,282.00000000000006/1.7912457912457909/0.3960000000000036/2.2413793103448274,110.40000000000002/1.6969696969696972/0.6239999999999963/2.1538461538461537,0.6838235294117647
session,cash_open,2592,9,0,0,46,f77b_04679,125079.24099667773,166.8/1.277076411960132/1.6439999999999966/2.357142857142857,10.80000000000004/1.029900332225914/1.1679999999999926/2.0,0.8571428571428571
risk_filter,low_volatility,2592,114,0,0,18,f77b_08842,125353.68531561462,185.6/1.0642303433001115/3.1359999999999855/2.8349514563106797,205.6/1.157282741738066/2.3559999999999857/2.4464285714285716,0.8478260869565217
risk_filter,mean_revert,2592,56,0,0,60,f77b_04916,126568.92779069768,20.3/1.0337209302325578/1.3330000000000108/1.525,86.55/1.5031976744186049/0.6880000000000109/1.5,0.5030674846625767
risk_filter,none,2592,69,0,0,7,f77b_04677,107066.60670894997,172.40000000000003/1.25700655933214/1.3960000000000037/2.433333333333333,-6.399999999999952/0.9830866807610997/1.34/2.0555555555555554,0.859375
risk_filter,trend_aligned,2592,125,0,0,71,f77b_08051,131662.07931516756,272.40000000000003/1.7115987460815043/0.5279999999999927/2.2666666666666666,127.2/1.8030303030303034/0.6239999999999963/2.230769230769231,0.6928571428571428
