source_id,source_kind,condition_ids,features,feature_families,rule_definition,source_shape_proxy_score,train_coverage,split_counts,split_hashes
f43s_0011,single_feature,f43cond_0011,ema9_ema20_diff,trend_state,ema9_ema20_diff <= q15,2.7748458059060916,0.15002395455478748,"{""oos"": 1714, ""train"": 4384, ""validation"": 2062}","{""oos"": ""3d89c975f307733cf51b53a98a0458764414def3ed99c052b2eedbfc3cbcd34d"", ""train"": ""e9efb22ea34b79d0a1af25415d1da12664d17b073f0ea1848d1ea9fae13bb412"", ""validation"": ""7fe011d004a51a6dbd7a7cdb1be4a897e85f80a7e111d14ac472cbbed150fe00""}"
f43s_0012,single_feature,f43cond_0012,atr_14,volatility_shape,atr_14 >= q85,2.766605390666298,0.15002395455478748,"{""oos"": 4723, ""train"": 4384, ""validation"": 4541}","{""oos"": ""d7531503f25024a728d1662199b23acdf2a4f125266fb48f3db6075c99d186e5"", ""train"": ""a3bad2aef28a907c31d743bf51dc70aecf39e53a84fe93d041d169d8568b15bf"", ""validation"": ""98f0cd40e897cd4fb544dc0897878d4ed60025245a62b3fa9dec09fbc8685627""}"
f43s_0013,single_feature,f43cond_0013,ema50_ema200_diff,trend_state,ema50_ema200_diff <= q15,2.7589210077491764,0.15002395455478748,"{""oos"": 1742, ""train"": 4384, ""validation"": 1985}","{""oos"": ""3a4c884e5926417c4a6fc5e1f071d80024a378d75aab60b2457e1517b253aa7c"", ""train"": ""63a8064806cdb699e63031bc5437226b63103f82a51a9b1bee3be3b49ee594a9"", ""validation"": ""9c6dcd3432affe2101622962bfc29a40e68cbb118cd19af5ee0022b8077dfaeb""}"
f43s_0014,single_feature,f43cond_0014,ema20_ema50_diff,trend_state,ema20_ema50_diff <= q15,2.7518127919105297,0.15002395455478748,"{""oos"": 1727, ""train"": 4384, ""validation"": 2043}","{""oos"": ""2156c209fbc0478f8c149b6cfeee7f9174c7203209f7014b1b46a6ee355d649a"", ""train"": ""34cc8daf402f38d036ee677c83e9c65d9747263befc9b21a64672ae9e538a3a9"", ""validation"": ""4ca687f3c3026531c9f21a477ec7fbf169addd5dda3f1284a3635979098e0928""}"
f43s_0015,single_feature,f43cond_0015,gap_percent,price_momentum,gap_percent <= q15,2.7515165743646914,0.15005817534734103,"{""oos"": 775, ""train"": 4385, ""validation"": 836}","{""oos"": ""6f215f0e62ed777a1cf95638c9902e78463e388f63bce555e56983567b214a21"", ""train"": ""4f0694b9d66200a1a55ff53ecaac52ea39d48f73493c27b7a94ffcd5b385cee0"", ""validation"": ""5ead706915989b69f124f357c95362aa59dbe0b6e54a8e2246b0ad39028b062f""}"
f43s_0016,single_feature,f43cond_0016,atr_50,volatility_shape,atr_50 >= q85,2.7500913767814397,0.15002395455478748,"{""oos"": 5082, ""train"": 4384, ""validation"": 4704}","{""oos"": ""c0f15fe788de1020c328b3bd2dfcb927800202647a46417fd06d8ba43b715f15"", ""train"": ""9b897d224b6e6b2280e80d3526577d9f6f998ee835c0ce9df0ee6c9ff67ac3b9"", ""validation"": ""c0dedbf9891577d26405bfe5981950238c97699ef47753092ab2f00b22b26c83""}"
f43s_0017,single_feature,f43cond_0017,close_ema50_ratio,trend_state,close_ema50_ratio <= q15,2.7424462165011807,0.15002395455478748,"{""oos"": 1030, ""train"": 4384, ""validation"": 1408}","{""oos"": ""6a3b39afd7fe190c2f4e951691a86b5ef5f2374ffd9725952ea68e3373caeb86"", ""train"": ""b197b653db9f0fe00da7dad2c2976b3b3dd02d6b5179e57f093ebc45bc8db910"", ""validation"": ""d0ecdd26a18f2560148d7171874b2e572d04b66e841f868db76a0fb77ce01c0d""}"
f43s_0018,single_feature,f43cond_0018,usdx_change_1,macro_breadth,usdx_change_1 >= q85,2.7386628083462328,0.15002395455478748,"{""oos"": 875, ""train"": 4384, ""validation"": 1507}","{""oos"": ""8f75dd14fce44cd60bd9853c61e3aa392a28a062fa88fc77e8279e124e67d33e"", ""train"": ""ec6e01cdf48e9f472cdef98ee3a5f838e6eb2bcff30fa47f4c2ece60db3d28ba"", ""validation"": ""4e9d8133fb63b5409e9feb9c2d630100e631d5c13949229204bac32341aded30""}"
f43s_0019,single_feature,f43cond_0019,usdx_change_1,macro_breadth,usdx_change_1 <= q15,2.727798977788029,0.15005817534734103,"{""oos"": 934, ""train"": 4385, ""validation"": 1600}","{""oos"": ""29a2b2351b67416dfb1b1ed1e9b79eb0eabb3e9315ce75a131a0625a103ddef8"", ""train"": ""0e4ab8e0a4bb4a3d1e447c470d5207beb99c389c43c4184ae22eea84f1279997"", ""validation"": ""27a73591f2630cee338ecf2ef10dbd732b5d49952f3369b55f13c0b2dd85e01b""}"
f43s_0020,single_feature,f43cond_0020,sma50_sma200_ratio,trend_state,sma50_sma200_ratio >= q85,2.7146095225180633,0.15002395455478748,"{""oos"": 1279, ""train"": 4384, ""validation"": 1458}","{""oos"": ""5b3dbdbf3dbb876de112d3e95b3f4d1921afc1dec36de2f9b90eee6101bc1cc9"", ""train"": ""19314382e2d59364ef8e0c2c49a937a8e74f588da78f64997653b2bbc4e333c3"", ""validation"": ""f33fb2f3a05acb432628abc99d0ff802adb551156d8625ae0cff4151a4fc7812""}"
f43s_0021,single_feature,f43cond_0021,mega8_dispersion_5,macro_breadth,mega8_dispersion_5 >= q75,2.668046836891195,0.2500171103962768,"{""oos"": 1974, ""train"": 7306, ""validation"": 2827}","{""oos"": ""afa1b4f28bce2cebb7f16b71e8a4ecf817122e06b718e0cf6d2fb7912aca2daa"", ""train"": ""9045dd2a095510dc74fa94276f5ca739b81a3c371e43acfca3393fd92bbbce99"", ""validation"": ""0a988015177acf8c034861db65c16c1cc4bc38dbdba19fccde7e6d47b80355e6""}"
f43s_0022,single_feature,f43cond_0022,ema20_ema50_diff,trend_state,ema20_ema50_diff >= q85,2.666701252507193,0.15002395455478748,"{""oos"": 2200, ""train"": 4384, ""validation"": 2087}","{""oos"": ""2a58ba05beff17fe548715f20068431eaf01bf76fdbd6042fda3386205aa25a3"", ""train"": ""b79285ad130a6d392ae18a0ec63d381e6e1268a146566b86ae9cf86dc05a8ec8"", ""validation"": ""7286b62717b960a35593a75030d908211d2fa04e74d832e8557e973633fe345a""}"
f43s_0023,single_feature,f43cond_0023,trix_15,price_momentum,trix_15 <= q15,2.6405204788107413,0.15002395455478748,"{""oos"": 1135, ""train"": 4384, ""validation"": 1448}","{""oos"": ""4154f38123b1b2e6bab7e09fee8acf82e42481ee3a6024f05a3a5f6d3f32b79a"", ""train"": ""40d846643f6bb2c28e7e341c5a457ad80fc6f5d394b815b3095a9b37e803c060"", ""validation"": ""f4ac131cc7d9d4bae9eee5331e3e2cdb16cc55664eba285dd9791d114ebd757e""}"
f43s_0024,single_feature,f43cond_0024,ema50_ema200_diff,trend_state,ema50_ema200_diff >= q85,2.638779947888475,0.15002395455478748,"{""oos"": 2328, ""train"": 4384, ""validation"": 2264}","{""oos"": ""7048c941673c0025636d1dbca845bcc59454f7cbc3bf85114a3fd442925138cf"", ""train"": ""7c920957f2a2738dcabe285dc364a63f7696e40ed7880b717de274db41d635a1"", ""validation"": ""06120306f9b89b270a7c7d15697f902dd540d6dfa81fab3d5998c2123a06dd3d""}"
f43s_0025,single_feature,f43cond_0025,close_ema50_ratio,trend_state,close_ema50_ratio >= q85,2.6328319432813925,0.15002395455478748,"{""oos"": 1206, ""train"": 4384, ""validation"": 1331}","{""oos"": ""8b61d0c94ba1d753b29ab76f3e51d3121bb0ca0abb334ed0dcfa77c71e149057"", ""train"": ""3f2814dfb3e2d2a77dd30aafcff13c1d034be0758012cd89c657c6b70d5cd538"", ""validation"": ""d6be2946942cbac8752c68da3f12f50956fdb25424fe37bef009ddc2c03603ca""}"
f43s_0026,single_feature,f43cond_0026,ema9_ema20_diff,trend_state,ema9_ema20_diff >= q85,2.6273300829589377,0.15002395455478748,"{""oos"": 2030, ""train"": 4384, ""validation"": 2109}","{""oos"": ""a924eb58da816ecc1170eaf2ecaff2b398f839eae9cca02081a2da1b4db1af92"", ""train"": ""edf06fb28296818e0dd406988cf318b53b64c4f9134b07f683d2aeca093c2d77"", ""validation"": ""af9758d124f8ed177d27bd4c68cc655c49c926e7203e56dc7b9e57429875052c""}"
f43s_0027,single_feature,f43cond_0027,log_return_3,price_momentum,log_return_3 <= q15,2.6204844207006994,0.15002395455478748,"{""oos"": 1001, ""train"": 4384, ""validation"": 1472}","{""oos"": ""e3762620971c2de71e4614837f339be5e8fa65b99f76753a6b897916723737b3"", ""train"": ""f3a54745cc9ee2d5f390f7f741234d5297b835a9a2317f3ebf5787232b372865"", ""validation"": ""0d35b0051f2ac490a3553c0c09602822e7f20b9cdb91a10b68b7b8a3a647b0ff""}"
f43s_0028,single_feature,f43cond_0028,us100_minus_mega8_equal_return_1,macro_breadth,us100_minus_mega8_equal_return_1 >= q85,2.61819379244973,0.15002395455478748,"{""oos"": 802, ""train"": 4384, ""validation"": 1368}","{""oos"": ""eaff092f2e2480c018615fbe0a88317f1e88ef1b0aa6284b56112c2cbe4b8ce5"", ""train"": ""0167e4aa1aedea8d362e9faf98b834aba5be9f702c4f4f3dea66aa9139ddf903"", ""validation"": ""31493ec2eb8df057d203c7668deba2ce5c44b529724a1b660353f9d67efdc1b0""}"
f43s_0029,single_feature,f43cond_0029,close_ema20_ratio,trend_state,close_ema20_ratio >= q85,2.614197748293502,0.15002395455478748,"{""oos"": 1072, ""train"": 4384, ""validation"": 1428}","{""oos"": ""2c87146932567f0461b1da66a1a9691436af4f422dacaa39a5dedc2b5d0a131e"", ""train"": ""df9aaa3cff85b2b55dca9fa22889f207b2fee4a073735ecbfbca50e374f4aff5"", ""validation"": ""489c964b362d79eef7ca2b59140ffe8b490a14e3a10ca44df6a6a9eb5b861295""}"
f43s_0030,single_feature,f43cond_0030,nvda_xnas_log_return_1,macro_breadth,nvda_xnas_log_return_1 <= q15,2.5880669940511334,0.15005817534734103,"{""oos"": 745, ""train"": 4385, ""validation"": 1362}","{""oos"": ""8de9f340ae3b0934d1f5e4ecd3a1712d8b6c5b84eb4f563c7e89cdeb76d19c2d"", ""train"": ""cd3e60d1a217babc6aeccc81d0f4eff21fc2a3d2eecea4fe6e8a4ac3c502bd97"", ""validation"": ""ebd74998a49b125fbb4f7400e9ef13de39faf791129c36a430ec9141af36b780""}"
f43s_0031,single_feature,f43cond_0031,mega8_equal_return_1,macro_breadth,mega8_equal_return_1 <= q15,2.587820895130412,0.15002395455478748,"{""oos"": 880, ""train"": 4384, ""validation"": 1407}","{""oos"": ""f2497a20d7bfc11995b3248e39c37f93d417855d953276d98983fa4e5455424e"", ""train"": ""35213d461e12649ac09475f37683b49535f8d2b38a6bb0ec33c524979b066b92"", ""validation"": ""8711fe3f01057c134c0f1c5bf0767ef2d31b767eec5beaeb30e5b6209184b669""}"
f43s_0032,single_feature,f43cond_0032,roc_12,price_momentum,roc_12 <= q15,2.5865025965679567,0.15002395455478748,"{""oos"": 1000, ""train"": 4384, ""validation"": 1352}","{""oos"": ""ea9d33120b29aa6cc57ce8dd2c6a4ed05cfd968965c0afc926e99e23282edf17"", ""train"": ""43a0e860dbc1c6251a18a289d81e0efd04f42ceb19de03ef3e49bfb142a4849f"", ""validation"": ""2f3c8bea7dde63379476548f518379b352a9ba93bd938447dca17355f7a5bce7""}"
f43s_0033,single_feature,f43cond_0033,us100_minus_top3_weighted_return_1,macro_breadth,us100_minus_top3_weighted_return_1 <= q15,2.5859930777783107,0.15002395455478748,"{""oos"": 1340, ""train"": 4384, ""validation"": 1547}","{""oos"": ""4497dcf5711ca4b1e6b4eee90a2d78cb57798309cc68cfa17a51d304a412e302"", ""train"": ""29dcf5c845025787205a47f71a0bc9a38dfffebe36caa117114684bc516aeeb7"", ""validation"": ""7676a8adf85dfbdecf8ecaaba9966457b2e673592e92efea7ceff6fc00b81ee1""}"
f43s_0034,single_feature,f43cond_0034,stoch_kd_diff,oscillator,stoch_kd_diff <= q15,2.5845413049276558,0.15002395455478748,"{""oos"": 1064, ""train"": 4384, ""validation"": 1490}","{""oos"": ""4be2c79fb293d52857fd09ed7b777e57e82b62165c61df7d65c7a6bda1557cea"", ""train"": ""234e99eea37d0e6049993983d71ff0c08b353fe60b5f72c18e683162fbe60de5"", ""validation"": ""c092674285ec6b8bb9f3e4aedc348ab6ab76a95a8759ab05a55c021065c05662""}"
f43s_0035,single_feature,f43cond_0035,log_return_1,price_momentum,log_return_1 <= q15,2.5807462055931896,0.15002395455478748,"{""oos"": 1026, ""train"": 4384, ""validation"": 1470}","{""oos"": ""a2a3f78e6357e32c94516ba7675a033875fa9ff5be185ffb95fd4b6f9dba0e9f"", ""train"": ""c1a8fe9fe0412df0c238eec956f2a271220064a717e35ea8da0c84baeaebc32e"", ""validation"": ""c8d65c355d5eb6df32b32f96f053250e680e67dfcc0cec354eb4f7499093562f""}"
f43s_0036,single_feature,f43cond_0036,close_prev_close_ratio,price_momentum,close_prev_close_ratio <= q15,2.5797522242693254,0.15002395455478748,"{""oos"": 1026, ""train"": 4384, ""validation"": 1470}","{""oos"": ""a2a3f78e6357e32c94516ba7675a033875fa9ff5be185ffb95fd4b6f9dba0e9f"", ""train"": ""c1a8fe9fe0412df0c238eec956f2a271220064a717e35ea8da0c84baeaebc32e"", ""validation"": ""c8d65c355d5eb6df32b32f96f053250e680e67dfcc0cec354eb4f7499093562f""}"
f43s_0037,single_feature,f43cond_0037,di_spread_14,trend_state,di_spread_14 <= q15,2.578904234277281,0.15002395455478748,"{""oos"": 993, ""train"": 4384, ""validation"": 1456}","{""oos"": ""bdc31484c0c62ae93cff5b6f91325d4a9c50ba65a1454f9c933d2e920c4555c5"", ""train"": ""d581f04272fa6c09770186b0b857218a55e46ddba1535661da72de00b8f2e46f"", ""validation"": ""125bc13ec39320ed00e6d56b3865d535ef970819f47daa875e8dada58d7a30f2""}"
f43s_0038,single_feature,f43cond_0038,close_open_ratio,price_shape,close_open_ratio <= q15,2.5760116740728827,0.15002395455478748,"{""oos"": 1019, ""train"": 4384, ""validation"": 1467}","{""oos"": ""7cf0f4e5481ee1e00a85c75ef39653c43f5d663820ffa6e25c7960d074eab716"", ""train"": ""7e650696c04308c9dba6a5012d98373a3733f8baecd522c36006db6ec4246ccb"", ""validation"": ""b7810c5f49734d2fed275b9a24b893e23a868183bea94eee06b0d0e9273c5771""}"
f43s_0039,single_feature,f43cond_0039,amzn_xnas_log_return_1,macro_breadth,amzn_xnas_log_return_1 <= q15,2.5757730626464794,0.15002395455478748,"{""oos"": 1000, ""train"": 4384, ""validation"": 1393}","{""oos"": ""4b10761ba13321a516e73bbdcef9cd1c1ac044e5cc5d8fdeb62486df7ed8bfcd"", ""train"": ""78942bb3fe650f0c27a558675ff0806ca147a43bd9b4ecd50871f18e9055bc09"", ""validation"": ""821300082548c9d47af0611600ce424b44b085f9e5d9cde0d77662550ae70e5d""}"
f43s_0040,single_feature,f43cond_0040,di_spread_14,trend_state,di_spread_14 >= q85,2.571654482912138,0.15002395455478748,"{""oos"": 1135, ""train"": 4384, ""validation"": 1305}","{""oos"": ""1e1cc9d05723bd944f46528947312e14d401feb78964b3591cf8b7b9b7ea1bc7"", ""train"": ""d34f5772f693288f9f04ed14001f9164aca691d674b1efb0c1a48c503ae303b9"", ""validation"": ""aa7c1ee7d705a8f0c8fe49467d0f2d23f8b70c1e16e55b7dfae8fb9d5879bbca""}"
f43s_0041,single_feature,f43cond_0041,aapl_xnas_log_return_1,macro_breadth,aapl_xnas_log_return_1 <= q15,2.571530333360092,0.15002395455478748,"{""oos"": 1116, ""train"": 4384, ""validation"": 1824}","{""oos"": ""acbb2354348960b18fa4bba5b62c5d2774ac8d5efc9e5744c66e1e7172eafbd8"", ""train"": ""9313246e929bf8e381b28eba8fe43a0661a4316f54d437bbe541c933ce72a4be"", ""validation"": ""bbd6d293f26745f04e1bfc5ba62d4dfda88a5bc8f309a9bf18bf83628eabb831""}"
f43s_0042,single_feature,f43cond_0042,msft_xnas_log_return_1,macro_breadth,msft_xnas_log_return_1 <= q15,2.567665305333629,0.15002395455478748,"{""oos"": 1095, ""train"": 4384, ""validation"": 1279}","{""oos"": ""d9605b59e3dd76bb9b3e7ba9adde7e46891d70db5a22e7731306757be15d6fcc"", ""train"": ""17701e8f1511a647af53573a6cfe6ab2d2d720d595687113ec5eb2c685768e35"", ""validation"": ""b116cbcdc6996b71b26b3ae6544f3cb3704a4321fbb76d8158f43c8676a00c4a""}"
f43s_0043,single_feature,f43cond_0043,stochrsi_kd_diff,oscillator,stochrsi_kd_diff <= q15,2.5664280878197965,0.15002395455478748,"{""oos"": 1111, ""train"": 4384, ""validation"": 1477}","{""oos"": ""16c7af7a043ec7f89ae63d55bb64635831b08edae37e6efdac998384b2db6c02"", ""train"": ""dc04d5cefe792f2d62cf2b3e39efe53bc100e45424385d74d505dc563f82abf2"", ""validation"": ""1a2c8407a8626d3929a84289623a37479189274bb09ed3ac200704f53ec418a8""}"
f43s_0044,single_feature,f43cond_0044,top3_weighted_return_1,macro_breadth,top3_weighted_return_1 <= q15,2.5651116478941742,0.15002395455478748,"{""oos"": 970, ""train"": 4384, ""validation"": 1375}","{""oos"": ""977b1602e450b84799eb60448ab25ff87bcd63527a9a4da2f940971530e0d8f0"", ""train"": ""3a6f01fc41afe7b0a2f3e49ff63f4d95cf68194f33e11d82ca18a826db884eb0"", ""validation"": ""abaca3a2c924ea2872b586d30c10ab56b4232a8b434d41912f5369cee0881860""}"
f43s_0045,single_feature,f43cond_0045,us100_minus_top3_weighted_return_1,macro_breadth,us100_minus_top3_weighted_return_1 >= q85,2.553940353424754,0.15002395455478748,"{""oos"": 1362, ""train"": 4384, ""validation"": 1568}","{""oos"": ""283ce65a8bcda700358eb1358fc3f72bf4e2f4a0bff2507d685934b753cd1d29"", ""train"": ""556a2d8e519d26e916ff291ceacb576372ce95319afbe484c4963757113a0bed"", ""validation"": ""6d776b7c60d7cc5ce9c2cf92b919cd0ef7c5569c1ba11b3204062dc47512cefa""}"
f43s_0046,single_feature,f43cond_0046,us100_minus_mega8_equal_return_1,macro_breadth,us100_minus_mega8_equal_return_1 <= q15,2.5474813512850827,0.15002395455478748,"{""oos"": 850, ""train"": 4384, ""validation"": 1373}","{""oos"": ""0c51c2ffe5b5d5d9d43590b36177e79ca13289625559b41ea6d1c0f6dbb21485"", ""train"": ""ac4f63a0b9934541527c413df3132f2b5565493a24e8b9a93878fd48ee044009"", ""validation"": ""539105d3830b9fb4c7dd642417d3d6db1141a3c9a1e00d75c6998cb080e21ceb""}"
f43s_0047,single_feature,f43cond_0047,vortex_indicator,trend_state,vortex_indicator >= q85,2.547317125018688,0.15002395455478748,"{""oos"": 1111, ""train"": 4384, ""validation"": 1439}","{""oos"": ""ad9563c0a79e1acbdb27e3de5e29a1a686b00d918a3b4e5f22e89e1b53a8b1e7"", ""train"": ""f044105549a7f0c339635ce41638a6de0a2113bf4cf9f68e52cb1f4e92159474"", ""validation"": ""42b6d9d35a3554e7a8af5b7b3f66dfaa381ee4b50fcdc71d832da4d5725ee47c""}"
f43s_0048,single_feature,f43cond_0048,historical_vol_5_over_20,volatility_shape,historical_vol_5_over_20 >= q85,2.546311920221562,0.15002395455478748,"{""oos"": 1080, ""train"": 4384, ""validation"": 1529}","{""oos"": ""4f99946b21d266965c8648a6400617b2b4ca567e824251d1f06d4df2da31c972"", ""train"": ""112d484f5772784ddc06ff405b884fa93587c4bf7c4c90e3dfd498472650685e"", ""validation"": ""7cc10f8a13347be913f2c8f37b3f9055a8324084064a6c1a33bb2ff6c4d7a1e1""}"
f43p_0049,pair_and,f43cond_0002|f43cond_0007,mega8_dispersion_5|hl_zscore_50,macro_breadth|volatility_shape,mega8_dispersion_5 >= q85 & hl_zscore_50 >= q85,3.287769252310322,0.07576483471357197,"{""oos"": 661, ""train"": 2214, ""validation"": 932}","{""oos"": ""38066d2d83b3be693c4637af81df2110aaef5d2abe9a45bc0a5b3d36ee70cb83"", ""train"": ""bca00f73fe836ca663d25d34a4fbfefc0fe75c040f9cbbfe8f4ebc1085da346e"", ""validation"": ""6805efa8a01b25ec5386602d252cb92e7d8db00c05f6133e11be2ff048674ba8""}"
f43p_0050,pair_and,f43cond_0002|f43cond_0003,mega8_dispersion_5|hl_range,macro_breadth|volatility_shape,mega8_dispersion_5 >= q85 & hl_range >= q85,3.3633687019502982,0.05348709876120731,"{""oos"": 492, ""train"": 1563, ""validation"": 693}","{""oos"": ""21ea08ac7d6e0f3df55c00ec959b9b403d482efee27e703cdfc4e4cb01cb10be"", ""train"": ""d268bec77bbb0fba9a14004ea3947a7977e64f796458a440272a257d513c4dcb"", ""validation"": ""17a340bbe2741fb9b64efc048a6a2f7ae89cb7eab201173d2532b02ef8686496""}"
f43p_0051,pair_and,f43cond_0001|f43cond_0006,bb_squeeze|sma50_sma200_ratio,volatility_shape|trend_state,bb_squeeze >= ge0p5 & sma50_sma200_ratio <= q15,3.512780743989367,0.015912668537403325,"{""oos"": 109, ""train"": 465, ""validation"": 85}","{""oos"": ""3c380d624f2a1a4384f2bdf11d36dfa243dd725652c2d51bc21028c25db3546b"", ""train"": ""0da0c9f7804326239e4654bd48daf725a90d6347385e4a0872d6962560261a85"", ""validation"": ""59b1cf5ea98bad95b5bc07e9bcdb9e4075cceca325bbad0f79e157883da557e3""}"
f43p_0052,pair_and,f43cond_0002|f43cond_0004,mega8_dispersion_5|bollinger_width_20,macro_breadth|volatility_shape,mega8_dispersion_5 >= q85 & bollinger_width_20 >= q85,3.344415306509868,0.03138046677161043,"{""oos"": 195, ""train"": 917, ""validation"": 410}","{""oos"": ""821bcbccb995350f58b0f5cc350008f2bc3555a2edf792ad87c41d07906c572a"", ""train"": ""f8f23f28147a78a9dfeed82f8b4326d2dc50ead818b9117285202855ee3fd3f1"", ""validation"": ""423e6f068e38b22e6bea1185621dc8e862f075f6736a73c33de49bfdfd586cae""}"
f43p_0053,pair_and,f43cond_0001|f43cond_0008,bb_squeeze|gap_percent,volatility_shape|price_momentum,bb_squeeze >= ge0p5 & gap_percent >= q85,3.4917974618544454,0.014030524946957772,"{""oos"": 81, ""train"": 410, ""validation"": 74}","{""oos"": ""e7db781407650d6848d10c19af27fe6cb8d71db63d61dd30732a46aa101cdda2"", ""train"": ""7fcd2f499b976df9894eed105844725deeb8b14b27fdfd3fb84aa08192d3db81"", ""validation"": ""9e8ed4214030330179e3fc836924d3ef79da655cba40e1ded6272d7e3518dcdc""}"
