run_id,source_run_id,group_columns,group_value,trade_count,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,runtime_feature_status,stress_reasons,stress_score,claim_boundary(주장 경계)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_hour,entry_hour=16,177,-112.31,615.5,-727.81,0.845687748,-0.63452,86,91,48.587571,-26.97,27.76,8.0,15.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),140.652666,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_hour+side,entry_hour=16|side=short,32,-81.47,105.38,-186.85,0.563981804,-2.545938,11,21,34.375,-21.62,25.39,8.0,15.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),134.281887,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2026-02|entry_hour=21,10,-44.79,24.5,-69.29,0.353586376,-4.479,2,8,20.0,-28.76,24.37,121.0,1095.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수);tail_loss(꼬리 손실),130.982477,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-09|entry_hour=16,13,-48.34,11.68,-60.02,0.194601799,-3.718462,4,9,30.769231,-14.15,5.41,8.0,10.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),128.150475,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2026-04|entry_hour=21,2,-12.38,0.55,-12.93,0.042536736,-6.19,1,1,50.0,-12.93,0.55,230.5,231.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),127.171214,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month,entry_month=2025-03,87,-88.94,359.26,-448.2,0.801561803,-1.022299,43,44,49.425287,-37.11,45.76,8.0,819.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),126.585423,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2026-01|entry_hour=19,8,-34.33,7.24,-41.57,0.174164061,-4.29125,2,6,25.0,-11.44,3.62,9.0,25.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),121.729258,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-01|entry_hour=19,10,-37.92,7.68,-45.6,0.168421053,-3.792,6,4,60.0,-24.87,2.28,8.0,11.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),119.529263,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-09|entry_hour=18,12,-39.32,5.56,-44.88,0.123885918,-3.276667,2,10,16.666667,-12.76,3.58,9.0,21.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),116.303993,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2026-04|side=short,1,-5.56,0.0,-5.56,0.0,-5.56,0,1,0.0,-5.56,-5.56,5.0,5.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),114.28,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_hour+side,entry_hour=20|side=short,15,-44.8,26.96,-71.76,0.375696767,-2.986667,4,11,26.666667,-17.22,13.34,8.0,9.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),109.490613,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2025-05|side=short,6,-24.79,11.21,-36.0,0.311388889,-4.131667,1,5,16.666667,-12.35,11.21,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),105.471389,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-02|entry_hour=19,10,-32.67,11.07,-43.74,0.25308642,-3.267,4,6,40.0,-19.91,3.81,8.0,10.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),105.015975,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,previous_drawdown_bucket+side,previous_drawdown_bucket=005_prev_20_to_40pct|side=short,14,-40.73,29.84,-70.57,0.422842568,-2.909286,5,9,35.714286,-20.26,13.29,8.0,8.0,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",negative_expectancy(기대값 음수),102.841939,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-06|entry_hour=19,11,-28.97,10.61,-39.58,0.268064679,-2.633636,4,7,36.363636,-19.46,4.92,8.0,19.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),93.191373,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2025-03|side=long,70,-57.99,324.7,-382.69,0.848467428,-0.828429,37,33,52.857143,-37.11,45.76,8.0,819.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),90.817283,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-12|entry_hour=16,8,-19.62,0.21,-19.83,0.010590015,-2.4525,2,6,25.0,-5.44,0.19,8.0,9.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),90.679349,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2025-12|side=short,4,-15.94,17.03,-32.97,0.516530179,-3.985,2,2,50.0,-20.86,9.69,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),87.681444,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2025-10|side=short,10,-28.79,39.3,-68.09,0.577177265,-2.879,4,6,40.0,-17.22,16.61,8.0,9.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),85.136796,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2026-03|entry_hour=18,23,-36.47,47.86,-84.33,0.567532314,-1.585652,11,12,47.826087,-17.19,9.3,8.0,9.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),77.634195,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2025-03|side=short,17,-30.95,34.56,-65.51,0.527553045,-1.820588,6,11,35.294118,-11.02,13.29,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),76.332702,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-04|entry_hour=17,20,-34.8,58.34,-93.14,0.626368907,-1.74,9,11,45.0,-20.51,16.32,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),75.757088,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-12|entry_hour=17,21,-32.77,46.43,-79.2,0.586237374,-1.560476,11,10,52.380952,-20.86,7.39,8.0,15.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),72.977406,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-01|entry_hour=16,9,-20.4,25.34,-45.74,0.554000875,-2.266667,5,4,55.555556,-21.62,10.49,8.0,12.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),70.209969,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2026-03|entry_hour=16,13,-23.73,33.02,-56.75,0.58185022,-1.825385,4,9,30.769231,-13.81,10.72,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),67.269858,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-05|entry_hour=21,10,-21.04,31.69,-52.73,0.600986156,-2.104,4,6,40.0,-17.54,24.58,230.0,806.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),67.253485,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2025-08|side=short,6,-13.85,12.81,-26.66,0.480495124,-2.308333,2,4,33.333333,-12.02,7.18,8.0,15.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),66.732671,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-03|entry_hour=17,22,-29.16,60.79,-89.95,0.6758199,-1.325455,10,12,45.454545,-14.93,21.02,8.0,17.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),63.411758,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,side,side=long,952,942.33,3733.39,-2791.06,1.337624415,0.989842,534,418,56.092437,-40.91,89.79,8.0,1100.0,entry_known_candidate(진입 시점 사용 가능 후보),tail_loss(꼬리 손실),57.5325,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-07|entry_hour=20,5,-7.88,4.48,-12.36,0.362459547,-1.576,3,2,60.0,-9.45,2.86,10.0,22.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),56.105916,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month,entry_month=2025-09,49,-32.61,115.79,-148.4,0.780256065,-0.66551,19,30,38.77551,-14.15,31.8,9.0,233.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),55.73716,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-11|entry_hour=16,11,-16.97,42.55,-59.52,0.714885753,-1.542727,4,7,36.363636,-19.6,15.54,8.0,8.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),52.461726,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-01|entry_hour=17,20,-20.48,45.66,-66.14,0.690353795,-1.024,8,12,40.0,-13.78,15.54,8.0,24.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),50.605617,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_hour+side,entry_hour=16|side=long,145,-30.84,510.12,-540.96,0.94299024,-0.21269,75,70,51.724138,-26.97,27.76,8.0,12.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),49.115117,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-03|entry_hour=18,17,-19.32,57.1,-76.42,0.7471866,-1.136471,7,10,41.176471,-19.47,13.29,8.0,10.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),48.806116,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+side,entry_month=2025-04|side=short,16,-18.05,61.04,-79.09,0.771778986,-1.128125,7,9,43.75,-23.0,33.62,8.0,230.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),46.575235,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-12|entry_hour=20,6,-7.09,7.55,-14.64,0.515710383,-1.181667,3,3,50.0,-8.49,3.09,9.5,17.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),45.220137,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-05|entry_hour=20,8,-9.56,16.11,-25.67,0.627580834,-1.195,3,5,37.5,-8.83,8.28,8.0,12.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),43.934671,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-08|entry_hour=17,16,-14.19,32.22,-46.41,0.69424693,-0.886875,8,8,50.0,-13.38,10.34,8.0,11.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_expectancy(기대값 음수),42.533857,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
