run_id,source_run_id,group_columns,group_value,trade_count,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,runtime_feature_status,stress_reasons,stress_score,claim_boundary(주장 경계),candidate_rank,candidate_use
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-01|entry_hour=17,20,-20.48,45.66,-66.14,0.690353795,-1.024,8,12,40.0,-13.78,15.54,8.0,24.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),50.605617,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,11,session_filter_or_soft_size_probe(세션 필터 또는 소프트 사이징 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_hour+side,entry_hour=16|side=long,145,-30.84,510.12,-540.96,0.94299024,-0.21269,75,70,51.724138,-26.97,27.76,8.0,12.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),49.115117,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,12,session_filter_or_soft_size_probe(세션 필터 또는 소프트 사이징 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month,entry_month=2025-12,58,-17.93,152.9,-170.83,0.895041854,-0.309138,27,31,46.551724,-23.32,19.99,8.0,234.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),33.21319,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,13,diagnostic_guardrail_probe(진단 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month+entry_hour,entry_month=2025-11|entry_hour=17,22,-11.35,68.28,-79.63,0.857465779,-0.515909,12,10,54.545455,-29.36,14.09,8.0,9.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수);tail_loss(꼬리 손실),32.799607,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,14,session_filter_or_soft_size_probe(세션 필터 또는 소프트 사이징 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,previous_drawdown_bucket,previous_drawdown_bucket=001_prev_0_to_2pct,483,179.98,1614.58,-1434.6,1.125456573,0.372629,266,217,55.072464,-31.33,46.62,8.0,1095.0,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",pf_below_1_15(PF 1.15 미만);tail_loss(꼬리 손실),29.50652,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,15,previous_balance_drawdown_guardrail_probe(이전 잔고 낙폭 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month,entry_month=2025-08,47,-13.73,136.8,-150.53,0.908788946,-0.292128,24,23,51.06383,-19.92,27.76,8.0,249.0,entry_known_candidate(진입 시점 사용 가능 후보),negative_net(순손익 음수);pf_below_1_0(PF 1.0 미만);negative_expectancy(기대값 음수),27.777919,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,16,diagnostic_guardrail_probe(진단 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,previous_drawdown_bucket+side,previous_drawdown_bucket=001_prev_0_to_2pct|side=long,439,155.85,1400.8,-1244.95,1.12518575,0.355011,247,192,56.264237,-31.33,46.62,8.0,1095.0,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",pf_below_1_15(PF 1.15 미만);tail_loss(꼬리 손실),27.315999,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,17,previous_balance_drawdown_guardrail_probe(이전 잔고 낙폭 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,previous_drawdown_bucket+side,previous_drawdown_bucket=004_prev_10_to_20pct|side=long,64,39.62,331.48,-291.86,1.135750017,0.619063,37,27,57.8125,-40.91,64.31,8.0,1094.0,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",pf_below_1_15(PF 1.15 미만);tail_loss(꼬리 손실),15.381249,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,18,previous_balance_drawdown_guardrail_probe(이전 잔고 낙폭 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,previous_drawdown_bucket,previous_drawdown_bucket=002_prev_2_to_5pct,316,503.32,1338.22,-834.9,1.602850641,1.592785,176,140,55.696203,-26.97,66.25,8.0,808.0,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",tail_loss(꼬리 손실),15.2775,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,19,previous_balance_drawdown_guardrail_probe(이전 잔고 낙폭 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_month,entry_month=2025-04,103,199.07,679.15,-480.08,1.414660057,1.932718,57,46,55.339806,-40.91,89.79,8.0,1094.0,entry_known_candidate(진입 시점 사용 가능 후보),tail_loss(꼬리 손실),15.0825,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,20,diagnostic_guardrail_probe(진단 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_hour,entry_hour=17,276,172.03,916.52,-744.49,1.231070934,0.623297,154,122,55.797101,-29.36,21.29,8.0,26.0,entry_known_candidate(진입 시점 사용 가능 후보),tail_loss(꼬리 손실),15.07,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,21,diagnostic_guardrail_probe(진단 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_hour,entry_hour=21,102,313.84,871.19,-557.35,1.563093209,3.076863,56,46,54.901961,-40.91,66.25,230.0,1100.0,entry_known_candidate(진입 시점 사용 가능 후보),tail_loss(꼬리 손실),15.0325,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,22,diagnostic_guardrail_probe(진단 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,previous_drawdown_bucket,previous_drawdown_bucket=004_prev_10_to_20pct,74,53.57,376.09,-322.52,1.166098226,0.723919,42,32,56.756757,-40.91,64.31,8.0,1094.0,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",tail_loss(꼬리 손실),14.819062,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,23,previous_balance_drawdown_guardrail_probe(이전 잔고 낙폭 가드레일 탐침)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,run364Y_review_density_side_balance_repair_mt5_runtime_probe_without_db_v1,entry_hour+side,entry_hour=21|side=long,95,258.21,766.56,-508.35,1.507937445,2.718,53,42,55.789474,-40.91,66.25,230.0,1100.0,entry_known_candidate(진입 시점 사용 가능 후보),tail_loss(꼬리 손실),14.6825,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,24,side_quality_guardrail_probe(방향 품질 가드레일 탐침)
