time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,open,high,low,close,tick_volume,spread_points,real_volume,time_basis
1778101200,1778101500,US10YR,US10YR,M5,110.77,110.79,110.77,110.79,6,3,0,MT5_PY_API_UNIX_SECONDS
1778101500,1778101800,US10YR,US10YR,M5,110.8,110.8,110.79,110.8,11,3,0,MT5_PY_API_UNIX_SECONDS
1778101800,1778102100,US10YR,US10YR,M5,110.79,110.8,110.79,110.79,17,3,0,MT5_PY_API_UNIX_SECONDS
1778102100,1778102400,US10YR,US10YR,M5,110.8,110.8,110.79,110.79,12,3,0,MT5_PY_API_UNIX_SECONDS
1778102400,1778102700,US10YR,US10YR,M5,110.8,110.8,110.77,110.77,7,3,0,MT5_PY_API_UNIX_SECONDS
1778102700,1778103000,US10YR,US10YR,M5,110.76,110.77,110.76,110.76,7,3,0,MT5_PY_API_UNIX_SECONDS
1778103000,1778103300,US10YR,US10YR,M5,110.77,110.79,110.76,110.77,17,3,0,MT5_PY_API_UNIX_SECONDS
1778103300,1778103600,US10YR,US10YR,M5,110.79,110.79,110.77,110.77,2,3,0,MT5_PY_API_UNIX_SECONDS
1778103600,1778103900,US10YR,US10YR,M5,110.76,110.79,110.76,110.77,4,3,0,MT5_PY_API_UNIX_SECONDS
1778103900,1778104200,US10YR,US10YR,M5,110.79,110.79,110.77,110.79,3,3,0,MT5_PY_API_UNIX_SECONDS
1778104200,1778104500,US10YR,US10YR,M5,110.77,110.79,110.77,110.79,4,3,0,MT5_PY_API_UNIX_SECONDS
1778104500,1778104800,US10YR,US10YR,M5,110.8,110.8,110.77,110.77,9,3,0,MT5_PY_API_UNIX_SECONDS
1778104800,1778105100,US10YR,US10YR,M5,110.79,110.8,110.79,110.8,4,3,0,MT5_PY_API_UNIX_SECONDS
1778105400,1778105700,US10YR,US10YR,M5,110.82,110.82,110.8,110.82,7,3,0,MT5_PY_API_UNIX_SECONDS
1778106000,1778106300,US10YR,US10YR,M5,110.83,110.83,110.8,110.82,4,3,0,MT5_PY_API_UNIX_SECONDS
1778106300,1778106600,US10YR,US10YR,M5,110.83,110.83,110.8,110.8,5,3,0,MT5_PY_API_UNIX_SECONDS
1778106600,1778106900,US10YR,US10YR,M5,110.79,110.82,110.79,110.82,11,3,0,MT5_PY_API_UNIX_SECONDS
1778106900,1778107200,US10YR,US10YR,M5,110.8,110.82,110.8,110.82,12,3,0,MT5_PY_API_UNIX_SECONDS
1778107500,1778107800,US10YR,US10YR,M5,110.83,110.83,110.8,110.8,9,3,0,MT5_PY_API_UNIX_SECONDS
