record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count,queue_id,candidate_id,candidate_alias,candidate_role,source_test_id,state_profile,state_feature,attempt_role,model_materialization_type,materialization_boundary
mt5_ta_s264_lc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1145.2,1.57,309,3.71,364.64,18.4,3.14,556,556,0,59283,11651,11651,run267AO_s264_lc_volatility_regime_expansion,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_lc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1145.2,1.57,309,3.71,364.64,18.4,3.14,556,556,0,59283,11651,11651,run267AO_s264_lc_volatility_regime_expansion,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s264_lc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1062.29,1.56,309,3.44,319.21,17.26,3.33,556,556,0,59283,11651,11651,run267AO_s264_lc_range_expansion_pressure,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_lc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1062.29,1.56,309,3.44,319.21,17.26,3.33,556,556,0,59283,11651,11651,run267AO_s264_lc_range_expansion_pressure,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s264_lc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1091.82,1.52,317,3.44,328.14,17.62,3.33,573,573,0,59283,11651,11651,run267AO_s264_lc_trend_strength_disagreement,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_lc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1091.82,1.52,317,3.44,328.14,17.62,3.33,573,573,0,59283,11651,11651,run267AO_s264_lc_trend_strength_disagreement,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s262_lih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1117.68,1.57,305,3.66,336.51,17.71,3.32,552,552,0,59283,11651,11651,run267AO_s262_lih_return_shock_absorption,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s262_lih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1117.68,1.57,305,3.66,336.51,17.71,3.32,552,552,0,59283,11651,11651,run267AO_s262_lih_return_shock_absorption,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s262_lih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1196.86,1.59,298,4.02,358.07,17.89,3.34,543,543,0,59283,11651,11651,run267AO_s262_lih_volatility_regime_expansion,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s262_lih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1196.86,1.59,298,4.02,358.07,17.89,3.34,543,543,0,59283,11651,11651,run267AO_s262_lih_volatility_regime_expansion,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s262_lih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1136.4,1.58,300,3.79,344.99,17.92,3.29,545,545,0,59283,11651,11651,run267AO_s262_lih_range_expansion_pressure,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s262_lih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1136.4,1.58,300,3.79,344.99,17.92,3.29,545,545,0,59283,11651,11651,run267AO_s262_lih_range_expansion_pressure,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s262_lih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,962.36,1.52,300,3.21,310.62,17.93,3.1,539,539,0,59283,11651,11651,run267AO_s262_lih_trend_strength_disagreement,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s262_lih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,962.36,1.52,300,3.21,310.62,17.93,3.1,539,539,0,59283,11651,11651,run267AO_s262_lih_trend_strength_disagreement,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s264_aia_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1119.25,1.6,310,3.61,272.46,14.77,4.11,559,559,0,59283,11651,11651,run267AO_s264_aia_return_shock_absorption,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_aia_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1119.25,1.6,310,3.61,272.46,14.77,4.11,559,559,0,59283,11651,11651,run267AO_s264_aia_return_shock_absorption,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s264_aia_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1167.06,1.59,305,3.83,344.13,17.48,3.39,552,552,0,59283,11651,11651,run267AO_s264_aia_volatility_regime_expansion,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_aia_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1167.06,1.59,305,3.83,344.13,17.48,3.39,552,552,0,59283,11651,11651,run267AO_s264_aia_volatility_regime_expansion,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s264_aia_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1151.94,1.61,309,3.73,284.58,15.07,4.05,558,558,0,59283,11651,11651,run267AO_s264_aia_range_expansion_pressure,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_aia_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1151.94,1.61,309,3.73,284.58,15.07,4.05,558,558,0,59283,11651,11651,run267AO_s264_aia_range_expansion_pressure,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s264_aia_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1015.1,1.49,314,3.23,345.41,19.11,2.94,564,564,0,59283,11651,11651,run267AO_s264_aia_trend_strength_disagreement,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s264_aia_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1015.1,1.49,314,3.23,345.41,19.11,2.94,564,564,0,59283,11651,11651,run267AO_s264_aia_trend_strength_disagreement,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s258_stc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,885.68,1.48,298,2.97,282.3,17.67,3.14,535,535,0,59283,11651,11651,run267AO_s258_stc_return_shock_absorption,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,return_shock_absorption,stage267_state_return_shock_absorption_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s258_stc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,885.68,1.48,298,2.97,282.3,17.67,3.14,535,535,0,59283,11651,11651,run267AO_s258_stc_return_shock_absorption,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,return_shock_absorption,stage267_state_return_shock_absorption_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s258_stc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1450.57,1.59,303,4.79,415.28,18.01,3.49,552,552,0,59283,11651,11651,run267AO_s258_stc_volatility_regime_expansion,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s258_stc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1450.57,1.59,303,4.79,415.28,18.01,3.49,552,552,0,59283,11651,11651,run267AO_s258_stc_volatility_regime_expansion,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s258_stc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,907.51,1.49,294,3.09,293.79,18.03,3.09,529,529,0,59283,11651,11651,run267AO_s258_stc_range_expansion_pressure,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,range_expansion_pressure,stage267_state_range_expansion_pressure_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s258_stc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,907.51,1.49,294,3.09,293.79,18.03,3.09,529,529,0,59283,11651,11651,run267AO_s258_stc_range_expansion_pressure,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,range_expansion_pressure,stage267_state_range_expansion_pressure_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_ta_s258_stc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,1385.53,1.54,321,4.32,414.78,18.75,3.34,580,580,0,59283,11651,11651,run267AO_s258_stc_trend_strength_disagreement,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,tier_only_total,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
mt5_rt_s258_stc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total_duplicate_boundary,1385.53,1.54,321,4.32,414.78,18.75,3.34,580,580,0,59283,11651,11651,run267AO_s258_stc_trend_strength_disagreement,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,routed_total_duplicate_boundary,research_score_table_pool_wide_state_feature_engineering_extension_not_retrained_v1,pool_wide_state_feature_engineering_score_table_extension_not_retrained
