run_id,stage_id,attempt_name,split,tier_scope,tester_status,runtime_status,report_status,net_profit,profit_factor,trade_count,report_path
run02AG_lgbm_fwd18_source_session_195_215_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,routed_oos,oos,Tier A+B,completed,completed,completed,-67.01,0.89,35,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AG_lgbm_fwd18_source_session_195_215_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AG_lgbm_fwd18_source_session_195_215_v1_routed_oos.htm
run02AG_lgbm_fwd18_source_session_195_215_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,routed_validation_is,validation,Tier A+B,completed,completed,completed,18.97,1.02,40,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AG_lgbm_fwd18_source_session_195_215_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AG_lgbm_fwd18_source_session_195_215_v1_routed_validation_is.htm
run02AG_lgbm_fwd18_source_session_195_215_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_a_only_oos,oos,Tier A,completed,completed,completed,-29.59,0.95,33,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AG_lgbm_fwd18_source_session_195_215_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AG_lgbm_fwd18_source_session_195_215_v1_tier_a_only_oos.htm
run02AG_lgbm_fwd18_source_session_195_215_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_a_only_validation_is,validation,Tier A,completed,completed,completed,-0.04,1.0,36,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AG_lgbm_fwd18_source_session_195_215_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AG_lgbm_fwd18_source_session_195_215_v1_tier_a_only_validation_is.htm
run02AG_lgbm_fwd18_source_session_195_215_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_b_fallback_only_oos,oos,Tier B,completed,completed,completed,36.63,1.17,5,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AG_lgbm_fwd18_source_session_195_215_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AG_lgbm_fwd18_source_session_195_215_v1_tier_b_fallback_only_oos.htm
run02AG_lgbm_fwd18_source_session_195_215_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_b_fallback_only_validation_is,validation,Tier B,completed,completed,completed,210.53,0.0,4,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AG_lgbm_fwd18_source_session_195_215_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AG_lgbm_fwd18_source_session_195_215_v1_tier_b_fallback_only_validation_is.htm
run02AH_lgbm_fwd18_source_session_205_225_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,routed_oos,oos,Tier A+B,completed,completed,completed,-243.05,0.62,34,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AH_lgbm_fwd18_source_session_205_225_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AH_lgbm_fwd18_source_session_205_225_v1_routed_oos.htm
run02AH_lgbm_fwd18_source_session_205_225_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,routed_validation_is,validation,Tier A+B,completed,completed,completed,-495.68,0.23,19,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AH_lgbm_fwd18_source_session_205_225_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AH_lgbm_fwd18_source_session_205_225_v1_routed_validation_is.htm
run02AH_lgbm_fwd18_source_session_205_225_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_a_only_oos,oos,Tier A,completed,completed,completed,-152.23,0.72,31,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AH_lgbm_fwd18_source_session_205_225_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AH_lgbm_fwd18_source_session_205_225_v1_tier_a_only_oos.htm
run02AH_lgbm_fwd18_source_session_205_225_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_a_only_validation_is,validation,Tier A,completed,completed,completed,-497.41,0.21,17,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AH_lgbm_fwd18_source_session_205_225_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AH_lgbm_fwd18_source_session_205_225_v1_tier_a_only_validation_is.htm
run02AH_lgbm_fwd18_source_session_205_225_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_b_fallback_only_oos,oos,Tier B,completed,completed,completed,-92.0,0.69,5,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AH_lgbm_fwd18_source_session_205_225_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AH_lgbm_fwd18_source_session_205_225_v1_tier_b_fallback_only_oos.htm
run02AH_lgbm_fwd18_source_session_205_225_v1,11_alpha_robustness__wfo_label_horizon_sensitivity,tier_b_fallback_only_validation_is,validation,Tier B,completed,completed,completed,128.95,3.3,6,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AH_lgbm_fwd18_source_session_205_225_v1/mt5/reports/Project_Obsidian_Prime_v2_run02AH_lgbm_fwd18_source_session_205_225_v1_tier_b_fallback_only_validation_is.htm
