candidate_id,artifact_slug,feature,max_abs_coef,dominant_label,dominant_sign,coef_short,coef_flat,coef_long
core56_no_top3_weight_features__l2_plain_c025,c56_plain,hl_zscore_50,0.14967624822337874,flat,1,-0.03999370154459388,0.14967624822337874,-0.10968254667877614
core56_no_top3_weight_features__l2_plain_c025,c56_plain,minutes_from_cash_open,0.13919993506246484,flat,1,-0.04707680556126381,0.13919993506246484,-0.09212312950121046
core56_no_top3_weight_features__l2_plain_c025,c56_plain,bb_position_20,0.13754943881685852,short,1,0.13754943881685852,-0.04578790693760175,-0.09176153187925348
core56_no_top3_weight_features__l2_plain_c025,c56_plain,rsi_50,0.12194976801728821,short,1,0.12194976801728821,-0.10517118463072497,-0.01677858338656376
core56_no_top3_weight_features__l2_plain_c025,c56_plain,atr_14_over_atr_50,0.11719969895445508,long,-1,0.07114795133042777,0.046051747624033,-0.11719969895445508
core56_no_top3_weight_features__l2_plain_c025,c56_plain,rsi_14,0.11664153597019392,short,-1,-0.11664153597019392,0.11120391991737845,0.005437616052813415
core56_no_top3_weight_features__l2_plain_c025,c56_plain,rsi_14_minus_50,0.11664118617040249,short,-1,-0.11664118617040249,0.11120297235042675,0.005438213819969476
core56_no_top3_weight_features__l2_plain_c025,c56_plain,trix_15,0.11211952532452404,flat,-1,0.06919914263937268,-0.11211952532452404,0.04292038268515649
core56_no_top3_weight_features__l2_plain_c025,c56_plain,di_spread_14,0.10868382457419563,flat,-1,0.003141498596422886,-0.10868382457419563,0.10554232597777599
core56_no_top3_weight_features__l2_plain_c025,c56_plain,rsi_14_slope_3,0.08228123018476613,long,1,-0.03864975603541586,-0.043631474149348634,0.08228123018476613
core56_no_top3_weight_features__l2_plain_c025,c56_plain,historical_vol_20,0.07967839496686381,flat,-1,0.044898849792605014,-0.07967839496686381,0.03477954517425844
core56_no_top3_weight_features__l2_plain_c025,c56_plain,is_first_30m_after_open,0.07063897670990975,flat,-1,0.051862285204461456,-0.07063897670990975,0.018776691505446908
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,close_ema20_ratio,0.37421931175083395,short,1,0.37421931175083395,-0.18138479513045333,-0.19283451662037993
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,ema20_ema50_diff,0.3410442959482554,long,-1,0.22559178792164336,0.11545250802661285,-0.3410442959482554
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,close_ema50_ratio,0.3076526008732145,short,-1,-0.3076526008732145,0.11215051824826956,0.19550208262494537
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,hl_range,0.29049329058211626,flat,-1,0.12835667665356623,-0.29049329058211626,0.16213661392853485
