adapter_id,split,chron_segment,direction,session_slice,trend_regime,adx_bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,mfe_mean,mae_mean,mfe_capture_ratio,max_closed_trade_drawdown,stage99_read
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,late,downtrend,adx_gt25,1,-16.84,0.000000,-16.840000,0.000000,7.760000,28.700000,-2.170103,16.84,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,oos,mid,sell,mid,downtrend,adx_gt25,3,21.06,5.659292,7.020000,0.666667,15.076667,13.831667,0.465620,4.52,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,early,downtrend,adx_20_25,5,-5.47,0.858253,-1.094000,0.600000,13.125860,14.575480,-0.083347,31.63,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,early,downtrend,adx_gt25,17,130.37,8.353074,7.668824,0.882353,15.683188,8.988476,0.488984,17.73,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,early,range_or_weak_trend,adx_lt20,5,28.59,1.999650,5.718000,0.600000,17.479360,18.190120,0.327129,16.82,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,late,downtrend,adx_20_25,1,24.62,inf,24.620000,1.000000,31.179000,2.460000,0.789634,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,late,downtrend,adx_gt25,5,44.41,20.650442,8.882000,0.800000,19.006780,8.143340,0.467307,2.26,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,late,range_or_weak_trend,adx_lt20,2,7.69,4.610329,3.845000,0.500000,12.762500,9.608600,0.301273,2.13,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,mid,downtrend,adx_20_25,2,13.80,inf,6.900000,1.000000,10.636500,7.569200,0.648710,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,mid,downtrend,adx_gt25,5,76.99,inf,15.398000,1.000000,21.210580,10.170940,0.725958,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,buy,mid,range_or_weak_trend,adx_lt20,7,-35.92,0.618684,-5.131429,0.571429,15.008614,20.160471,-0.341899,70.70,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,sell,early,downtrend,adx_20_25,1,65.68,inf,65.680000,1.000000,88.075000,32.584500,0.745728,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,sell,early,downtrend,adx_gt25,9,-120.69,0.097577,-13.410000,0.333333,16.349956,25.347267,-0.820186,120.69,negative_context_slice
