candidate_id,role,source_stage,period_label,month,rows,signal_rows,long_signal_rows,short_signal_rows,blocked_signal_rows,allowed_signal_rows,blocked_signal_ratio,allowed_signal_ratio
s262_lowrank_inner_half_filter,validation_heavy,262,historical_2024_tier_a_train_era_stress,2024-12,1011,41,15,26,12,29,0.29268292682926828,0.70731707317073167
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-01,978,36,9,27,10,26,0.27777777777777779,0.72222222222222221
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-02,828,38,10,28,11,27,0.28947368421052633,0.71052631578947367
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-03,715,28,10,18,7,21,0.25,0.75
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-04,1167,59,16,43,26,33,0.44067796610169491,0.55932203389830504
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-05,696,24,6,18,4,20,0.16666666666666666,0.83333333333333337
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-06,627,28,10,18,12,16,0.42857142857142855,0.5714285714285714
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-07,876,69,19,50,31,38,0.44927536231884058,0.55072463768115942
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-08,1285,68,27,41,22,46,0.3235294117647059,0.67647058823529416
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-09,1188,58,20,38,16,42,0.27586206896551724,0.72413793103448276
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-10,1180,52,16,36,15,37,0.28846153846153844,0.71153846153846156
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-11,1100,39,15,24,11,28,0.28205128205128205,0.71794871794871795
s264_allow_inner_all_oos_anchor,oos_anchor,264,historical_2024_tier_a_train_era_stress,2024-12,1011,41,15,26,12,29,0.29268292682926828,0.70731707317073167
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-01,978,36,9,27,8,28,0.22222222222222221,0.77777777777777779
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-02,828,38,10,28,10,28,0.26315789473684209,0.73684210526315785
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-03,715,28,10,18,6,22,0.21428571428571427,0.7857142857142857
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-04,1167,59,16,43,22,37,0.3728813559322034,0.6271186440677966
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-05,696,24,6,18,3,21,0.125,0.875
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-06,627,28,10,18,10,18,0.35714285714285715,0.6428571428571429
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-07,876,69,19,50,25,44,0.36231884057971014,0.6376811594202898
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-08,1285,68,27,41,20,48,0.29411764705882354,0.70588235294117652
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-09,1188,58,20,38,14,44,0.2413793103448276,0.75862068965517238
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-10,1180,52,16,36,13,39,0.25,0.75
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-11,1100,39,15,24,10,29,0.25641025641025639,0.74358974358974361
s258_short_tight_control,stress_challenger,258,historical_2024_tier_a_train_era_stress,2024-12,1011,41,15,26,11,30,0.26829268292682928,0.73170731707317072
