axis,value,candidate_rows,scout_clue_count,materialization_candidate_count,meaningful_signal_count,best_candidate,best_rank_score,best_val_net_pf_dd_tpd,best_oos_net_pf_dd_tpd
hold_bars,6,10080,0,0,0,f80b_36184,63121.105104131544,0.6032256862820662/999.0/0.0/0.0036900369003690036,0.6564514821304838/999.0/0.0/0.005154639175257732
feature_set,compact_exportable_28,7200,247,50,6,f80b_15073,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
feature_set,full58,7200,450,94,1,f80b_15823,1995796.135879437,84.51369284131243/1.4039979984564368/2.4838704729261507/1.3062730627306274,59.20482691538984/1.4109605911330048/3.2751606378726255/1.268041237113402
feature_set,micro_reversal,7200,478,114,5,f80b_13481,1995977.667816117,99.65022208400492/1.4953893374846203/3.3180961131903586/1.2878228782287824,60.185068655598194/1.3728669176444723/2.8812897485943494/1.402061855670103
feature_set,no_external_contract,7200,352,80,0,f80b_13861,810978.4007220588,88.57038558155934/1.2373896482772886/3.917950832402016/2.195571955719557,91.16425603257214/1.293059001340291/3.2219348420242113/2.6391752577319587
feature_set,price_vol_session,7200,257,68,3,f80b_12193,1999813.216733903,120.7276372399783/1.4341569234204776/3.0941929319880046/1.7453874538745386,83.64433817578822/1.3717180477804933/3.2467735467534564/1.9536082474226804
feature_set,runtime_fill_context,7200,251,60,6,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
feature_set,trend_order_intent,7200,337,53,0,f80b_12760,810791.1704960027,78.97643587988208/1.2260615201791676/3.336725141737304/2.047970479704797,61.131600725102544/1.2435053003533563/3.1403219550566517/2.0927835051546393
model,extra_trees_d6_l120,16800,475,59,2,f80b_13315,1995762.698328543,89.72893373785989/1.3786494266857832/4.056337901607913/1.4612546125461254,65.20159991431154/1.4454005575081805/3.2467735467534564/1.2989690721649485
model,histgbm_shallow,16800,1216,366,19,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
model,logistic_l2_balanced,16800,681,94,0,f80b_13861,810978.4007220588,88.57038558155934/1.2373896482772886/3.917950832402016/2.195571955719557,91.16425603257214/1.293059001340291/3.2219348420242113/2.6391752577319587
regime,all,6300,450,114,3,f80b_11410,2003250.851827822,127.59553909761912/1.4067444326617182/4.057224998205379/1.952029520295203,114.8630416340801/1.3902940422902441/3.3248380473311503/2.5670103092783507
regime,cash_late,6300,0,0,0,f80b_00046,-40000.0,0.0/0.0/0.0/0.0,0.0/0.0/0.0/0.0
regime,cash_mid,6300,294,75,1,f80b_13481,1995977.667816117,99.65022208400492/1.4953893374846203/3.3180961131903586/1.2878228782287824,60.185068655598194/1.3728669176444723/2.8812897485943494/1.402061855670103
regime,cash_open,6300,253,30,0,f80b_15616,798123.1005246348,77.00708143349061/1.3251479511573905/2.011935083070193/1.4354243542435425,85.0521604759789/1.5803938423540946/1.6783867624201094/1.3556701030927836
regime,chop,6300,156,32,8,f80b_11395,1996069.2097633374,92.48780415600287/1.4477363887004098/2.203547948124515/1.3025830258302582,66.7806318578146/1.4483621203097083/4.140966917006892/1.3195876288659794
regime,high_vol,6300,672,158,6,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
regime,low_vol,6300,56,0,0,f80b_48316,182510.0483791964,53.4032151679123/1.2107311882158565/3.901095997050015/1.1439114391143912,23.570156594874252/1.1743896035704917/5.0245151280906155/0.8505154639175257
regime,trend,6300,491,110,3,f80b_15823,1995796.135879437,84.51369284131243/1.4039979984564368/2.4838704729261507/1.3062730627306274,59.20482691538984/1.4109605911330048/3.2751606378726255/1.268041237113402
risk_filter,liquidity_release,10080,689,189,13,f80b_11410,2003250.851827822,127.59553909761912/1.4067444326617182/4.057224998205379/1.952029520295203,114.8630416340801/1.3902940422902441/3.3248380473311503/2.5670103092783507
risk_filter,mean_revert,10080,257,39,0,f80b_13537,813505.5174347284,77.80014579163203/1.2055292433087346/5.532289220484472/2.206642066420664,80.4836129989897/1.2781245210140706/2.8209671799661464/2.4381443298969074
risk_filter,none,10080,420,84,0,f80b_12181,814902.9403865767,99.06030284668499/1.2879265667100703/4.588950698731037/2.059040590405904,98.17498044240622/1.3200034698126297/3.3106445017715718/2.6237113402061856
risk_filter,order_intent_guard,10080,627,150,8,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
risk_filter,trend_aligned,10080,379,57,0,f80b_18484,811140.0129671636,91.2015140896662/1.2279068323945197/3.708063777439748/2.3505535055350553,152.29408256447977/1.4998122177807922/3.1722574325656976/2.752577319587629
cooldown_bars,0,16800,1032,296,18,f80b_11473,2011995.1042785125,120.8358630248701/1.354611129189717/4.057224998205379/2.084870848708487,128.87029690818866/1.4006895505509505/3.3248380473311503/2.814432989690722
cooldown_bars,10,16800,653,80,0,f80b_13563,794601.5552713546,51.903134821584445/1.2511568608933805/2.852902657475193/1.2250922509225093,49.62418366267466/1.273064531875427/1.7316125582685118/1.5309278350515463
cooldown_bars,4,16800,687,143,3,f80b_13481,1995977.667816117,99.65022208400492/1.4953893374846203/3.3180961131903586/1.2878228782287824,60.185068655598194/1.3728669176444723/2.8812897485943494/1.402061855670103
