candidate_id,split,period,trade_count,net,pf,dd_pct,calendar_trades_day,positive_period,active_period
f80b_12010,validation,2025-05,8,3.0516122953092757,1.7049180327868854,0.21645156978356683,0.27586206896551724,1,1
f80b_12010,validation,2025-06,7,-7.575804942424771,0.0,1.2987094187013895,0.25,0,1
f80b_12010,validation,2025-07,6,-0.6387095501810112,0.8524590163934427,0.8658062791342559,0.2,0,1
f80b_12010,validation,2025-08,24,3.2999993426018923,1.217798594847775,0.8658062791342559,0.8571428571428571,1,1
f80b_12010,validation,2025-09,1,1.8451609227451435,999.0,0.0,0.03571428571428571,1,1
f80b_12010,oos,2025-10,64,21.540479579854605,1.6035044115819563,1.7316125582685231,2.1333333333333333,1,1
f80b_12010,oos,2025-11,176,8.587095063544714,1.0734669095324831,3.097741318377905,7.6521739130434785,1,1
f80b_12010,oos,2025-12,11,9.225804613725717,3.251082251082251,0.4116128212277658,0.36666666666666664,1,1
f80b_12010,oos,2026-01,33,1.1709675086651847,1.0541871921182262,1.7422577174382128,1.1785714285714286,1,1
f80b_12010,oos,2026-02,168,43.75160418739924,1.4523110785033013,1.9658060600015574,6.72,1,1
f80b_12010,oos,2026-03,139,41.39192723811941,1.5292649727767689,1.6464512849110409,4.793103448275862,1,1
f80b_12010,oos,2026-04,49,2.27096728953248,1.07119021134594,2.0899995836478635,4.083333333333333,1,1
f80b_12070,validation,2025-01,79,17.10588368908395,1.3600597516571749,1.4220158457502292,2.7241379310344827,1,1
f80b_12070,validation,2025-02,72,9.899998027805676,1.2177985948477752,1.7954835132866152,2.88,1,1
f80b_12070,validation,2025-03,93,22.40096327940403,1.4065035415325173,1.5754835571131707,3.3214285714285716,1,1
f80b_12070,validation,2025-04,401,93.28441690053418,1.390181367528979,3.158063887006108,13.827586206896552,1,1
f80b_12070,validation,2025-05,8,3.0516122953092757,1.7049180327868854,0.21645156978356683,0.27586206896551724,1,1
f80b_12070,validation,2025-06,7,-7.575804942424771,0.0,1.2987094187013895,0.25,0,1
f80b_12070,validation,2025-07,6,-0.6387095501810112,0.8524590163934427,0.8658062791342559,0.2,0,1
f80b_12070,validation,2025-08,24,3.2999993426018923,1.217798594847775,0.8658062791342559,0.8571428571428571,1,1
f80b_12070,validation,2025-09,1,1.8451609227451435,999.0,0.0,0.03571428571428571,1,1
f80b_12070,oos,2025-10,64,21.540479579854605,1.6035044115819563,1.7316125582685231,2.1333333333333333,1,1
f80b_12070,oos,2025-11,176,8.587095063544714,1.0734669095324831,3.097741318377905,7.6521739130434785,1,1
f80b_12070,oos,2025-12,11,9.225804613725717,3.251082251082251,0.4116128212277658,0.36666666666666664,1,1
f80b_12070,oos,2026-01,33,1.1709675086651847,1.0541871921182262,1.7422577174382128,1.1785714285714286,1,1
f80b_12070,oos,2026-02,168,43.75160418739924,1.4523110785033013,1.9658060600015574,6.72,1,1
f80b_12070,oos,2026-03,139,41.39192723811941,1.5292649727767689,1.6464512849110409,4.793103448275862,1,1
