variant_id,cluster_id,train_share,long_edge,short_edge,best_edge,pressure_mean,transition_entropy_mean,volatility_expansion_mean,pressure_flip_mean,state_class,action
k7_pca3_seed9502,4,0.049277,-0.00039172,-0.00051046,-0.00039172,-0.79383634,0.58716999,1.26944833,0.27179431,chop_cost_drag,0
k7_pca3_seed9502,5,0.329964,-9.659e-05,-0.00032223,-9.659e-05,0.19496905,0.58205763,0.8775346,0.26691795,chop_cost_drag,0
k7_pca3_seed9502,6,0.048911,-0.0001599,-0.00071331,-0.0001599,0.59528908,0.58634732,1.25207423,0.27353731,chop_cost_drag,0
k7_pca5_seed9502,0,0.356043,-0.00010671,-0.00031688,-0.00010671,0.2392999,0.58229494,0.87721897,0.26426415,chop_cost_drag,0
k7_pca5_seed9502,1,0.042601,-0.00025537,-0.0006317,-0.00025537,0.65089121,0.58246363,1.28062373,0.27327083,chop_cost_drag,0
k7_pca5_seed9502,2,0.166632,-0.00030433,-0.00024193,-0.00024193,-0.5867379,0.58843906,1.00638974,0.27572787,chop_cost_drag,0
k7_pca5_seed9502,3,0.11992,-0.00041679,-0.00016526,-0.00016526,-0.84628821,0.57869648,1.09865634,0.25901686,chop_cost_drag,0
k7_pca5_seed9502,4,0.095098,-7.664e-05,-0.00053095,-7.664e-05,0.74394273,0.58149697,1.06816268,0.26099034,chop_cost_drag,0
k7_pca5_seed9502,5,0.172575,-0.00017366,-0.00035991,-0.00017366,0.59308147,0.58776376,1.02438108,0.27519251,chop_cost_drag,0
k7_pca5_seed9502,6,0.04713,-0.00043595,-0.00046305,-0.00043595,-0.80444444,0.58676969,1.2715263,0.27262513,chop_cost_drag,0
k9_pca3_seed9502,0,0.187369,-0.00013678,-0.0003109,-0.00013678,-0.28004472,0.58816814,0.90116966,0.27442922,chop_cost_drag,0
k9_pca3_seed9502,1,0.111673,-0.00019655,-0.00040381,-0.00019655,0.78311841,0.58656459,1.05284515,0.27372944,chop_cost_drag,0
k9_pca3_seed9502,2,0.032101,-0.00031921,-0.00065693,-0.00031921,-0.73735726,0.58802215,1.30338206,0.27588902,chop_cost_drag,0
k9_pca3_seed9502,3,0.237118,-4.983e-05,-0.00037741,-4.983e-05,0.74790194,0.57646041,0.87959032,0.2621705,chop_cost_drag,0
k9_pca3_seed9502,4,0.112694,-0.00046202,-0.00016746,-0.00016746,-0.84688662,0.58654755,1.07695575,0.27103134,chop_cost_drag,0
k9_pca3_seed9502,5,0.09392,-0.00012055,-0.00047048,-0.00012055,0.77362699,0.57961648,1.08744977,0.25793381,chop_cost_drag,0
k9_pca3_seed9502,6,0.05166,-0.0005812,-8.325e-05,-8.325e-05,-0.79776989,0.57929449,1.24131852,0.25830759,chop_cost_drag,0
k9_pca3_seed9502,7,0.025922,0.00011989,-0.00111049,0.00011989,0.72929293,0.58755565,1.31159831,0.2753653,continuation_pressure,1
k9_pca3_seed9502,8,0.147544,-0.00032143,-0.00016415,-0.00016415,-0.6418811,0.58969325,0.99065554,0.26864833,chop_cost_drag,0
k9_pca5_seed9502,0,0.152964,-0.00028683,-0.00020325,-0.00020325,-0.77832934,0.58811382,0.96985366,0.26733547,chop_cost_drag,0
k9_pca5_seed9502,1,0.14901,-0.00018916,-0.00034807,-0.00018916,0.58091724,0.58835878,1.02695518,0.27684063,chop_cost_drag,0
k9_pca5_seed9502,2,0.035269,-0.00061689,-0.00030088,-0.00030088,-0.89161099,0.58837034,1.28323809,0.27170207,chop_cost_drag,0
k9_pca5_seed9502,3,0.268067,-8.149e-05,-0.00032888,-8.149e-05,0.36286384,0.57916609,0.86203013,0.26474083,chop_cost_drag,0
k9_pca5_seed9502,4,0.036971,-0.00029982,-0.00059417,-0.00029982,0.77903683,0.5816043,1.27657628,0.27359772,chop_cost_drag,0
k9_pca5_seed9502,5,0.032913,0.00056615,-0.00134532,0.00056615,0.40493238,0.59022771,1.20061195,0.26665084,continuation_pressure,1
k9_pca5_seed9502,6,0.124424,-0.00017845,-0.00035256,-0.00017845,0.82491582,0.57950332,1.0025892,0.25807634,chop_cost_drag,0
k9_pca5_seed9502,7,0.057394,-0.00053759,-0.00012794,-0.00012794,-0.78740876,0.57854632,1.20162511,0.25655286,chop_cost_drag,0
k9_pca5_seed9502,8,0.142988,-0.00032309,-0.00024551,-0.00024551,-0.58780443,0.58814163,1.02440659,0.27607123,chop_cost_drag,0
