variant_id,model_family,embedding_dim,n_clusters,view,split,state_class_count,max_state_class_share,high_cost_trade_share,rows,days,trade_count,trades_per_day,net_proxy,gross_profit,gross_loss,proxy_pf,win_rate,avg_win,avg_loss,payoff_ratio,expectancy,max_drawdown,recovery_factor,time_under_water_bars,max_consecutive_loss,long_count,short_count,side_min_share,avg_cost_penalty,regime_coverage_count,cost_high_trade_share,random_net_proxy_mean,random_proxy_pf_mean,random_max_drawdown_mean
k5_pca5_seed9502,pca_kmeans_transition_state,5,5,tier_a_separate,validation,2,0.864588,0.714929,9844,183,1333,7.284153,0.02532495,3.37503082,3.34970587,1.00756,0.515379,0.00491271,-0.0051853,0.947429,1.9e-05,0.83003369,0.030511,1307,16,1333,0,0.0,0.00037271,36,0.714929,-0.28297497,0.644904,0.31595178
k5_pca5_seed9502,pca_kmeans_transition_state,5,5,tier_a_separate,oos,2,0.881461,0.634038,7584,131,899,6.862595,-0.1451971,1.41337889,1.55857599,0.90684,0.499444,0.00314784,-0.0034635,0.90886,-0.00016151,0.24221716,-0.59945,893,15,899,0,0.0,0.00030918,35,0.634038,-0.22293175,0.432312,0.2256564
k5_pca5_seed9502,pca_kmeans_transition_state,5,5,tier_b_separate,train,2,0.966778,0.395973,8970,555,298,0.536937,0.0383235,0.51636436,0.47804086,1.080168,0.543624,0.00318743,-0.00351501,0.906808,0.0001286,0.09727627,0.393966,275,8,298,0,0.0,0.00028562,37,0.395973,-0.06185332,0.242641,0.06715008
k5_pca5_seed9502,pca_kmeans_transition_state,5,5,tier_b_separate,validation,2,0.989856,0.625,2366,148,24,0.162162,-0.01490551,0.0238638,0.0387693,0.615533,0.458333,0.00216944,-0.00298225,0.727448,-0.00062106,0.03057273,-0.487543,20,6,24,0,0.0,0.00029297,13,0.625,-0.0049477,0.023388,0.0049477
k5_pca5_seed9502,pca_kmeans_transition_state,5,5,tier_b_separate,oos,2,0.99435,0.833333,1062,121,6,0.049587,-0.00843745,0.0,0.00843745,0.0,0.0,,-0.00140624,,-0.00140624,0.00843745,-1.0,6,6,6,0,0.0,0.00031561,4,0.833333,-0.00130045,0.0,0.00130045
k5_pca5_seed9502,pca_kmeans_transition_state,5,5,tier_ab_combined,train,2,0.905818,0.636642,38192,579,3597,6.212435,0.04700207,6.89478183,6.84777976,1.006864,0.512927,0.00373701,-0.00390855,0.956111,1.307e-05,0.54184705,0.086744,3549,22,3597,0,0.0,0.00031842,47,0.636642,-0.84589596,0.433554,0.86041666
k5_pca5_seed9502,pca_kmeans_transition_state,5,5,tier_ab_combined,validation,2,0.888862,0.713338,12210,185,1357,7.335135,0.01041944,3.39889461,3.38847517,1.003075,0.51437,0.00486948,-0.00514184,0.947029,7.68e-06,0.83003369,0.012553,1331,16,1357,0,0.0,0.0003713,37,0.713338,-0.31189311,0.557533,0.31754552
k5_pca5_seed9502,pca_kmeans_transition_state,5,5,tier_ab_combined,oos,2,0.895327,0.635359,8646,131,905,6.908397,-0.15363456,1.41337889,1.56701344,0.901957,0.496133,0.00314784,-0.00343643,0.916019,-0.00016976,0.24221716,-0.634284,899,15,905,0,0.0,0.00030923,35,0.635359,-0.23404262,0.370834,0.23481327
k7_pca3_seed9502,pca_kmeans_transition_state,3,7,tier_a_separate,train,1,1.0,0.0,29222,573,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca3_seed9502,pca_kmeans_transition_state,3,7,tier_a_separate,validation,1,1.0,0.0,9844,183,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca3_seed9502,pca_kmeans_transition_state,3,7,tier_a_separate,oos,1,1.0,0.0,7584,131,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca3_seed9502,pca_kmeans_transition_state,3,7,tier_b_separate,train,1,1.0,0.0,8970,555,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca3_seed9502,pca_kmeans_transition_state,3,7,tier_b_separate,validation,1,1.0,0.0,2366,148,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca3_seed9502,pca_kmeans_transition_state,3,7,tier_b_separate,oos,1,1.0,0.0,1062,121,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca3_seed9502,pca_kmeans_transition_state,3,7,tier_ab_combined,train,1,1.0,0.0,38192,579,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca3_seed9502,pca_kmeans_transition_state,3,7,tier_ab_combined,validation,1,1.0,0.0,12210,185,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca3_seed9502,pca_kmeans_transition_state,3,7,tier_ab_combined,oos,1,1.0,0.0,8646,131,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca5_seed9502,pca_kmeans_transition_state,5,7,tier_a_separate,train,1,1.0,0.0,29222,573,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca5_seed9502,pca_kmeans_transition_state,5,7,tier_a_separate,validation,1,1.0,0.0,9844,183,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca5_seed9502,pca_kmeans_transition_state,5,7,tier_a_separate,oos,1,1.0,0.0,7584,131,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca5_seed9502,pca_kmeans_transition_state,5,7,tier_b_separate,train,1,1.0,0.0,8970,555,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca5_seed9502,pca_kmeans_transition_state,5,7,tier_b_separate,validation,1,1.0,0.0,2366,148,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca5_seed9502,pca_kmeans_transition_state,5,7,tier_b_separate,oos,1,1.0,0.0,1062,121,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca5_seed9502,pca_kmeans_transition_state,5,7,tier_ab_combined,train,1,1.0,0.0,38192,579,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca5_seed9502,pca_kmeans_transition_state,5,7,tier_ab_combined,validation,1,1.0,0.0,12210,185,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k7_pca5_seed9502,pca_kmeans_transition_state,5,7,tier_ab_combined,oos,1,1.0,0.0,8646,131,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k9_pca3_seed9502,pca_kmeans_transition_state,3,9,tier_a_separate,train,2,0.969236,0.998888,29222,573,899,1.568935,0.13814086,2.34040107,2.20226022,1.062727,0.532814,0.00488601,-0.00524348,0.931827,0.00015366,0.20838283,0.662919,845,11,899,0,0.0,0.00049354,16,0.998888,-0.22754379,0.252707,0.23256408
k9_pca3_seed9502,pca_kmeans_transition_state,3,9,tier_a_separate,validation,2,0.95256,1.0,9844,183,467,2.551913,0.09994264,1.73548089,1.63553825,1.061107,0.498929,0.00744842,-0.00698948,1.065661,0.00021401,0.60078531,0.166353,443,13,467,0,0.0,0.0005836,16,1.0,-0.12952717,0.379792,0.13610807
k9_pca3_seed9502,pca_kmeans_transition_state,3,9,tier_a_separate,oos,2,0.970332,1.0,7584,131,225,1.717557,0.07731643,0.48095269,0.40363626,1.19155,0.551111,0.00387865,-0.0039964,0.970537,0.00034363,0.09665602,0.799913,204,10,225,0,0.0,0.00047597,14,1.0,-0.0576213,0.219382,0.05899369
k9_pca3_seed9502,pca_kmeans_transition_state,3,9,tier_b_separate,train,2,0.989855,0.978022,8970,555,91,0.163964,-0.01944536,0.20259599,0.22204135,0.912425,0.483516,0.00460445,-0.00472428,0.974635,-0.00021369,0.06295824,-0.308861,82,7,91,0,0.0,0.00051261,16,0.978022,-0.01769405,0.179112,0.01993123
k9_pca3_seed9502,pca_kmeans_transition_state,3,9,tier_b_separate,validation,2,0.997887,1.0,2366,148,5,0.033784,0.0012812,0.0040433,0.0027621,1.463851,0.6,0.00134777,-0.00138105,0.975901,0.00025624,0.002282,0.561438,2,1,5,0,0.0,0.00056633,5,1.0,-0.0010177,0.0,0.0010177
k9_pca3_seed9502,pca_kmeans_transition_state,3,9,tier_b_separate,oos,1,1.0,0.0,1062,121,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k9_pca3_seed9502,pca_kmeans_transition_state,3,9,tier_ab_combined,train,2,0.974078,0.99697,38192,579,990,1.709845,0.1186955,2.54299706,2.42430157,1.048961,0.528283,0.00486233,-0.00519122,0.936644,0.00011989,0.20838283,0.569603,936,11,990,0,0.0,0.0004953,19,0.99697,-0.23915249,0.239498,0.24761367
k9_pca3_seed9502,pca_kmeans_transition_state,3,9,tier_ab_combined,validation,2,0.961343,1.0,12210,185,472,2.551351,0.10122384,1.73952419,1.63830035,1.061786,0.5,0.00737087,-0.00694195,1.061786,0.00021446,0.60078531,0.168486,445,13,472,0,0.0,0.00058342,16,1.0,-0.12955479,0.304912,0.13164261
k9_pca3_seed9502,pca_kmeans_transition_state,3,9,tier_ab_combined,oos,2,0.973976,1.0,8646,131,225,1.717557,0.07731643,0.48095269,0.40363626,1.19155,0.551111,0.00387865,-0.0039964,0.970537,0.00034363,0.09665602,0.799913,204,10,225,0,0.0,0.00047597,14,1.0,-0.04728153,0.287261,0.04954741
k9_pca5_seed9502,pca_kmeans_transition_state,5,9,tier_a_separate,train,2,0.95938,0.950295,29222,573,1187,2.071553,0.7107112,3.29236231,2.5816511,1.275293,0.550126,0.0050419,-0.00483455,1.042889,0.00059875,0.25679959,2.767571,1074,14,1187,0,0.0,0.00039087,16,0.950295,-0.26491511,0.353304,0.27916946
k9_pca5_seed9502,pca_kmeans_transition_state,5,9,tier_a_separate,validation,2,0.940878,0.9811,9844,183,582,3.180328,0.32648042,2.29868049,1.97220007,1.165541,0.501718,0.00787219,-0.00680069,1.157558,0.00056096,0.68550792,0.476261,537,26,582,0,0.0,0.00049075,15,0.9811,-0.1380752,0.466752,0.14938708
k9_pca5_seed9502,pca_kmeans_transition_state,5,9,tier_a_separate,oos,2,0.966904,0.908367,7584,131,251,1.916031,0.0745493,0.57088572,0.49633642,1.150199,0.513944,0.00442547,-0.00406833,1.087785,0.00029701,0.14654968,0.508696,224,12,251,0,0.0,0.00037605,14,0.908367,-0.06513895,0.234793,0.06718256
k9_pca5_seed9502,pca_kmeans_transition_state,5,9,tier_b_separate,train,2,0.992196,0.742857,8970,555,70,0.126126,0.00094519,0.16612671,0.16518152,1.005722,0.528571,0.00448991,-0.0050055,0.896995,1.35e-05,0.08656452,0.010919,66,6,70,0,0.0,0.00036768,20,0.742857,-0.01516727,0.107034,0.01666393
k9_pca5_seed9502,pca_kmeans_transition_state,5,9,tier_b_separate,validation,2,0.998309,1.0,2366,148,4,0.027027,0.00924815,0.00924815,-0.0,999.0,1.0,0.00231204,,,0.00231204,0.0,,0,0,4,0,0.0,0.00040481,3,1.0,-0.00082739,0.0,0.00082739
k9_pca5_seed9502,pca_kmeans_transition_state,5,9,tier_b_separate,oos,1,1.0,0.0,1062,121,0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0,,,0,,0.0,,0.0
k9_pca5_seed9502,pca_kmeans_transition_state,5,9,tier_ab_combined,train,2,0.967087,0.938743,38192,579,1257,2.170984,0.71165639,3.45848902,2.74683262,1.259083,0.548926,0.0050123,-0.0048445,1.034637,0.00056615,0.25679959,2.771252,1144,14,1257,0,0.0,0.00038958,23,0.938743,-0.28884601,0.310182,0.3065029
k9_pca5_seed9502,pca_kmeans_transition_state,5,9,tier_ab_combined,validation,2,0.952007,0.981229,12210,185,586,3.167568,0.33572856,2.30792864,1.97220007,1.17023,0.505119,0.00779706,-0.00680069,1.14651,0.00057292,0.68550792,0.489752,537,26,586,0,0.0,0.00049017,15,0.981229,-0.1293786,0.470948,0.15087254
k9_pca5_seed9502,pca_kmeans_transition_state,5,9,tier_ab_combined,oos,2,0.970969,0.908367,8646,131,251,1.916031,0.0745493,0.57088572,0.49633642,1.150199,0.513944,0.00442547,-0.00406833,1.087785,0.00029701,0.14654968,0.508696,224,12,251,0,0.0,0.00037605,14,0.908367,-0.06492539,0.191642,0.06492539
