rule_id,rule_family,split,base_trade_count,base_net_profit,base_profit_factor,base_short_hold_loss_rate,base_long_hold_win_rate,kept_trade_count,kept_trade_share,kept_net_profit,kept_profit_factor,kept_expectancy,kept_win_rate_percent,kept_avg_hold_bars,kept_short_hold_loss_rate,kept_long_hold_win_rate,short_hold_loss_delta_vs_base,long_hold_win_delta_vs_base,removed_trade_count,removed_net_profit,removed_profit_factor,net_delta_vs_base,pf_delta_vs_base,sample_status,stress_question
keep_downtrend,trend_regime,oos,51,62.65,1.224214,0.117647,0.313725,32,0.627451,44.79,1.302247,1.399687,59.375,216.875,0.125,0.3125,0.007353,-0.001225,19,17.86,1.136097,-17.86,0.078033,ok,keep downtrend regime(하락 추세 구간 유지)
keep_downtrend,trend_regime,validation,77,208.01,1.771465,0.090909,0.337662,48,0.623377,111.46,1.770124,2.322083,58.333333,224.25,0.104167,0.291667,0.013258,-0.045995,29,96.55,1.773018,-96.55,-0.001341,ok,keep downtrend regime(하락 추세 구간 유지)
keep_late_or_adx_gt25,session_adx_combo,oos,51,62.65,1.224214,0.117647,0.313725,33,0.647059,112.39,1.767534,3.405758,57.575758,315.0,0.121212,0.363636,0.003565,0.049911,18,-49.74,0.625987,49.74,0.54332,ok,keep late session or ADX > 25(후반 세션 또는 ADX 25 초과 유지)
keep_late_or_adx_gt25,session_adx_combo,validation,77,208.01,1.771465,0.090909,0.337662,49,0.636364,131.84,1.814883,2.690612,59.183673,251.918367,0.122449,0.346939,0.03154,0.009277,28,76.17,1.706324,-76.17,0.043418,ok,keep late session or ADX > 25(후반 세션 또는 ADX 25 초과 유지)
keep_late_or_vol_mid,session_volatility_combo,oos,51,62.65,1.224214,0.117647,0.313725,26,0.509804,152.73,2.132004,5.874231,65.384615,388.384615,0.076923,0.423077,-0.040724,0.109352,25,-90.08,0.376609,90.08,0.90779,sample_ok_but_thin_margin,keep late session or mid volatility(후반 세션 또는 중간 변동성 유지)
keep_late_or_vol_mid,session_volatility_combo,validation,77,208.01,1.771465,0.090909,0.337662,40,0.519481,178.76,2.224467,4.469,55.0,313.4,0.075,0.4,-0.015909,0.062338,37,29.25,1.236574,-29.25,0.453002,sample_ok_but_thin_margin,keep late session or mid volatility(후반 세션 또는 중간 변동성 유지)
keep_late_session_only,session_time,oos,51,62.65,1.224214,0.117647,0.313725,16,0.313725,98.08,1.955666,6.13,56.25,406.9375,0.125,0.5625,0.007353,0.248775,35,-35.43,0.799593,35.43,0.731452,sample_thin,keep late session only(후반 세션만 유지)
keep_late_session_only,session_time,validation,77,208.01,1.771465,0.090909,0.337662,23,0.298701,62.26,1.642385,2.706957,56.521739,340.695652,0.043478,0.521739,-0.047431,0.184077,54,145.75,1.8439,-145.75,-0.12908,sample_thin,keep late session only(후반 세션만 유지)
keep_vol_mid_or_late_not_adx_20_25,aggressive_combo,oos,51,62.65,1.224214,0.117647,0.313725,16,0.313725,128.54,3.534806,8.03375,68.75,513.0625,0.0625,0.4375,-0.055147,0.123775,35,-65.89,0.711906,65.89,2.310592,sample_thin,"keep mid volatility or late session while excluding ADX 20-25(중간 변동성 또는 후반 세션 유지, ADX 20-25 제거)"
keep_vol_mid_or_late_not_adx_20_25,aggressive_combo,validation,77,208.01,1.771465,0.090909,0.337662,31,0.402597,224.68,3.828298,7.247742,61.290323,294.612903,0.096774,0.451613,0.005865,0.113951,46,-16.67,0.912351,16.67,2.056833,sample_thin,"keep mid volatility or late session while excluding ADX 20-25(중간 변동성 또는 후반 세션 유지, ADX 20-25 제거)"
