queue_id,thesis_id,guard_family,source_artifact,scoring_mode,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,max_underwater_trade_count,max_underwater_start,max_underwater_end,max_drawdown,chunk_type,chunk_id,start_time,end_time,claim_boundary
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,24,30.065,92.775,62.71,1.4794291182,1.2527083333,0.5416666667,7.1365384615,-5.7009090909,1.2518246384,7,2026-04-27T18:00:00+00:00,2026-04-30T19:50:00+00:00,33.075,thirds,thirds_1,2026-04-14T16:55:00+00:00,2026-05-01T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,24,105.585,134.62,29.035,4.636473222,4.399375,0.7916666667,7.0852631579,-5.807,1.2201245321,2,2026-05-15T17:35:00+00:00,2026-05-15T18:40:00+00:00,21.31,thirds,thirds_2,2026-05-04T16:35:00+00:00,2026-05-15T18:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,23,66.75,122.865,56.115,2.1895215183,2.902173913,0.5652173913,9.4511538462,-5.6115,1.6842473218,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,17.775,thirds,thirds_3,2026-05-15T18:55:00+00:00,2026-05-22T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,15,25.665,51.675,26.01,1.9867358708,1.711,0.6,5.7416666667,-4.335,1.3244905805,6,2026-04-20T17:35:00+00:00,2026-04-21T21:50:00+00:00,14.11,fifths,fifths_1,2026-04-14T16:55:00+00:00,2026-04-24T19:45:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,15,23.345,63.27,39.925,1.5847213525,1.5563333333,0.6,7.03,-6.6541666667,1.0564809017,7,2026-04-27T18:00:00+00:00,2026-04-30T19:50:00+00:00,33.075,fifths,fifths_2,2026-04-27T17:00:00+00:00,2026-05-06T18:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,15,102.8,107.3,4.5,23.8444444444,6.8533333333,0.8666666667,8.2538461538,-2.25,3.6683760684,1,2026-05-07T21:45:00+00:00,2026-05-07T21:45:00+00:00,2.825,fifths,fifths_3,2026-05-07T16:45:00+00:00,2026-05-14T17:45:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,15,36.0,86.55,50.55,1.7121661721,2.4,0.4666666667,12.3642857143,-6.31875,1.9567613396,11,2026-05-15T17:35:00+00:00,2026-05-19T17:35:00+00:00,39.085,fifths,fifths_4,2026-05-14T17:50:00+00:00,2026-05-19T21:10:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,11,14.59,41.465,26.875,1.5428837209,1.3263636364,0.6363636364,5.9235714286,-6.71875,0.8816478405,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,13.275,fifths,fifths_5,2026-05-19T21:25:00+00:00,2026-05-22T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,20,-4.41,58.3,62.71,0.9296762877,-0.2205,0.45,6.4777777778,-5.7009090909,1.1362710183,7,2026-04-27T18:00:00+00:00,2026-04-30T19:50:00+00:00,33.075,rolling_worst_net,rolling_20_start_3,2026-04-16T16:35:00+00:00,2026-04-30T19:50:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,hard_veto,40,98.035,190.345,92.31,2.0620192829,2.450875,0.625,7.6138,-6.154,1.2372115697,4,2026-05-15T17:35:00+00:00,2026-05-15T21:00:00+00:00,39.085,rolling_worst_net,rolling_40_start_11,2026-04-23T20:20:00+00:00,2026-05-15T21:00:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,25,19.6,89.46,69.86,1.2805611222,0.784,0.52,6.8815384615,-5.8216666667,1.1820564205,7,2026-04-27T18:40:00+00:00,2026-04-30T19:50:00+00:00,28.775,thirds,thirds_1,2026-04-14T16:55:00+00:00,2026-04-30T20:55:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,25,127.035,139.235,12.2,11.412704918,5.0814,0.84,6.6302380952,-3.05,2.1738485558,2,2026-05-15T17:50:00+00:00,2026-05-15T18:55:00+00:00,4.475,thirds,thirds_2,2026-05-01T16:40:00+00:00,2026-05-15T18:55:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,25,89.45,139.465,50.015,2.788463461,3.578,0.64,8.7165625,-5.5572222222,1.5685106968,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,14.665,thirds,thirds_3,2026-05-15T19:10:00+00:00,2026-05-22T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,15,1.35,38.81,37.46,1.036038441,0.09,0.5333333333,4.85125,-5.3514285714,0.9065336359,12,2026-04-20T17:35:00+00:00,2026-04-24T17:35:00+00:00,18.51,fifths,fifths_1,2026-04-14T16:55:00+00:00,2026-04-24T17:35:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,15,29.55,65.175,35.625,1.8294736842,1.97,0.6,7.2416666667,-5.9375,1.2196491228,7,2026-04-27T18:40:00+00:00,2026-04-30T19:50:00+00:00,28.775,fifths,fifths_2,2026-04-24T17:40:00+00:00,2026-05-05T17:35:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,15,93.42,97.92,4.5,21.76,6.228,0.8666666667,7.5323076923,-2.25,3.3476923077,1,2026-05-07T21:45:00+00:00,2026-05-07T21:45:00+00:00,2.825,fifths,fifths_3,2026-05-06T16:35:00+00:00,2026-05-13T18:45:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,15,26.025,53.64,27.615,1.9424225964,1.735,0.6,5.96,-4.6025,1.2949483976,5,2026-05-18T18:50:00+00:00,2026-05-18T23:50:00+00:00,14.665,fifths,fifths_4,2026-05-13T18:55:00+00:00,2026-05-18T23:50:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,15,85.74,112.615,26.875,4.1903255814,5.716,0.7333333333,10.2377272727,-6.71875,1.5237547569,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,13.275,fifths,fifths_5,2026-05-19T16:35:00+00:00,2026-05-22T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,20,-21.2,45.035,66.235,0.6799275308,-1.06,0.45,5.0038888889,-6.0213636364,0.8310225376,4,2026-04-27T18:40:00+00:00,2026-04-29T17:35:00+00:00,28.775,rolling_worst_net,rolling_20_start_2,2026-04-15T16:35:00+00:00,2026-04-29T17:35:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,negative_control,40,83.27,160.855,77.585,2.0732744732,2.08175,0.625,6.4342,-5.1723333333,1.2439646839,7,2026-04-27T18:40:00+00:00,2026-04-30T19:50:00+00:00,28.775,rolling_worst_net,rolling_40_start_2,2026-04-15T16:35:00+00:00,2026-05-12T20:25:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,26,20.375,94.535,74.16,1.2747437972,0.7836538462,0.5384615385,6.7525,-6.18,1.0926375405,7,2026-04-27T18:00:00+00:00,2026-04-30T19:50:00+00:00,33.075,thirds,thirds_1,2026-04-14T16:55:00+00:00,2026-05-01T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,26,87.81,134.62,46.81,2.875881222,3.3773076923,0.7307692308,7.0852631579,-6.6871428571,1.059535187,4,2026-05-15T17:35:00+00:00,2026-05-15T21:00:00+00:00,39.085,thirds,thirds_2,2026-05-04T16:35:00+00:00,2026-05-15T21:00:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,24,100.475,141.44,40.965,3.4527035274,4.1864583333,0.625,9.4293333333,-4.5516666667,2.0716221164,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,13.275,thirds,thirds_3,2026-05-15T21:20:00+00:00,2026-05-22T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,16,14.075,51.535,37.46,1.3757341164,0.8796875,0.5625,5.7261111111,-5.3514285714,1.0700154239,13,2026-04-20T17:35:00+00:00,2026-04-24T18:40:00+00:00,18.51,fifths,fifths_1,2026-04-14T16:55:00+00:00,2026-04-24T18:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,16,25.245,65.17,39.925,1.6323105823,1.5778125,0.625,6.517,-6.6541666667,0.9793863494,7,2026-04-27T18:00:00+00:00,2026-04-30T19:50:00+00:00,33.075,fifths,fifths_2,2026-04-24T18:45:00+00:00,2026-05-06T18:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,16,107.95,112.45,4.5,24.9888888889,6.746875,0.875,8.0321428571,-2.25,3.5698412698,1,2026-05-07T21:45:00+00:00,2026-05-07T21:45:00+00:00,2.825,fifths,fifths_3,2026-05-07T16:45:00+00:00,2026-05-14T18:50:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,16,40.425,93.6,53.175,1.76022567,2.5265625,0.4375,13.3714285714,-5.9083333333,2.2631472899,12,2026-05-15T17:35:00+00:00,2026-05-18T23:50:00+00:00,39.085,fifths,fifths_4,2026-05-15T16:35:00+00:00,2026-05-19T21:10:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,12,20.965,47.84,26.875,1.7800930233,1.7470833333,0.6666666667,5.98,-6.71875,0.8900465116,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,13.275,fifths,fifths_5,2026-05-19T21:25:00+00:00,2026-05-22T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,20,-25.5,45.035,70.535,0.6384773517,-1.275,0.45,5.0038888889,-6.4122727273,0.7803612076,4,2026-04-27T18:00:00+00:00,2026-04-29T17:35:00+00:00,33.075,rolling_worst_net,rolling_20_start_2,2026-04-15T16:35:00+00:00,2026-04-29T17:35:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,session_liquidity_timing,c56_plain,soft_veto,40,88.045,169.93,81.885,2.0752274531,2.201125,0.625,6.7972,-5.459,1.2451364719,7,2026-04-27T18:00:00+00:00,2026-04-30T19:50:00+00:00,33.075,rolling_worst_net,rolling_40_start_2,2026-04-15T16:35:00+00:00,2026-05-12T20:25:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,26,20.375,94.535,74.16,1.2747437972,0.7836538462,0.5384615385,6.7525,-6.18,1.0926375405,7,2026-04-27T18:00:00+00:00,2026-04-30T19:50:00+00:00,33.075,thirds,thirds_1,2026-04-14T16:55:00+00:00,2026-05-01T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,26,87.81,134.62,46.81,2.875881222,3.3773076923,0.7307692308,7.0852631579,-6.6871428571,1.059535187,4,2026-05-15T17:35:00+00:00,2026-05-15T21:00:00+00:00,39.085,thirds,thirds_2,2026-05-04T16:35:00+00:00,2026-05-15T21:00:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,cost_shape_sentry,c56_plain,control_no_veto,24,100.475,141.44,40.965,3.4527035274,4.1864583333,0.625,9.4293333333,-4.5516666667,2.0716221164,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,13.275,thirds,thirds_3,2026-05-15T21:20:00+00:00,2026-05-22T17:40:00+00:00,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
