queue_id,thesis_id,guard_family,source_artifact,scoring_mode,extra_cost_per_round_trip_account_ccy,trade_count,net_profit_after_cost,profit_factor_after_cost,expectancy_after_cost,max_drawdown_after_cost,survives_pf_ge_1,stress_boundary
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,soft_veto,2.0,299,-474.59,0.5079546927,-1.5872575251,498.39,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,soft_veto,3.0,299,-773.59,0.3353181252,-2.5872575251,787.865,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,soft_veto,5.0,299,-1371.59,0.1520309119,-4.5872575251,1378.565,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,negative_control,0.0,299,121.945,1.1901661585,0.4078428094,99.275,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,negative_control,0.25,299,47.195,1.0698238684,0.1578428094,121.875,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,negative_control,0.5,299,-27.555,0.9613352697,-0.0921571906,153.075,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,negative_control,1.0,299,-177.055,0.776264911,-0.5921571906,235.67,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,negative_control,2.0,299,-476.055,0.5072787021,-1.5921571906,498.39,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,negative_control,3.0,299,-775.055,0.3355722246,-2.5921571906,787.865,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,macro_rate_volatility_interaction,m48_plain,negative_control,5.0,299,-1373.055,0.1540018484,-4.5921571906,1380.805,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,control_no_veto,0.0,299,123.41,1.1924507411,0.4127424749,99.275,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,control_no_veto,0.25,299,48.66,1.0719913007,0.1627424749,121.875,True,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,control_no_veto,0.5,299,-26.09,0.963383227,-0.0872575251,153.075,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,control_no_veto,1.0,299,-175.59,0.7779337557,-0.5872575251,235.67,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,control_no_veto,2.0,299,-474.59,0.5079546927,-1.5872575251,498.39,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,control_no_veto,3.0,299,-773.59,0.3353181252,-2.5872575251,787.865,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,bounded_breadth_divergence_control,m48_plain,control_no_veto,5.0,299,-1371.59,0.1520309119,-4.5872575251,1378.565,False,score_proxy_synthetic_round_trip_cost_not_mt5_no_threshold_or_lot_repair
