queue_id,thesis_id,source_artifact,scoring_mode,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,max_underwater_trade_count,max_underwater_start,max_underwater_end,max_drawdown,axis,bucket,claim_boundary
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,m48_plain,hard_veto,237,29.81,457.48,427.67,1.0697032759,0.1257805907,0.5443037975,3.5463565891,-3.9599074074,0.8955655333,167,2026-04-24T15:45:00+00:00,2026-05-22T16:55:00+00:00,72.6,session,outside_cash,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,m48_plain,hard_veto,58,144.995,299.66,154.665,1.9374777745,2.4999137931,0.5862068966,8.8135294118,-6.444375,1.3676313703,11,2026-05-18T18:20:00+00:00,2026-05-20T17:50:00+00:00,53.075,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,m48_plain,soft_veto,238,26.985,477.79,450.805,1.0598595845,0.1133823529,0.5420168067,3.7037984496,-4.1358256881,0.8955402691,168,2026-04-24T15:45:00+00:00,2026-05-22T16:55:00+00:00,78.0,session,outside_cash,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,m48_plain,soft_veto,61,96.425,286.875,190.45,1.5063008664,1.5807377049,0.5901639344,7.96875,-7.618,1.0460422683,11,2026-05-18T18:20:00+00:00,2026-05-20T17:50:00+00:00,51.425,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,m48_plain,negative_control,238,22.87,473.675,450.805,1.0507314693,0.096092437,0.5420168067,3.6718992248,-4.1358256881,0.8878273655,168,2026-04-24T15:45:00+00:00,2026-05-22T17:00:00+00:00,78.0,session,outside_cash,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,m48_plain,negative_control,61,99.075,289.525,190.45,1.5202152796,1.6241803279,0.5901639344,8.0423611111,-7.618,1.0557050553,11,2026-05-18T18:20:00+00:00,2026-05-20T17:50:00+00:00,51.425,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,m48_plain,control_no_veto,238,26.985,477.79,450.805,1.0598595845,0.1133823529,0.5420168067,3.7037984496,-4.1358256881,0.8955402691,168,2026-04-24T15:45:00+00:00,2026-05-22T16:55:00+00:00,78.0,session,outside_cash,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,m48_plain,control_no_veto,61,96.425,286.875,190.45,1.5063008664,1.5807377049,0.5901639344,7.96875,-7.618,1.0460422683,11,2026-05-18T18:20:00+00:00,2026-05-20T17:50:00+00:00,51.425,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__hard_veto,pv_m48_breadth_reintroduction_control,m48_plain,hard_veto,59,144.575,270.715,126.14,2.1461471381,2.4504237288,0.6779661017,6.767875,-6.6389473684,1.0194198906,24,2026-04-20T18:00:00+00:00,2026-05-11T19:15:00+00:00,36.725,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_m48_breadth_reintroduction_control__soft_veto,pv_m48_breadth_reintroduction_control,m48_plain,soft_veto,73,233.875,383.475,149.6,2.5633355615,3.2037671233,0.6301369863,8.3364130435,-5.5407407407,1.5045665252,8,2026-05-20T19:45:00+00:00,2026-05-22T17:40:00+00:00,31.325,session,cash_open,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,26,109.705,162.9,53.195,3.062317887,4.2194230769,0.6923076923,9.05,-6.649375,1.361030172,6,2026-04-24T17:35:00+00:00,2026-05-04T17:35:00+00:00,24.7,hour,16,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,12,38.845,59.035,20.19,2.9239722635,3.2370833333,0.6666666667,7.379375,-5.0475,1.4619861317,2,2026-05-15T18:40:00+00:00,2026-05-18T18:50:00+00:00,9.265,hour,17,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,12,-4.8,23.275,28.075,0.8290293856,-0.4,0.5833333333,3.325,-5.615,0.5921638468,2,2026-05-20T19:45:00+00:00,2026-05-21T19:45:00+00:00,15.3,hour,18,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,4,52.475,52.475,0,inf,13.11875,1.0,13.11875,,,0,,,0.0,hour,19,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,10,-13.075,17.275,30.35,0.5691927512,-1.3075,0.4,4.31875,-5.0583333333,0.8537891269,9,2026-04-23T21:20:00+00:00,2026-05-21T21:20:00+00:00,23.95,hour,20,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,5,6.26,20.335,14.075,1.4447602131,1.252,0.6,6.7783333333,-7.0375,0.9631734754,2,2026-04-21T23:45:00+00:00,2026-04-23T23:55:00+00:00,11.45,hour,22,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,7,19.25,35.3,16.05,2.199376947,2.75,0.5714285714,8.825,-5.35,1.6495327103,1,2026-05-21T22:50:00+00:00,2026-05-21T22:50:00+00:00,10.975,hour,21,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,22,119.22,148.99,29.77,5.0047027209,5.4190909091,0.8181818182,8.2772222222,-7.4425,1.1121561602,2,2026-05-15T17:35:00+00:00,2026-05-18T17:40:00+00:00,15.06,hour,16,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,13,5.435,49.635,44.2,1.1229638009,0.4180769231,0.5384615385,7.0907142857,-7.3666666667,0.9625404008,7,2026-04-20T18:45:00+00:00,2026-05-11T18:00:00+00:00,19.575,hour,17,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,12,7.475,33.075,25.6,1.2919921875,0.6229166667,0.5833333333,4.725,-5.12,0.9228515625,2,2026-05-20T19:45:00+00:00,2026-05-21T19:45:00+00:00,15.3,hour,18,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,5,40.675,40.675,0,inf,8.135,1.0,8.135,,,0,,,0.0,hour,19,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,10,-17.075,17.275,34.35,0.5029112082,-1.7075,0.4,4.31875,-5.725,0.7543668122,9,2026-04-23T21:25:00+00:00,2026-05-21T21:20:00+00:00,27.95,hour,20,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,5,20.09,30.9,10.81,2.8584643848,4.018,0.6,10.3,-5.405,1.9056429232,1,2026-04-21T23:55:00+00:00,2026-04-21T23:55:00+00:00,8.185,hour,22,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,6,19.9,35.3,15.4,2.2922077922,3.3166666667,0.6666666667,8.825,-7.7,1.1461038961,1,2026-05-21T22:50:00+00:00,2026-05-21T22:50:00+00:00,10.975,hour,21,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,26,109.705,162.9,53.195,3.062317887,4.2194230769,0.6923076923,9.05,-6.649375,1.361030172,6,2026-04-24T17:35:00+00:00,2026-05-04T17:35:00+00:00,24.7,hour,16,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,12,38.845,59.035,20.19,2.9239722635,3.2370833333,0.6666666667,7.379375,-5.0475,1.4619861317,2,2026-05-15T18:40:00+00:00,2026-05-18T18:50:00+00:00,9.265,hour,17,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,12,-4.8,23.275,28.075,0.8290293856,-0.4,0.5833333333,3.325,-5.615,0.5921638468,2,2026-05-20T19:45:00+00:00,2026-05-21T19:45:00+00:00,15.3,hour,18,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,4,52.475,52.475,0,inf,13.11875,1.0,13.11875,,,0,,,0.0,hour,19,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,10,-13.075,17.275,30.35,0.5691927512,-1.3075,0.4,4.31875,-5.0583333333,0.8537891269,9,2026-04-23T21:20:00+00:00,2026-05-21T21:20:00+00:00,23.95,hour,20,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,5,6.26,20.335,14.075,1.4447602131,1.252,0.6,6.7783333333,-7.0375,0.9631734754,2,2026-04-21T23:45:00+00:00,2026-04-23T23:55:00+00:00,11.45,hour,22,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,7,19.25,35.3,16.05,2.199376947,2.75,0.5714285714,8.825,-5.35,1.6495327103,1,2026-05-21T22:50:00+00:00,2026-05-21T22:50:00+00:00,10.975,hour,21,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,26,109.705,162.9,53.195,3.062317887,4.2194230769,0.6923076923,9.05,-6.649375,1.361030172,6,2026-04-24T17:35:00+00:00,2026-05-04T17:35:00+00:00,24.7,hour,16,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,12,38.845,59.035,20.19,2.9239722635,3.2370833333,0.6666666667,7.379375,-5.0475,1.4619861317,2,2026-05-15T18:40:00+00:00,2026-05-18T18:50:00+00:00,9.265,hour,17,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,12,-4.8,23.275,28.075,0.8290293856,-0.4,0.5833333333,3.325,-5.615,0.5921638468,2,2026-05-20T19:45:00+00:00,2026-05-21T19:45:00+00:00,15.3,hour,18,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,4,52.475,52.475,0,inf,13.11875,1.0,13.11875,,,0,,,0.0,hour,19,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,10,-13.075,17.275,30.35,0.5691927512,-1.3075,0.4,4.31875,-5.0583333333,0.8537891269,9,2026-04-23T21:20:00+00:00,2026-05-21T21:20:00+00:00,23.95,hour,20,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,5,6.26,20.335,14.075,1.4447602131,1.252,0.6,6.7783333333,-7.0375,0.9631734754,2,2026-04-21T23:45:00+00:00,2026-04-23T23:55:00+00:00,11.45,hour,22,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,7,19.25,35.3,16.05,2.199376947,2.75,0.5714285714,8.825,-5.35,1.6495327103,1,2026-05-21T22:50:00+00:00,2026-05-21T22:50:00+00:00,10.975,hour,21,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,26,109.705,162.9,53.195,3.062317887,4.2194230769,0.6923076923,9.05,-6.649375,1.361030172,6,2026-04-24T17:35:00+00:00,2026-05-04T17:35:00+00:00,24.7,hour,16,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,12,38.845,59.035,20.19,2.9239722635,3.2370833333,0.6666666667,7.379375,-5.0475,1.4619861317,2,2026-05-15T18:40:00+00:00,2026-05-18T18:50:00+00:00,9.265,hour,17,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,12,-4.8,23.275,28.075,0.8290293856,-0.4,0.5833333333,3.325,-5.615,0.5921638468,2,2026-05-20T19:45:00+00:00,2026-05-21T19:45:00+00:00,15.3,hour,18,research_development_only_guarded_payload_cost_curve_pocket_screen_no_threshold_retuning_no_lot_optimization_no_model_update_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
