record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,state_profile,state_feature,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s264_lc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,309,1145.2,3141.88,-1996.68,1.573552,3.706149,0.579288,17.552402,-15.359077,1.142803,321.88,16.55872,44,0.760518,7,3.557848,18.4,16.56,3.14,0.833333,2,2024-12,-258.48,2024-11,307.54,405.95,299.71,439.54,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_volatility_regime_expansion_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_lc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,309,1145.2,3141.88,-1996.68,1.573552,3.706149,0.579288,17.552402,-15.359077,1.142803,321.88,16.55872,44,0.760518,7,3.557848,18.4,16.56,3.14,0.833333,2,2024-12,-258.48,2024-11,307.54,405.95,299.71,439.54,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_volatility_regime_expansion_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s264_lc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,309,1062.29,2970.06,-1907.77,1.556823,3.437832,0.579288,16.592514,-14.675154,1.130653,285.19,15.666595,64,0.783172,7,3.72485,17.26,15.67,3.33,0.833333,2,2024-12,-228.89,2024-11,297.34,408.45,218.16,435.68,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_range_expansion_pressure_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_lc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,309,1062.29,2970.06,-1907.77,1.556823,3.437832,0.579288,16.592514,-14.675154,1.130653,285.19,15.666595,64,0.783172,7,3.72485,17.26,15.67,3.33,0.833333,2,2024-12,-228.89,2024-11,297.34,408.45,218.16,435.68,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_range_expansion_pressure_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s264_lc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,317,1091.82,3197.95,-2106.13,1.518401,3.444227,0.570978,17.668232,-15.48625,1.140898,308.06,16.690053,84,0.788644,7,3.54418,17.62,16.69,3.33,0.75,3,2024-12,-196.9,2024-11,284.06,486.2,187.81,417.81,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_trend_strength_disagreement_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_lc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,317,1091.82,3197.95,-2106.13,1.518401,3.444227,0.570978,17.668232,-15.48625,1.140898,308.06,16.690053,84,0.788644,7,3.54418,17.62,16.69,3.33,0.75,3,2024-12,-196.9,2024-11,284.06,486.2,187.81,417.81,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_trend_strength_disagreement_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s262_lih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,305,1117.68,3061.62,-1943.94,1.574956,3.664525,0.580328,17.297288,-15.187031,1.138951,294.82,15.807111,50,0.75082,7,3.791059,17.71,15.81,3.32,0.75,3,2024-12,-217.57,2024-11,362.88,474.04,183.49,460.15,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_return_shock_absorption_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s262_lih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,305,1117.68,3061.62,-1943.94,1.574956,3.664525,0.580328,17.297288,-15.187031,1.138951,294.82,15.807111,50,0.75082,7,3.791059,17.71,15.81,3.32,0.75,3,2024-12,-217.57,2024-11,362.88,474.04,183.49,460.15,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_return_shock_absorption_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s262_lih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,298,1196.86,3209.75,-2012.89,1.594598,4.016309,0.590604,18.237216,-16.499098,1.105346,312.12,15.907608,47,0.734899,7,3.834615,17.89,15.91,3.34,0.75,3,2024-12,-227.68,2024-11,365.37,471.17,231.59,494.1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_volatility_regime_expansion_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s262_lih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,298,1196.86,3209.75,-2012.89,1.594598,4.016309,0.590604,18.237216,-16.499098,1.105346,312.12,15.907608,47,0.734899,7,3.834615,17.89,15.91,3.34,0.75,3,2024-12,-227.68,2024-11,365.37,471.17,231.59,494.1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_volatility_regime_expansion_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s262_lih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,300,1136.4,3086.05,-1949.65,1.582874,3.788,0.586667,17.534375,-15.722984,1.115207,302.9,16.026116,49,0.733333,7,3.751733,17.92,16.03,3.29,0.75,3,2024-12,-222.02,2024-11,366.96,482.11,199.69,454.6,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_range_expansion_pressure_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s262_lih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,300,1136.4,3086.05,-1949.65,1.582874,3.788,0.586667,17.534375,-15.722984,1.115207,302.9,16.026116,49,0.733333,7,3.751733,17.92,16.03,3.29,0.75,3,2024-12,-222.02,2024-11,366.96,482.11,199.69,454.6,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_range_expansion_pressure_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s262_lih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,300,962.36,2807.48,-1845.12,1.52157,3.207867,0.57,16.418012,-14.303256,1.147851,285.27,16.672121,75,0.773333,7,3.373506,17.93,16.67,3.1,0.75,3,2024-12,-202.0,2024-10,265.89,445.09,124.08,393.19,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_trend_strength_disagreement_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s262_lih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,300,962.36,2807.48,-1845.12,1.52157,3.207867,0.57,16.418012,-14.303256,1.147851,285.27,16.672121,75,0.773333,7,3.373506,17.93,16.67,3.1,0.75,3,2024-12,-202.0,2024-10,265.89,445.09,124.08,393.19,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_trend_strength_disagreement_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s264_aia_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,310,1119.25,2979.93,-1860.68,1.601527,3.610484,0.574194,16.74118,-14.096061,1.18765,246.77,13.906084,65,0.780645,6,4.5356,14.77,13.53,4.11,0.75,3,2024-12,-154.12,2024-11,280.94,481.0,181.6,456.65,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_return_shock_absorption_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_aia_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,310,1119.25,2979.93,-1860.68,1.601527,3.610484,0.574194,16.74118,-14.096061,1.18765,246.77,13.906084,65,0.780645,6,4.5356,14.77,13.53,4.11,0.75,3,2024-12,-154.12,2024-11,280.94,481.0,181.6,456.65,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_return_shock_absorption_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aia_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,305,1167.06,3154.55,-1987.49,1.587203,3.826426,0.577049,17.92358,-15.406899,1.163348,316.07,16.248631,65,0.760656,7,3.69241,17.48,16.25,3.39,0.75,3,2024-12,-220.35,2024-11,284.04,550.32,149.88,466.86,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_volatility_regime_expansion_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_aia_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,305,1167.06,3154.55,-1987.49,1.587203,3.826426,0.577049,17.92358,-15.406899,1.163348,316.07,16.248631,65,0.760656,7,3.69241,17.48,16.25,3.39,0.75,3,2024-12,-220.35,2024-11,284.04,550.32,149.88,466.86,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_volatility_regime_expansion_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s264_aia_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,309,1151.94,3036.24,-1884.3,1.611336,3.727961,0.585761,16.774807,-14.721094,1.139508,258.45,14.457214,75,0.76699,6,4.45711,15.07,13.84,4.05,0.75,3,2024-12,-161.26,2024-11,297.88,476.88,166.01,509.05,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_range_expansion_pressure_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
