record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,state_profile,state_feature,materialization_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aia_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,45,-278.42,249.38,-527.8,0.47249,-6.187111,0.444444,12.469,-21.112,0.590612,281.77,55.978941,44,0.977778,4,-0.988111,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s262_lih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,46,-275.19,283.79,-558.98,0.507693,-5.982391,0.434783,14.1895,-21.499231,0.66,279.32,55.406344,45,0.978261,5,-0.985214,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s262_lih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,47,-274.62,277.24,-551.86,0.502374,-5.842979,0.425532,13.862,-20.439259,0.678205,278.75,55.293278,46,0.978723,5,-0.985184,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,46,-273.11,241.58,-514.69,0.46937,-5.937174,0.434783,12.079,-19.795769,0.610181,276.9,54.963378,45,0.978261,4,-0.986313,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,27,-270.78,254.4,-525.18,0.484405,-10.028889,0.37037,25.44,-30.892941,0.823489,300.73,60.146,27,1.0,5,-0.900409,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,27,-258.48,224.56,-483.04,0.464889,-9.573333,0.37037,22.456,-28.414118,0.790311,281.69,56.338,27,1.0,5,-0.917604,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,44,-255.83,284.57,-540.4,0.526591,-5.814318,0.454545,14.2285,-22.516667,0.63191,259.96,51.566064,43,0.977273,4,-0.984113,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s262_lih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,43,-254.3,219.57,-473.87,0.463355,-5.913953,0.44186,11.556316,-19.744583,0.58529,257.42,51.164732,42,0.976744,3,-0.98788,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,44,-248.98,247.79,-496.77,0.498802,-5.658636,0.454545,12.3895,-20.69875,0.598563,253.11,50.207288,43,0.977273,3,-0.983683,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,48,-247.52,299.16,-546.68,0.547231,-5.156667,0.458333,13.598182,-21.026154,0.646727,254.86,50.632761,47,0.979167,4,-0.9712,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,27,-245.88,230.31,-476.19,0.483651,-9.106667,0.37037,23.031,-28.011176,0.822208,270.43,54.086,27,1.0,5,-0.909219,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,25,-241.73,304.77,-546.5,0.557676,-9.6692,0.44,27.706364,-39.035714,0.70977,297.54,59.508,25,1.0,4,-0.812429,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,27,-239.82,282.2,-522.02,0.540592,-8.882222,0.444444,23.516667,-34.801333,0.67574,319.3,63.86,27,1.0,5,-0.75108,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,27,-230.4,224.22,-454.62,0.493203,-8.533333,0.37037,22.422,-26.742353,0.838445,256.57,51.314,27,1.0,5,-0.898001,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,27,-228.89,219.22,-448.11,0.48921,-8.477407,0.37037,21.922,-26.359412,0.831657,256.0,51.2,27,1.0,5,-0.894102,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s262_lih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,25,-227.68,242.76,-470.44,0.516028,-9.1072,0.4,24.276,-31.362667,0.774041,274.58,54.916,25,1.0,5,-0.829194,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,47,-227.17,396.63,-623.8,0.635829,-4.833404,0.489362,17.244783,-25.991667,0.663474,238.7,47.380853,46,0.978723,3,-0.951697,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,44,-226.79,283.87,-510.66,0.555888,-5.154318,0.477273,13.517619,-22.202609,0.60883,230.58,45.76907,43,0.977273,4,-0.983563,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s262_lih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,26,-222.02,239.53,-461.55,0.518969,-8.539231,0.384615,23.953,-28.846875,0.83035,271.28,54.256,26,1.0,5,-0.818416,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,25,-220.9,190.19,-411.09,0.462648,-8.836,0.4,19.019,-27.406,0.693972,267.32,53.464,25,1.0,5,-0.82635,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,25,-220.35,225.57,-445.92,0.505853,-8.814,0.4,22.557,-29.728,0.75878,258.27,51.654,25,1.0,5,-0.853177,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s262_lih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,26,-217.57,234.31,-451.88,0.518523,-8.368077,0.384615,23.431,-28.2425,0.829636,264.96,52.992,26,1.0,5,-0.821143,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,weekday,Monday,44,-212.63,208.33,-420.96,0.494893,-4.8325,0.454545,10.4165,-17.54,0.593871,222.66,44.275204,43,0.977273,4,-0.954954,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s262_lih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,23,-202.0,170.96,-372.96,0.458387,-8.782609,0.391304,18.995556,-26.64,0.713046,238.57,47.714,23,1.0,5,-0.846712,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,27,-196.9,248.34,-445.24,0.557767,-7.292593,0.407407,22.576364,-27.8275,0.811297,251.01,50.202,27,1.0,5,-0.784431,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,26,-171.15,224.17,-395.32,0.56706,-6.582692,0.423077,20.379091,-26.354667,0.773263,235.52,47.104,26,1.0,5,-0.72669,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,25,-164.77,218.67,-383.44,0.570285,-6.5908,0.44,19.879091,-27.388571,0.725817,230.67,46.134,25,1.0,5,-0.71431,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,25,-161.26,244.04,-405.3,0.602122,-6.4504,0.44,22.185455,-28.95,0.766337,203.79,40.758,25,1.0,4,-0.791305,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_aia_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,25,-154.12,236.84,-390.96,0.605791,-6.1648,0.44,21.530909,-27.925714,0.771007,195.67,39.134,25,1.0,4,-0.787653,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s258_stc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-131.07,0,-131.07,0.0,-43.69,0.0,,-43.69,,131.07,26.214,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s258_stc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-115.52,0,-115.52,0.0,-38.506667,0.0,,-38.506667,,115.52,23.104,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-114.36,0,-114.36,0.0,-38.12,0.0,,-38.12,,114.36,22.872,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aih_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-109.53,0,-109.53,0.0,-36.51,0.0,,-36.51,,109.53,21.906,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_lc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-105.01,0,-105.01,0.0,-35.003333,0.0,,-35.003333,,105.01,21.002,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_lc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-104.63,0,-104.63,0.0,-34.876667,0.0,,-34.876667,,104.63,20.926,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aia_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-104.38,0,-104.38,0.0,-34.793333,0.0,,-34.793333,,104.38,20.876,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aih_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-103.55,0,-103.55,0.0,-34.516667,0.0,,-34.516667,,103.55,20.71,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_lc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-102.31,0,-102.31,0.0,-34.103333,0.0,,-34.103333,,102.31,20.462,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aia_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-100.12,0,-100.12,0.0,-33.373333,0.0,,-33.373333,,100.12,20.024,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aia_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-99.91,0,-99.91,0.0,-33.303333,0.0,,-33.303333,,99.91,19.982,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aia_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-99.12,0,-99.12,0.0,-33.04,0.0,,-33.04,,99.12,19.824,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,month,2024-12,24,-98.72,194.44,-293.16,0.663256,-4.113333,0.458333,17.676364,-22.550769,0.783847,160.82,32.164,24,1.0,4,-0.613854,deep_negative_or_dd_slice(깊은 음수 또는 손실폭 구간)
mt5_ta_s264_lc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-97.95,0,-97.95,0.0,-32.65,0.0,,-32.65,,97.95,19.59,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
mt5_ta_s262_lih_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,session_report,session_07_12_report_time,3,-97.53,0,-97.53,0.0,-32.51,0.0,,-32.51,,97.53,19.506,3,1.0,3,-1.0,negative_fragile_slice(음수 취약 구간)
