candidate_alias,candidate_id,candidate_role,state_profile,source_test_id,record_view,net_profit,base_2024_net_profit,net_delta_vs_base_2024,profit_factor,base_2024_profit_factor,pf_delta_vs_base_2024,trade_count,base_2024_trade_count,trade_delta_vs_base_2024,report_equity_drawdown_percent,base_2024_max_drawdown_percent,dd_delta_vs_base_2024,recovery_factor,base_2024_recovery_factor,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,worst_slice_axis,worst_slice_bucket,worst_slice_net,worst_slice_trade_count,base_curve_grade,base_curve_read,source_chart_path,fragility_flags,curve_read,review_read,selection_boundary
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,return_shock_absorption,rep_volatility_atr,mt5_ta_s264_aia_return_shock_absorption_historical_2024_tier_a_train_era_stress,1119.25,87.07,1032.18,1.601527,1.05,0.551527,310,354,-44.0,14.77,36.9,-22.13,4.11,0.28,0.75,3,2024-12,-154.12,2024-11,280.94,481.0,181.6,456.65,weekday,Monday,-273.11,46,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_return_shock_absorption_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)",constructive_but_slice_pressure_needed(건설적이나 구간 압박 필요),not_candidate_selection(후보 선택 아님)
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,return_shock_absorption,rep_volatility_atr,mt5_ta_s262_lih_return_shock_absorption_historical_2024_tier_a_train_era_stress,1117.68,44.49,1073.19,1.574956,1.02,0.554956,305,352,-47.0,17.71,40.13,-22.42,3.32,0.13,0.75,3,2024-12,-217.57,2024-11,362.88,474.04,183.49,460.15,weekday,Monday,-274.62,47,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_return_shock_absorption_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s264_lc,s264_lowrank_control,defensive_control,return_shock_absorption,rep_volatility_atr,mt5_ta_s264_lc_return_shock_absorption_historical_2024_tier_a_train_era_stress,1104.84,71.34,1033.5,1.565862,1.04,0.525862,314,350,-36.0,16.89,37.52,-20.63,3.46,0.23,0.833333,2,2024-12,-230.4,2024-11,305.73,436.2,212.63,456.01,weekday,Monday,-281.69,47,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_return_shock_absorption_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s264_lc,s264_lowrank_control,defensive_control,trend_strength_disagreement,rep_trend_strength_adx,mt5_ta_s264_lc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,1091.82,71.34,1020.48,1.518401,1.04,0.478401,317,350,-33.0,17.62,37.52,-19.9,3.33,0.23,0.75,3,2024-12,-196.9,2024-11,284.06,486.2,187.81,417.81,weekday,Monday,-247.52,48,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_trend_strength_disagreement_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s264_lc,s264_lowrank_control,defensive_control,range_expansion_pressure,rep_volatility_atr,mt5_ta_s264_lc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,1062.29,71.34,990.95,1.556823,1.04,0.516823,309,350,-41.0,17.26,37.52,-20.26,3.33,0.23,0.833333,2,2024-12,-228.89,2024-11,297.34,408.45,218.16,435.68,weekday,Monday,-281.82,47,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_lc_range_expansion_pressure_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,trend_strength_disagreement,rep_trend_strength_adx,mt5_ta_s264_aia_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,1015.1,87.07,928.03,1.488804,1.05,0.438804,314,354,-40.0,19.11,36.9,-17.79,2.94,0.28,0.75,3,2024-12,-220.9,2024-10,273.29,467.5,151.57,396.03,weekday,Monday,-330.16,46,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_trend_strength_disagreement_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍);pf_watch(수익 팩터 관찰),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,trend_strength_disagreement,rep_trend_strength_adx,mt5_ta_s262_lih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,962.36,44.49,917.87,1.52157,1.02,0.50157,300,352,-52.0,17.93,40.13,-22.2,3.1,0.13,0.75,3,2024-12,-202.0,2024-10,265.89,445.09,124.08,393.19,weekday,Monday,-254.3,43,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s262_lih_trend_strength_disagreement_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),needs_pressure_or_prune(추가 압박 또는 가지치기 필요),not_candidate_selection(후보 선택 아님)
s258_stc,s258_short_tight_control,stress_challenger,range_expansion_pressure,abl_price_return_range,mt5_ta_s258_stc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,907.51,102.89,804.62,1.486022,1.05,0.436022,294,378,-84.0,18.03,40.43,-22.4,3.09,0.28,0.75,3,2024-12,-171.15,2024-11,285.75,441.72,79.92,385.87,weekday,Monday,-291.27,42,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_range_expansion_pressure_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍);pf_watch(수익 팩터 관찰),"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)",constructive_but_slice_pressure_needed(건설적이나 구간 압박 필요),not_candidate_selection(후보 선택 아님)
s258_stc,s258_short_tight_control,stress_challenger,return_shock_absorption,abl_price_return_range,mt5_ta_s258_stc_return_shock_absorption_historical_2024_tier_a_train_era_stress,885.68,102.89,782.79,1.477178,1.05,0.427178,298,378,-80.0,17.67,40.43,-22.76,3.14,0.28,0.75,3,2024-12,-164.77,2024-11,292.51,440.85,20.87,423.96,weekday,Monday,-283.01,44,D_fragile,rough_curve_high_dd_or_low_pf,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_return_shock_absorption_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍);pf_watch(수익 팩터 관찰),"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)",constructive_but_slice_pressure_needed(건설적이나 구간 압박 필요),not_candidate_selection(후보 선택 아님)
s264_aih,s264_allow_inner_high_quarter,challenger_core,trend_strength_disagreement,rep_trend_strength_adx,mt5_ta_s264_aih_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,844.71,95.56,749.15,1.548008,1.05,0.498008,280,353,-73.0,15.09,36.68,-21.59,3.72,0.31,0.75,3,2024-12,-98.72,2024-10,201.12,284.29,164.48,395.94,weekday,Monday,-212.63,44,C_watch,survives_but_curve_not_pretty,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aih_trend_strength_disagreement_ta_2024.png,deep_slice_hole(깊은 구간 구멍),"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)",constructive_but_slice_pressure_needed(건설적이나 구간 압박 필요),not_candidate_selection(후보 선택 아님)
