record_view,candidate_alias,candidate_role,guard_variant,guard_family,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-04,28,20.86,1.12231,0.745,0.535714,63.84,11.012783,23,4
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-12,20,23.25,1.170943,1.1625,0.5,78.33,15.666,14,5
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-11,20,73.8,1.664326,3.69,0.6,61.22,12.030814,10,4
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-01,21,90.49,2.657023,4.309048,0.619048,25.43,4.329616,7,3
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-05,18,117.42,2.216535,6.523333,0.666667,33.66,5.872603,4,2
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,month,2024-02,24,201.13,3.264977,8.380417,0.666667,42.65,5.948064,6,3
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,weekday,Monday,52,-181.07,0.55695,-3.482115,0.480769,234.22,43.713257,46,6
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,weekday,Friday,64,53.8,1.156664,0.840625,0.5,120.45,20.893322,37,5
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,weekday,Wednesday,51,100.06,1.334738,1.961961,0.509804,156.41,23.703872,33,10
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,weekday,Tuesday,51,163.91,1.623991,3.213922,0.54902,62.36,9.633715,25,4
mt5_rt_s258_stc_adx2025_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,routed_total,weekday,Thursday,52,185.51,1.870285,3.5675,0.576923,61.5,10.791367,17,4
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_mid,80,-121.23,0.738023,-1.515375,0.45,195.38,34.029435,76,6
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_late,80,35.93,1.110988,0.449125,0.4875,132.9,22.509781,64,6
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_early,80,112.74,1.325791,1.40925,0.5375,97.88,13.979063,28,3
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,16,78,-51.17,0.911677,-0.656026,0.397436,233.35,36.097704,67,6
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,12,3,-51.01,0.0,-17.003333,0.0,51.01,10.202,3,3
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,01,1,-24.47,0.0,-24.47,0.0,24.47,4.894,1,1
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,09,1,-17.47,0.0,-17.47,0.0,17.47,3.494,1,1
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,02,1,-16.13,0.0,-16.13,0.0,16.13,3.226,1,1
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,19,2,-8.54,0.154455,-4.27,0.5,10.1,2.02,2,1
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,17,81,-3.09,0.988562,-0.038148,0.469136,93.34,16.082012,52,6
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,20,2,7.09,5.487342,3.545,0.5,1.58,0.316,1,1
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,21,4,19.01,inf,4.7525,1.0,0.0,0.0,0,0
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,15,1,27.65,inf,27.65,1.0,0.0,0.0,0,0
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,22,4,38.49,2.138421,9.6225,0.5,17.12,3.338,1,1
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,18,62,107.08,1.833632,1.727097,0.645161,40.49,8.044104,23,3
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,direction,buy,83,-44.73,0.831055,-0.538916,0.46988,124.43,21.895511,60,5
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,direction,sell,157,72.17,1.083167,0.459682,0.503185,178.44,26.522786,118,5
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-06,11,-81.14,0.290548,-7.376364,0.181818,83.45,16.613247,10,6
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-03,15,-38.24,0.549482,-2.549333,0.4,44.83,8.959191,12,3
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-09,21,-32.62,0.652757,-1.553333,0.52381,65.84,13.097275,20,3
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-04,24,-27.55,0.809724,-1.147917,0.5,97.88,17.456439,20,3
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-07,26,-23.03,0.819273,-0.885769,0.5,86.12,17.034912,25,3
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-08,26,-16.54,0.857855,-0.636154,0.5,37.5,7.38189,25,3
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-10,27,-12.27,0.888667,-0.454444,0.407407,83.51,14.800702,21,4
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-12,25,5.91,1.055576,0.2364,0.52,72.51,14.502,20,6
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-11,18,16.11,1.190471,0.895,0.444444,40.4,8.08,8,3
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-05,14,59.09,1.889106,4.220714,0.642857,23.11,4.410979,2,2
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-01,17,69.42,3.053846,4.083529,0.647059,18.06,3.075194,5,2
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,month,2024-02,16,108.3,3.19364,6.76875,0.5625,18.45,3.029905,5,3
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,weekday,Monday,49,-125.18,0.543522,-2.554694,0.469388,140.48,27.80736,45,4
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,weekday,Friday,55,-21.59,0.917583,-0.392545,0.472727,112.26,20.761207,47,6
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,weekday,Wednesday,39,-8.21,0.959863,-0.210513,0.435897,129.04,22.820359,30,7
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,weekday,Tuesday,51,1.28,1.004953,0.025098,0.45098,85.45,14.759478,32,7
mt5_rt_s258_stc_dilowq33_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,routed_total,weekday,Thursday,46,181.14,2.358482,3.937826,0.630435,40.26,6.541342,9,4
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,chron_segment,chron_mid,84,-122.85,0.770447,-1.4625,0.452381,230.59,40.597546,75,6
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,chron_segment,chron_late,84,128.35,1.332987,1.527976,0.535714,105.13,18.000479,32,5
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,chron_segment,chron_early,84,237.51,1.624993,2.8275,0.559524,84.35,11.029604,47,4
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,12,3,-59.74,0.0,-19.913333,0.0,59.74,11.948,3,3
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,01,1,-25.5,0.0,-25.5,0.0,25.5,5.1,1,1
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,19,2,-24.01,0.0,-12.005,0.0,24.01,4.802,2,2
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,09,1,-20.23,0.0,-20.23,0.0,20.23,4.046,1,1
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,02,1,-19.8,0.0,-19.8,0.0,19.8,3.96,1,1
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,20,2,8.43,5.988166,4.215,0.5,1.69,0.338,1,1
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,21,2,11.01,inf,5.505,1.0,0.0,0.0,0,0
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,15,1,27.65,inf,27.65,1.0,0.0,0.0,0,0
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,22,4,51.86,2.354754,12.965,0.5,19.62,3.732,1,1
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,16,71,54.3,1.09157,0.764789,0.450704,163.45,24.440025,40,9
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,17,91,106.12,1.331563,1.166154,0.527473,93.17,14.306554,55,5
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,close_hour_utc,18,73,132.92,1.670162,1.820822,0.60274,48.8,9.593458,30,4
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,direction,buy,102,8.54,1.022147,0.083725,0.490196,142.05,22.664901,67,5
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,direction,sell,150,234.47,1.25624,1.563133,0.533333,157.28,22.742127,90,4
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-07,27,-107.49,0.414383,-3.981111,0.37037,155.82,30.737365,26,6
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-03,17,-54.95,0.521633,-3.232353,0.352941,65.61,12.848079,12,4
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-06,11,-50.69,0.588221,-4.608182,0.363636,80.19,15.539794,7,4
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-08,28,1.1,1.008711,0.039286,0.535714,46.47,8.489997,9,3
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-09,25,5.94,1.070271,0.2376,0.56,31.19,6.238,24,3
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-10,24,16.64,1.152787,0.693333,0.416667,64.89,11.278156,19,5
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-12,20,20.61,1.168149,1.0305,0.5,69.86,13.972,14,5
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-04,23,36.42,1.287769,1.583478,0.565217,59.94,10.446148,18,3
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-05,17,57.65,1.633865,3.391176,0.647059,34.45,5.852175,5,2
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-01,19,69.87,2.279436,3.677368,0.578947,25.43,4.329616,7,3
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-11,19,82.42,2.020934,4.337895,0.631579,54.35,10.700083,10,4
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,month,2024-02,22,165.49,2.970588,7.522273,0.636364,40.36,5.808114,6,3
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,weekday,Monday,47,-158.19,0.519749,-3.365745,0.468085,179.39,35.494658,43,6
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,weekday,Friday,61,24.12,1.077145,0.39541,0.47541,105.62,19.401888,36,5
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,weekday,Wednesday,49,84.06,1.310494,1.71551,0.489796,149.86,23.099095,32,10
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,weekday,Tuesday,48,122.17,1.562684,2.545208,0.5625,71.86,11.787864,27,4
mt5_rt_s262_lih_adx2025_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,routed_total,weekday,Thursday,47,170.85,2.000644,3.635106,0.595745,57.69,10.148828,14,4
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_mid,75,-176.01,0.569289,-2.3468,0.453333,183.88,36.776,75,5
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_late,73,30.96,1.106352,0.42411,0.465753,114.99,20.018105,62,6
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,chron_segment,chron_early,75,157.88,1.502355,2.105067,0.546667,97.17,14.148636,24,4
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,12,3,-49.2,0.0,-16.4,0.0,49.2,9.84,3,3
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,16,66,-37.8,0.921503,-0.572727,0.393939,212.38,32.871581,55,7
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,01,1,-23.45,0.0,-23.45,0.0,23.45,4.69,1,1
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,09,1,-16.56,0.0,-16.56,0.0,16.56,3.312,1,1
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,02,1,-16.13,0.0,-16.13,0.0,16.13,3.226,1,1
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,17,79,-10.94,0.957572,-0.138481,0.468354,87.64,15.470432,51,6
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,19,2,-8.62,0.146535,-4.31,0.5,10.1,2.02,2,1
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,20,2,7.13,5.62987,3.565,0.5,1.54,0.308,1,1
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,21,4,18.5,inf,4.625,1.0,0.0,0.0,0,0
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,15,1,27.65,inf,27.65,1.0,0.0,0.0,0,0
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,22,4,39.74,2.220516,9.935,0.5,16.69,3.338,1,1
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,close_hour_utc,18,59,82.51,1.659552,1.398475,0.627119,39.41,7.829542,23,3
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,direction,buy,83,-40.91,0.839329,-0.492892,0.46988,120.35,21.197337,60,5
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,direction,sell,140,53.74,1.070765,0.383857,0.5,191.04,28.883312,118,5
mt5_rt_s262_lih_dilowq33_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,routed_total,month,2024-06,9,-64.95,0.328682,-7.216667,0.222222,67.04,13.352188,8,5
