run_id,trade_index,exit_time,exit_month,entry_hour,side,net_profit_after_cost,balance_after,closed_balance_peak,closed_balance_drawdown_amount,closed_balance_drawdown_percent,hold_m5_calendar,claim_boundary(주장 경계)
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,172,2025-03-13 18:25:00,2025-03,17,long,6.99,406.17,549.62,143.45,26.099851,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,175,2025-03-14 18:35:00,2025-03,17,long,-10.97,407.41,549.62,142.21,25.87424,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,158,2025-03-07 17:30:00,2025-03,16,long,-13.58,412.16,549.62,137.46,25.010007,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,170,2025-03-12 20:25:00,2025-03,19,long,11.36,413.18,549.62,136.44,24.824424,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,159,2025-03-07 18:15:00,2025-03,17,long,3.18,415.34,549.62,134.28,24.431425,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,182,2025-03-17 19:35:00,2025-03,18,long,-1.46,416.77,549.62,132.85,24.171246,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,176,2025-03-14 19:20:00,2025-03,18,long,9.56,416.97,549.62,132.65,24.134857,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,177,2025-03-14 20:05:00,2025-03,19,long,1.16,418.13,549.62,131.49,23.923802,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,181,2025-03-17 18:35:00,2025-03,17,long,-6.22,418.23,549.62,131.39,23.905608,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,174,2025-03-14 17:50:00,2025-03,20,long,20.87,418.38,549.62,131.24,23.878316,254,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,183,2025-03-17 20:20:00,2025-03,19,long,2.61,419.38,549.62,130.24,23.696372,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,160,2025-03-07 20:45:00,2025-03,20,long,5.58,420.92,549.62,128.7,23.416178,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,178,2025-03-14 20:50:00,2025-03,20,long,3.51,421.64,549.62,127.98,23.285179,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,194,2025-03-21 18:45:00,2025-03,18,long,-10.22,422.74,549.62,126.88,23.085041,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364O_review_density_lift_trade_shape_onnx_mt5_runtime_probe_without_db_v1,187,2025-03-19 17:50:00,2025-03,17,long,-6.85,422.91,549.62,126.71,23.05411,8,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
