attempt_name,artifact_slug,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
u42_plain_sp,u42_plain,adx_bucket,adx_lt20,16,44.64,102.79,-58.15,1.76767,2.79,0.625,35.2
c56_bal_sp,c56_bal,trend_regime,downtrend,49,-33.58,205.32,-238.9,0.859439,-0.685306,0.510204,104.81
c56_bal_sp,c56_bal,trend_regime,range_or_weak_trend,21,76.82,128.64,-51.82,2.482439,3.658095,0.666667,29.18
c56_plain_sp,c56_plain,trend_regime,downtrend,52,44.98,221.48,-176.5,1.254844,0.865,0.538462,79.15
c56_plain_sp,c56_plain,trend_regime,range_or_weak_trend,18,120.68,135.18,-14.5,9.322759,6.704444,0.722222,9.73
m48_bal_sp,m48_bal,trend_regime,downtrend,51,39.66,216.62,-176.96,1.224118,0.777647,0.568627,53.99
m48_bal_sp,m48_bal,trend_regime,range_or_weak_trend,20,76.53,132.28,-55.75,2.372735,3.8265,0.7,29.18
m48_plain_sp,m48_plain,trend_regime,downtrend,50,30.62,195.2,-164.58,1.186049,0.6124,0.58,73.38
m48_plain_sp,m48_plain,trend_regime,range_or_weak_trend,19,142.8,155.29,-12.49,12.433147,7.515789,0.789474,9.73
u42_bal_sp,u42_bal,trend_regime,downtrend,52,-93.9,189.95,-283.85,0.669191,-1.805769,0.5,97.49
u42_bal_sp,u42_bal,trend_regime,range_or_weak_trend,18,97.89,125.96,-28.07,4.487353,5.438333,0.722222,17.12
u42_plain_sp,u42_plain,trend_regime,downtrend,56,76.14,242.19,-166.05,1.458537,1.359643,0.642857,92.26
u42_plain_sp,u42_plain,trend_regime,range_or_weak_trend,16,44.64,102.79,-58.15,1.76767,2.79,0.625,35.2
c56_bal_sp,c56_bal,vix_regime,vix_high,24,-20.85,104.43,-125.28,0.833573,-0.86875,0.458333,59.81
c56_bal_sp,c56_bal,vix_regime,vix_low,29,31.85,136.1,-104.25,1.305516,1.098276,0.551724,49.08
c56_bal_sp,c56_bal,vix_regime,vix_mid,17,32.24,93.43,-61.19,1.526883,1.896471,0.705882,49.15
c56_plain_sp,c56_plain,vix_regime,vix_high,22,55.99,114.51,-58.52,1.956767,2.545,0.5,29.55
c56_plain_sp,c56_plain,vix_regime,vix_low,32,131.22,192.57,-61.35,3.138875,4.100625,0.6875,24.52
c56_plain_sp,c56_plain,vix_regime,vix_mid,16,-21.55,49.58,-71.13,0.697034,-1.346875,0.5,34.47
m48_bal_sp,m48_bal,vix_regime,vix_high,24,10.19,101.0,-90.81,1.112212,0.424583,0.583333,43.14
m48_bal_sp,m48_bal,vix_regime,vix_low,29,68.23,158.94,-90.71,1.752177,2.352759,0.62069,25.47
m48_bal_sp,m48_bal,vix_regime,vix_mid,18,37.77,88.96,-51.19,1.737839,2.098333,0.611111,21.82
m48_plain_sp,m48_plain,vix_regime,vix_high,21,41.29,95.04,-53.75,1.768186,1.96619,0.571429,24.78
m48_plain_sp,m48_plain,vix_regime,vix_low,28,106.42,160.16,-53.74,2.980275,3.800714,0.678571,24.52
m48_plain_sp,m48_plain,vix_regime,vix_mid,20,25.71,95.29,-69.58,1.369503,1.2855,0.65,33.36
u42_bal_sp,u42_bal,vix_regime,vix_missing,70,3.99,315.91,-311.92,1.012792,0.057,0.557143,62.75
u42_plain_sp,u42_plain,vix_regime,vix_missing,72,120.78,344.98,-224.2,1.538715,1.6775,0.638889,63.93
c56_bal_sp,c56_bal,vix_change_regime,vix_change_down,36,63.36,188.53,-125.17,1.506192,1.76,0.611111,68.22
c56_bal_sp,c56_bal,vix_change_regime,vix_change_flat,6,26.13,34.08,-7.95,4.286792,4.355,0.666667,7.95
c56_bal_sp,c56_bal,vix_change_regime,vix_change_up,28,-46.25,111.35,-157.6,0.706536,-1.651786,0.464286,68.89
c56_plain_sp,c56_plain,vix_change_regime,vix_change_down,27,40.81,124.7,-83.89,1.48647,1.511481,0.62963,48.05
c56_plain_sp,c56_plain,vix_change_regime,vix_change_flat,15,37.3,61.2,-23.9,2.560669,2.486667,0.533333,9.67
c56_plain_sp,c56_plain,vix_change_regime,vix_change_up,28,87.55,170.76,-83.21,2.052157,3.126786,0.571429,29.64
m48_bal_sp,m48_bal,vix_change_regime,vix_change_down,37,87.89,192.37,-104.48,1.841214,2.375405,0.621622,29.31
m48_bal_sp,m48_bal,vix_change_regime,vix_change_flat,7,40.45,48.45,-8.0,6.05625,5.778571,0.714286,8.0
m48_bal_sp,m48_bal,vix_change_regime,vix_change_up,27,-12.15,108.08,-120.23,0.898944,-0.45,0.555556,40.31
m48_plain_sp,m48_plain,vix_change_regime,vix_change_down,27,-0.24,93.53,-93.77,0.997441,-0.008889,0.555556,48.05
m48_plain_sp,m48_plain,vix_change_regime,vix_change_flat,13,35.12,55.71,-20.59,2.705682,2.701538,0.538462,10.73
m48_plain_sp,m48_plain,vix_change_regime,vix_change_up,29,138.54,201.25,-62.71,3.209217,4.777241,0.758621,28.55
u42_bal_sp,u42_bal,vix_change_regime,vix_change_missing,70,3.99,315.91,-311.92,1.012792,0.057,0.557143,62.75
u42_plain_sp,u42_plain,vix_change_regime,vix_change_missing,72,120.78,344.98,-224.2,1.538715,1.6775,0.638889,63.93
c56_bal_sp,c56_bal,usd_regime,usdx_high,27,-51.0,103.06,-154.06,0.66896,-1.888889,0.444444,65.29
c56_bal_sp,c56_bal,usd_regime,usdx_low,25,64.92,129.48,-64.56,2.005576,2.5968,0.64,22.32
c56_bal_sp,c56_bal,usd_regime,usdx_mid,18,29.32,101.42,-72.1,1.406657,1.628889,0.611111,40.74
