attempt_name,artifact_slug,dimension,proxy_expected_value,mt5_runtime_value,difference_proxy_minus_mt5,difference_status,proxy_source,mt5_source,usable_for_runtime_signal_parity,usable_for_forward_pass_fail,runtime_skip_reason,claim_boundary
u42_bal_rf,u42_bal,feature_ready_count,8012,7805,207,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 06:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,model_ok_count,8012,7805,207,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 06:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,long_count,2902,2846,56,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 06:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,short_count,371,367,4,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 06:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,flat_count,4739,4592,147,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 06:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,feature_ready_count,8012,7805,207,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 06:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,model_ok_count,8012,7805,207,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 06:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,long_count,3310,3235,75,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 06:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,short_count,175,173,2,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 06:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,flat_count,4527,4397,130,mismatch_requires_review,run336M_python_onnx_inference_from_repaired_feature_handoff,run336M_repaired_mt5_runtime_tier_a_telemetry_summary,false,false,feature_csv_timestamp_not_found:2026.05.25 06:55:00,research_development_only_stage336M_live_safe_feature_handoff_repair_probe_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_no_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
