record_type,feature_index,item_index,value,score_short,score_flat,score_long
score,6,31,,0,0,0
cut,7,0,0.5,,,
score,7,0,,0,0,0
score,7,1,,-0.0024815279999121243,0.0081898416601238148,-0.0062259010481032955
score,7,2,,0.020222044703103563,-0.066739260716876234,0.050735050870392172
score,7,3,,0,0,0
cut,8,0,0.11573778837919235,,,
cut,8,1,0.13428172469139099,,,
cut,8,2,0.1466810405254364,,,
cut,8,3,0.15732522308826447,,,
cut,8,4,0.16752584278583527,,,
cut,8,5,0.17667488753795624,,,
cut,8,6,0.18543644994497299,,,
cut,8,7,0.19391041249036789,,,
cut,8,8,0.20243857800960541,,,
cut,8,9,0.21062268316745758,,,
cut,8,10,0.21950586885213852,,,
cut,8,11,0.22749526053667068,,,
cut,8,12,0.23565249145030975,,,
cut,8,13,0.24509747326374054,,,
cut,8,14,0.25446836650371552,,,
cut,8,15,0.26396119594573975,,,
cut,8,16,0.27339528501033783,,,
cut,8,17,0.28355112671852112,,,
cut,8,18,0.29484991729259491,,,
cut,8,19,0.30733641982078552,,,
cut,8,20,0.32130907475948334,,,
cut,8,21,0.33624818921089172,,,
cut,8,22,0.35189360380172729,,,
cut,8,23,0.37119120359420776,,,
cut,8,24,0.39481359720230103,,,
cut,8,25,0.42094326019287109,,,
cut,8,26,0.45710699260234833,,,
cut,8,27,0.5062580406665802,,,
cut,8,28,0.5994078516960144,,,
score,8,0,,0,0,0
score,8,1,,-0.10501203721941543,0.22059653184251282,-0.13902256431036997
score,8,2,,-0.10057371555214036,0.17007643515308285,-0.081800119755154777
score,8,3,,-0.093211235388878919,0.14908621314291043,-0.064715659343256626
score,8,4,,-0.085235140712864213,0.137243402595768,-0.058178865021315244
score,8,5,,-0.067422028019729574,0.12080860255965328,-0.055921587299407736
score,8,6,,-0.058662023507678372,0.10959849398212297,-0.05154128692834254
score,8,7,,-0.045983637808795844,0.092304749925880489,-0.044133430353737749
score,8,8,,-0.044779623745762519,0.090221281325171945,-0.042978817985686139
score,8,9,,-0.043465879030963557,0.085727889120990788,-0.039451691034062257
score,8,10,,-0.02247871763024463,0.042535278986764818,-0.015579943265131464
score,8,11,,-0.011212840586163991,0.017703361923864479,-0.0012350124417701688
score,8,12,,-0.0095711339125485219,0.013362986978243483,0.001579087914411344
score,8,13,,-0.0025912637274554378,0.00033964070892168567,0.007789839069649267
score,8,14,,-0.0025912637274554378,0.00033964070892168567,0.007789839069649267
score,8,15,,0.0042794972622218512,-0.017139955153183846,0.018157135400381795
score,8,16,,0.013173961759330863,-0.033416857949403467,0.025480938793321133
score,8,17,,0.013173961759330863,-0.033416857949403467,0.025480938793321133
score,8,18,,0.023412850319926959,-0.05083173429010146,0.032061581117881092
score,8,19,,0.035477623575514414,-0.068312158505559981,0.036920680517570727
score,8,20,,0.042360119439058111,-0.076210303265500254,0.037548623306690364
score,8,21,,0.046214955629569059,-0.079860133785456588,0.037021973960572288
score,8,22,,0.047622026156411215,-0.079714680435856333,0.035576790095919728
score,8,23,,0.049662587555329978,-0.082770473150615115,0.036197073143137568
score,8,24,,0.050347197663012475,-0.083164631919586701,0.035858844395114567
score,8,25,,0.066933884035821428,-0.090785549382636929,0.026146960816348971
score,8,26,,0.066933884035821428,-0.090785549382636929,0.026146960816348971
score,8,27,,0.075282667006003681,-0.095402928059802702,0.021597820517143547
score,8,28,,0.077507140929281224,-0.10264143527278846,0.024638727457913352
score,8,29,,0.042283462346854782,-0.12342656903612287,0.071165979298405166
score,8,30,,0.038335794764751754,-0.14246579302497953,0.087625900589223829
score,8,31,,0,0,0
cut,9,0,0.33818687498569489,,,
cut,9,1,0.41470518708229065,,,
cut,9,2,0.46602211892604828,,,
cut,9,3,0.50960087776184082,,,
cut,9,4,0.54712480306625366,,,
cut,9,5,0.58075505495071411,,,
cut,9,6,0.61213335394859314,,,
cut,9,7,0.64255747199058533,,,
cut,9,8,0.67197751998901367,,,
cut,9,9,0.70062577724456787,,,
