candidate_id,target_id,model_id,model_instance_id,split,rows,accuracy,balanced_accuracy,macro_f1,pred_short,pred_flat,pred_long,true_short,true_flat,true_long
f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,f17b_firewall_h10_ddq75_contq65,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,train,29222,0.5058859763192115,0.6798938767586321,0.4856407048158377,9027,9957,10238,3307,21818,4097
f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,f17b_firewall_h10_ddq75_contq65,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,validation,9844,0.45875660300690774,0.6491268836059534,0.43948983071489467,3184,3095,3565,1066,7513,1265
f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,f17b_firewall_h10_ddq75_contq65,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__lr_bal__firewall_continuation,oos,7584,0.4253691983122363,0.6625991400809444,0.41703123314597496,2515,2014,3055,798,5856,930
f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,f17b_firewall_h10_ddq75_contq65,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,train,29222,0.386352747929642,0.6914521805841224,0.39838819245131324,11748,4699,12775,3307,21818,4097
f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,f17b_firewall_h10_ddq75_contq65,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,validation,9844,0.3607273466070703,0.6749778029291559,0.3720790930082756,3877,1546,4421,1066,7513,1265
f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,f17b_firewall_h10_ddq75_contq65,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h10_ddq75_contq65__rf_bal__firewall_continuation,oos,7584,0.3391350210970464,0.6672456110530159,0.3527611518312513,2879,1086,3619,798,5856,930
f17b_firewall_h12_ddq80_contq70__lr_plain__firewall_continuation,f17b_firewall_h12_ddq80_contq70,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h12_ddq80_contq70__lr_plain__firewall_continuation,train,29222,0.7614468551091643,0.3634295499859756,0.3548789382916559,420,28273,529,3128,22416,3678
f17b_firewall_h12_ddq80_contq70__lr_plain__firewall_continuation,f17b_firewall_h12_ddq80_contq70,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h12_ddq80_contq70__lr_plain__firewall_continuation,validation,9844,0.7812880942706217,0.37335174920012526,0.3773481158932858,231,9396,217,972,7821,1051
f17b_firewall_h12_ddq80_contq70__lr_plain__firewall_continuation,f17b_firewall_h12_ddq80_contq70,logreg_l2_c0p5_plain_argmax,f17b_f17b_firewall_h12_ddq80_contq70__lr_plain__firewall_continuation,oos,7584,0.7856012658227848,0.3637987266309457,0.36293628420654106,150,7268,166,741,6082,761
f17b_firewall_h12_ddq80_contq70__lr_bal__firewall_continuation,f17b_firewall_h12_ddq80_contq70,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h12_ddq80_contq70__lr_bal__firewall_continuation,train,29222,0.46889329956881803,0.6599053203698748,0.44708694596070814,9271,9480,10471,3128,22416,3678
f17b_firewall_h12_ddq80_contq70__lr_bal__firewall_continuation,f17b_firewall_h12_ddq80_contq70,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h12_ddq80_contq70__lr_bal__firewall_continuation,validation,9844,0.4367127184071516,0.6304088854982496,0.4057198236597352,3145,3185,3514,972,7821,1051
f17b_firewall_h12_ddq80_contq70__lr_bal__firewall_continuation,f17b_firewall_h12_ddq80_contq70,logreg_l2_c0p5_balanced_argmax,f17b_f17b_firewall_h12_ddq80_contq70__lr_bal__firewall_continuation,oos,7584,0.4051951476793249,0.63653864765583,0.3847988899805342,2462,2136,2986,741,6082,761
f17b_firewall_h12_ddq80_contq70__rf_bal__firewall_continuation,f17b_firewall_h12_ddq80_contq70,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h12_ddq80_contq70__rf_bal__firewall_continuation,train,29222,0.3420026007802341,0.6787684584392796,0.3561746615549953,12111,3950,13161,3128,22416,3678
f17b_firewall_h12_ddq80_contq70__rf_bal__firewall_continuation,f17b_firewall_h12_ddq80_contq70,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h12_ddq80_contq70__rf_bal__firewall_continuation,validation,9844,0.30891913856156034,0.6606940845010497,0.3209429966840551,4012,1316,4516,972,7821,1051
f17b_firewall_h12_ddq80_contq70__rf_bal__firewall_continuation,f17b_firewall_h12_ddq80_contq70,rf_depth5_leaf80_balanced_argmax,f17b_f17b_firewall_h12_ddq80_contq70__rf_bal__firewall_continuation,oos,7584,0.29298523206751054,0.6532891518312541,0.30661522949712516,2963,940,3681,741,6082,761
