stage_num,stage_id,candidate_id,split,attempt_name,symbol,period,model,deposit,leverage,optimization,execution_mode,use_local,use_remote,use_cloud,from_date,to_date,report,set_path,set_sha256,ini_path,ini_sha256,fixed_lot,max_positions,max_hold_bars,atr_sltp_enabled,atr_stop_multiplier,atr_take_profit_multiplier,model_backend,feature_count,decision_mode,entry_transition_only,reentry_cooldown,same_direction_reentry_cooldown,spread_identity,commission_identity,slippage_identity,swap_identity,runtime_dd_percent,proxy_dd,dd_basis_read,runtime_dd_gt10,runtime_trade_count,runtime_pf,runtime_net_profit
21,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,f21c_hold2_atr0p8_tp1p6_cd0,validation_is,f66_f21_f21c_hold2_atr0p8_tp1p6_cd0_validation_is,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f21_f21c_hold2_atr0p8_tp1p6_cd0_validation_is,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f21_f21c_hold2_atr0p8_tp1p6_cd0_validation_is.set,1edf3bcf52fd7560780090549314f3177bddf48cb13adeed1ae8a91f55fdd24f,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f21_f21c_hold2_atr0p8_tp1p6_cd0_validation_is.ini,444fe15cdc1970e90c0d552cc03164959737e439ca001d087e6a467d54e4f0ba,0.1,1,2,true,0.8,1.6,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,12.23,2.299607415163074,runtime_breaks_dd10_proxy_under10,true,712,1.1,93.98
21,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,f21c_hold2_atr0p8_tp1p6_cd0,oos,f66_f21_f21c_hold2_atr0p8_tp1p6_cd0_oos,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f21_f21c_hold2_atr0p8_tp1p6_cd0_oos,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f21_f21c_hold2_atr0p8_tp1p6_cd0_oos.set,183d8b64e7377c89e1c238a6736f3869180f24d47f9a3098f28c139c5ecd9ea7,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f21_f21c_hold2_atr0p8_tp1p6_cd0_oos.ini,5181dcec3f91820d80a534c1a76233c90de4de773994fff4c8b87f52658f6d05,0.1,1,2,true,0.8,1.6,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,17.18,3.233934467876509,runtime_breaks_dd10_proxy_under10,true,570,1.01,8.75
22,stage_frontier_22__session_return_shock_pf_source_onnx_scout,f22b_0263__hold2_atr0p8_tp1p6_cd0,validation_is,f66_f22_f22b_0263__hold2_atr0p8_tp1p6_cd0_validation_is,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f22_f22b_0263__hold2_atr0p8_tp1p6_cd0_validation_is,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f22_f22b_0263__hold2_atr0p8_tp1p6_cd0_validation_is.set,42fdf05f5e54aa1b02addbe5ede4d48a81984d3f4856d14ad4047cedc89d2336,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f22_f22b_0263__hold2_atr0p8_tp1p6_cd0_validation_is.ini,d726e4d61c5b66f6a8484b68962e22220494e0a90fb2e823ccf15e64ed72c473,0.1,1,2,true,0.8,1.6,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,13.41,3.641711408480397,runtime_breaks_dd10_proxy_under10,true,715,1.0,1.32
22,stage_frontier_22__session_return_shock_pf_source_onnx_scout,f22b_0263__hold2_atr0p8_tp1p6_cd0,oos,f66_f22_f22b_0263__hold2_atr0p8_tp1p6_cd0_oos,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f22_f22b_0263__hold2_atr0p8_tp1p6_cd0_oos,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f22_f22b_0263__hold2_atr0p8_tp1p6_cd0_oos.set,fd3ce6c8973fe6bb158783d5e447c9bfbdc16f1f319db72325a130430b4b98d0,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f22_f22b_0263__hold2_atr0p8_tp1p6_cd0_oos.ini,11c0ff7d84da8d72f2ef5ac55c5a002c900b788cc69f4bcb1f5fd493b6322901,0.1,1,2,true,0.8,1.6,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,13.38,2.518220471155941,runtime_breaks_dd10_proxy_under10,true,590,1.08,54.01
23,stage_frontier_23__payoff_asymmetry_pf_source_onnx_scout,f23c_0123,validation_is,f66_f23_f23c_0123_validation_is,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f23_f23c_0123_validation_is,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f23_f23c_0123_validation_is.set,82b6117836a641fad81410439de5b7c2d5202aa86d3c4c5550370df54c4632ce,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f23_f23c_0123_validation_is.ini,31ba09535c77316f7e56226bdec00a694d42bcd7c264d04d8d6e02cc5b5c09cc,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,34.44,19.109470684359163,runtime_much_worse_ge10pp,true,313,1.27,311.77
23,stage_frontier_23__payoff_asymmetry_pf_source_onnx_scout,f23c_0123,oos,f66_f23_f23c_0123_oos,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f23_f23c_0123_oos,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f23_f23c_0123_oos.set,d5c090bd06d9c6025dd28257059f5e65e992171de5a6504080834a0076f8d544,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f23_f23c_0123_oos.ini,f55c1b10613ee74eaab6ca6bcc011e270657d55e2098ad3ea6c014e9591c5023,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,60.81,15.316055005069485,runtime_much_worse_ge10pp,true,239,0.81,-203.14
24,stage_frontier_24__density_bridge_payoff_pockets_onnx_scout,f24c_0105,validation_is,f66_f24_f24c_0105_validation_is,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f24_f24c_0105_validation_is,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f24_f24c_0105_validation_is.set,2935cd91d9cf7057bb44b1c84d581ec1de0a12aa5e239b2236378d0fde6e4f41,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f24_f24c_0105_validation_is.ini,e1f0610cae81fa253a04fe263ee5644d91bb05d9de636854b3daf75572e08c04,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,33.95,24.099439971955107,runtime_worse_lt10pp,true,228,1.12,105.99
24,stage_frontier_24__density_bridge_payoff_pockets_onnx_scout,f24c_0105,oos,f66_f24_f24c_0105_oos,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f24_f24c_0105_oos,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f24_f24c_0105_oos.set,3b1da30ce99453b5079adfb5746712ad3eaf659c6220c9c6090347aaf6cb381c,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f24_f24c_0105_oos.ini,3e816a17b30dc5d6c61b6559dc807d9b6ad1dc8f142693b9e284f79a78cc896a,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,15.86,15.570175445040235,near_aligned_within_1pp,true,169,1.15,93.28
25,stage_frontier_25__bridge_archetype_preselection_onnx_scout,f25b_0022,validation_is,f66_f25_f25b_0022_validation_is,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f25_f25b_0022_validation_is,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f25_f25b_0022_validation_is.set,7b1d41e4c19fe3d33acbd591e2ce82b3594619360bfd6692b5f54315aa50e469,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f25_f25b_0022_validation_is.ini,85245f17f89ebabae7048402b3ea2fd743e739e60860a8a7d03dc489eca71fea,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,58.53,20.158838026063506,runtime_much_worse_ge10pp,true,259,1.02,29.51
25,stage_frontier_25__bridge_archetype_preselection_onnx_scout,f25b_0022,oos,f66_f25_f25b_0022_oos,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f25_f25b_0022_oos,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f25_f25b_0022_oos.set,6b9a5088c1c378f8719ea00a81ace6799747ab61e176518ea241bb3d76c7bfd9,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f25_f25b_0022_oos.ini,3f6b9d5841df7ac504f8c172e73126fe27fed03c4e93d087e49487f5cb1a99a3,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,49.49,14.286192116043939,runtime_much_worse_ge10pp,true,190,0.9,-88.32
27,stage_frontier_27__soft_joint_satisfaction_penalty_bridge_union_onnx_scout,f27b_0181,validation_is,f66_f27_f27b_0181_validation_is,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f27_f27b_0181_validation_is,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f27_f27b_0181_validation_is.set,2db29d9a33d7549eaa5beca02970c4bbc226ad6e4dcbefc4ed44b1d29ddba252,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f27_f27b_0181_validation_is.ini,496a0280e69ac897e2d954d2d98a7e767a0aed818abd9d31d66be3dcb275acea,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,46.58,17.83932770445259,runtime_much_worse_ge10pp,true,275,1.11,131.85
27,stage_frontier_27__soft_joint_satisfaction_penalty_bridge_union_onnx_scout,f27b_0181,oos,f66_f27_f27b_0181_oos,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f27_f27b_0181_oos,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f27_f27b_0181_oos.set,5b06e97c1b8c6583f21199de738170a81cb57f0f222ad2e463652ca5a2558312,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f27_f27b_0181_oos.ini,644697771095a4ad660983a6e0c8a0a7ca96e05a1ea364f34f2896bba614a0fe,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,51.63,13.416198605786622,runtime_much_worse_ge10pp,true,208,0.89,-99.72
28,stage_frontier_28__train_only_stability_gap_penalty_for_pf_dd_balance_onnx_scout,f28b_0001,validation_is,f66_f28_f28b_0001_validation_is,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f28_f28b_0001_validation_is,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f28_f28b_0001_validation_is.set,d864298401ef0347c047fb3940889526d3035c3225372a0f2419f6fcf4410d7a,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f28_f28b_0001_validation_is.ini,0df6ee4624fdf5cf5af5055b338b5752c3bb179ecc396efbadf373f07f70035e,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,38.93,20.60442803118513,runtime_much_worse_ge10pp,true,255,1.04,40.93
