stage_num,stage_id,candidate_id,split,proxy_dd,runtime_dd_percent,dd_delta_runtime_minus_proxy,runtime_to_proxy_dd_ratio,proxy_dd_bucket,runtime_dd_bucket,dd_basis_read,proxy_dd_field,proxy_dd_family,runtime_dd_field,metric_fields_used,gap_causes,claim_boundary
21,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,f21c_hold2_atr0p8_tp1p6_cd0,validation_is,2.299607415163074,12.23,9.930392584836927,5.318299079816075,lt10,10_to_20,runtime_breaks_dd10_proxy_under10,validation_dd_risk_percent,risk_percent_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk_percent"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
21,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,f21c_hold2_atr0p8_tp1p6_cd0,oos,3.233934467876509,17.18,13.946065532123491,5.31241438892881,lt10,10_to_20,runtime_breaks_dd10_proxy_under10,oos_dd_risk_percent,risk_percent_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk_percent"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
22,stage_frontier_22__session_return_shock_pf_source_onnx_scout,f22b_0263__hold2_atr0p8_tp1p6_cd0,validation_is,3.641711408480397,13.41,9.768288591519603,3.6823346212366914,lt10,10_to_20,runtime_breaks_dd10_proxy_under10,validation_dd_risk_percent,risk_percent_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk_percent"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
22,stage_frontier_22__session_return_shock_pf_source_onnx_scout,f22b_0263__hold2_atr0p8_tp1p6_cd0,oos,2.518220471155941,13.38,10.86177952884406,5.313275844294193,lt10,10_to_20,runtime_breaks_dd10_proxy_under10,oos_dd_risk_percent,risk_percent_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk_percent"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
23,stage_frontier_23__payoff_asymmetry_pf_source_onnx_scout,f23c_0123,validation_is,19.109470684359163,34.44,15.330529315640835,1.802247721502232,10_to_20,20_to_50,runtime_much_worse_ge10pp,validation_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
23,stage_frontier_23__payoff_asymmetry_pf_source_onnx_scout,f23c_0123,oos,15.316055005069485,60.81,45.493944994930516,3.970343536888083,10_to_20,gte50,runtime_much_worse_ge10pp,oos_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
24,stage_frontier_24__density_bridge_payoff_pockets_onnx_scout,f24c_0105,validation_is,24.099439971955107,33.95,9.850560028044896,1.4087464289422553,20_to_50,20_to_50,runtime_worse_lt10pp,validation_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
24,stage_frontier_24__density_bridge_payoff_pockets_onnx_scout,f24c_0105,oos,15.570175445040235,15.86,0.28982455495976467,1.0186140840854871,10_to_20,10_to_20,near_aligned_within_1pp,oos_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
25,stage_frontier_25__bridge_archetype_preselection_onnx_scout,f25b_0022,validation_is,20.158838026063506,58.53,38.371161973936495,2.9034411568923835,20_to_50,gte50,runtime_much_worse_ge10pp,validation_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
25,stage_frontier_25__bridge_archetype_preselection_onnx_scout,f25b_0022,oos,14.286192116043939,49.49,35.20380788395606,3.464184129542878,10_to_20,20_to_50,runtime_much_worse_ge10pp,oos_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
27,stage_frontier_27__soft_joint_satisfaction_penalty_bridge_union_onnx_scout,f27b_0181,validation_is,17.83932770445259,46.58,28.74067229554741,2.611084945111127,10_to_20,20_to_50,runtime_much_worse_ge10pp,validation_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
27,stage_frontier_27__soft_joint_satisfaction_penalty_bridge_union_onnx_scout,f27b_0181,oos,13.416198605786622,51.63,38.21380139421338,3.8483330127306816,10_to_20,gte50,runtime_much_worse_ge10pp,oos_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
28,stage_frontier_28__train_only_stability_gap_penalty_for_pf_dd_balance_onnx_scout,f28b_0001,validation_is,20.60442803118513,38.93,18.32557196881487,1.8893996931668682,20_to_50,20_to_50,runtime_much_worse_ge10pp,validation_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
28,stage_frontier_28__train_only_stability_gap_penalty_for_pf_dd_balance_onnx_scout,f28b_0001,oos,16.19796537785918,40.4,24.20203462214082,2.494140409462926,10_to_20,20_to_50,runtime_much_worse_ge10pp,oos_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
29,stage_frontier_29__train_only_loss_concentration_veto_for_pf_dd_balance_onnx_scout,f29b_0274,validation_is,11.821000866222564,38.83,27.008999133777436,3.284831837797525,10_to_20,20_to_50,runtime_much_worse_ge10pp,validation_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
29,stage_frontier_29__train_only_loss_concentration_veto_for_pf_dd_balance_onnx_scout,f29b_0274,oos,12.747957596658955,20.12,7.372042403341046,1.5782920399165077,10_to_20,20_to_50,runtime_worse_lt10pp,oos_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
30,stage_frontier_30__train_density_preserving_selector_before_loss_veto_or_exit_shape_pivot_onnx_scout,f30b_0214,validation_is,17.83932770445259,46.58,28.74067229554741,2.611084945111127,10_to_20,20_to_50,runtime_much_worse_ge10pp,validation_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
30,stage_frontier_30__train_density_preserving_selector_before_loss_veto_or_exit_shape_pivot_onnx_scout,f30b_0214,oos,13.416198605786622,51.63,38.21380139421338,3.8483330127306816,10_to_20,gte50,runtime_much_worse_ge10pp,oos_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
31,stage_frontier_31__exit_shape_pivot_for_density_preserved_source_scout_pf_lift_onnx_scout,f31b_0013,validation_is,4.707614901905055,22.93,18.222385098094946,4.870831722178634,lt10,20_to_50,runtime_breaks_dd10_proxy_under10,validation_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
31,stage_frontier_31__exit_shape_pivot_for_density_preserved_source_scout_pf_lift_onnx_scout,f31b_0013,oos,4.811684180485509,30.58,25.76831581951449,6.355363081397086,lt10,20_to_50,runtime_breaks_dd10_proxy_under10,oos_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
