run_id,group_type,group_value,cycle_rows,long_signal_count,short_signal_count,flat_signal_count,order_attempt_count,order_fill_count,time_margin_guard_block_count,claim_boundary
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-09,977,149,1,827,102,102,5,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-10,1301,311,17,973,156,156,1,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-11,1042,354,29,659,164,164,4,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-12,1166,237,11,918,123,123,8,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2026-01,1172,320,14,838,162,162,4,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2026-02,1133,378,31,724,179,179,1,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2026-03,1254,0,4,1250,8,8,0,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2026-04,516,195,1,320,92,92,4,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_quarter,2025Q1,3270,546,46,2678,333,333,9,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_quarter,2025Q2,3597,1018,40,2539,521,521,11,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_quarter,2025Q3,2977,385,6,2586,262,262,12,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_quarter,2025Q4,3509,902,57,2550,443,443,13,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_quarter,2026Q1,3559,698,49,2812,349,349,5,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_quarter,2026Q2,516,195,1,320,92,92,4,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
