entry_month,side,segment_trade_count,segment_trade_per_business_day,segment_net_profit,segment_profit_factor,segment_expectancy,segment_max_drawdown,segment_recovery_factor,segment_long_count,segment_short_count,segment_long_short_balance,segment_business_days,run_id,claim_boundary(주장 경계),review_status
2025-11,short,14,1.0,36.1,1.7316875431,2.5785714286,-30.1,1.1993355482,0,14,0.0,14,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
2026-02,long,70,3.5,55.929,1.2389627813,0.7989857143,-46.81,1.1948088015,70,0,0.0,20,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_but_pf_below_target(PF 목표 미만 양수)
2025-07,short,4,0.1739130435,30.519,5.1806849315,7.62975,-6.65,4.5893233083,0,4,0.0,23,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2026-01,short,7,0.35,28.215,2.6646017699,4.0307142857,-16.95,1.6646017699,0,7,0.0,20,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2025-01,long,68,3.0909090909,16.944,1.0848341019,0.2491764706,-69.368,0.2442624841,68,0,0.0,22,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_but_pf_below_target(PF 목표 미만 양수)
2025-02,long,55,2.75,9.565,1.0566784586,0.1739090909,-65.733,0.1455129083,55,0,0.0,20,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_but_pf_below_target(PF 목표 미만 양수)
2025-07,long,36,1.5652173913,6.684,1.0955198285,0.1856666667,-24.374,0.2742266349,36,0,0.0,23,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_but_pf_below_target(PF 목표 미만 양수)
2025-12,short,4,0.8,6.575,1.3079625293,1.64375,-14.35,0.4581881533,0,4,0.0,5,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2025-01,short,9,0.4090909091,1.686,1.0387256816,0.1873333333,-41.738,0.040394844,0,9,0.0,22,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2025-10,short,10,0.4761904762,0.502,1.0089128775,0.0502,-52.735,0.0095192946,0,10,0.0,21,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_but_pf_below_target(PF 목표 미만 양수)
2025-03,short,7,0.4117647059,-0.137,0.9932512315,-0.0195714286,-16.475,-0.0083156297,0,7,0.0,17,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2025-08,long,41,2.05,-1.357,0.9884324573,-0.033097561,-29.914,-0.045363375,41,0,0.0,20,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,loss_or_pf_drag(손실 또는 PF 끌림)
2026-03,short,8,0.4444444444,-4.225,0.7008849558,-0.528125,-11.375,-0.3714285714,0,8,0.0,18,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2025-08,short,6,0.2857142857,-6.214,0.7704978579,-1.0356666667,-17.526,-0.354558941,0,6,0.0,21,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2025-06,short,1,1.0,-9.1,0.0,-9.1,-9.1,-1.0,0,1,0.0,1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2026-04,short,1,1.0,-9.55,0.0,-9.55,-9.55,-1.0,0,1,0.0,1,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2025-09,long,46,2.1904761905,-19.514,0.8503252132,-0.4242173913,-34.218,-0.5702846455,46,0,0.0,21,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,loss_or_pf_drag(손실 또는 PF 끌림)
2025-05,short,6,0.3333333333,-25.476,0.230634494,-4.246,-25.476,-1.0,0,6,0.0,18,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2025-04,short,16,0.8,-26.535,0.6332209106,-1.6584375,-35.36,-0.7504242081,0,16,0.0,20,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,loss_or_pf_drag(손실 또는 PF 끌림)
2025-09,short,3,0.1666666667,-28.988,0.0,-9.6626666667,-28.988,-1.0,0,3,0.0,18,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,too_sparse_watch(희소 관찰)
2025-12,long,54,2.4545454545,-38.847,0.7477909717,-0.7193888889,-79.286,-0.4899603965,54,0,0.0,22,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,loss_or_pf_drag(손실 또는 PF 끌림)
