direction,horizon,target_atr_mult,stop_atr_mult,context_gate,session_gate,train_rows,train_positive,train_positive_rate,validation_rows,validation_positive,validation_positive_rate,oos_rows,oos_positive,oos_positive_rate
short,6,0.6,0.35,prior_bw_di_release,cash_open_180,1200,386,0.32166666666666666,507,137,0.2702169625246548,414,126,0.30434782608695654
short,6,0.6,0.35,prior_bw_di_release,cash_mid_late,944,361,0.3824152542372881,373,146,0.3914209115281501,210,58,0.2761904761904762
short,6,0.6,0.35,prior_bw_di_release,cash_late_150,441,172,0.3900226757369615,127,46,0.36220472440944884,68,14,0.20588235294117646
short,6,0.6,0.35,repair_rule_score_q70,cash_all,5743,1878,0.3270067908758489,2067,684,0.3309143686502177,1532,495,0.32310704960835507
short,6,0.6,0.35,repair_rule_score_q70,cash_open_180,4319,1352,0.3130354248668673,1479,459,0.3103448275862069,1206,381,0.31592039800995025
short,6,0.6,0.35,repair_rule_score_q70,cash_mid_late,2993,1059,0.353825593050451,1157,417,0.36041486603284356,805,264,0.3279503105590062
short,6,0.6,0.35,repair_rule_score_q70,cash_late_150,795,282,0.35471698113207545,326,115,0.35276073619631904,141,46,0.3262411347517731
short,9,0.8,0.45,prior_bw_downshock,cash_all,1145,430,0.37554585152838427,426,169,0.3967136150234742,380,131,0.3447368421052632
short,9,0.8,0.45,prior_bw_downshock,cash_open_180,760,263,0.3460526315789474,310,110,0.3548387096774194,293,100,0.3412969283276451
short,9,0.8,0.45,prior_bw_downshock,cash_mid_late,562,231,0.4110320284697509,182,90,0.4945054945054945,155,57,0.36774193548387096
short,9,0.8,0.45,prior_bw_downshock,cash_late_150,222,94,0.42342342342342343,53,25,0.4716981132075472,48,17,0.3541666666666667
short,9,0.8,0.45,prior_hv_range_expand,cash_all,1302,471,0.3617511520737327,494,184,0.3724696356275304,434,160,0.3686635944700461
short,9,0.8,0.45,prior_hv_range_expand,cash_open_180,1112,396,0.35611510791366907,420,156,0.37142857142857144,391,135,0.3452685421994885
short,9,0.8,0.45,prior_hv_range_expand,cash_mid_late,707,273,0.38613861386138615,264,108,0.4090909090909091,228,92,0.40350877192982454
short,9,0.8,0.45,prior_hv_range_expand,cash_late_150,83,35,0.42168674698795183,34,12,0.35294117647058826,16,11,0.6875
short,9,0.8,0.45,squeeze_exit_short,cash_all,410,143,0.348780487804878,144,58,0.4027777777777778,151,48,0.31788079470198677
short,9,0.8,0.45,squeeze_exit_short,cash_open_180,273,88,0.32234432234432236,102,34,0.3333333333333333,123,38,0.3089430894308943
short,9,0.8,0.45,squeeze_exit_short,cash_mid_late,189,73,0.3862433862433862,55,27,0.4909090909090909,48,15,0.3125
short,9,0.8,0.45,squeeze_exit_short,cash_late_150,60,19,0.31666666666666665,15,7,0.4666666666666667,14,6,0.42857142857142855
short,9,0.8,0.45,prior_bw_di_release,cash_all,1545,616,0.39870550161812296,572,206,0.36013986013986016,462,160,0.3463203463203463
short,9,0.8,0.45,prior_bw_di_release,cash_open_180,1064,415,0.3900375939849624,397,121,0.3047858942065491,379,133,0.35092348284960423
short,9,0.8,0.45,prior_bw_di_release,cash_mid_late,703,297,0.422475106685633,248,113,0.45564516129032256,151,49,0.32450331125827814
short,9,0.8,0.45,prior_bw_di_release,cash_late_150,282,126,0.44680851063829785,70,31,0.44285714285714284,44,8,0.18181818181818182
short,9,0.8,0.45,repair_rule_score_q70,cash_all,4965,1753,0.35307150050352465,1772,608,0.3431151241534989,1372,483,0.3520408163265306
short,9,0.8,0.45,repair_rule_score_q70,cash_open_180,3919,1344,0.34294462873181936,1330,440,0.3308270676691729,1128,390,0.34574468085106386
short,9,0.8,0.45,repair_rule_score_q70,cash_mid_late,2468,903,0.3658833063209076,950,346,0.3642105263157895,685,241,0.3518248175182482
short,9,0.8,0.45,repair_rule_score_q70,cash_late_150,513,193,0.3762183235867446,215,81,0.3767441860465116,93,31,0.3333333333333333
short,12,1.0,0.55,prior_bw_downshock,cash_all,933,358,0.3837084673097535,332,141,0.4246987951807229,310,115,0.3709677419354839
short,12,1.0,0.55,prior_bw_downshock,cash_open_180,664,242,0.3644578313253012,250,98,0.392,254,92,0.36220472440944884
short,12,1.0,0.55,prior_bw_downshock,cash_mid_late,421,176,0.4180522565320665,128,64,0.5,106,45,0.42452830188679247
short,12,1.0,0.55,prior_bw_downshock,cash_late_150,131,53,0.40458015267175573,30,13,0.43333333333333335,25,10,0.4
short,12,1.0,0.55,prior_hv_range_expand,cash_all,1161,417,0.35917312661498707,449,179,0.3986636971046771,386,151,0.3911917098445596
short,12,1.0,0.55,prior_hv_range_expand,cash_open_180,1019,358,0.35132482826300293,389,153,0.39331619537275064,352,133,0.3778409090909091
short,12,1.0,0.55,prior_hv_range_expand,cash_mid_late,613,235,0.3833605220228385,242,99,0.4090909090909091,194,85,0.4381443298969072
short,12,1.0,0.55,prior_hv_range_expand,cash_late_150,43,18,0.4186046511627907,23,11,0.4782608695652174,9,5,0.5555555555555556
short,12,1.0,0.55,squeeze_exit_short,cash_all,363,123,0.33884297520661155,115,50,0.43478260869565216,140,47,0.3357142857142857
short,12,1.0,0.55,squeeze_exit_short,cash_open_180,254,83,0.32677165354330706,84,33,0.39285714285714285,118,40,0.3389830508474576
short,12,1.0,0.55,squeeze_exit_short,cash_mid_late,152,56,0.3684210526315789,44,21,0.4772727272727273,42,13,0.30952380952380953
short,12,1.0,0.55,squeeze_exit_short,cash_late_150,40,8,0.2,7,2,0.2857142857142857,10,4,0.4
short,12,1.0,0.55,prior_bw_di_release,cash_all,1300,546,0.42,474,190,0.4008438818565401,405,151,0.3728395061728395
short,12,1.0,0.55,prior_bw_di_release,cash_open_180,957,401,0.41901776384535006,337,120,0.3560830860534125,343,132,0.3848396501457726
short,12,1.0,0.55,prior_bw_di_release,cash_mid_late,538,236,0.43866171003717475,191,98,0.5130890052356021,117,40,0.3418803418803419
short,12,1.0,0.55,prior_bw_di_release,cash_late_150,169,72,0.4260355029585799,45,19,0.4222222222222222,25,5,0.2
short,12,1.0,0.55,repair_rule_score_q70,cash_all,4365,1589,0.3640320733104238,1565,558,0.35654952076677315,1212,448,0.3696369636963696
short,12,1.0,0.55,repair_rule_score_q70,cash_open_180,3585,1270,0.3542538354253835,1206,422,0.34991708126036486,1030,384,0.37281553398058254
short,12,1.0,0.55,repair_rule_score_q70,cash_mid_late,2086,782,0.37488015340364333,821,298,0.3629719853836784,570,205,0.35964912280701755
short,12,1.0,0.55,repair_rule_score_q70,cash_late_150,300,114,0.38,141,49,0.3475177304964539,46,13,0.2826086956521739
