rule_id,split,month,trade_count,trade_share,net_profit,net_profit_share,profit_factor
exclude_vol_high,validation,2025-05,8,0.111111,48.08,0.277326,2.644885
exclude_vol_high,validation,2025-06,14,0.194444,23.1,0.133241,1.515855
exclude_vol_high,validation,2025-07,12,0.166667,22.7,0.130934,1.816253
exclude_vol_high,validation,2025-08,8,0.111111,-18.47,-0.106535,0.634691
exclude_vol_high,validation,2025-09,14,0.194444,78.87,0.454923,3.50779
exclude_vol_high_or_adx_20_25,oos,2025-10,11,0.34375,73.51,0.937388,2.506661
exclude_vol_high_or_adx_20_25,oos,2025-11,1,0.03125,23.34,0.297628,
exclude_vol_high_or_adx_20_25,oos,2025-12,6,0.1875,-4.69,-0.059806,0.801691
exclude_vol_high_or_adx_20_25,oos,2026-01,8,0.25,-9.47,-0.12076,0.789836
exclude_vol_high_or_adx_20_25,oos,2026-02,1,0.03125,13.6,0.173425,
exclude_vol_high_or_adx_20_25,oos,2026-03,2,0.0625,-11.68,-0.148942,0.241558
exclude_vol_high_or_adx_20_25,oos,2026-04,3,0.09375,-6.19,-0.078934,0.485453
exclude_vol_high_or_adx_20_25,validation,2025-01,6,0.101695,38.82,0.183711,1.917948
exclude_vol_high_or_adx_20_25,validation,2025-02,5,0.084746,-5.07,-0.023993,0.797443
exclude_vol_high_or_adx_20_25,validation,2025-03,2,0.033898,1.92,0.009086,2.010526
exclude_vol_high_or_adx_20_25,validation,2025-05,7,0.118644,46.05,0.217926,2.575436
exclude_vol_high_or_adx_20_25,validation,2025-06,13,0.220339,27.85,0.131797,1.695728
exclude_vol_high_or_adx_20_25,validation,2025-07,11,0.186441,11.89,0.056268,1.427544
exclude_vol_high_or_adx_20_25,validation,2025-08,5,0.084746,11.26,0.053287,1.720871
exclude_vol_high_or_adx_20_25,validation,2025-09,10,0.169492,78.59,0.371918,6.851824
keep_downtrend,oos,2025-10,6,0.1875,18.96,0.423309,2.962733
keep_downtrend,oos,2025-11,2,0.0625,1.14,0.025452,1.038514
keep_downtrend,oos,2025-12,8,0.25,0.05,0.001116,1.00199
keep_downtrend,oos,2026-01,5,0.15625,24.99,0.557937,
keep_downtrend,oos,2026-02,1,0.03125,30.48,0.680509,
keep_downtrend,oos,2026-03,5,0.15625,-37.62,-0.83992,0.403709
keep_downtrend,oos,2026-04,5,0.15625,6.79,0.151596,1.327703
keep_downtrend,validation,2025-01,1,0.020833,-4.65,-0.041719,0.0
keep_downtrend,validation,2025-02,7,0.145833,-7.6,-0.068186,0.724238
keep_downtrend,validation,2025-03,3,0.0625,-12.13,-0.108828,0.239498
keep_downtrend,validation,2025-05,6,0.125,78.02,0.699982,
keep_downtrend,validation,2025-06,7,0.145833,3.01,0.027005,1.266608
keep_downtrend,validation,2025-07,9,0.1875,21.71,0.194778,2.262944
keep_downtrend,validation,2025-08,5,0.104167,-6.08,-0.054549,0.840042
keep_downtrend,validation,2025-09,10,0.208333,39.18,0.351516,2.302527
keep_late_or_adx_gt25,oos,2025-10,9,0.272727,111.41,0.99128,12.533126
keep_late_or_adx_gt25,oos,2025-11,2,0.060606,54.08,0.481182,
keep_late_or_adx_gt25,oos,2025-12,8,0.242424,-9.25,-0.082303,0.672102
keep_late_or_adx_gt25,oos,2026-01,4,0.121212,-0.19,-0.001691,0.990495
keep_late_or_adx_gt25,oos,2026-02,1,0.030303,13.6,0.121007,
keep_late_or_adx_gt25,oos,2026-03,5,0.151515,-42.38,-0.37708,0.375387
keep_late_or_adx_gt25,oos,2026-04,4,0.121212,-14.88,-0.132396,0.281853
keep_late_or_adx_gt25,validation,2025-01,4,0.081633,28.32,0.214806,2.783375
keep_late_or_adx_gt25,validation,2025-02,5,0.102041,-5.07,-0.038456,0.797443
keep_late_or_adx_gt25,validation,2025-03,3,0.061224,-12.13,-0.092005,0.239498
keep_late_or_adx_gt25,validation,2025-05,5,0.102041,75.99,0.57638,
keep_late_or_adx_gt25,validation,2025-06,8,0.163265,-22.53,-0.170889,0.38827
keep_late_or_adx_gt25,validation,2025-07,12,0.244898,22.96,0.17415,1.825602
keep_late_or_adx_gt25,validation,2025-08,4,0.081633,5.07,0.038456,1.188757
keep_late_or_adx_gt25,validation,2025-09,8,0.163265,39.23,0.297558,3.921072
keep_late_or_vol_mid,oos,2025-10,5,0.192308,111.28,0.728606,
keep_late_or_vol_mid,oos,2025-11,3,0.115385,24.48,0.160283,1.827027
keep_late_or_vol_mid,oos,2025-12,5,0.192308,1.33,0.008708,1.098811
keep_late_or_vol_mid,oos,2026-01,5,0.192308,-6.4,-0.041904,0.717813
keep_late_or_vol_mid,oos,2026-02,2,0.076923,44.08,0.288614,
keep_late_or_vol_mid,oos,2026-03,4,0.153846,-35.02,-0.229294,0.421061
keep_late_or_vol_mid,oos,2026-04,2,0.076923,12.98,0.084987,2.493671
keep_late_or_vol_mid,validation,2025-01,5,0.125,65.23,0.364903,5.107683
keep_late_or_vol_mid,validation,2025-02,3,0.075,14.59,0.081618,16.197917
keep_late_or_vol_mid,validation,2025-03,2,0.05,-15.95,-0.089226,0.0
keep_late_or_vol_mid,validation,2025-05,4,0.1,62.53,0.349799,6.121212
keep_late_or_vol_mid,validation,2025-06,8,0.2,-22.32,-0.12486,0.46743
keep_late_or_vol_mid,validation,2025-07,5,0.125,16.07,0.089897,2.513183
keep_late_or_vol_mid,validation,2025-08,5,0.125,-3.31,-0.018516,0.906073
keep_late_or_vol_mid,validation,2025-09,8,0.2,61.92,0.346386,5.683812
keep_late_session_only,oos,2025-10,5,0.3125,111.28,1.134584,
keep_late_session_only,oos,2025-11,2,0.125,54.08,0.551387,
keep_late_session_only,oos,2025-12,3,0.1875,-13.46,-0.137235,0.0
keep_late_session_only,oos,2026-01,1,0.0625,-19.99,-0.203813,0.0
keep_late_session_only,oos,2026-02,1,0.0625,13.6,0.138662,
keep_late_session_only,oos,2026-03,3,0.1875,-38.74,-0.394984,0.359564
keep_late_session_only,oos,2026-04,1,0.0625,-8.69,-0.088601,0.0
keep_late_session_only,validation,2025-01,3,0.130435,32.97,0.529553,3.935886
keep_late_session_only,validation,2025-02,1,0.043478,9.04,0.145198,
keep_late_session_only,validation,2025-03,2,0.086957,-15.95,-0.256184,0.0
keep_late_session_only,validation,2025-06,5,0.217391,-24.43,-0.392387,0.280624
keep_late_session_only,validation,2025-07,4,0.173913,12.06,0.193704,2.135593
keep_late_session_only,validation,2025-08,3,0.130435,8.14,0.130742,1.342161
keep_late_session_only,validation,2025-09,5,0.217391,40.43,0.649374,30.510949
keep_vol_mid_or_late_not_adx_20_25,oos,2025-10,4,0.25,109.44,0.851408,
keep_vol_mid_or_late_not_adx_20_25,oos,2025-11,1,0.0625,23.34,0.181578,
keep_vol_mid_or_late_not_adx_20_25,oos,2025-12,4,0.25,2.16,0.016804,1.171021
keep_vol_mid_or_late_not_adx_20_25,oos,2026-01,4,0.25,-8.32,-0.064727,0.633157
keep_vol_mid_or_late_not_adx_20_25,oos,2026-02,1,0.0625,13.6,0.105804,
keep_vol_mid_or_late_not_adx_20_25,oos,2026-03,2,0.125,-11.68,-0.090867,0.241558
keep_vol_mid_or_late_not_adx_20_25,validation,2025-01,5,0.16129,65.23,0.290324,5.107683
keep_vol_mid_or_late_not_adx_20_25,validation,2025-02,2,0.064516,15.55,0.06921,
keep_vol_mid_or_late_not_adx_20_25,validation,2025-03,1,0.032258,-1.9,-0.008456,0.0
keep_vol_mid_or_late_not_adx_20_25,validation,2025-05,4,0.129032,62.53,0.278307,6.121212
keep_vol_mid_or_late_not_adx_20_25,validation,2025-06,7,0.225806,-17.57,-0.0782,0.52718
keep_vol_mid_or_late_not_adx_20_25,validation,2025-07,4,0.129032,5.26,0.023411,1.495292
keep_vol_mid_or_late_not_adx_20_25,validation,2025-08,2,0.064516,26.42,0.117589,89.066667
keep_vol_mid_or_late_not_adx_20_25,validation,2025-09,6,0.193548,69.16,0.307816,51.481752
