source_scope,runtime_source,artifact_slug,candidate_id,view_id,direction,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown,net_share_of_source_view,direction_judgment,claim_boundary
score_proxy_old_session_parity,score_proxy_not_mt5,m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,short,32,-24.56,121.9,146.46,0.8323091629,-0.7675,0.40625,64.235,-0.1716702198,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,long,36,167.625,211.935,44.31,4.7830060934,4.65625,0.7777777778,17.225,1.1716702198,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,raw_forward,long,274,150.04,694.48,544.44,1.2755859232,0.5475912409,0.5583941606,79.9,1.2157847824,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,raw_forward,short,25,-26.63,70.185,96.815,0.7249393173,-1.0652,0.48,45.025,-0.2157847824,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,old_session_parity,long,53,218.375,288.025,69.65,4.1353194544,4.1202830189,0.6981132075,14.375,0.9262990456,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,old_session_parity,short,17,17.375,83.25,65.875,1.2637571157,1.0220588235,0.4705882353,31.15,0.0737009544,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,u42_bal,us100_technical42_no_external__l2_balanced_c025,raw_forward,long,258,166.21,627.265,461.055,1.3604992897,0.6442248062,0.5426356589,77.175,1.7826040326,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,u42_bal,us100_technical42_no_external__l2_balanced_c025,raw_forward,short,48,-72.97,168.95,241.92,0.6983713624,-1.5202083333,0.4791666667,98.52,-0.7826040326,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,u42_bal,us100_technical42_no_external__l2_balanced_c025,old_session_parity,long,31,121.885,165.82,43.935,3.7742119039,3.9317741935,0.7419354839,15.925,1.4504938712,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,u42_bal,us100_technical42_no_external__l2_balanced_c025,old_session_parity,short,31,-37.855,115.54,153.395,0.7532188142,-1.2211290323,0.4516129032,61.905,-0.4504938712,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,u42_plain,us100_technical42_no_external__l2_plain_c025,raw_forward,long,294,193.375,743.8,550.425,1.351319435,0.6577380952,0.5714285714,64.335,1.543604071,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,u42_plain,us100_technical42_no_external__l2_plain_c025,raw_forward,short,28,-68.1,65.7,133.8,0.4910313901,-2.4321428571,0.4285714286,71.725,-0.543604071,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,u42_plain,us100_technical42_no_external__l2_plain_c025,old_session_parity,long,56,158.31,289.095,130.785,2.2104599151,2.8269642857,0.6785714286,42.55,1.0776718856,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,u42_plain,us100_technical42_no_external__l2_plain_c025,old_session_parity,short,15,-11.41,53.8,65.21,0.8250268364,-0.7606666667,0.4,31.56,-0.0776718856,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,sell,29,-63.97,121.98,185.95,0.6559827911,-2.205862069,0.4137931034,68.4,-1.4794172063,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,buy,41,107.21,211.98,104.77,2.0232891095,2.6148780488,0.6585365854,40.99,2.4794172063,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,buy,55,155.51,287.22,131.71,2.1807000228,2.8274545455,0.6,38.91,0.9387299288,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,sell,15,10.15,69.44,59.29,1.1711924439,0.6766666667,0.5333333333,28.55,0.0612700712,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,sell,31,-29.18,123.04,152.22,0.8083037709,-0.9412903226,0.4516129032,56.23,-0.2511403735,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,old_session_parity,buy,40,145.37,225.86,80.49,2.806062865,3.63425,0.725,32.93,1.2511403735,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,old_session_parity,buy,54,171.13,288.91,117.78,2.4529631516,3.1690740741,0.6666666667,36.45,0.986795064,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,m48_plain,macro48_no_equity_breadth_or_top3__l2_plain_c025,old_session_parity,sell,15,2.29,61.58,59.29,1.0386237139,0.1526666667,0.5333333333,28.55,0.013204936,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,u42_bal,us100_technical42_no_external__l2_balanced_c025,old_session_parity,buy,38,81.75,193.89,112.14,1.728999465,2.1513157895,0.6842105263,31.15,20.4887218045,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,u42_bal,us100_technical42_no_external__l2_balanced_c025,old_session_parity,sell,32,-77.76,122.02,199.78,0.610771849,-2.43,0.40625,77.76,-19.4887218045,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,u42_plain,us100_technical42_no_external__l2_plain_c025,old_session_parity,buy,57,140.98,286.89,145.91,1.9662120485,2.4733333333,0.6666666667,40.25,1.1672462328,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,mt5_session_reference_not_raw_forward,u42_plain,us100_technical42_no_external__l2_plain_c025,old_session_parity,sell,15,-20.2,58.09,78.29,0.7419849278,-1.3466666667,0.5333333333,52.6,-0.1672462328,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
