record_view,candidate_alias,candidate_role,diagnostic_variant,diagnostic_label,tier_scope,route_role,base_net_profit,p0_net_profit,net_profit_delta,base_pf,p0_pf,pf_delta,base_trade_count,p0_trade_count,trade_count_delta,base_dd_percent,p0_dd_percent,dd_percent_delta,base_recovery,p0_recovery,recovery_delta,diagnostic_read
mt5_ta_s264_aih_lateblk_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,lateblk,late-session block(후반 세션 차단),Tier A,tier_only_total,95.56,231.42,135.86,1.05,1.14,0.09,353,308,-45,36.68,22.94,-13.74,0.31,1.15,0.84,consistent_dd_repair_clue_with_moderate_trade_cost_session_feature_candidate(중간 거래 비용으로 손실폭을 줄인 세션 피처 후보)
mt5_rt_s264_aih_lateblk_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,lateblk,late-session block(후반 세션 차단),Tier A+B,routed_total,95.56,231.42,135.86,1.05,1.14,0.09,353,308,-45,36.68,22.94,-13.74,0.31,1.15,0.84,consistent_dd_repair_clue_with_moderate_trade_cost_session_feature_candidate(중간 거래 비용으로 손실폭을 줄인 세션 피처 후보)
mt5_ta_s264_lc_lateblk_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,lateblk,late-session block(후반 세션 차단),Tier A,tier_only_total,71.34,207.8,136.46,1.04,1.13,0.09,350,305,-45,37.52,22.87,-14.65,0.23,1.08,0.85,consistent_dd_repair_clue_with_moderate_trade_cost_session_feature_candidate(중간 거래 비용으로 손실폭을 줄인 세션 피처 후보)
mt5_rt_s264_lc_lateblk_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,lateblk,late-session block(후반 세션 차단),Tier A+B,routed_total,71.34,207.8,136.46,1.04,1.13,0.09,350,305,-45,37.52,22.87,-14.65,0.23,1.08,0.85,consistent_dd_repair_clue_with_moderate_trade_cost_session_feature_candidate(중간 거래 비용으로 손실폭을 줄인 세션 피처 후보)
mt5_ta_s262_lih_lateblk_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,lateblk,late-session block(후반 세션 차단),Tier A,tier_only_total,44.49,172.83,128.34,1.02,1.11,0.09,352,307,-45,40.13,25.78,-14.35,0.13,0.86,0.73,consistent_dd_repair_clue_with_moderate_trade_cost_session_feature_candidate(중간 거래 비용으로 손실폭을 줄인 세션 피처 후보)
mt5_rt_s262_lih_lateblk_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,lateblk,late-session block(후반 세션 차단),Tier A+B,routed_total,44.49,172.83,128.34,1.02,1.11,0.09,352,307,-45,40.13,25.78,-14.35,0.13,0.86,0.73,consistent_dd_repair_clue_with_moderate_trade_cost_session_feature_candidate(중간 거래 비용으로 손실폭을 줄인 세션 피처 후보)
mt5_ta_s264_aia_lateblk_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,lateblk,late-session block(후반 세션 차단),Tier A,tier_only_total,87.07,222.17,135.1,1.05,1.14,0.09,354,309,-45,36.9,22.96,-13.94,0.28,1.12,0.84,consistent_dd_repair_clue_with_moderate_trade_cost_session_feature_candidate(중간 거래 비용으로 손실폭을 줄인 세션 피처 후보)
mt5_rt_s264_aia_lateblk_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,lateblk,late-session block(후반 세션 차단),Tier A+B,routed_total,87.07,222.17,135.1,1.05,1.14,0.09,354,309,-45,36.9,22.96,-13.94,0.28,1.12,0.84,consistent_dd_repair_clue_with_moderate_trade_cost_session_feature_candidate(중간 거래 비용으로 손실폭을 줄인 세션 피처 후보)
mt5_ta_s258_stc_lateblk_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,lateblk,late-session block(후반 세션 차단),Tier A,tier_only_total,102.89,230.24,127.35,1.05,1.13,0.08,378,328,-50,40.43,26.48,-13.95,0.28,1.01,0.73,consistent_dd_repair_clue_with_moderate_trade_cost_session_feature_candidate(중간 거래 비용으로 손실폭을 줄인 세션 피처 후보)
mt5_rt_s258_stc_lateblk_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,lateblk,late-session block(후반 세션 차단),Tier A+B,routed_total,102.89,230.24,127.35,1.05,1.13,0.08,378,328,-50,40.43,26.48,-13.95,0.28,1.01,0.73,consistent_dd_repair_clue_with_moderate_trade_cost_session_feature_candidate(중간 거래 비용으로 손실폭을 줄인 세션 피처 후보)
mt5_ta_s264_aih_vollowblk_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,vollowblk,vol-low block(낮은 변동성 차단),Tier A,tier_only_total,95.56,436.26,340.7,1.05,1.35,0.3,353,257,-96,36.68,16.31,-20.37,0.31,3.44,3.13,strong_numeric_but_hard_block_high_trade_removal_requires_soft_feature_engineering(숫자는 강하지만 강제 차단과 거래 제거가 커서 소프트 피처 엔지니어링 필요)
mt5_rt_s264_aih_vollowblk_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,vollowblk,vol-low block(낮은 변동성 차단),Tier A+B,routed_total,95.56,436.26,340.7,1.05,1.35,0.3,353,257,-96,36.68,16.31,-20.37,0.31,3.44,3.13,strong_numeric_but_hard_block_high_trade_removal_requires_soft_feature_engineering(숫자는 강하지만 강제 차단과 거래 제거가 커서 소프트 피처 엔지니어링 필요)
mt5_ta_s264_lc_vollowblk_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,vollowblk,vol-low block(낮은 변동성 차단),Tier A,tier_only_total,71.34,416.59,345.25,1.04,1.34,0.3,350,255,-95,37.52,17.77,-19.75,0.23,3.01,2.78,strong_numeric_but_hard_block_high_trade_removal_requires_soft_feature_engineering(숫자는 강하지만 강제 차단과 거래 제거가 커서 소프트 피처 엔지니어링 필요)
mt5_rt_s264_lc_vollowblk_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,vollowblk,vol-low block(낮은 변동성 차단),Tier A+B,routed_total,71.34,416.59,345.25,1.04,1.34,0.3,350,255,-95,37.52,17.77,-19.75,0.23,3.01,2.78,strong_numeric_but_hard_block_high_trade_removal_requires_soft_feature_engineering(숫자는 강하지만 강제 차단과 거래 제거가 커서 소프트 피처 엔지니어링 필요)
mt5_ta_s262_lih_vollowblk_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,vollowblk,vol-low block(낮은 변동성 차단),Tier A,tier_only_total,44.49,416.59,372.1,1.02,1.34,0.32,352,255,-97,40.13,17.77,-22.36,0.13,3.01,2.88,strong_numeric_but_hard_block_high_trade_removal_requires_soft_feature_engineering(숫자는 강하지만 강제 차단과 거래 제거가 커서 소프트 피처 엔지니어링 필요)
mt5_rt_s262_lih_vollowblk_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,vollowblk,vol-low block(낮은 변동성 차단),Tier A+B,routed_total,44.49,416.59,372.1,1.02,1.34,0.32,352,255,-97,40.13,17.77,-22.36,0.13,3.01,2.88,strong_numeric_but_hard_block_high_trade_removal_requires_soft_feature_engineering(숫자는 강하지만 강제 차단과 거래 제거가 커서 소프트 피처 엔지니어링 필요)
mt5_ta_s264_aia_vollowblk_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,vollowblk,vol-low block(낮은 변동성 차단),Tier A,tier_only_total,87.07,436.26,349.19,1.05,1.35,0.3,354,257,-97,36.9,16.31,-20.59,0.28,3.44,3.16,strong_numeric_but_hard_block_high_trade_removal_requires_soft_feature_engineering(숫자는 강하지만 강제 차단과 거래 제거가 커서 소프트 피처 엔지니어링 필요)
mt5_rt_s264_aia_vollowblk_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,vollowblk,vol-low block(낮은 변동성 차단),Tier A+B,routed_total,87.07,436.26,349.19,1.05,1.35,0.3,354,257,-97,36.9,16.31,-20.59,0.28,3.44,3.16,strong_numeric_but_hard_block_high_trade_removal_requires_soft_feature_engineering(숫자는 강하지만 강제 차단과 거래 제거가 커서 소프트 피처 엔지니어링 필요)
mt5_ta_s258_stc_vollowblk_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,vollowblk,vol-low block(낮은 변동성 차단),Tier A,tier_only_total,102.89,459.04,356.15,1.05,1.34,0.29,378,270,-108,40.43,21.38,-19.05,0.28,2.61,2.33,strong_numeric_but_hard_block_high_trade_removal_requires_soft_feature_engineering(숫자는 강하지만 강제 차단과 거래 제거가 커서 소프트 피처 엔지니어링 필요)
mt5_rt_s258_stc_vollowblk_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,vollowblk,vol-low block(낮은 변동성 차단),Tier A+B,routed_total,102.89,459.04,356.15,1.05,1.34,0.29,378,270,-108,40.43,21.38,-19.05,0.28,2.61,2.33,strong_numeric_but_hard_block_high_trade_removal_requires_soft_feature_engineering(숫자는 강하지만 강제 차단과 거래 제거가 커서 소프트 피처 엔지니어링 필요)
