trade_id,source,trade_index,side,entry_time,exit_time,entry_hour,entry_month,entry_quarter,pnl,p_short,p_flat,p_long,margin_vs_opposite,margin_vs_flat,claim_boundary,displaced_by
parent_0011,parent_kept(부모 유지),11,long,2025-01-03T18:25:00,2025-01-03T18:55:00,18,2025-01,2025Q1,8.63,0.345202893,0.2731438279,0.3816533685,0.03645047549999997,0.10850954059999995,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0012,parent_kept(부모 유지),12,long,2025-01-03T19:00:00,2025-01-03T19:30:00,19,2025-01,2025Q1,-1.61,0.3211489916,0.3245929778,0.3542579114,0.033108919800000025,0.0296649336,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0013,parent_kept(부모 유지),13,long,2025-01-03T19:35:00,2025-01-03T20:10:00,19,2025-01,2025Q1,1.19,0.3407499492,0.3118654191,0.3473846316,0.0066346823999999804,0.03551921250000001,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0014,parent_kept(부모 유지),14,long,2025-01-03T20:25:00,2025-01-03T20:55:00,20,2025-01,2025Q1,4.63,0.2996404171,0.349663347,0.3506962061,0.05105578900000002,0.0010328591000000054,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0015,parent_kept(부모 유지),15,long,2025-01-03T21:05:00,2025-01-03T21:40:00,21,2025-01,2025Q1,3.32,0.3043551445,0.3422448039,0.3534000218,0.04904487730000001,0.011155217900000014,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0016,parent_kept(부모 유지),16,long,2025-01-06T16:50:00,2025-01-06T17:25:00,16,2025-01,2025Q1,2.82,0.3741960227,0.242121309,0.3836826086,0.009486585899999955,0.14156129959999997,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0017,parent_kept(부모 유지),17,long,2025-01-06T17:30:00,2025-01-06T18:05:00,17,2025-01,2025Q1,-0.02,0.3250966966,0.3074910045,0.3674122393,0.042315542699999986,0.0599212348,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0018,parent_kept(부모 유지),18,long,2025-01-06T18:15:00,2025-01-06T19:00:00,18,2025-01,2025Q1,-2.55,0.2936471403,0.3498857319,0.356467098,0.06281995769999998,0.006581366099999986,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0019,parent_kept(부모 유지),19,long,2025-01-06T19:20:00,2025-01-06T20:00:00,19,2025-01,2025Q1,-3.95,0.3376401365,0.301507622,0.3608522117,0.02321207519999996,0.059344589700000006,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0020,parent_kept(부모 유지),20,long,2025-01-06T20:20:00,2025-01-06T20:50:00,20,2025-01,2025Q1,-5.08,0.3497267067,0.29996714,0.3503060639,0.0005793572000000191,0.0503389239,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0021,parent_kept(부모 유지),21,long,2025-01-07T16:40:00,2025-01-07T17:10:00,16,2025-01,2025Q1,-13.58,0.3521354496,0.2951333225,0.3527312279,0.0005957783000000161,0.05759790539999998,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
bm04_short_router_ps0440_h17_20_overlay_fixed6__syn0003,synthetic_fixed6_short_proxy(합성 고정6봉 숏 프록시),,short,2025-01-07T17:25:00,2025-01-07T17:55:00,17,2025-01,2025Q1,11.53,0.4495256841,0.1815479249,0.3689264357,0.0805992484,0.2679777592,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0023,parent_kept(부모 유지),23,long,2025-01-07T18:05:00,2025-01-07T18:35:00,18,2025-01,2025Q1,-3.27,0.3958392441,0.2066691369,0.3974915743,0.0016523301999999962,0.1908224374,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0024,parent_kept(부모 유지),24,long,2025-01-07T18:45:00,2025-01-07T19:15:00,18,2025-01,2025Q1,-3.96,0.3587136269,0.2395471632,0.4017391503,0.04302552339999999,0.16219198710000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0025,parent_kept(부모 유지),25,long,2025-01-08T16:40:00,2025-01-08T17:10:00,16,2025-01,2025Q1,4.89,0.3766064048,0.2453249842,0.3780685663,0.0014621615000000032,0.1327435821,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0026,parent_kept(부모 유지),26,long,2025-01-08T17:15:00,2025-01-08T17:45:00,17,2025-01,2025Q1,6.26,0.3855528533,0.2051607668,0.4092864096,0.023733556300000014,0.2041256428,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0027,parent_kept(부모 유지),27,long,2025-01-08T18:00:00,2025-01-08T18:30:00,18,2025-01,2025Q1,-2.28,0.3668827116,0.2469615191,0.3861558735,0.019273161900000002,0.13919435440000003,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0028,parent_kept(부모 유지),28,long,2025-01-08T18:35:00,2025-01-08T19:05:00,18,2025-01,2025Q1,-1.47,0.3720215261,0.2493482977,0.3786303401,0.006608814000000018,0.12928204240000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
bm04_short_router_ps0440_h17_20_overlay_fixed6__syn0004,synthetic_fixed6_short_proxy(합성 고정6봉 숏 프록시),,short,2025-01-08T19:35:00,2025-01-08T20:05:00,19,2025-01,2025Q1,-11.245,0.4498614371,0.1878269166,0.362311542,0.0875498951,0.2620345205,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0029,parent_kept(부모 유지),29,long,2025-01-08T20:10:00,2025-01-08T20:40:00,20,2025-01,2025Q1,6.56,0.3670604527,0.2622946501,0.3706448376,0.003584384900000015,0.10835018749999997,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0030,parent_kept(부모 유지),30,long,2025-01-08T20:45:00,2025-01-08T21:15:00,20,2025-01,2025Q1,-4.96,0.3461306691,0.2953845263,0.3584847748,0.012354105700000007,0.06310024850000001,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0031,parent_kept(부모 유지),31,long,2025-01-08T21:30:00,2025-01-08T22:00:00,21,2025-01,2025Q1,-8.15,0.3594577014,0.280584842,0.3599574864,0.0004997850000000303,0.07937264440000003,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0032,parent_kept(부모 유지),32,short,2025-01-10T17:10:00,2025-01-10T17:40:00,17,2025-01,2025Q1,-17.23,0.459002763,0.139440462,0.4015567005,0.057446062500000006,0.319562301,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
bm04_short_router_ps0440_h17_20_overlay_fixed6__syn0005,synthetic_fixed6_short_proxy(합성 고정6봉 숏 프록시),,short,2025-01-10T18:05:00,2025-01-10T18:35:00,18,2025-01,2025Q1,2.755,0.4401957691,0.1767524183,0.3830517828,0.0571439863,0.2634433508,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0034,parent_kept(부모 유지),34,short,2025-01-10T19:05:00,2025-01-10T19:35:00,19,2025-01,2025Q1,-7.43,0.4584659636,0.1725255549,0.3690085709,0.08945739270000003,0.28594040870000004,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0035,parent_kept(부모 유지),35,long,2025-01-13T17:20:00,2025-01-13T17:50:00,17,2025-01,2025Q1,9.12,0.3706609011,0.2465239018,0.3828153014,0.012154400299999979,0.13629139959999997,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0036,parent_kept(부모 유지),36,long,2025-01-13T18:05:00,2025-01-13T18:35:00,18,2025-01,2025Q1,-1.2,0.3851775527,0.2289916277,0.3858308494,0.0006532967000000278,0.1568392217,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0037,parent_kept(부모 유지),37,long,2025-01-13T18:50:00,2025-01-13T19:25:00,18,2025-01,2025Q1,3.77,0.3789629936,0.2379266024,0.3831104636,0.0041474699999999864,0.14518386120000001,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0038,parent_kept(부모 유지),38,long,2025-01-13T20:05:00,2025-01-13T20:40:00,20,2025-01,2025Q1,0.98,0.3648883402,0.2630713582,0.3720403612,0.007152021000000008,0.10896900300000001,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0039,parent_kept(부모 유지),39,long,2025-01-13T20:50:00,2025-01-13T21:20:00,20,2025-01,2025Q1,-6.55,0.3499847054,0.2932033539,0.3568119705,0.006827265100000035,0.0636086166,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0040,parent_kept(부모 유지),40,long,2025-01-13T21:55:00,2025-01-14T16:55:00,21,2025-01,2025Q1,12.72,0.3576884568,0.2816541493,0.3606574535,0.002968996700000004,0.07900330420000001,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0041,parent_kept(부모 유지),41,long,2025-01-14T17:05:00,2025-01-14T17:35:00,17,2025-01,2025Q1,-2.31,0.4015122354,0.1947540641,0.4037338793,0.0022216439000000143,0.20897981519999997,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0042,parent_kept(부모 유지),42,long,2025-01-14T17:50:00,2025-01-14T18:20:00,17,2025-01,2025Q1,-6.95,0.3671633899,0.2223552614,0.4104813039,0.04331791399999996,0.18812604249999998,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0043,parent_kept(부모 유지),43,long,2025-01-14T20:15:00,2025-01-14T20:50:00,20,2025-01,2025Q1,10.96,0.3473523855,0.3003506064,0.3522970974,0.004944711899999954,0.051946490999999984,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0044,parent_kept(부모 유지),44,long,2025-01-14T20:55:00,2025-01-14T21:30:00,20,2025-01,2025Q1,-2.15,0.3282937407,0.3282198012,0.3434863985,0.015192657800000009,0.015266597300000018,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0045,parent_kept(부모 유지),45,long,2025-01-15T17:50:00,2025-01-15T18:20:00,17,2025-01,2025Q1,-0.68,0.3400117457,0.2670286298,0.3929596245,0.052947878800000014,0.12593099470000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0046,parent_kept(부모 유지),46,long,2025-01-15T18:25:00,2025-01-15T18:55:00,18,2025-01,2025Q1,-7.23,0.3578334749,0.2677315772,0.374435097,0.01660162209999999,0.10670351979999998,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0047,parent_kept(부모 유지),47,long,2025-01-15T19:15:00,2025-01-15T19:45:00,19,2025-01,2025Q1,4.38,0.3468447924,0.3027466238,0.3504085243,0.0035637319000000334,0.04766190050000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0048,parent_kept(부모 유지),48,long,2025-01-15T19:50:00,2025-01-15T20:25:00,19,2025-01,2025Q1,0.89,0.3193327487,0.3376668394,0.3430003226,0.023667573900000016,0.005333483200000044,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0049,parent_kept(부모 유지),49,long,2025-01-16T17:35:00,2025-01-16T18:15:00,17,2025-01,2025Q1,6.56,0.374835223,0.2206027806,0.4045619965,0.029726773500000025,0.18395921590000003,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0050,parent_kept(부모 유지),50,long,2025-01-16T18:20:00,2025-01-16T18:50:00,18,2025-01,2025Q1,-5.66,0.368057996,0.2423704118,0.3895716965,0.02151370050000001,0.14720128470000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0051,parent_kept(부모 유지),51,long,2025-01-16T18:55:00,2025-01-16T19:25:00,18,2025-01,2025Q1,3.14,0.3524714112,0.2891387939,0.358389765,0.0059183538000000535,0.0692509711,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0052,parent_kept(부모 유지),52,long,2025-01-16T19:30:00,2025-01-16T20:00:00,19,2025-01,2025Q1,-3.65,0.3423861861,0.3074131608,0.3502005637,0.007814377600000033,0.04278740290000005,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0053,parent_kept(부모 유지),53,long,2025-01-16T21:40:00,2025-01-17T16:45:00,21,2025-01,2025Q1,16.15,0.3334207535,0.3319928646,0.3345863819,0.0011656284000000072,0.0025935173000000145,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0054,parent_kept(부모 유지),54,long,2025-01-17T17:30:00,2025-01-17T18:35:00,17,2025-01,2025Q1,6.42,0.3816989362,0.1981161833,0.4201849997,0.0384860635,0.2220688164,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0055,parent_kept(부모 유지),55,long,2025-01-17T18:40:00,2025-01-17T19:15:00,18,2025-01,2025Q1,-1.66,0.3521245718,0.2603153288,0.3875601292,0.035435557399999984,0.12724480039999997,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0056,parent_kept(부모 유지),56,long,2025-01-17T21:25:00,2025-01-21T16:55:00,21,2025-01,2025Q1,-3.94,0.3261048198,0.3278157115,0.3460795879,0.019974768099999984,0.01826387639999999,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
bm04_short_router_ps0440_h17_20_overlay_fixed6__syn0006,synthetic_fixed6_short_proxy(합성 고정6봉 숏 프록시),,short,2025-01-21T17:00:00,2025-01-21T17:30:00,17,2025-01,2025Q1,-0.907,0.4474393427,0.1641198695,0.3884408176,0.0589985251,0.2833194732,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0058,parent_kept(부모 유지),58,long,2025-01-21T17:30:00,2025-01-21T18:10:00,17,2025-01,2025Q1,0.84,0.3663269579,0.2663918138,0.3672811389,0.0009541809999999984,0.10088932510000004,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0059,parent_kept(부모 유지),59,long,2025-01-21T18:15:00,2025-01-21T19:05:00,18,2025-01,2025Q1,1.89,0.3522859514,0.2844210565,0.3632929325,0.01100698109999998,0.07887187600000001,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0060,parent_kept(부모 유지),60,long,2025-01-21T19:10:00,2025-01-21T21:05:00,19,2025-01,2025Q1,8.31,0.3333312869,0.3206600845,0.3460086584,0.012677371499999979,0.025348573900000004,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0061,parent_kept(부모 유지),61,long,2025-01-22T16:45:00,2025-01-22T17:35:00,16,2025-01,2025Q1,6.53,0.347083807,0.2926411331,0.3602750599,0.013191252900000006,0.06763392680000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0062,parent_kept(부모 유지),62,long,2025-01-22T18:00:00,2025-01-22T18:50:00,18,2025-01,2025Q1,6.47,0.3053970039,0.3389033675,0.3556996882,0.050302684299999956,0.016796320699999978,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0063,parent_kept(부모 유지),63,long,2025-01-22T20:25:00,2025-01-22T21:20:00,20,2025-01,2025Q1,0.44,0.3235704303,0.3157842457,0.3606454134,0.037074983100000014,0.04486116769999998,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0064,parent_kept(부모 유지),64,long,2025-01-24T17:05:00,2025-01-24T18:20:00,17,2025-01,2025Q1,-3.46,0.3379741013,0.3205493689,0.341476649,0.003502547700000025,0.0209272801,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0065,parent_kept(부모 유지),65,long,2025-01-24T20:00:00,2025-01-24T20:55:00,20,2025-01,2025Q1,-4.31,0.3304040432,0.3331895471,0.3364064693,0.006002426100000013,0.0032169222000000275,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0066,parent_kept(부모 유지),66,long,2025-01-27T16:45:00,2025-01-27T17:15:00,16,2025-01,2025Q1,1.67,0.3871693313,0.2209575474,0.3918730617,0.00470373040000005,0.17091551430000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0067,parent_kept(부모 유지),67,long,2025-01-27T17:20:00,2025-01-27T17:50:00,17,2025-01,2025Q1,12.01,0.3674999475,0.2461096048,0.3863904476,0.01889050010000004,0.14028084280000003,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0068,parent_kept(부모 유지),68,long,2025-01-27T18:00:00,2025-01-27T18:30:00,18,2025-01,2025Q1,-10.25,0.3733094335,0.2454288453,0.3812617362,0.007952302699999969,0.13583289089999998,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0069,parent_kept(부모 유지),69,short,2025-01-27T19:00:00,2025-01-27T19:30:00,19,2025-01,2025Q1,-1.8,0.4532673657,0.1721332371,0.3745993674,0.07866799829999999,0.2811341286,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0070,parent_kept(부모 유지),70,long,2025-01-28T17:00:00,2025-01-28T17:30:00,17,2025-01,2025Q1,18.07,0.379632026,0.2339431494,0.3864247799,0.006792753900000004,0.15248163050000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0071,parent_kept(부모 유지),71,long,2025-01-28T17:35:00,2025-01-28T18:05:00,17,2025-01,2025Q1,2.13,0.3654204607,0.247377038,0.3872025013,0.021782040599999997,0.1398254633,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0072,parent_kept(부모 유지),72,long,2025-01-28T18:10:00,2025-01-28T18:40:00,18,2025-01,2025Q1,-1.8,0.371606499,0.2439151704,0.3844783008,0.012871801800000027,0.1405631304,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0073,parent_kept(부모 유지),73,long,2025-01-28T18:45:00,2025-01-28T19:20:00,18,2025-01,2025Q1,12.48,0.3614298403,0.271340996,0.3672292233,0.005799382999999991,0.09588822730000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0074,parent_kept(부모 유지),74,long,2025-01-28T19:25:00,2025-01-28T20:10:00,19,2025-01,2025Q1,0.66,0.3280466497,0.310192734,0.3617604673,0.03371381759999997,0.051567733299999974,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0075,parent_kept(부모 유지),75,long,2025-01-28T20:30:00,2025-01-28T21:05:00,20,2025-01,2025Q1,-2.77,0.3075181544,0.3376236856,0.35485816,0.04734000559999996,0.017234474399999977,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
