run_id,segment_type,segment_id,business_days,net_profit,profit_factor,expectancy,trade_count,trade_density_per_business_day,gross_profit,gross_loss,closed_drawdown_amount,closed_drawdown_percent,recovery_factor,win_rate_percent,long_trade_count,short_trade_count,long_share,short_share,claim_boundary
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-07,23,9.23,1.1305626653,0.2638,35,1.5217391304,79.95,70.717,29.637,5.7006289792,0.3115362554,51.4285714286,33,2,0.9428571429,0.0571428571,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-08,21,10.8,1.1045971224,0.2348478261,46,2.1904761905,114.085,103.282,26.247,5.1609922036,0.411589896,43.4782608696,41,5,0.8913043478,0.1086956522,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-09,21,36.89,1.3736844771,0.6960754717,53,2.5238095238,135.617,98.725,26.553,5.0888288392,1.389372199,45.2830188679,50,3,0.9433962264,0.0566037736,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-10,23,54.64,1.2751589983,0.6916835443,79,3.4347826087,253.23,198.587,38.177,6.6842335639,1.4313068078,56.9620253165,70,9,0.8860759494,0.1139240506,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-11,18,240.37,2.1932398086,2.8278941176,85,4.7222222222,441.815,201.444,35.89,5.9083732959,6.6974366119,60.0,71,14,0.8352941176,0.1647058824,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-12,22,-23.37,0.8652576719,-0.3651875,64,2.9090909091,150.085,173.457,68.502,13.442571479,-0.3411871186,51.5625,56,8,0.875,0.125,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2026-01,21,40.88,1.2342442993,0.4925903614,83,3.9523809524,215.425,174.54,52.755,10.3107593081,0.7749976306,46.9879518072,75,8,0.9036144578,0.0963855422,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2026-02,20,143.88,1.6259053834,1.5470967742,93,4.65,373.755,229.875,41.22,7.3300198277,3.4905385735,61.2903225806,77,16,0.8279569892,0.1720430108,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2026-03,18,15.28,3.9785575049,1.528,10,0.5555555556,20.41,5.13,3.21,0.6357190953,4.7601246106,70.0,0,10,0.0,1.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2026-04,9,8.09,1.0736056774,0.1758695652,46,5.1111111111,118.0,109.91,60.42,11.3520216444,0.1338960609,54.347826087,45,1,0.9782608696,0.0217391304,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour,16,332,29.87,1.0691979799,0.2315503876,129,0.3885542169,461.53,431.66,70.99,12.7549616821,0.4207634878,54.2635658915,129,0,1.0,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour,17,333,241.47,1.3423626776,0.786534202,307,0.9219219219,946.759,705.293,98.715,16.3764586437,2.4460922859,54.7231270358,250,57,0.8143322476,0.1856677524,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour,18,333,24.55,1.041266672,0.1040423729,236,0.7087087087,619.562,595.008,98.32,18.4953526476,0.2497355574,50.4237288136,195,41,0.8262711864,0.1737288136,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour,19,333,-21.32,0.9455444659,-0.1450136054,147,0.4414414414,370.14,391.457,94.86,19.227923664,-0.2247206409,51.0204081633,118,29,0.8027210884,0.1972789116,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour,20,332,207.4,1.8046338218,1.607751938,129,0.3885542169,465.157,257.757,55.882,7.7827156917,3.7113918614,53.488372093,112,17,0.8682170543,0.1317829457,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour,21,330,293.88,2.1919691746,3.3395454545,88,0.2666666667,540.43,246.55,34.42,5.1509186352,8.5380592679,51.1363636364,81,7,0.9204545455,0.0795454545,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,entry_hour,22,276,191.91,9.2719827586,15.9925,12,0.0434782609,215.11,23.2,19.39,3.7988323342,9.8973697782,75.0,12,0,1.0,0.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
