queue_id,candidate_alias,test_id,split,rows,class_counts,missing_feature_cells
run267W_09_s264_lc_rep_volatility_atr,s264_lc,rep_volatility_atr,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_09_s264_lc_rep_volatility_atr,s264_lc,rep_volatility_atr,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_09_s264_lc_rep_volatility_atr,s264_lc,rep_volatility_atr,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_10_s262_lih_abl_gate_rank_bucket,s262_lih,abl_gate_rank_bucket,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_10_s262_lih_abl_gate_rank_bucket,s262_lih,abl_gate_rank_bucket,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_10_s262_lih_abl_gate_rank_bucket,s262_lih,abl_gate_rank_bucket,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_10_s262_lih_abl_gate_rank_bucket,s262_lih,abl_gate_rank_bucket,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_11_s262_lih_abl_ma_trend,s262_lih,abl_ma_trend,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_11_s262_lih_abl_ma_trend,s262_lih,abl_ma_trend,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_11_s262_lih_abl_ma_trend,s262_lih,abl_ma_trend,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_11_s262_lih_abl_ma_trend,s262_lih,abl_ma_trend,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_12_s262_lih_abl_trend_strength_direction,s262_lih,abl_trend_strength_direction,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_12_s262_lih_abl_trend_strength_direction,s262_lih,abl_trend_strength_direction,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_12_s262_lih_abl_trend_strength_direction,s262_lih,abl_trend_strength_direction,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_12_s262_lih_abl_trend_strength_direction,s262_lih,abl_trend_strength_direction,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_13_s262_lih_rep_trend_strength_adx,s262_lih,rep_trend_strength_adx,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_13_s262_lih_rep_trend_strength_adx,s262_lih,rep_trend_strength_adx,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_13_s262_lih_rep_trend_strength_adx,s262_lih,rep_trend_strength_adx,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_13_s262_lih_rep_trend_strength_adx,s262_lih,rep_trend_strength_adx,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_14_s262_lih_rep_volatility_atr,s262_lih,rep_volatility_atr,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_14_s262_lih_rep_volatility_atr,s262_lih,rep_volatility_atr,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_14_s262_lih_rep_volatility_atr,s262_lih,rep_volatility_atr,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_14_s262_lih_rep_volatility_atr,s262_lih,rep_volatility_atr,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_15_s264_aia_abl_volatility_bandwidth,s264_aia,abl_volatility_bandwidth,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_15_s264_aia_abl_volatility_bandwidth,s264_aia,abl_volatility_bandwidth,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_15_s264_aia_abl_volatility_bandwidth,s264_aia,abl_volatility_bandwidth,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_15_s264_aia_abl_volatility_bandwidth,s264_aia,abl_volatility_bandwidth,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_16_s264_aia_abl_trend_strength_direction,s264_aia,abl_trend_strength_direction,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_16_s264_aia_abl_trend_strength_direction,s264_aia,abl_trend_strength_direction,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_16_s264_aia_abl_trend_strength_direction,s264_aia,abl_trend_strength_direction,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_16_s264_aia_abl_trend_strength_direction,s264_aia,abl_trend_strength_direction,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_17_s264_aia_abl_session_timing,s264_aia,abl_session_timing,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_17_s264_aia_abl_session_timing,s264_aia,abl_session_timing,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_17_s264_aia_abl_session_timing,s264_aia,abl_session_timing,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_17_s264_aia_abl_session_timing,s264_aia,abl_session_timing,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_18_s264_aia_rep_trend_strength_adx,s264_aia,rep_trend_strength_adx,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_18_s264_aia_rep_trend_strength_adx,s264_aia,rep_trend_strength_adx,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_18_s264_aia_rep_trend_strength_adx,s264_aia,rep_trend_strength_adx,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_18_s264_aia_rep_trend_strength_adx,s264_aia,rep_trend_strength_adx,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_19_s264_aia_rep_volatility_atr,s264_aia,rep_volatility_atr,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_19_s264_aia_rep_volatility_atr,s264_aia,rep_volatility_atr,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_19_s264_aia_rep_volatility_atr,s264_aia,rep_volatility_atr,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_19_s264_aia_rep_volatility_atr,s264_aia,rep_volatility_atr,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_20_s258_stc_abl_price_return_range,s258_stc,abl_price_return_range,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_20_s258_stc_abl_price_return_range,s258_stc,abl_price_return_range,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_20_s258_stc_abl_price_return_range,s258_stc,abl_price_return_range,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_20_s258_stc_abl_price_return_range,s258_stc,abl_price_return_range,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_21_s258_stc_abl_volatility_bandwidth,s258_stc,abl_volatility_bandwidth,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_21_s258_stc_abl_volatility_bandwidth,s258_stc,abl_volatility_bandwidth,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_21_s258_stc_abl_volatility_bandwidth,s258_stc,abl_volatility_bandwidth,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_21_s258_stc_abl_volatility_bandwidth,s258_stc,abl_volatility_bandwidth,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_22_s258_stc_abl_trend_strength_direction,s258_stc,abl_trend_strength_direction,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_22_s258_stc_abl_trend_strength_direction,s258_stc,abl_trend_strength_direction,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_22_s258_stc_abl_trend_strength_direction,s258_stc,abl_trend_strength_direction,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_22_s258_stc_abl_trend_strength_direction,s258_stc,abl_trend_strength_direction,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_23_s258_stc_abl_session_timing,s258_stc,abl_session_timing,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_23_s258_stc_abl_session_timing,s258_stc,abl_session_timing,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_23_s258_stc_abl_session_timing,s258_stc,abl_session_timing,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_23_s258_stc_abl_session_timing,s258_stc,abl_session_timing,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_24_s258_stc_rep_trend_strength_adx,s258_stc,rep_trend_strength_adx,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_24_s258_stc_rep_trend_strength_adx,s258_stc,rep_trend_strength_adx,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_24_s258_stc_rep_trend_strength_adx,s258_stc,rep_trend_strength_adx,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_24_s258_stc_rep_trend_strength_adx,s258_stc,rep_trend_strength_adx,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
