attempt_name,artifact_slug,role,horizon_id,cost_level,net_profit_after_cost,profit_factor_after_cost,expectancy_after_cost,max_drawdown_after_cost,survives_pf_gt_1,stress_boundary
c56_bal_rf,c56_bal,negative_control_high_pressure,full_forward,0.0,1.45,1.004247,0.019333,106.45,True,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,first_half,3.0,-129.13,0.36732,-4.611786,143.4,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,first_half,5.0,-185.13,0.248996,-6.611786,191.4,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,second_half,0.0,46.58,1.238468,0.991064,89.02,True,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,second_half,0.25,34.83,1.17408,0.741064,90.52,True,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,second_half,0.5,23.08,1.112679,0.491064,92.02,True,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,second_half,1.0,-0.42,0.99804,-0.008936,95.02,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,second_half,2.0,-47.42,0.796769,-1.008936,106.07,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,second_half,3.0,-94.42,0.628998,-2.008936,130.2,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,second_half,5.0,-188.42,0.381824,-4.008936,196.8,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-04,0.0,-47.62,0.674103,-1.763704,106.45,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-04,0.25,-54.37,0.638425,-2.013704,109.2,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-04,0.5,-61.12,0.604913,-2.263704,111.95,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-04,1.0,-74.62,0.545028,-2.763704,117.45,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-04,2.0,-101.62,0.446484,-3.763704,128.45,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-04,3.0,-128.62,0.36824,-4.763704,143.4,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-04,5.0,-182.62,0.251557,-6.763704,191.4,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-05,0.0,49.07,1.251216,1.022292,89.02,True,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-05,0.25,37.07,1.185276,0.772292,90.52,True,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-05,0.5,25.07,1.122394,0.522292,92.02,True,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-05,1.0,1.07,1.004992,0.022292,95.02,True,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-05,2.0,-46.93,0.798869,-0.977708,106.07,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-05,3.0,-94.93,0.62774,-1.977708,130.2,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,month_2026-05,5.0,-190.93,0.378706,-3.977708,196.8,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,worst_pocket_c56_bal_rf,0.0,-66.07,0.534325,-3.3035,89.02,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,worst_pocket_c56_bal_rf,0.25,-71.07,0.510301,-3.5535,90.52,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,worst_pocket_c56_bal_rf,0.5,-76.07,0.48733,-3.8035,92.02,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,worst_pocket_c56_bal_rf,1.0,-86.07,0.444279,-4.3035,95.02,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,worst_pocket_c56_bal_rf,2.0,-106.07,0.36818,-5.3035,106.07,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,worst_pocket_c56_bal_rf,3.0,-126.07,0.305782,-6.3035,126.07,False,synthetic round-trip account-currency cost; no retuning
c56_bal_rf,c56_bal,negative_control_high_pressure,worst_pocket_c56_bal_rf,5.0,-166.07,0.21517,-8.3035,166.07,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,full_forward,0.0,57.84,1.080692,0.208809,133.91,True,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,full_forward,0.25,-11.41,0.984815,-0.041191,158.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,full_forward,0.5,-80.66,0.89756,-0.291191,183.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,full_forward,1.0,-219.16,0.745648,-0.791191,251.82,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,full_forward,2.0,-496.16,0.515672,-1.791191,514.87,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,full_forward,3.0,-773.16,0.358304,-2.791191,787.7,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,full_forward,5.0,-1327.16,0.175057,-4.791191,1334.85,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,first_half,0.0,-84.42,0.721616,-0.7035,133.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,first_half,0.25,-114.42,0.641564,-0.9535,158.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,first_half,0.5,-144.42,0.569923,-1.2035,183.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,first_half,1.0,-204.42,0.44726,-1.7035,233.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,first_half,2.0,-324.42,0.272144,-2.7035,336.71,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,first_half,3.0,-444.42,0.167457,-3.7035,444.42,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,first_half,5.0,-684.42,0.070423,-5.7035,684.42,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,second_half,0.0,142.26,1.343997,0.906115,48.47,True,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,second_half,0.25,103.01,1.238339,0.656115,56.22,True,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,second_half,0.5,63.76,1.14119,0.406115,63.97,True,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,second_half,1.0,-14.74,0.970029,-0.093885,86.72,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,second_half,2.0,-171.74,0.703237,-1.093885,203.97,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,second_half,3.0,-328.74,0.510118,-2.093885,343.28,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,second_half,5.0,-642.74,0.263352,-4.093885,650.43,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-04,0.0,-79.83,0.730459,-0.694174,133.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-04,0.25,-108.58,0.651025,-0.944174,158.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-04,0.5,-137.33,0.579671,-1.194174,183.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-04,1.0,-194.83,0.45692,-1.694174,233.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-04,2.0,-309.83,0.280536,-2.694174,336.71,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-04,3.0,-424.83,0.173836,-3.694174,442.54,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-04,5.0,-654.83,0.073371,-5.694174,663.61,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-05,0.0,137.67,1.327295,0.849815,48.47,True,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-05,0.25,97.17,1.2207,0.599815,56.22,True,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-05,0.5,56.67,1.123016,0.349815,63.97,True,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-05,1.0,-24.33,0.95162,-0.150185,86.72,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-05,2.0,-186.33,0.686202,-1.150185,204.87,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-05,3.0,-348.33,0.495649,-2.150185,362.87,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,month_2026-05,5.0,-672.33,0.254714,-4.150185,680.02,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,worst_pocket_m48_bal_rf,0.0,-79.99,0.285931,-3.9995,90.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,worst_pocket_m48_bal_rf,0.25,-84.99,0.262688,-4.2495,94.66,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,worst_pocket_m48_bal_rf,0.5,-89.99,0.240719,-4.4995,98.41,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,worst_pocket_m48_bal_rf,1.0,-99.99,0.200208,-4.9995,105.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,worst_pocket_m48_bal_rf,2.0,-119.99,0.134521,-5.9995,120.91,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,worst_pocket_m48_bal_rf,3.0,-139.99,0.099163,-6.9995,139.99,False,synthetic round-trip account-currency cost; no retuning
m48_bal_rf,m48_bal,negative_control_high_pressure,worst_pocket_m48_bal_rf,5.0,-179.99,0.058285,-8.9995,179.99,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,full_forward,0.0,8.66,1.010544,0.026811,158.45,True,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,full_forward,0.25,-72.09,0.916263,-0.223189,190.52,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,full_forward,0.5,-152.84,0.830507,-0.473189,228.75,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,full_forward,1.0,-314.34,0.682058,-0.973189,362.54,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,full_forward,2.0,-637.34,0.460261,-1.973189,658.29,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,full_forward,3.0,-960.34,0.31316,-2.973189,972.23,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,full_forward,5.0,-1606.34,0.147016,-4.973189,1612.23,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,first_half,0.0,-114.91,0.691782,-0.792483,158.45,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,first_half,0.25,-151.16,0.614535,-1.042483,187.2,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,first_half,0.5,-187.41,0.545607,-1.292483,220.21,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,first_half,1.0,-259.91,0.429396,-1.792483,286.71,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,first_half,2.0,-404.91,0.264869,-2.792483,419.71,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,first_half,3.0,-549.91,0.167219,-3.792483,556.65,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,first_half,5.0,-839.91,0.067067,-5.792483,842.65,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,second_half,0.0,123.57,1.275512,0.694213,48.51,True,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,second_half,0.25,79.07,1.168679,0.444213,51.94,True,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,second_half,0.5,34.57,1.070651,0.194213,66.07,True,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,second_half,1.0,-54.43,0.897912,-0.305787,114.01,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,second_half,2.0,-232.43,0.631081,-1.305787,247.32,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,second_half,3.0,-410.43,0.443764,-2.305787,422.32,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,second_half,5.0,-766.43,0.220244,-4.305787,772.32,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-04,0.0,-116.79,0.677099,-0.85875,158.45,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-04,0.25,-150.79,0.602682,-1.10875,187.2,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-04,0.5,-184.79,0.535797,-1.35875,215.95,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-04,1.0,-252.79,0.422379,-1.85875,273.45,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-04,2.0,-388.79,0.260771,-2.85875,395.93,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-04,3.0,-524.79,0.164972,-3.85875,524.79,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-04,5.0,-796.79,0.06746,-5.85875,796.79,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-05,0.0,125.45,1.272931,0.670856,48.51,True,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-05,0.25,78.7,1.163485,0.420856,51.94,True,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-05,0.5,31.95,1.063434,0.170856,66.07,True,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-05,1.0,-61.55,0.8883,-0.329144,114.01,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-05,2.0,-248.55,0.620471,-1.329144,263.44,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-05,3.0,-435.55,0.434152,-2.329144,447.44,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,month_2026-05,5.0,-809.55,0.213089,-4.329144,815.44,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,worst_pocket_u42_bal_rf,0.0,-77.21,0.312344,-3.8605,87.45,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,worst_pocket_u42_bal_rf,0.25,-82.21,0.28841,-4.1105,91.45,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,worst_pocket_u42_bal_rf,0.5,-87.21,0.265785,-4.3605,95.45,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,worst_pocket_u42_bal_rf,1.0,-97.21,0.224058,-4.8605,103.45,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,worst_pocket_u42_bal_rf,2.0,-117.21,0.159785,-5.8605,119.45,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,worst_pocket_u42_bal_rf,3.0,-137.21,0.114546,-6.8605,137.21,False,synthetic round-trip account-currency cost; no retuning
u42_bal_rf,u42_bal,negative_control_high_pressure,worst_pocket_u42_bal_rf,5.0,-177.21,0.062133,-8.8605,177.21,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,full_forward,0.0,119.91,1.170244,0.367822,95.53,True,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,full_forward,0.25,38.41,1.051886,0.117822,107.68,True,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,full_forward,0.5,-43.09,0.944615,-0.132178,126.97,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,full_forward,1.0,-206.09,0.760391,-0.632178,250.37,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,full_forward,2.0,-532.09,0.491975,-1.632178,547.01,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,full_forward,3.0,-858.09,0.319743,-2.632178,869.98,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,full_forward,5.0,-1510.09,0.138185,-4.632178,1515.98,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,first_half,0.0,10.98,1.038921,0.075205,90.92,True,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,first_half,0.25,-25.52,0.914703,-0.174795,99.67,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,first_half,0.5,-62.02,0.804569,-0.424795,113.51,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,first_half,1.0,-135.02,0.621018,-0.924795,166.96,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,first_half,2.0,-281.02,0.366858,-1.924795,290.41,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,first_half,3.0,-427.02,0.219013,-2.924795,434.38,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,first_half,5.0,-719.02,0.084319,-4.924795,722.38,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,second_half,0.0,108.93,1.257987,0.605167,95.53,True,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,second_half,0.25,63.93,1.14494,0.355167,107.68,True,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,second_half,0.5,18.93,1.041093,0.105167,126.97,True,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,second_half,1.0,-71.07,0.858943,-0.394833,167.97,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,second_half,2.0,-251.07,0.583991,-1.394833,272.52,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,second_half,3.0,-431.07,0.39681,-2.394833,442.96,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,second_half,5.0,-791.07,0.181925,-4.394833,796.96,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-04,0.0,8.48,1.031294,0.061898,90.92,True,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-04,0.25,-25.77,0.910071,-0.188102,99.67,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-04,0.5,-60.02,0.801908,-0.438102,113.51,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-04,1.0,-128.52,0.620224,-0.938102,166.96,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-04,2.0,-265.52,0.366286,-1.938102,285.95,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-04,3.0,-402.52,0.218271,-2.938102,419.8,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-04,5.0,-676.52,0.085005,-4.938102,687.8,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-05,0.0,111.43,1.25713,0.589577,95.53,True,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-05,0.25,64.18,1.141456,0.339577,107.68,True,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-05,0.5,16.93,1.035641,0.089577,126.97,True,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-05,1.0,-77.57,0.851313,-0.410423,167.97,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-05,2.0,-266.57,0.575782,-1.410423,281.46,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-05,3.0,-455.57,0.389734,-2.410423,467.46,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-05,5.0,-833.57,0.177005,-4.410423,839.46,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,worst_pocket_u42_plain_rf,0.0,-72.06,0.385521,-3.603,89.37,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,worst_pocket_u42_plain_rf,0.25,-77.06,0.360604,-3.853,93.12,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,worst_pocket_u42_plain_rf,0.5,-82.06,0.337157,-4.103,96.87,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,worst_pocket_u42_plain_rf,1.0,-92.06,0.298109,-4.603,104.73,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,worst_pocket_u42_plain_rf,2.0,-112.06,0.233306,-5.603,120.73,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,worst_pocket_u42_plain_rf,3.0,-132.06,0.180566,-6.603,136.73,False,synthetic round-trip account-currency cost; no retuning
u42_plain_rf,u42_plain,negative_control_high_pressure,worst_pocket_u42_plain_rf,5.0,-172.06,0.107897,-8.603,172.06,False,synthetic round-trip account-currency cost; no retuning
c56_plain_rf,c56_plain,preserved_clue_not_selection,full_forward,0.0,147.06,1.672029,1.90987,53.23,True,synthetic round-trip account-currency cost; no retuning
c56_plain_rf,c56_plain,preserved_clue_not_selection,full_forward,0.25,127.81,1.564083,1.65987,55.23,True,synthetic round-trip account-currency cost; no retuning
c56_plain_rf,c56_plain,preserved_clue_not_selection,full_forward,0.5,108.56,1.462568,1.40987,58.14,True,synthetic round-trip account-currency cost; no retuning
c56_plain_rf,c56_plain,preserved_clue_not_selection,full_forward,1.0,70.06,1.278846,0.90987,66.14,True,synthetic round-trip account-currency cost; no retuning
c56_plain_rf,c56_plain,preserved_clue_not_selection,full_forward,2.0,-6.94,0.976076,-0.09013,93.14,False,synthetic round-trip account-currency cost; no retuning
c56_plain_rf,c56_plain,preserved_clue_not_selection,full_forward,3.0,-83.94,0.746642,-1.09013,120.14,False,synthetic round-trip account-currency cost; no retuning
