attempt_name,artifact_slug,role,horizon_id,source_attempt,start_time,end_time,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,max_drawdown,claim_boundary
u42_bal_rf,u42_bal,negative_control_high_pressure,worst_pocket_u42_bal_rf,u42_bal_rf,2026-04-28 13:25:00,2026-04-30 09:05:00,20,-77.21,35.07,-112.28,0.312344,-3.8605,0.35,5.01,-8.636923,87.45,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,negative_control_high_pressure,full_forward,all,2026-04-14 08:00:00,2026-05-22 18:10:00,326,119.91,824.25,-704.34,1.170244,0.367822,0.564417,4.47962,-4.960141,95.53,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,negative_control_high_pressure,first_half,all,2026-04-14 08:00:00,2026-05-03 13:05:00,146,10.98,293.09,-282.11,1.038921,0.075205,0.534247,3.757564,-4.148676,90.92,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,negative_control_high_pressure,second_half,all,2026-05-03 13:05:00,2026-05-22 18:10:00,180,108.93,531.16,-422.23,1.257987,0.605167,0.588889,5.010943,-5.705811,95.53,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-04,all,2026-04-14 08:00:00,2026-04-30 20:45:00,137,8.48,279.46,-270.98,1.031294,0.061898,0.547445,3.726133,-4.370645,90.92,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,negative_control_high_pressure,month_2026-05,all,2026-05-01 08:00:00,2026-05-22 18:10:00,189,111.43,544.79,-433.36,1.25713,0.589577,0.57672,4.998073,-5.417,95.53,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,u42_plain,negative_control_high_pressure,worst_pocket_u42_plain_rf,u42_plain_rf,2026-05-18 09:20:00,2026-05-19 14:35:00,20,-72.06,45.21,-117.27,0.385521,-3.603,0.35,6.458571,-9.020769,89.37,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,preserved_clue_not_selection,full_forward,all,2026-04-14 08:00:00,2026-05-22 18:10:00,77,147.06,365.89,-218.83,1.672029,1.90987,0.597403,7.95413,-7.059032,53.23,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,preserved_clue_not_selection,first_half,all,2026-04-14 08:00:00,2026-05-03 13:05:00,27,50.83,127.66,-76.83,1.661591,1.882593,0.592593,7.97875,-6.984545,38.95,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,preserved_clue_not_selection,second_half,all,2026-05-03 13:05:00,2026-05-22 18:10:00,50,96.23,238.23,-142.0,1.677676,1.9246,0.6,7.941,-7.1,53.23,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,preserved_clue_not_selection,month_2026-04,all,2026-04-14 08:00:00,2026-04-30 20:45:00,26,48.34,125.17,-76.83,1.629181,1.859231,0.576923,8.344667,-6.984545,38.95,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,preserved_clue_not_selection,month_2026-05,all,2026-05-01 08:00:00,2026-05-22 18:10:00,51,98.72,240.72,-142.0,1.695211,1.935686,0.607843,7.765161,-7.1,53.23,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,preserved_clue_not_selection,worst_pocket_c56_plain_rf,c56_plain_rf,2026-05-18 18:20:00,2026-05-21 19:50:00,20,-34.86,64.43,-99.29,0.648907,-1.743,0.45,7.158889,-9.026364,53.23,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,preserved_clue_not_selection,full_forward,all,2026-04-14 08:00:00,2026-05-22 18:10:00,269,269.88,823.05,-553.17,1.487879,1.003271,0.568773,5.379412,-4.768707,68.57,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,preserved_clue_not_selection,first_half,all,2026-04-14 08:00:00,2026-05-03 13:05:00,114,27.59,256.95,-229.36,1.120291,0.242018,0.54386,4.144355,-4.410769,68.57,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,preserved_clue_not_selection,second_half,all,2026-05-03 13:05:00,2026-05-22 18:10:00,155,242.29,566.1,-323.81,1.748247,1.563161,0.587097,6.220879,-5.059531,44.58,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,preserved_clue_not_selection,month_2026-04,all,2026-04-14 08:00:00,2026-04-30 20:45:00,108,26.46,248.74,-222.28,1.119039,0.245,0.555556,4.145667,-4.630833,68.57,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,preserved_clue_not_selection,month_2026-05,all,2026-05-01 08:00:00,2026-05-22 18:10:00,161,243.42,574.31,-330.89,1.735652,1.511925,0.57764,6.175376,-4.866029,44.58,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,preserved_clue_not_selection,worst_pocket_m48_plain_rf,m48_plain_rf,2026-04-27 16:05:00,2026-04-30 08:35:00,20,-62.79,23.93,-86.72,0.275946,-3.1395,0.3,3.988333,-6.194286,62.79,research_development_only_no_retune_replay_resampling_controls_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
