rank,selection_label,development_score,run_number,variant_id,validation_trades_per_day,oos_trades_per_day,validation_pf,oos_pf,validation_net,oos_net,validation_drawdown,oos_drawdown,validation_cost_stressed_expectancy,oos_cost_stressed_expectancy,validation_same_move_ratio,oos_same_move_ratio,validation_cooldown12_trades_per_day,oos_cooldown12_trades_per_day,validation_mfe_capture,oos_mfe_capture,tier_a_validation_net,tier_a_oos_net,tier_b_validation_net,tier_b_oos_net,failure_reasons,source_summary_path,notes
12,reference_only,47.418676,run50BR,v66_v47_badctxgap24_refill_etfw_h2_no_b,8.672131,6.256410,1.100000,1.180000,228.280000,312.010000,186.300000,149.260000,-0.356156,-0.244254,0.493384,0.535246,4.393443,2.907692,0.607665,0.615214,228.280000,312.010000,-107.610000,-433.570000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BR_summary.csv,Only unstable context rules s8/s5 receive same-direction source gap 24 bars; ET refill remains allowed.
13,reference_only,47.309157,run50BQ,v63_v47_et_firewall_h6_transition_no_b,8.267760,5.979487,1.110000,1.230000,422.990000,659.070000,232.960000,358.980000,-0.220430,0.065240,0.676801,0.675815,2.672131,1.938462,0.623590,0.599154,422.990000,659.070000,-489.760000,-251.000000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BQ_summary.csv,"Run50BN v47 plus ET stable damage firewall, entry-transition-only execution, and hold6."
14,reference_only,47.206830,run50BQ,v62_v47_et_firewall_h4_transition_no_b,8.715847,6.384615,1.060000,1.220000,223.960000,580.700000,340.840000,214.360000,-0.359586,-0.033574,0.630721,0.645783,3.218579,2.261538,0.616243,0.606639,223.960000,580.700000,-152.610000,-330.670000,validation_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BQ_summary.csv,"Run50BN v47 plus ET stable damage firewall, entry-transition-only execution, and hold4."
15,reference_only,45.171047,run50BR,v65_v47_ctxgap24_refill_etfw_h2_no_b,7.366120,5.394872,1.150000,1.240000,335.490000,381.640000,118.640000,93.010000,-0.251120,-0.137224,0.448813,0.511407,4.060109,2.635897,0.617415,0.626594,335.490000,381.640000,-37.340000,-493.940000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BR_summary.csv,"Context primary same-direction source gap 24 bars, ET slot refill, and stable ET damage firewall."
16,failure_memory,44.290283,run50BD,v25_w40_esol_highcov_lr2_h2c0_with_b,8.923497,5.784615,1.140000,0.970000,276.210000,-43.280000,142.860000,246.430000,-0.330857,-0.538369,0.287201,0.266844,6.360656,4.241026,0.609343,0.609584,485.290000,-99.350000,-143.450000,-195.190000,oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BD_summary.csv,Matched v21 high-coverage quality-gated rules with Tier B fallback enabled to audit hidden OOS damage.
17,reference_only,43.306146,run50BE,v30_v22_midcov_h2c0_with_b,8.349727,5.323077,1.140000,1.050000,271.430000,78.850000,132.590000,133.300000,-0.322363,-0.424037,0.242147,0.237958,6.327869,4.056410,0.608911,0.615490,427.640000,56.660000,-134.610000,-154.290000,oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BE_summary.csv,Run50BD v22 unchanged with Tier B fallback enabled to test whether fallback can top up density without hidden OOS damage.
18,reference_only,43.046352,run50BH,et40h6_r005_a,6.677596,4.902564,1.100000,1.430000,314.450000,911.320000,334.450000,117.070000,,,,,,,,,314.450000,911.320000,-80.990000,8.190000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BH_summary.csv,run50AS leaf40 quality branch with 0.005 confidence rearm; midpoint between strict transition and run50AS 0.015 rearm
19,reference_only,42.223930,run50BR,v67_v47_ctxgap24_refill_etfw_h4_no_b,6.710383,4.938462,1.110000,1.230000,340.660000,519.950000,202.550000,179.560000,-0.222590,0.039927,0.496743,0.546210,3.377049,2.241026,0.605666,0.608237,340.660000,519.950000,-122.700000,-494.180000,oos_density;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BR_summary.csv,"Context primary same-direction source gap 24 bars, ET slot refill, stable ET damage firewall, and hold4."
20,failure_memory,42.194348,run50BD,v21_w40_esol_highcov_lr2_h2c0_no_b,7.245902,5.015385,1.260000,0.940000,485.290000,-99.350000,112.830000,249.720000,-0.134020,-0.601585,0.192308,0.194274,5.852459,4.041026,0.605760,0.607343,485.290000,-99.350000,-143.450000,-195.190000,oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BD_summary.csv,40-minute alternating side rules selected on train/validation 2-bar proxy with high coverage; Tier B disabled in routed path.
21,reference_only,42.127640,run50BH,et40h6_r010_a,6.344262,4.620513,1.180000,1.380000,505.330000,743.610000,285.760000,135.310000,,,,,,,,,505.330000,743.610000,-80.990000,8.190000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BH_summary.csv,run50AS leaf40 quality branch with 0.010 confidence rearm; checks whether OOS density rises without losing cost-stressed expectancy
22,reference_only,42.094847,run50BE,v27_v22_slot3_8_relax_h2c0_no_b,7.054645,4.846154,1.270000,1.020000,502.770000,34.020000,115.810000,218.030000,-0.110558,-0.464000,0.196747,0.200000,5.666667,3.876923,0.614077,0.612026,502.770000,34.020000,-165.110000,-190.800000,oos_density;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BE_summary.csv,Run50BD v22 with slots 3 and 8 relaxed toward v21 high-coverage rules; Tier B disabled.
23,failure_memory,41.970421,run50BE,v29_v22_slot3_5_8_relax_h2c0_no_b,7.158470,4.953846,1.260000,0.980000,499.710000,-30.710000,104.330000,244.130000,-0.118542,-0.531791,0.191603,0.195652,5.786885,3.984615,0.612853,0.609301,499.710000,-30.710000,-224.300000,-205.810000,oos_density;oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BE_summary.csv,"Run50BD v22 with slots 3, 5, and 8 relaxed toward v21 high-coverage rules; Tier B disabled."
24,failure_memory,41.781666,run50BE,v28_v22_slot5_8_relax_h2c0_no_b,7.071038,4.825641,1.280000,0.970000,516.320000,-45.130000,109.750000,258.580000,-0.100989,-0.547960,0.187790,0.189160,5.743169,3.912821,0.613303,0.609977,516.320000,-45.130000,-248.980000,-180.010000,oos_density;oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BE_summary.csv,Run50BD v22 with slots 5 and 8 relaxed toward v21 high-coverage rules; Tier B disabled.
25,failure_memory,41.725981,run50BD,v24_w45_elos_highcov_lr2_h2c0_no_b,6.797814,4.625641,1.320000,0.820000,567.150000,-279.390000,103.410000,290.010000,-0.044092,-0.809745,0.134244,0.105322,5.885246,4.138462,0.607543,0.609336,567.150000,-279.390000,-119.630000,-193.020000,oos_density;oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BD_summary.csv,45-minute flipped alternating side rules selected on train/validation 2-bar proxy with high coverage; Tier B disabled in routed path.
26,failure_memory,41.640906,run50BD,v23_w40_elos_highcov_lr2_h2c0_no_b,7.781421,5.441026,1.150000,0.950000,321.060000,-86.680000,124.250000,214.600000,-0.274537,-0.581697,0.215590,0.189444,6.103825,4.410256,0.592543,0.610189,321.060000,-86.680000,-13.180000,76.600000,oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BD_summary.csv,40-minute flipped alternating side rules selected on train/validation 2-bar proxy with high coverage; Tier B disabled in routed path.
27,reference_only,41.546439,run50BE,v26_v22_slot8_relax_h2c0_no_b,6.967213,4.717949,1.280000,1.010000,519.380000,19.600000,114.890000,232.480000,-0.092643,-0.478696,0.193725,0.189130,5.617486,3.825641,0.614536,0.612836,519.380000,19.600000,-187.870000,-164.580000,oos_density;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BE_summary.csv,Run50BD v22 with only slot 8 relaxed toward v21 high-coverage rule; Tier B disabled.
28,reference_only,40.769234,run50BD,v22_w40_esol_midcov_lr2_h2c0_no_b,6.967213,4.615385,1.240000,1.040000,427.640000,56.660000,115.930000,167.670000,-0.164596,-0.437044,0.178824,0.172222,5.721311,3.820513,0.615946,0.613186,427.640000,56.660000,-134.610000,-154.290000,oos_density;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BD_summary.csv,40-minute alternating side rules selected on train/validation 2-bar proxy with medium coverage; Tier B disabled in routed path.
29,reference_only,40.657237,run50BH,et30h6_r001_a,7.142077,5.200000,1.040000,1.350000,140.740000,818.430000,259.820000,118.790000,,,,,,,,,140.740000,818.430000,-82.300000,8.190000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BH_summary.csv,run50AT leaf30 quality clue with minimal confidence rearm to pressure density while preserving positive OOS cost stress
30,failure_memory,40.267318,run50BF,v31_v22_midcov_h1c0_with_b,8.628415,5.538462,1.050000,0.960000,67.720000,-38.620000,118.370000,149.850000,-0.457112,-0.535759,0.219759,0.211111,6.732240,4.369231,0.600315,0.604659,137.430000,-11.060000,3.150000,-176.980000,oos_net_positive;validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BF_summary.csv,Run50BE v30 source with max hold 1 and Tier B fallback enabled; tests whether faster lifecycle reduces same-move/cost damage.
31,reference_only,39.980923,run50W,nfw_s35l22_c2_sadx,8.185792,5.830769,1.180000,1.050000,600.730000,139.960000,214.550000,267.000000,,,,,,,,,619.050000,167.590000,-77.680000,1.210000,selected_research_baseline_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50W_summary.csv,lower thresholds to recover density after short ADX 20-25 and two-bar reentry firewalls
32,reference_only,39.887782,run50BF,v32_v22_midcov_h3c0_with_b,7.535519,4.887179,1.130000,1.030000,347.640000,54.000000,325.440000,246.060000,-0.247904,-0.443337,0.329949,0.330535,5.049180,3.271795,0.602703,0.620990,365.380000,175.650000,-134.290000,-64.720000,oos_density;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BF_summary.csv,Run50BE v30 source with max hold 3 and Tier B fallback enabled; tests whether more MFE capture repairs expectancy without losing density.
33,reference_only,39.827295,run50BH,et30h6_r005_b,6.939891,5.128205,1.000000,1.400000,13.110000,890.130000,244.580000,114.150000,,,,,,,,,-13.810000,886.150000,-80.990000,8.190000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BH_summary.csv,matched Tier B fallback check for the leaf30 0.005 rearm branch; prior Tier B damage remains suspect
34,reference_only,39.377604,run50BH,et30h6_r005_a,6.901639,5.035897,1.000000,1.400000,-13.810000,886.150000,269.150000,114.150000,,,,,,,,,-13.810000,886.150000,-80.990000,8.190000,quality_failed_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BH_summary.csv,run50AT leaf30 quality clue with 0.005 confidence rearm for density recovery
35,reference_only,39.238987,run50AR,et40s25_c0_h6_a,7.404372,5.502564,1.040000,1.250000,147.860000,655.400000,455.930000,187.890000,,,,,,,,,147.860000,655.400000,-81.140000,9.540000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AR_summary.csv,hold6 plus no cooldown to stress density; should fail if density comes mainly from split re-entry
36,failure_memory,39.087071,run50BC,v18_slot40_even_short_odd_long_context_h2c0_with_b,8.065574,5.425641,1.060000,0.900000,107.080000,-128.680000,164.290000,227.080000,-0.427453,-0.621626,0.288618,0.303403,5.737705,3.779487,0.602379,0.577193,203.130000,-118.130000,-22.950000,-278.000000,oos_net_positive;validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BC_summary.csv,Matched context source with Tier B fallback enabled to expose hidden OOS damage.
37,reference_only,39.015983,run50BH,et40h6_r001_a,6.846995,5.102564,1.100000,1.260000,313.490000,613.580000,286.670000,117.990000,,,,,,,,,313.490000,613.580000,-82.300000,8.190000,strong_selected_research_baseline_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BH_summary.csv,run50AS leaf40 quality branch with minimal confidence rearm to test density recovery before raw same-move splitting returns
38,reference_only,38.872746,run50W,nfw_s37l24_c0_sadx,9.972678,7.010256,1.030000,0.970000,125.010000,-118.070000,285.050000,359.730000,,,,,,,,,220.420000,-100.930000,-81.300000,9.620000,quality_failed_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50W_summary.csv,run50V threshold with short ADX 20-25 firewall and core/mixed Tier B gate
39,failure_memory,38.621900,run50BC,v19_slot40_even_short_odd_long_always_h2c0_no_b,8.240437,5.656410,0.960000,0.920000,-92.750000,-142.020000,204.890000,293.030000,-0.561505,-0.628758,0.088196,0.055304,7.513661,5.343590,0.605226,0.575814,-92.750000,-142.020000,-51.560000,-191.530000,validation_net_positive;oos_net_positive;validation_pf;oos_pf;cost_stressed_expectancy,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BC_summary.csv,Always-fire 40-minute alternating density control; tests whether pure side alternation solves same-move without quality.
40,reference_only,38.597813,run50BB,v13_slot30_dense_control_h2c0_with_b,7.704918,5.194872,1.080000,1.040000,211.370000,82.250000,489.390000,331.640000,-0.350092,-0.418806,0.445390,0.458045,4.273224,2.815385,0.580443,0.586512,216.710000,165.720000,356.380000,-252.510000,validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BB_summary.csv,Same dense context source as run50BA v11 but runtime re-entry cooldown disabled; audit still records same-move cooldown survival.
41,reference_only,38.045347,run50BF,v35_v22_midcov_h3c0_no_b,6.437158,4.415385,1.140000,1.090000,365.380000,175.650000,336.150000,153.690000,-0.189830,-0.295993,0.317487,0.282230,4.393443,3.169231,0.623140,0.612768,365.380000,175.650000,-134.290000,-64.720000,oos_density;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BF_summary.csv,Matched hold-3 source with Tier B disabled in routed path; isolates whether Tier B fallback is still hidden OOS damage.
42,reference_only,38.045347,run50BG,v36_v22_midcov_h3c0_no_b_control,6.437158,4.415385,1.140000,1.090000,365.380000,175.650000,336.150000,153.690000,-0.189830,-0.295993,0.317487,0.282230,4.393443,3.169231,0.623140,0.612768,365.380000,175.650000,-134.290000,-64.720000,oos_density;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BG_summary.csv,Run50BF v35 control replay: hold3 with Tier B disabled.
43,reference_only,38.019234,run50W,nfw_s37l24_c1_sadx,9.038251,6.241026,1.040000,1.060000,177.380000,185.040000,268.480000,291.590000,,,,,,,,,139.950000,203.290000,-79.400000,6.470000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50W_summary.csv,run50V threshold with short ADX 20-25 firewall plus one-bar reentry firewall
44,reference_only,37.863774,run50BF,v33_v22_midcov_h4c0_with_b,7.437158,4.789744,1.100000,1.050000,277.940000,103.670000,434.560000,186.820000,-0.295783,-0.389004,0.468773,0.420771,3.950820,2.774359,0.598856,0.584813,297.010000,146.840000,-154.250000,-334.700000,oos_density;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BF_summary.csv,Run50BE v30 source with max hold 4 and Tier B fallback enabled; broader hold stress for PF and cost expectancy.
45,reference_only,37.830453,run50X,nfx_s35l22_c2_s2030,7.683060,5.400000,1.160000,1.080000,505.060000,205.860000,208.910000,200.680000,,,,,,,,,462.450000,202.550000,-78.740000,1.210000,selected_research_baseline_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50X_summary.csv,run50W seed with wider short ADX 20-30 firewall
46,reference_only,37.512580,run50AR,et40s25_c0_h8_b,6.644809,4.948718,1.030000,1.310000,94.670000,763.470000,365.550000,193.450000,,,,,,,,,61.180000,765.430000,-80.170000,-9.550000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AR_summary.csv,matched A+B comparison for the no-cooldown density repair path; Tier B must not create hidden OOS damage
47,failure_memory,37.161649,run50BG,v40_v22_slot3_5_8_relax_h3c0_no_b,6.688525,4.666667,1.150000,0.950000,409.350000,-108.130000,309.550000,210.810000,-0.165564,-0.618824,0.317810,0.302198,4.562842,3.256410,0.626519,0.608608,409.350000,-108.130000,-158.040000,-183.130000,oos_density;oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BG_summary.csv,Hold3 version of run50BE slots 3+5+8 top-up; tests maximum Tier-A-only density recovery before new model branch.
48,failure_memory,37.094534,run50BI,et40h3c0_s240l150_r001_a,8.508197,6.410256,0.970000,1.120000,-114.550000,284.700000,415.820000,137.240000,,,,,,,,,-114.550000,284.700000,-90.930000,-8.730000,quality_failed_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BI_summary.csv,run50BH leaf40 clue with lower thresholds and hold3 to test whether raw density can rise enough before cooldown pressure
49,failure_memory,37.045836,run50BP,v54_et40_slot20_first_h2c0_no_b,9.306011,7.205128,1.000000,1.000000,2.740000,-9.720000,186.730000,170.740000,-0.498391,-0.506918,0.748092,0.790747,2.344262,1.507692,0.615234,0.611879,2.740000,-9.720000,-93.340000,-8.410000,oos_net_positive;validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BP_summary.csv,Use the first non-flat run50BH ExtraTrees signal in each 20-minute cash-session slot.
50,reference_only,36.835376,run50AR,et40s25_c0_h8_a,6.606557,4.861538,1.020000,1.310000,61.180000,765.430000,398.050000,193.450000,,,,,,,,,61.180000,765.430000,-80.170000,-9.550000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AR_summary.csv,run50AQ et40s25a with cooldown removed to test whether OOS density can recover without losing PF/cost/same-move discipline
51,reference_only,36.822751,run50AS,et40h6_r030_b,5.584699,3.892308,1.160000,1.390000,385.930000,639.180000,246.910000,148.820000,,,,,,,,,357.690000,633.650000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AS_summary.csv,matched A+B comparison for the 0.030 rearm branch; Tier B remains suspect and must not create hidden OOS damage
52,reference_only,36.754772,run50AS,et40h6_r015_a,5.978142,4.271795,1.120000,1.340000,317.780000,632.500000,264.120000,152.660000,,,,,,,,,317.780000,632.500000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AS_summary.csv,run50AR et40s25_c0_h6_a with 0.015 confidence pulse rearm; tests whether density can survive without pure split re-entry
53,failure_memory,36.689946,run50BG,v38_v22_slot3_8_relax_h3c0_no_b,6.568306,4.589744,1.150000,0.980000,420.110000,-45.390000,278.880000,210.390000,-0.150491,-0.550715,0.316140,0.306145,4.491803,3.184615,0.626471,0.615750,420.110000,-45.390000,-118.720000,-126.530000,oos_density;oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BG_summary.csv,Hold3 version of run50BE slots 3+8 top-up; tests quality-preserving density recovery.
54,failure_memory,36.333647,run50BG,v39_v22_slot5_8_relax_h3c0_no_b,6.595628,4.548718,1.140000,0.950000,392.420000,-105.940000,301.200000,213.570000,-0.174880,-0.619436,0.314830,0.295378,4.519126,3.205128,0.624713,0.604393,392.420000,-105.940000,-121.720000,-198.210000,oos_density;oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BG_summary.csv,Hold3 version of run50BE slots 5+8 top-up; tests whether long-side slot repair survives OOS.
