trade_index,entry_time,exit_time,entry_hour,exit_hour,entry_month,exit_month,hold_minutes,hold_days,entry_price,exit_price,profit_before_swap,swap,net_after_swap,comment,claim_boundary
16,2025.11.19 19:50:00,2025.11.19 22:05:00,19,22,2025-11,2025-11,135.0,0.09375,24530.45,24599.25,6.88,0.0,6.88,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
17,2025.11.20 16:45:00,2025.11.21 17:50:00,16,17,2025-11,2025-11,1505.0,1.0451388888888888,25141.09,24023.8,-111.73,-0.37,-112.10000000000001,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
18,2025.11.21 20:45:00,2025.11.25 17:00:00,20,17,2025-11,2025-11,5535.0,3.84375,24315.13,24759.22,44.41,-1.48,42.93,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
19,2025.11.25 18:40:00,2025.11.26 18:15:00,18,18,2025-11,2025-11,1415.0,0.9826388888888888,24813.92,25235.88,42.2,-0.37,41.830000000000005,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
20,2025.11.26 19:30:00,2025.12.02 17:05:00,19,17,2025-11,2025-12,8495.0,5.899305555555555,25282.83,25595.87,31.3,-2.22,29.080000000000002,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
21,2025.12.02 18:10:00,2025.12.04 16:45:00,18,16,2025-12,2025-12,2795.0,1.9409722222222223,25554.14,25555.39,0.13,-0.74,-0.61,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
22,2025.12.04 16:55:00,2025.12.05 17:45:00,16,17,2025-12,2025-12,1490.0,1.0347222222222223,25549.17,25784.01,23.48,-0.37,23.11,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
23,2025.12.05 19:10:00,2025.12.09 17:55:00,19,17,2025-12,2025-12,5685.0,3.9479166666666665,25686.16,25678.8,-0.74,-1.48,-2.2199999999999998,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
24,2025.12.10 17:00:00,2025.12.11 17:15:00,17,17,2025-12,2025-12,1455.0,1.0104166666666667,25638.0,25572.75,-6.53,-0.37,-6.9,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
25,2025.12.11 18:20:00,2025.12.15 17:50:00,18,17,2025-12,2025-12,5730.0,3.9791666666666665,25508.6,25221.35,-28.73,-1.48,-30.21,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
26,2025.12.15 18:25:00,2025.12.16 19:55:00,18,19,2025-12,2025-12,1530.0,1.0625,25273.95,25017.65,-25.63,-0.37,-26.0,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
27,2025.12.16 20:45:00,2025.12.18 19:50:00,20,19,2025-12,2025-12,2825.0,1.9618055555555556,25102.5,25112.65,1.02,-0.74,0.28,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
28,2025.12.19 17:45:00,2025.12.23 16:40:00,17,16,2025-12,2025-12,5695.0,3.954861111111111,25296.05,25510.0,21.4,-1.48,19.919999999999998,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
29,2025.12.23 16:55:00,2025.12.30 17:10:00,16,17,2025-12,2025-12,10095.0,7.010416666666667,25498.1,25540.35,4.23,-2.59,1.6400000000000006,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
30,2025.12.31 18:05:00,2026.01.06 18:00:00,18,18,2025-12,2026-01,8635.0,5.996527777777778,25386.4,25524.55,13.82,-2.22,11.6,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
31,2026.01.07 17:10:00,2026.01.09 16:45:00,17,16,2026-01,2026-01,2855.0,1.9826388888888888,25695.8,25598.3,-9.75,-0.74,-10.49,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
32,2026.01.09 18:25:00,2026.01.13 17:25:00,18,17,2026-01,2026-01,5700.0,3.9583333333333335,25727.15,25694.9,-3.23,-1.48,-4.71,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
33,2026.01.13 18:00:00,2026.01.14 18:30:00,18,18,2026-01,2026-01,1470.0,1.0208333333333333,25751.75,25430.45,-32.13,-0.37,-32.5,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
34,2026.01.15 16:50:00,2026.01.20 17:00:00,16,17,2026-01,2026-01,7210.0,5.006944444444445,25759.95,25193.8,-56.62,-1.85,-58.47,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
35,2026.01.20 18:05:00,2026.01.21 21:00:00,18,21,2026-01,2026-01,1615.0,1.1215277777777777,25253.05,25159.25,-9.38,-0.37,-9.75,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
36,2026.01.21 21:20:00,2026.01.26 16:45:00,21,16,2026-01,2026-01,6925.0,4.809027777777778,25130.6,25707.35,57.68,-1.85,55.83,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
37,2026.01.26 17:50:00,2026.01.28 17:35:00,17,17,2026-01,2026-01,2865.0,1.9895833333333333,25763.95,26088.3,32.44,-0.74,31.7,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
38,2026.01.28 17:50:00,2026.01.29 19:30:00,17,19,2026-01,2026-01,1540.0,1.0694444444444444,26080.15,25730.4,-34.98,-0.37,-35.349999999999994,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
39,2026.01.30 17:10:00,2026.02.02 16:40:00,17,16,2026-01,2026-02,4290.0,2.9791666666666665,25782.2,25603.85,-17.84,-1.11,-18.95,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
40,2026.02.02 18:50:00,2026.02.05 17:25:00,18,17,2026-02,2026-02,4235.0,2.9409722222222223,25762.95,24519.45,-124.35,-1.11,-125.46,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
41,2026.02.05 18:25:00,2026.02.09 16:45:00,18,16,2026-02,2026-02,5660.0,3.9305555555555554,24648.05,25075.05,42.7,-1.48,41.220000000000006,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
42,2026.02.09 17:05:00,2026.02.11 16:40:00,17,16,2026-02,2026-02,2855.0,1.9826388888888888,25091.15,25282.42,19.13,-0.74,18.39,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
43,2026.02.11 19:05:00,2026.02.13 20:30:00,19,20,2026-02,2026-02,2965.0,2.0590277777777777,25081.15,24888.05,-19.31,-0.74,-20.049999999999997,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
44,2026.02.13 21:35:00,2026.02.17 21:30:00,21,21,2026-02,2026-02,5755.0,3.9965277777777777,24874.9,24777.85,-9.71,-1.48,-11.190000000000001,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
45,2026.02.18 16:45:00,2026.02.19 20:15:00,16,20,2026-02,2026-02,1650.0,1.1458333333333333,24795.85,24770.7,-2.52,-0.37,-2.89,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
46,2026.02.19 20:50:00,2026.02.20 20:40:00,20,20,2026-02,2026-02,1430.0,0.9930555555555556,24761.8,24972.1,21.03,-0.37,20.66,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
47,2026.02.23 17:00:00,2026.02.24 19:00:00,17,19,2026-02,2026-02,1560.0,1.0833333333333333,24869.3,24989.7,12.04,-0.37,11.67,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
48,2026.02.25 16:40:00,2026.03.02 16:40:00,16,16,2026-02,2026-03,7200.0,5.0,25210.3,24780.95,-42.94,-1.85,-44.79,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
49,2026.03.02 18:50:00,2026.03.03 18:45:00,18,18,2026-03,2026-03,1435.0,0.9965277777777778,24993.55,24627.7,-36.59,-0.37,-36.96,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
50,2026.03.03 19:50:00,2026.03.04 17:45:00,19,17,2026-03,2026-03,1315.0,0.9131944444444444,24669.8,25044.85,37.51,-0.37,37.14,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
51,2026.03.04 18:50:00,2026.03.05 18:40:00,18,18,2026-03,2026-03,1430.0,0.9930555555555556,25149.45,25007.6,-14.19,-0.37,-14.559999999999999,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
52,2026.03.06 19:30:00,2026.03.09 20:15:00,19,20,2026-03,2026-03,4365.0,3.03125,24802.1,24676.8,-12.53,-1.11,-13.639999999999999,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
53,2026.03.10 16:40:00,2026.03.11 17:45:00,16,17,2026-03,2026-03,1505.0,1.0451388888888888,25011.5,25032.7,2.12,-0.37,1.75,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
54,2026.03.11 19:45:00,2026.03.12 19:20:00,19,19,2026-03,2026-03,1415.0,0.9826388888888888,24976.05,24675.15,-30.09,-0.37,-30.46,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
55,2026.03.13 16:40:00,2026.03.18 16:50:00,16,16,2026-03,2026-03,7210.0,5.006944444444445,24677.7,24767.9,9.02,-1.85,7.17,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
56,2026.03.18 18:15:00,2026.03.20 16:55:00,18,16,2026-03,2026-03,2800.0,1.9444444444444444,24707.0,24172.4,-53.46,-0.74,-54.2,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
57,2026.03.23 16:40:00,2026.03.24 19:40:00,16,19,2026-03,2026-03,1620.0,1.125,24350.15,24063.3,-28.69,-0.37,-29.060000000000002,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
58,2026.03.25 16:40:00,2026.03.26 16:50:00,16,16,2026-03,2026-03,1450.0,1.0069444444444444,24299.2,23984.2,-31.5,-0.37,-31.87,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
59,2026.03.30 18:00:00,2026.03.31 19:15:00,18,19,2026-03,2026-03,1515.0,1.0520833333333333,23215.3,23352.75,13.75,-0.37,13.38,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
60,2026.03.31 20:20:00,2026.04.02 16:40:00,20,16,2026-03,2026-04,2660.0,1.8472222222222223,23703.8,23528.45,-17.54,-0.74,-18.279999999999998,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
61,2026.04.02 16:55:00,2026.04.06 17:45:00,16,17,2026-04,2026-04,5810.0,4.034722222222222,23685.55,24166.5,48.1,-1.48,46.620000000000005,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
62,2026.04.06 18:50:00,2026.04.07 19:00:00,18,19,2026-04,2026-04,1450.0,1.0069444444444444,24158.6,23963.85,-19.48,-0.37,-19.85,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
63,2026.04.07 19:10:00,2026.04.08 18:20:00,19,18,2026-04,2026-04,1390.0,0.9652777777777778,24001.7,24889.0,88.73,-0.37,88.36,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
64,2026.04.08 19:10:00,2026.04.09 20:30:00,19,20,2026-04,2026-04,1520.0,1.0555555555555556,24950.85,25076.3,12.55,-0.37,12.180000000000001,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
65,2026.04.10 17:10:00,2026.04.13 19:05:00,17,19,2026-04,2026-04,4435.0,3.079861111111111,25143.8,25159.3,1.55,-1.11,0.43999999999999995,ObsidianPrimeV2 RuntimeProbe,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
66,2026.04.13 20:10:00,2026.04.13 23:59:58,20,23,2026-04,2026-04,229.96666666666667,0.15969907407407408,25271.9,25448.65,17.68,0.0,17.68,end of test,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
