profile_id,profile_role,split,granularity,period,tier_scope,record_view,max_hold_bars,atr_stop_multiplier,atr_take_profit_multiplier,cooldown_bars,early_adverse_exit_enabled,trade_count,days_in_scope,trades_per_day,long_trade_count,short_trade_count,net_profit,profit_factor,expectancy,win_rate,max_drawdown_percent,max_monthly_drawdown_percent,dd_risk_percent,underwater_ratio,max_loss_streak,equity_trend_r2,sparse_flag,pf999_sparse_flag,density_axis_distance,pf_axis_distance,dd_axis_distance,smoothness_axis_distance,aspiration_distance_score,proxy_cost_log_return
f21c_hold2_atr0p6_tp1p2_cd0_early,density_repair(빈도 수리),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.6,1.2,0,True,767,133,5.7669172932330826,767,0,0.019585844070142314,1.0448101295566525,2.5535650678151647e-05,0.42894393741851367,3.1585577271090015,3.1585577271090015,3.1585577271090015,0.9830508474576272,9,0.7143587294521815,False,False,0.0,0.47759493522167373,0.0,0.6609114531024506,1.1385063883241244,5e-05
f21c_hold2_atr0p6_tp1p2_cd0_early,density_repair(빈도 수리),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.6,1.2,0,True,610,92,6.630434782608695,610,0,0.01422131362859068,1.0494227326375205,2.3313628899328985e-05,0.4540983606557377,2.457285517305585,2.049622036713139,2.457285517305585,0.9590163934426229,12,0.1269147690670802,False,False,0.0,0.47528863368123975,0.0,0.9244457309689942,1.399734364650234,5e-05
f21c_hold2_atr0p8_tp1p6_cd0,density_repair(빈도 수리),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,2110,426,4.953051643192488,2110,0,0.06841901768105463,1.0580644085838784,3.242607473035764e-05,0.4815165876777251,4.994075093372818,4.048443400939927,4.994075093372818,0.9635071090047393,12,0.8173969027233428,False,False,0.009389671361502394,0.4709677957080608,0.0,0.6157495928266284,1.0961070598961915,5e-05
f21c_hold2_atr0p8_tp1p6_cd0,density_repair(빈도 수리),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,737,133,5.541353383458647,737,0,0.07091582244097988,1.1665595776919113,9.622228282358192e-05,0.47489823609226595,2.299607415163074,2.299607415163074,2.299607415163074,0.926729986431479,7,0.8754339981385136,False,False,0.0,0.41672021115404434,0.0,0.5430831947318343,0.9598034058858786,5e-05
f21c_hold2_atr0p8_tp1p6_cd0,density_repair(빈도 수리),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,586,92,6.369565217391305,586,0,0.023414868624041973,1.078999626190303,3.995711369290439e-05,0.49658703071672355,3.233934467876509,2.1857371710605977,3.233934467876509,0.9334470989761092,8,0.34672493487655415,False,False,0.0,0.4605001869048485,0.0,0.7940249738447998,1.2545251607496484,5e-05
f21c_hold3_atr0p8_tp1p6_cd0_early,density_repair(빈도 수리),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),3,0.8,1.6,0,True,1893,426,4.443661971830986,1893,0,0.07551591453341343,1.0618005845987246,3.989218939958449e-05,0.45536185948230323,5.174801134479634,3.5019182918690217,5.174801134479634,0.9619651347068146,12,0.8620850325324927,False,False,0.11126760563380281,0.4690997077006377,0.0,0.5949460459784448,1.1753133593128853,5e-05
f21c_hold3_atr0p8_tp1p6_cd0_early,density_repair(빈도 수리),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),3,0.8,1.6,0,True,652,133,4.902255639097745,652,0,0.015614450924486824,1.0340210894544146,2.3948544362709852e-05,0.4447852760736196,3.9747387109139387,3.97473871091395,3.97473871091395,0.9831288343558282,10,0.6225564629091433,False,False,0.01954887218045105,0.4829894552727927,0.0,0.7122575671510082,1.214795894604252,5e-05
f21c_hold3_atr0p8_tp1p6_cd0_early,density_repair(빈도 수리),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),3,0.8,1.6,0,True,513,92,5.576086956521739,513,0,0.011610436125802016,1.0377977119245576,2.2632429095130636e-05,0.45419103313840153,4.537932917349297,2.516095931979623,4.537932917349297,0.9142300194931774,12,0.023514614782418664,False,False,0.0,0.4811011440377212,0.0,0.9508219321198413,1.4319230761575625,5e-05
f21c_hold3_atr1p0_tp2p0_cd0,density_repair(빈도 수리),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),3,1.0,2.0,0,False,1809,426,4.246478873239437,1809,0,0.061297275016120485,1.0482873012896718,3.388461858270895e-05,0.47374239911553345,5.436802067878199,3.719564289494093,5.436802067878199,0.9679380873410725,10,0.7729095649055011,False,False,0.15070422535211261,0.4758563493551641,0.0,0.6377628350960071,1.2643234098032838,5e-05
f21c_hold3_atr1p0_tp2p0_cd0,density_repair(빈도 수리),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),3,1.0,2.0,0,False,621,133,4.669172932330827,621,0,0.05190419957761927,1.1161549851852919,8.358164183191509e-05,0.47665056360708535,5.801785128183001,5.80178512818299,5.801785128183001,0.9694041867954911,11,0.7141341859024894,False,False,0.06616541353383454,0.44192250740735406,0.0,0.6648715004018507,1.1729594213430392,5e-05
f21c_hold3_atr1p0_tp2p0_cd0,density_repair(빈도 수리),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),3,1.0,2.0,0,False,490,92,5.326086956521739,490,0,-0.004238403557009336,0.9867842622611732,-8.649803177570074e-06,0.47346938775510206,5.429183471643173,3.6371253805846826,5.429183471643173,0.926530612244898,12,0.020226399479319923,False,False,0.0,0.5066078688694133,0.0,1.9578368957445103,2.4644447646139236,5e-05
