focus_run_id,tier_scope,split,side,rank,feature,feature_index,signal_count,mean_chosen_minus_best_other,mean_chosen_minus_opposite,mean_chosen_minus_flat,mean_chosen_class_contribution,mean_abs_chosen_minus_best_other,positive_share,mean_probability,mean_probability_margin
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,5,atr_50,27,480,-0.053788042,0.0053720384,-0.042670984,-0.0066617449,0.081316091,0.35833333,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,6,ppo_hist_12_26_9,23,480,-0.047315537,-0.019043376,0.013754433,-0.0027316014,0.048724283,0.070833333,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,7,historical_vol_20,32,480,-0.045536568,-0.041652377,0.11903832,0.027021089,0.062156397,0.22291667,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,8,sma50_sma200_ratio,16,480,-0.044366753,-0.0082502993,0.046996983,0.011388321,0.13075865,0.39583333,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,9,bollinger_width_20,29,480,0.037167367,0.051059536,0.088610954,0.043269241,0.080724474,0.32083333,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,10,is_first_30m_after_open,40,480,-0.035087874,-0.00232525,0.0059116428,0.00093779046,0.035087874,0,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,11,return_1_over_atr_14,9,480,-0.029764565,0.00030228968,-0.0037535732,-0.0010250333,0.029894735,0.079166667,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,long,12,di_spread_14,35,480,-0.02968343,0.0055235855,0.016016425,0.0070139524,0.045217748,0.6375,0.59296307,0.33555381
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,1,ema9_ema20_diff,12,264,0.2927965,0.51200016,0.29809619,0.25828367,0.32638407,0.73106061,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,2,atr_14,26,264,-0.15702871,-0.15107906,0.4007992,0.029094364,0.15833461,0.064393939,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,3,close_ema50_ratio,11,264,-0.13719836,-0.11369208,-0.12571515,-0.074407153,0.15367142,0.46590909,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,4,atr_14_over_atr_50,28,264,-0.093732531,0.028451389,-0.090078562,-0.016022662,0.10625879,0.079545455,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,5,historical_vol_20,32,264,0.092380507,0.098497935,0.18342008,0.096321216,0.11706729,0.8219697,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,6,bollinger_width_20,29,264,-0.083486003,-0.07732677,0.099038676,-0.00082427655,0.10297367,0.49242424,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,7,ema20_ema50_diff,13,264,-0.077655001,-0.033384638,-0.0019429387,-0.012565087,0.089571698,0.17045455,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,8,bb_position_20,30,264,-0.0678576,-0.049243355,0.00023966965,-0.017173544,0.078164914,0.4469697,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,9,minutes_from_cash_open,39,264,-0.065479372,-0.035828521,0.060402077,0.006006151,0.070448615,0.083333333,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,10,di_spread_14,35,264,-0.06418249,0.04013061,-0.037903431,0.0014413242,0.06418249,0,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,11,overnight_return,8,264,-0.061700131,0.036047163,-0.028289195,0.0035684775,0.12576289,0.26515152,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier A,oos,short,12,trix_15,25,264,-0.058900954,0.057915197,-0.038076898,0.0088694268,0.095396683,0.40151515,0.59861058,0.33389885
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,1,ema50_ema200_diff,14,12,0.1577928,0.43919253,0.1577928,0.18424221,0.16292126,0.91666667,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,2,ema20_ema50_diff,13,12,-0.15288171,0.022431274,-0.12645047,-0.040587167,0.18734894,0.16666667,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,3,vortex_indicator,37,12,-0.085727009,0.0032497973,-0.076524967,-0.025456167,0.085727009,0,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,4,hl_zscore_50,7,12,-0.078480402,-0.046850996,-0.070284222,-0.038953496,0.078980318,0.083333333,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,5,trix_15,25,12,-0.063036243,-0.038556073,0.01942688,-0.0064471929,0.079654627,0.16666667,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,6,atr_14_over_atr_50,28,12,-0.060014583,0.010556151,-0.050719263,-0.013949637,0.061567286,0.083333333,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,7,is_first_30m_after_open,40,12,-0.057036944,-0.025424985,0.10102285,0.022205545,0.057036944,0,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,8,ema9_ema20_diff,12,12,-0.056748131,-0.037288952,-0.0051750565,-0.019454054,0.056981704,0.16666667,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,9,close_ema50_ratio,11,12,0.044706568,0.092823914,0.065580946,0.050432263,0.050064971,0.83333333,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,10,return_1_over_atr_14,9,12,-0.044073333,0.0096799471,-0.022544091,-0.0040392907,0.044073333,0,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,11,historical_vol_20,32,12,0.042357065,0.043402287,0.14154889,0.063228299,0.042541594,0.91666667,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,long,12,adx_14,34,12,-0.041644066,-0.026755284,-0.024179219,-0.016147154,0.05229926,0.083333333,0.5687538,0.29169814
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,1,ema50_ema200_diff,14,14,0.375309,0.59705295,0.375309,0.3177497,0.375309,1,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,2,ema20_ema50_diff,13,14,-0.11478992,-0.11478992,-0.00047984889,-0.039562972,0.11478992,0,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,3,roc_12,24,14,-0.10626334,-0.087205353,-0.081715371,-0.056199801,0.10904803,0.071428571,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,4,atr_50,27,14,-0.10368984,-0.10368984,-0.024604115,-0.041388451,0.10368984,0,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,5,atr_14,26,14,-0.097873992,-0.097873992,0.46485463,0.068874052,0.097873992,0,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,6,vortex_indicator,37,14,-0.050786316,-0.0014179824,-0.050786316,-0.01774691,0.054758199,0.21428571,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,7,atr_14_over_atr_50,28,14,-0.050483425,-0.0028075591,-0.050483425,-0.01946893,0.050483425,0,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,8,hl_zscore_50,7,14,-0.049508502,-0.0032959509,-0.036091378,-0.013711803,0.049651837,0.071428571,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,9,historical_vol_20,32,14,0.048208466,0.048208466,0.2058595,0.088343548,0.049367133,0.78571429,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,10,trix_15,25,14,-0.036107304,0.012710935,-0.031762288,-0.005547268,0.052777839,0.5,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,11,minutes_from_cash_open,39,14,-0.032764635,-0.032764635,0.23728718,0.06367479,0.032764635,0,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,validation,short,12,is_first_30m_after_open,40,14,-0.027023419,0.0054482111,0.027095965,0.010206542,0.054264475,0.14285714,0.56702515,0.25409515
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,1,ema50_ema200_diff,14,25,-0.18376888,0.081438354,-0.13234185,-0.024273006,0.2657516,0.32,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,2,atr_14,26,25,0.098867637,0.098867637,0.48378862,0.14987007,0.10558408,0.92,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,3,ema20_ema50_diff,13,25,-0.092401068,0.22446118,-0.078809039,0.03414089,0.16845388,0.32,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,4,atr_50,27,25,0.082543529,0.098855086,0.084385911,0.062142822,0.082543529,1,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,5,sma50_sma200_ratio,16,25,-0.081982245,-0.065500247,0.013066897,-0.016342058,0.10341989,0.16,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,6,rsi_50,18,25,0.057752522,0.079949095,0.076685272,0.050246578,0.085464576,0.76,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,7,historical_vol_20,32,25,0.057286829,0.057286829,0.23400943,0.094695365,0.089737391,0.76,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,8,is_first_30m_after_open,40,25,-0.053972404,-0.019831488,0.078797823,0.017320325,0.053972404,0,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,9,close_ema50_ratio,11,25,0.05112768,0.12191559,0.060348149,0.058547211,0.059718437,0.76,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,10,ema9_ema20_diff,12,25,-0.050786182,-0.02594713,-0.012749388,-0.02437957,0.053289387,0.12,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,11,ppo_hist_12_26_9,23,25,-0.050120114,-0.040451269,0.043991317,-0.00079170662,0.05332262,0.16,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,long,12,historical_vol_5_over_20,33,25,-0.037691297,0.014864756,-0.034571644,-0.0077565412,0.042879788,0.32,0.61266553,0.36809012
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,1,ema9_ema20_diff,12,8,0.1074268,0.22669819,0.11620985,0.10602491,0.16622887,0.625,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,2,atr_14_over_atr_50,28,8,-0.0966602,-0.00021481345,-0.076329924,-0.023358869,0.12680163,0.125,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,3,ema20_ema50_diff,13,8,-0.092437892,-0.070304787,-0.01990106,-0.0297273,0.10575707,0.125,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,4,is_first_30m_after_open,40,8,0.07749849,0.082233936,0.40897972,0.154055,0.089352974,0.875,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,5,ema50_ema200_diff,14,8,0.076102006,0.14921085,0.086933492,0.078585043,0.15228198,0.5,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,6,vortex_indicator,37,8,0.068883053,0.087740194,0.081454251,0.055975245,0.078419923,0.75,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,7,close_ema50_ratio,11,8,-0.056429046,-0.049556111,-0.053552941,-0.031117205,0.068803252,0.625,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,8,historical_vol_20,32,8,-0.051296684,-0.033408688,0.030832054,0.0013622658,0.051296684,0,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,9,roc_12,24,8,0.04870579,0.052074069,0.05594874,0.035778379,0.049899353,0.875,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,10,trix_15,25,8,-0.046436066,-0.032987942,-0.033270658,-0.021630581,0.064677517,0.625,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,11,ppo_hist_12_26_9,23,8,0.044814834,0.056794773,0.091358867,0.047240385,0.090882963,0.625,0.56320325,0.26992803
run13F_ebm_q90_hold6_probe_v1,Tier B,oos,short,12,return_1_over_atr_14,9,8,-0.043888382,-0.000621829,-0.034340794,-0.0097483315,0.052237413,0.375,0.56320325,0.26992803
