run_id,entry_month,side,segment_trade_count,segment_trade_per_business_day,segment_net_profit,segment_profit_factor,segment_max_drawdown,review_status,claim_boundary
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2026-01,short,5.0,0.25,32.615,8.9066666667,-4.125,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2026-01,long,74.0,3.5238095238,35.72,1.2413350449,-58.035,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-01,long,75.0,3.4090909091,50.863,1.2615158386,-42.303,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-05,long,67.0,3.0454545455,73.861,1.7637053581,-28.465,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2026-02,long,75.0,3.75,77.692,1.418378227,-37.01,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-06,long,65.0,3.0952380952,83.773,1.9073805294,-21.611,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2026-03,long,92.0,4.1818181818,122.87,1.5963260453,-55.08,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-11,long,69.0,3.8333333333,143.336,1.6392821144,-56.336,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-04,long,106.0,4.8181818182,285.075,1.7004076037,-66.838,month_side_positive(월/방향 양수),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-12,long,57.0,2.5909090909,-83.351,0.5624160017,-106.511,month_side_negative_watch(월/방향 음수 관찰),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-05,short,5.0,0.2777777778,-32.938,0.0208097984,-32.938,month_side_negative_watch(월/방향 음수 관찰),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-09,long,49.0,2.3333333333,-19.796,0.8168986727,-41.483,month_side_negative_watch(월/방향 음수 관찰),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-07,long,34.0,1.5454545455,-12.203,0.8354570338,-30.86,month_side_negative_watch(월/방향 음수 관찰),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-09,short,1.0,1.0,-8.813,0.0,-8.813,month_side_negative_watch(월/방향 음수 관찰),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-03,short,7.0,0.4117647059,-8.074,0.5840717082,-9.312,month_side_negative_watch(월/방향 음수 관찰),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-06,short,1.0,1.0,-5.563,0.0,-5.563,month_side_negative_watch(월/방향 음수 관찰),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-08,long,42.0,2.1,-3.967,0.9652809382,-35.963,month_side_negative_watch(월/방향 음수 관찰),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2026-03,short,7.0,0.5384615385,-3.025,0.7205542725,-5.35,month_side_negative_watch(월/방향 음수 관찰),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,2025-08,short,2.0,0.25,-2.862,0.47,-5.4,month_side_negative_watch(월/방향 음수 관찰),research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
