time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,price_basis,open,high,low,close,tick_volume,spread_points,real_volume,time_basis,timezone_status
1777052100,1777052400,TSLA,TSLA.xnas,M5,Bid,373.19,374.57,372.4,374.42,827,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777052400,1777052700,TSLA,TSLA.xnas,M5,Bid,374.47,375.47,374.19,375.39,714,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777052700,1777053000,TSLA,TSLA.xnas,M5,Bid,375.37,375.86,373.75,374.89,822,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777053000,1777053300,TSLA,TSLA.xnas,M5,Bid,374.87,376.29,374.37,376.22,641,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777053300,1777053600,TSLA,TSLA.xnas,M5,Bid,376.23,377.37,375.87,376.7,807,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777053600,1777053900,TSLA,TSLA.xnas,M5,Bid,376.72,377.19,376.13,376.7,603,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777053900,1777054200,TSLA,TSLA.xnas,M5,Bid,376.71,376.88,375.12,375.67,717,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777054200,1777054500,TSLA,TSLA.xnas,M5,Bid,375.65,375.79,374.39,374.87,590,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777054500,1777054800,TSLA,TSLA.xnas,M5,Bid,374.85,374.93,373.89,374.34,680,7,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777054800,1777055100,TSLA,TSLA.xnas,M5,Bid,374.35,376.09,374.26,375.8,692,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777055100,1777055400,TSLA,TSLA.xnas,M5,Bid,375.8,376.14,375.1,375.91,561,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777055400,1777055700,TSLA,TSLA.xnas,M5,Bid,375.93,376.72,375.64,375.64,663,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777055700,1777056000,TSLA,TSLA.xnas,M5,Bid,375.62,376.0,375.11,375.48,576,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777056000,1777056300,TSLA,TSLA.xnas,M5,Bid,375.46,375.9,374.04,375.02,638,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777056300,1777056600,TSLA,TSLA.xnas,M5,Bid,375.03,376.64,374.51,375.6,827,7,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777056600,1777056900,TSLA,TSLA.xnas,M5,Bid,375.61,376.0,374.18,374.77,668,7,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777056900,1777057200,TSLA,TSLA.xnas,M5,Bid,374.82,374.82,373.85,374.34,741,7,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777057200,1777057500,TSLA,TSLA.xnas,M5,Bid,374.34,374.56,373.5,373.92,598,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777057500,1777057800,TSLA,TSLA.xnas,M5,Bid,373.93,373.96,372.32,373.18,586,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
