record_type,feature_index,item_index,value,score_short,score_flat,score_long
score,2,29,,-0.011238437050272915,-0.062336749397770397,0.06178439384969333
score,2,30,,-0.0054178799358911124,-0.10677029139635803,0.085675123799635516
score,2,31,,0,0,0
cut,3,0,10.439778804779053,,,
cut,3,1,11.524071216583252,,,
cut,3,2,12.284116744995117,,,
cut,3,3,12.93238639831543,,,
cut,3,4,13.539820194244385,,,
cut,3,5,14.052961826324463,,,
cut,3,6,14.547983646392822,,,
cut,3,7,15.01380443572998,,,
cut,3,8,15.465314865112305,,,
cut,3,9,15.872488021850586,,,
cut,3,10,16.214962959289551,,,
cut,3,11,16.622796058654785,,,
cut,3,12,17.07868480682373,,,
cut,3,13,17.479474067687988,,,
cut,3,14,17.939182281494141,,,
cut,3,15,18.378589630126953,,,
cut,3,16,18.895538330078125,,,
cut,3,17,19.41579532623291,,,
cut,3,18,19.951120376586914,,,
cut,3,19,20.470586776733398,,,
cut,3,20,20.996021270751953,,,
cut,3,21,21.657862663269043,,,
cut,3,22,22.303982734680176,,,
cut,3,23,23.026671409606934,,,
cut,3,24,24.037581443786621,,,
cut,3,25,25.283967018127441,,,
cut,3,26,27.008123397827148,,,
cut,3,27,29.140947341918945,,,
cut,3,28,32.586109161376953,,,
score,3,0,,0,0,0
score,3,1,,-0.018639330153769781,0.057149053831108521,-0.038134372950036736
score,3,2,,-0.023245484549414486,0.041484877012799952,-0.018189138744182064
score,3,3,,-0.028388288678864695,0.043453451928011873,-0.015504357222139985
score,3,4,,-0.028742767376663689,0.046109951469782563,-0.01794307393901786
score,3,5,,-0.027257669242326248,0.045760434731833645,-0.01893537511290393
score,3,6,,-0.017485731556437421,0.038054467076263525,-0.020274881592955225
score,3,7,,-0.00846793576901686,0.030010505063027309,-0.02063855752723814
score,3,8,,-0.0041389222218436786,0.026705956389151089,-0.02131697279380175
score,3,9,,0.0019180489364971451,0.018902172771125703,-0.019319425106721456
score,3,10,,0.0041930490295549088,0.017869171708351367,-0.020371059556980077
score,3,11,,0.007522281928508341,0.011421919402563249,-0.017184898237438944
score,3,12,,0.0081770448899550208,0.0091051653664408656,-0.015564057210839711
score,3,13,,0.012348414874022768,0.0015730226040022489,-0.012192743757180205
score,3,14,,0.015160427984854124,-0.0036974789265144048,-0.0097782917756934901
score,3,15,,0.015099652008143593,-0.0044569626758447969,-0.0090137886008433386
score,3,16,,0.015545130804390074,-0.010550200424981568,-0.0037218378177917323
score,3,17,,0.015218182422080102,-0.011857082434538714,-0.0022243787710835424
score,3,18,,0.01353375226739938,-0.013566771716454925,0.000886143136963999
score,3,19,,0.011331808579317058,-0.013563730332923541,0.0029064748569322214
score,3,20,,0.010289569020412594,-0.01595314273117892,0.0060053758980026795
score,3,21,,0.0060327363735911462,-0.013579438500166682,0.0078775293261557529
score,3,22,,0.0054160623644373684,-0.01891164214349738,0.01324324870972165
score,3,23,,0.0022932280815904592,-0.018541499426214109,0.015830435673872732
score,3,24,,0.00057748431905876591,-0.017531868254204233,0.016600584826011174
score,3,25,,-0.0012203542038293812,-0.016259089992244152,0.017256776402802876
score,3,26,,-0.0018098043299542043,-0.016696386716659656,0.018186495822356753
score,3,27,,0.0031950837858074287,-0.031234572920959151,0.02752799380746775
score,3,28,,0.0073530996320176154,-0.050978799138489572,0.041237693585459062
