record_view,tier_scope,candidate_id,candidate_alias,candidate_role,test_id,feature_family,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s264_lc_abl_gate_variant_rule_true_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,source_feature_gate,true_internal_feature_order_supervised_score_table,tier_only_total,400,1700.94,5311.33,-3610.39,1.471124,4.25235,0.555,23.92491,-20.28309,1.17955,437.66,17.185175,124,0.7775,7,3.886442,19.42,17.19,3.37,0,0,0.833333,2,2024-12,-237.38,2024-11,420.72,802.98,24.81,873.15,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_06_s264_lc_abl_gate_variant_rule_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s264_lc_abl_gate_variant_rule_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,source_feature_gate,true_internal_feature_order_supervised_score_table,routed_total,400,1700.94,5311.33,-3610.39,1.471124,4.25235,0.555,23.92491,-20.28309,1.17955,437.66,17.185175,124,0.7775,7,3.886442,19.42,17.19,3.37,0,0,0.833333,2,2024-12,-237.38,2024-11,420.72,802.98,24.81,873.15,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_06_s264_lc_abl_gate_variant_rule_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s264_lc_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,tier_only_total,330,1166.55,3465.04,-2298.49,1.507529,3.535,0.575758,18.237053,-16.417786,1.110811,332.72,16.924736,67,0.778788,7,3.506101,18.28,16.92,3.21,0,0,0.833333,2,2024-12,-246.12,2024-10,268.99,503.91,259.48,403.16,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_07_s264_lc_abl_trend_strength_direction_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s264_lc_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,routed_total,330,1166.55,3465.04,-2298.49,1.507529,3.535,0.575758,18.237053,-16.417786,1.110811,332.72,16.924736,67,0.778788,7,3.506101,18.28,16.92,3.21,0,0,0.833333,2,2024-12,-246.12,2024-10,268.99,503.91,259.48,403.16,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_07_s264_lc_abl_trend_strength_direction_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s264_lc_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,trend_strength(추세 강도),true_internal_feature_order_supervised_score_table,tier_only_total,343,1108.83,3502.27,-2393.44,1.463279,3.232741,0.559767,18.24099,-15.850596,1.150808,300.9,18.188572,100,0.801749,6,3.685045,16.92,16.08,3.48,0,0,0.75,3,2024-12,-200.42,2024-10,266.5,515.0,151.77,442.06,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_08_s264_lc_rep_trend_strength_adx_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s264_lc_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,trend_strength(추세 강도),true_internal_feature_order_supervised_score_table,routed_total,343,1108.83,3502.27,-2393.44,1.463279,3.232741,0.559767,18.24099,-15.850596,1.150808,300.9,18.188572,100,0.801749,6,3.685045,16.92,16.08,3.48,0,0,0.75,3,2024-12,-200.42,2024-10,266.5,515.0,151.77,442.06,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_08_s264_lc_rep_trend_strength_adx_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s264_lc_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,volatility_risk(변동성 위험),true_internal_feature_order_supervised_score_table,tier_only_total,330,1204.36,3551.45,-2347.09,1.513129,3.649576,0.563636,19.093817,-16.299236,1.171455,349.03,17.909652,83,0.784848,7,3.450592,18.86,17.46,3.15,0,0,0.75,3,2024-12,-245.48,2024-10,293.39,559.31,212.92,432.13,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_09_s264_lc_rep_volatility_atr_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s264_lc_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,volatility_risk(변동성 위험),true_internal_feature_order_supervised_score_table,routed_total,330,1204.36,3551.45,-2347.09,1.513129,3.649576,0.563636,19.093817,-16.299236,1.171455,349.03,17.909652,83,0.784848,7,3.450592,18.86,17.46,3.15,0,0,0.75,3,2024-12,-245.48,2024-10,293.39,559.31,212.92,432.13,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_09_s264_lc_rep_volatility_atr_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s262_lih_abl_gate_rank_bucket_true_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,source_feature_rank_bucket,true_internal_feature_order_supervised_score_table,tier_only_total,167,34.85,582.27,-547.42,1.063662,0.208683,0.526946,6.616705,-6.929367,0.954879,131.48,21.494197,131,0.904192,6,0.265059,22.36,21.49,0.25,0,0,0.666667,4,2024-08,-44.84,2024-02,42.87,57.26,-52.35,29.94,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_10_s262_lih_abl_gate_rank_bucket_ta_2024.png,mixed_or_fragile
mt5_rt_s262_lih_abl_gate_rank_bucket_true_historical_2024_tier_a_train_era_stress,Tier A+B,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,source_feature_rank_bucket,true_internal_feature_order_supervised_score_table,routed_total,167,34.85,582.27,-547.42,1.063662,0.208683,0.526946,6.616705,-6.929367,0.954879,131.48,21.494197,131,0.904192,6,0.265059,22.36,21.49,0.25,0,0,0.666667,4,2024-08,-44.84,2024-02,42.87,57.26,-52.35,29.94,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_10_s262_lih_abl_gate_rank_bucket_rt_2024.png,mixed_or_fragile
mt5_ta_s262_lih_abl_ma_trend_true_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_ma_trend,moving_average_trend,true_internal_feature_order_supervised_score_table,tier_only_total,309,834.52,2851.35,-2016.83,1.413778,2.700712,0.566343,16.293429,-15.05097,1.08255,275.53,17.544318,61,0.802589,7,3.028781,19.05,17.54,2.76,0,0,0.833333,2,2024-12,-191.07,2024-11,244.72,372.02,157.51,304.99,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_11_s262_lih_abl_ma_trend_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s262_lih_abl_ma_trend_true_historical_2024_tier_a_train_era_stress,Tier A+B,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_ma_trend,moving_average_trend,true_internal_feature_order_supervised_score_table,routed_total,309,834.52,2851.35,-2016.83,1.413778,2.700712,0.566343,16.293429,-15.05097,1.08255,275.53,17.544318,61,0.802589,7,3.028781,19.05,17.54,2.76,0,0,0.833333,2,2024-12,-191.07,2024-11,244.72,372.02,157.51,304.99,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_11_s262_lih_abl_ma_trend_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s262_lih_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,tier_only_total,343,1111.75,3525.98,-2414.23,1.460499,3.241254,0.559767,18.364479,-15.988278,1.148621,370.18,19.007569,80,0.801749,7,3.003269,20.34,19.01,2.77,0,0,0.833333,2,2024-12,-283.07,2024-11,321.75,503.87,181.53,426.35,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_12_s262_lih_abl_trend_strength_direction_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s262_lih_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A+B,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,routed_total,343,1111.75,3525.98,-2414.23,1.460499,3.241254,0.559767,18.364479,-15.988278,1.148621,370.18,19.007569,80,0.801749,7,3.003269,20.34,19.01,2.77,0,0,0.833333,2,2024-12,-283.07,2024-11,321.75,503.87,181.53,426.35,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_12_s262_lih_abl_trend_strength_direction_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s262_lih_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,trend_strength(추세 강도),true_internal_feature_order_supervised_score_table,tier_only_total,331,1116.28,3262.48,-2146.2,1.520119,3.372447,0.561934,17.540215,-14.801379,1.185039,307.37,16.938162,85,0.779456,6,3.631714,17.88,16.77,3.37,0,0,0.75,3,2024-12,-163.35,2024-10,278.45,467.43,181.06,467.79,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_13_s262_lih_rep_trend_strength_adx_ta_2024.png,constructive_curve_watch_not_selection
mt5_rt_s262_lih_rep_trend_strength_adx_true_historical_2024_tier_a_train_era_stress,Tier A+B,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,trend_strength(추세 강도),true_internal_feature_order_supervised_score_table,routed_total,331,1116.28,3262.48,-2146.2,1.520119,3.372447,0.561934,17.540215,-14.801379,1.185039,307.37,16.938162,85,0.779456,6,3.631714,17.88,16.77,3.37,0,0,0.75,3,2024-12,-163.35,2024-10,278.45,467.43,181.06,467.79,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_13_s262_lih_rep_trend_strength_adx_rt_2024.png,constructive_curve_watch_not_selection
mt5_ta_s262_lih_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,volatility_risk(변동성 위험),true_internal_feature_order_supervised_score_table,tier_only_total,325,1259.93,3622.53,-2362.6,1.533281,3.876708,0.572308,19.475968,-16.997122,1.145839,301.52,17.265017,85,0.781538,7,4.178595,16.85,15.03,3.66,0,0,0.75,3,2024-12,-201.86,2024-11,359.79,539.8,204.0,516.13,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_14_s262_lih_rep_volatility_atr_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s262_lih_rep_volatility_atr_true_historical_2024_tier_a_train_era_stress,Tier A+B,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,volatility_risk(변동성 위험),true_internal_feature_order_supervised_score_table,routed_total,325,1259.93,3622.53,-2362.6,1.533281,3.876708,0.572308,19.475968,-16.997122,1.145839,301.52,17.265017,85,0.781538,7,4.178595,16.85,15.03,3.66,0,0,0.75,3,2024-12,-201.86,2024-11,359.79,539.8,204.0,516.13,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_14_s262_lih_rep_volatility_atr_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s264_aia_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,tier_only_total,290,1093.77,3163.99,-2070.22,1.528335,3.771621,0.593103,18.395291,-17.544237,1.048509,334.3,17.682311,81,0.762069,7,3.271822,18.4,17.68,3.13,0,0,0.75,3,2024-12,-197.95,2024-09,231.02,516.47,207.68,369.62,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_15_s264_aia_abl_volatility_bandwidth_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s264_aia_abl_volatility_bandwidth_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,volatility_bandwidth,true_internal_feature_order_supervised_score_table,routed_total,290,1093.77,3163.99,-2070.22,1.528335,3.771621,0.593103,18.395291,-17.544237,1.048509,334.3,17.682311,81,0.762069,7,3.271822,18.4,17.68,3.13,0,0,0.75,3,2024-12,-197.95,2024-09,231.02,516.47,207.68,369.62,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_15_s264_aia_abl_volatility_bandwidth_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s264_aia_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,tier_only_total,329,1237.02,3735.98,-2498.96,1.495014,3.759939,0.56535,20.085914,-17.475245,1.149392,414.92,19.68498,69,0.768997,7,2.981346,20.98,19.68,2.77,0,0,0.833333,2,2024-12,-302.52,2024-10,326.92,578.6,216.37,442.05,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_16_s264_aia_abl_trend_strength_direction_ta_2024.png,dd_or_month_hole_uncomfortable
mt5_rt_s264_aia_abl_trend_strength_directi_true_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,trend_strength_direction,true_internal_feature_order_supervised_score_table,routed_total,329,1237.02,3735.98,-2498.96,1.495014,3.759939,0.56535,20.085914,-17.475245,1.149392,414.92,19.68498,69,0.768997,7,2.981346,20.98,19.68,2.77,0,0,0.833333,2,2024-12,-302.52,2024-10,326.92,578.6,216.37,442.05,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_16_s264_aia_abl_trend_strength_direction_rt_2024.png,dd_or_month_hole_uncomfortable
mt5_ta_s264_aia_abl_session_timing_true_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_session_timing,session_timing,true_internal_feature_order_supervised_score_table,tier_only_total,330,1275.28,3676.75,-2401.47,1.531041,3.864485,0.569697,19.557181,-16.911761,1.156425,362.37,17.26081,51,0.793939,7,3.519276,19.17,17.26,3.11,0,0,0.75,3,2024-12,-275.63,2024-11,392.68,579.3,198.0,497.98,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267X/true_internal_ablation_score_table_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267W_stage267_true_internal_ablation_score_table_materialization_v1_run267w_17_s264_aia_abl_session_timing_ta_2024.png,dd_or_month_hole_uncomfortable
