stage_num,stage_id,candidate_id,attempt_name,split,tester_status,runtime_status,report_status,expected_rows,feature_ready_count,feature_ready_diff,expected_signal_count,mt5_signal_count,signal_count_diff,order_attempt_count,order_fill_count,net_profit,profit_factor,trade_count,max_drawdown_percent,blocker
29,stage_frontier_29__train_only_loss_concentration_veto_for_pf_dd_balance_onnx_scout,f29b_0274,f66_f29_f29b_0274_oos,oos,completed,completed,completed,7584,7584,0,423,423,0,148,148,35.59,1.1,74,20.12,
30,stage_frontier_30__train_density_preserving_selector_before_loss_veto_or_exit_shape_pivot_onnx_scout,f30b_0214,f66_f30_f30b_0214_validation_is,validation_is,completed,completed,completed,9844,9844,0,1091,1091,0,549,549,131.85,1.11,275,46.58,
30,stage_frontier_30__train_density_preserving_selector_before_loss_veto_or_exit_shape_pivot_onnx_scout,f30b_0214,f66_f30_f30b_0214_oos,oos,completed,completed,completed,7584,7584,0,876,876,0,415,415,-99.72,0.89,208,51.63,
31,stage_frontier_31__exit_shape_pivot_for_density_preserved_source_scout_pf_lift_onnx_scout,f31b_0013,f66_f31_f31b_0013_validation_is,validation_is,completed,completed,completed,9844,9844,0,1091,1091,0,446,446,-20.67,0.98,341,22.93,
31,stage_frontier_31__exit_shape_pivot_for_density_preserved_source_scout_pf_lift_onnx_scout,f31b_0013,f66_f31_f31b_0013_oos,oos,completed,completed,completed,7584,7584,0,876,876,0,361,361,2.31,1.0,259,30.58,
32,stage_frontier_32__executable_sl_tp_mapping_for_return_space_exit_shape_handoff_surface_onnx_scout,f32b_0004,f66_f32_f32b_0004_validation_is,validation_is,completed,completed,completed,9844,9844,0,1091,1091,0,442,442,-19.32,0.98,330,24.09,
32,stage_frontier_32__executable_sl_tp_mapping_for_return_space_exit_shape_handoff_surface_onnx_scout,f32b_0004,f66_f32_f32b_0004_oos,oos,completed,completed,completed,7584,7584,0,876,876,0,362,362,14.5,1.02,254,29.23,
33,stage_frontier_33__path_native_exit_label_or_mfe_mae_surface_for_density_edge_onnx_scout,f33b_0176,f66_f33_f33b_0176_validation_is,validation_is,completed,completed,completed,9844,9844,0,877,877,0,259,259,42.25,1.08,205,12.1,
33,stage_frontier_33__path_native_exit_label_or_mfe_mae_surface_for_density_edge_onnx_scout,f33b_0176,f66_f33_f33b_0176_oos,oos,completed,completed,completed,7584,7584,0,846,846,0,242,242,-112.95,0.77,161,33.36,
35,stage_frontier_35__dd_compressed_short_state_pf_source_lift_for_seed_surface_onnx_scout,f35b_0044,f66_f35_f35b_0044_validation_is,validation_is,completed,completed,completed,9844,9844,0,35,35,0,18,18,9.31,1.25,14,5.78,
35,stage_frontier_35__dd_compressed_short_state_pf_source_lift_for_seed_surface_onnx_scout,f35b_0044,f66_f35_f35b_0044_oos,oos,completed,completed,completed,7584,7584,0,31,31,0,12,12,11.57,1.66,8,3.53,
36,stage_frontier_36__short_pf_lift_source_change_or_label_pivot_for_seed_surface_onnx_scout,f36b_0209,f66_f36_f36b_0209_validation_is,validation_is,completed,completed,completed,9844,9844,0,1113,1113,0,374,374,-5.83,0.99,328,19.51,
36,stage_frontier_36__short_pf_lift_source_change_or_label_pivot_for_seed_surface_onnx_scout,f36b_0209,f66_f36_f36b_0209_oos,oos,completed,completed,completed,7584,7584,0,852,852,0,266,266,193.61,1.27,233,11.55,
37,stage_frontier_37__short_pf_edge_label_family_pivot_after_source_utility_scout,f37b_0017,f66_f37_f37b_0017_validation_is,validation_is,completed,completed,completed,9844,9844,0,1429,1429,0,616,616,71.99,1.06,592,15.33,
37,stage_frontier_37__short_pf_edge_label_family_pivot_after_source_utility_scout,f37b_0017,f66_f37_f37b_0017_oos,oos,completed,completed,completed,7584,7584,0,1056,1056,0,431,431,148.71,1.16,414,9.09,
38,stage_frontier_38__short_pf_edge_source_family_or_model_pivot_after_payoff_label_negative,f38c_0058,f66_f38_f38c_0058_validation_is,validation_is,completed,completed,completed,9844,9844,0,1551,1551,0,776,776,-32.33,0.97,739,19.3,
38,stage_frontier_38__short_pf_edge_source_family_or_model_pivot_after_payoff_label_negative,f38c_0058,f66_f38_f38c_0058_oos,oos,completed,completed,completed,7584,7584,0,1406,1406,0,601,601,97.63,1.11,565,14.95,
39,stage_frontier_39__short_pf_edge_regime_conditioned_score_after_f38_scout_only,f39b_0001,f66_f39_f39b_0001_validation_is,validation_is,completed,completed,completed,9844,9844,0,787,787,0,413,413,-48.68,0.92,391,21.12,
39,stage_frontier_39__short_pf_edge_regime_conditioned_score_after_f38_scout_only,f39b_0001,f66_f39_f39b_0001_oos,oos,completed,completed,completed,7584,7584,0,567,567,0,298,298,117.65,1.24,286,10.67,
40,stage_frontier_40__short_pf_edge_non_score_source_pivot_after_regime_gate_negative,f40b_0001,f66_f40_f40b_0001_validation_is,validation_is,completed,completed,completed,9844,9844,0,1329,1329,0,504,504,142.98,1.13,448,12.67,
40,stage_frontier_40__short_pf_edge_non_score_source_pivot_after_regime_gate_negative,f40b_0001,f66_f40_f40b_0001_oos,oos,completed,completed,completed,7584,7584,0,1046,1046,0,366,366,143.41,1.17,318,14.2,
41,stage_frontier_41__short_pf_edge_exit_shape_source_pivot_after_f40_raw_pocket_scout,f40b_0013_initial_exit_family_hold04_s18_t86,f66_f41_f40b_0013_initial_exit_family_hold04_s18_t8_66093ce3,validation_is,completed,completed,completed,9844,9844,0,1360,1360,0,785,785,42.5,1.04,640,14.65,
41,stage_frontier_41__short_pf_edge_exit_shape_source_pivot_after_f40_raw_pocket_scout,f40b_0013_initial_exit_family_hold04_s18_t86,f66_f41_f40b_0013_initial_exit_family_hold04_s18_t86_oos,oos,completed,completed,completed,7584,7584,0,941,941,0,539,539,73.03,1.1,433,10.75,
42,stage_frontier_42__short_pf_edge_timing_source_pivot_after_f41_exit_shape_negative,f40b_0010_session_morning_5_120_session_morning_5_120_hold12_s18_t86,f66_f42_f40b_0010_session_morning_5_120_session_mor_3b94bd0c,validation_is,completed,completed,completed,9844,9844,0,1470,1470,0,938,938,40.26,1.03,854,17.88,
42,stage_frontier_42__short_pf_edge_timing_source_pivot_after_f41_exit_shape_negative,f40b_0010_session_morning_5_120_session_morning_5_120_hold12_s18_t86,f66_f42_f40b_0010_session_morning_5_120_session_mor_5d171f61,oos,completed,completed,completed,7584,7584,0,1032,1032,0,637,637,-67.31,0.94,574,22.51,
43,stage_frontier_43__short_pf_edge_trade_shape_source_pivot_after_f42_timing_negative,f43s_0039_initial_hold08_s16_t82,f66_f43_f43s_0039_initial_hold08_s16_t82_validation_is,validation_is,completed,completed,completed,9844,9844,0,1393,1393,0,1173,1173,-141.97,0.91,1091,38.4,
43,stage_frontier_43__short_pf_edge_trade_shape_source_pivot_after_f42_timing_negative,f43s_0039_initial_hold08_s16_t82,f66_f43_f43s_0039_initial_hold08_s16_t82_oos,oos,completed,completed,completed,7584,7584,0,1000,1000,0,828,828,153.93,1.13,744,16.23,
44,stage_frontier_44__short_pf_edge_label_model_pivot_after_f43_trade_shape_negative,f44b_0001,f66_f44_f44b_0001_validation_is,validation_is,completed,completed,completed,9844,9844,0,984,984,0,457,457,91.98,1.16,440,7.94,
44,stage_frontier_44__short_pf_edge_label_model_pivot_after_f43_trade_shape_negative,f44b_0001,f66_f44_f44b_0001_oos,oos,completed,completed,completed,7584,7584,0,704,704,0,342,342,33.43,1.07,328,10.81,
45,stage_frontier_45__short_pf_edge_event_utility_model_pivot_after_f44_label_model_memory,f45b_0001,f66_f45_f45b_0001_validation_is,validation_is,completed,completed,completed,9844,9844,0,869,869,0,366,366,80.47,1.18,344,14.88,
45,stage_frontier_45__short_pf_edge_event_utility_model_pivot_after_f44_label_model_memory,f45b_0001,f66_f45_f45b_0001_oos,oos,completed,completed,completed,7584,7584,0,727,727,0,336,336,-11.19,0.98,318,16.08,
46,stage_frontier_46__short_pf_edge_event_sequence_context_pivot_after_f45_event_classifier_memory,f46b_0001,f66_f46_f46b_0001_validation_is,validation_is,completed,completed,completed,9844,9844,0,1351,1351,0,560,560,-131.12,0.88,514,33.67,
46,stage_frontier_46__short_pf_edge_event_sequence_context_pivot_after_f45_event_classifier_memory,f46b_0001,f66_f46_f46b_0001_oos,oos,completed,completed,completed,7584,7584,0,1164,1164,0,441,441,-153.92,0.84,400,36.6,
47,stage_frontier_47__short_pf_edge_sequence_state_risk_budget_after_f46_sequence_context_memory,f47b_0001,f66_f47_f47b_0001_validation_is,validation_is,completed,completed,completed,9844,9844,0,1019,1019,0,508,508,-17.46,0.98,480,20.16,
47,stage_frontier_47__short_pf_edge_sequence_state_risk_budget_after_f46_sequence_context_memory,f47b_0001,f66_f47_f47b_0001_oos,oos,completed,completed,completed,7584,7584,0,667,667,0,335,335,37.53,1.07,311,10.95,
48,stage_frontier_48__short_pf_edge_event_rarity_risk_sizing_after_f47_state_budget_memory,f48b_0001,f66_f48_f48b_0001_validation_is,validation_is,completed,completed,completed,9844,9844,0,1041,1041,0,515,515,-3.3,1.0,485,16.65,
48,stage_frontier_48__short_pf_edge_event_rarity_risk_sizing_after_f47_state_budget_memory,f48b_0001,f66_f48_f48b_0001_oos,oos,completed,completed,completed,7584,7584,0,651,651,0,323,323,79.02,1.15,299,11.05,
49,stage_frontier_49__short_pf_edge_forward_floor_state_machine_after_f48_event_risk_memory,f49c_0001,f66_f49_f49c_0001_validation_is,validation_is,completed,completed,completed,9844,9844,0,938,938,0,480,480,-75.28,0.9,450,24.97,
49,stage_frontier_49__short_pf_edge_forward_floor_state_machine_after_f48_event_risk_memory,f49c_0001,f66_f49_f49c_0001_oos,oos,completed,completed,completed,7584,7584,0,559,559,0,276,276,-36.6,0.93,261,25.27,
