variant_id,queue_id,candidate_alias,engineered_feature,source_component,transform,weight,q25,q50,q75,component_status,threshold_source
run267cv_03_s264_aih_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aih,stage267cv_explosive_shock_state_combo_score,stage267cn_shared_weakness_state_interaction_score,raw,0.12,0.293518842901,0.469098491782,0.666551805122,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_03_s264_aih_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aih,stage267cv_explosive_shock_state_combo_score,stage267cn_aggressive_shock_release_reentry_score,raw,0.1,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result
run267cv_03_s264_aih_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aih,stage267cv_explosive_shock_state_combo_score,stage267cf_volatility_energy_transition_score,raw,0.09,0.263605897379,0.48672353015,0.691140165766,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_03_s264_aih_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aih,stage267cv_explosive_shock_state_combo_score,return_zscore_20,abs,0.07,0.310194760561,0.676886975765,1.18894177675,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_03_s264_aih_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aih,stage267cv_explosive_shock_state_combo_score,gap_percent,abs,0.04,0,8.45897284307e-06,1.90215523616e-05,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_03_s264_aih_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aih,stage267cv_explosive_shock_state_combo_score,log_return_1_negative_rolling_24,rolling_negative_state_pressure,0.07,0.416666666667,0.5,0.583333333333,ok,closed_bar_history_no_future_trade_result
run267cv_04_s264_aia_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aia,stage267cv_explosive_shock_state_combo_score,stage267cr_state_phase_monday_replacement_score,raw,0.2,0.288159304773,0.481486750521,0.679483233782,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_04_s264_aia_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aia,stage267cv_explosive_shock_state_combo_score,stage267cr_redzone_stress_blast_score,raw,0.18,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result
run267cv_04_s264_aia_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aia,stage267cv_explosive_shock_state_combo_score,stage267cr_aggressive_shock_supply_expansion_score,raw,0.16,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result
run267cv_04_s264_aia_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aia,stage267cv_explosive_shock_state_combo_score,stage267cn_shared_weakness_state_interaction_score,raw,0.12,0.293518842901,0.469098491782,0.666551805122,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_04_s264_aia_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aia,stage267cv_explosive_shock_state_combo_score,stage267cn_aggressive_shock_release_reentry_score,raw,0.1,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result
run267cv_04_s264_aia_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aia,stage267cv_explosive_shock_state_combo_score,stage267cf_volatility_energy_transition_score,raw,0.09,0.263605897379,0.48672353015,0.691140165766,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_04_s264_aia_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aia,stage267cv_explosive_shock_state_combo_score,return_zscore_20,abs,0.07,0.310194760561,0.676886975765,1.18894177675,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_04_s264_aia_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aia,stage267cv_explosive_shock_state_combo_score,gap_percent,abs,0.04,0,8.45897284307e-06,1.90215523616e-05,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_04_s264_aia_explosive_combo,cu_q05_explosive_shock_state_combo,s264_aia,stage267cv_explosive_shock_state_combo_score,log_return_1_negative_rolling_24,rolling_negative_state_pressure,0.07,0.416666666667,0.5,0.583333333333,ok,closed_bar_history_no_future_trade_result
run267cv_05_s258_stc_explosive_combo,cu_q05_explosive_shock_state_combo,s258_stc,stage267cv_explosive_shock_state_combo_score,stage267cr_state_phase_monday_replacement_score,raw,0.2,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result
run267cv_05_s258_stc_explosive_combo,cu_q05_explosive_shock_state_combo,s258_stc,stage267cv_explosive_shock_state_combo_score,stage267cr_redzone_stress_blast_score,raw,0.18,0.251772633515,0.469515748211,0.72499974597,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_05_s258_stc_explosive_combo,cu_q05_explosive_shock_state_combo,s258_stc,stage267cv_explosive_shock_state_combo_score,stage267cr_aggressive_shock_supply_expansion_score,raw,0.16,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result
run267cv_05_s258_stc_explosive_combo,cu_q05_explosive_shock_state_combo,s258_stc,stage267cv_explosive_shock_state_combo_score,stage267cn_shared_weakness_state_interaction_score,raw,0.12,0.293518842901,0.469098491782,0.666551805122,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_05_s258_stc_explosive_combo,cu_q05_explosive_shock_state_combo,s258_stc,stage267cv_explosive_shock_state_combo_score,stage267cn_aggressive_shock_release_reentry_score,raw,0.1,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result
run267cv_05_s258_stc_explosive_combo,cu_q05_explosive_shock_state_combo,s258_stc,stage267cv_explosive_shock_state_combo_score,stage267cf_volatility_energy_transition_score,raw,0.09,0.263605897379,0.48672353015,0.691140165766,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_05_s258_stc_explosive_combo,cu_q05_explosive_shock_state_combo,s258_stc,stage267cv_explosive_shock_state_combo_score,return_zscore_20,abs,0.07,0.310194760561,0.676886975765,1.18894177675,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_05_s258_stc_explosive_combo,cu_q05_explosive_shock_state_combo,s258_stc,stage267cv_explosive_shock_state_combo_score,gap_percent,abs,0.04,0,8.45897284307e-06,1.90215523616e-05,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only
run267cv_05_s258_stc_explosive_combo,cu_q05_explosive_shock_state_combo,s258_stc,stage267cv_explosive_shock_state_combo_score,log_return_1_negative_rolling_24,rolling_negative_state_pressure,0.07,0.416666666667,0.5,0.583333333333,ok,closed_bar_history_no_future_trade_result
