run_id,adapter_id,split,month,trade_count,net_profit,profit_factor,winner_count,loser_count,quality_flag
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,validation_is,2025.07,20,161.04,2.416483,11,9,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,validation_is,2025.08,25,28.26,1.106057,11,14,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,validation_is,2025.09,23,135.3,1.897274,14,9,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,oos,2025.10,21,21.79,1.339885,13,8,pf_below_34d
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,oos,2025.11,33,193.66,3.129536,21,12,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,oos,2025.12,20,-29.47,0.770286,10,10,negative_month
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,oos,2026.01,31,116.48,2.012517,18,13,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,oos,2026.02,38,117.81,1.613818,20,18,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,oos,2026.03,40,289.46,2.141494,21,19,acceptable_measurement_only
run240A_stage240_highbonus_dd_midpf_repair_after_score_shape_tradeoff_v1,s240_highbonus0075_cap0290,oos,2026.04,12,-5.57,0.918555,7,5,negative_month
