run_id,start_date,end_date,business_days_by_trade_span,trade_count,trade_density_per_business_day,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_rate_after_cost_percent,long_trade_count,short_trade_count,long_share,short_share,median_hold_m5_calendar,max_hold_m5_calendar,max_closed_balance_drawdown_percent,claim_boundary,slice_id,month,entry_hour,slice_bucket,proposed_use,timestamp_boundary
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-11-19,2025-11-20,2,4,2.0,7.67,20.7,-13.03,1.588641596,1.9175,50.0,0,4,0.0,1.0,6.0,6,3.330584,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-11_h19,2025-11,19,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2026-02-03,2026-02-04,2,2,1.0,5.43,5.43,0.0,,2.715,100.0,0,2,0.0,1.0,6.0,6,0.266347,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2026-02_h19,2026-02,19,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-12-12,2025-12-17,4,2,0.5,5.21,5.21,0.0,,2.605,100.0,0,2,0.0,1.0,6.0,6,5.143031,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-12_h18,2025-12,18,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-03-10,2025-03-28,15,3,0.2,4.4,8.97,-4.57,1.962800875,1.466667,66.666667,0,3,0.0,1.0,6.0,6,0.728415,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-03_h18,2025-03,18,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-03-18,2025-03-28,9,2,0.2222222222,4.09,5.57,-1.48,3.763513514,2.045,50.0,0,2,0.0,1.0,6.0,6,0.237446,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-03_h17,2025-03,17,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2026-02-04,2026-02-12,7,3,0.4285714286,3.68,6.54,-2.86,2.286713287,1.226667,66.666667,0,3,0.0,1.0,6.0,6,1.127402,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2026-02_h18,2026-02,18,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-08-05,2025-08-29,19,3,0.1578947368,1.5,3.96,-2.46,1.609756098,0.5,33.333333,0,3,0.0,1.0,6.0,6,2.906891,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-08_h17,2025-08,17,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-03-06,2025-03-06,1,2,2.0,0.75,7.22,-6.47,1.115919629,0.375,50.0,0,2,0.0,1.0,6.0,6,1.133605,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-03_h19,2025-03,19,short_positive_slice(숏 양수 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-02-26,2025-02-28,3,2,0.6666666667,-4.01,9.17,-13.18,0.695751138,-2.005,50.0,0,2,0.0,1.0,6.0,6,5.761284,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-02_h20,2025-02,20,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-02,2025-01-27,18,3,0.1666666667,-7.52,1.71,-9.23,0.185265439,-2.506667,33.333333,0,3,0.0,1.0,6.0,6,14.416839,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-01_h19,2025-01,19,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-04-08,2025-04-23,12,3,0.25,-9.04,25.48,-34.52,0.738122827,-3.013333,33.333333,0,3,0.0,1.0,6.0,6,5.324648,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-04_h19,2025-04,19,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-02-07,2025-02-27,15,6,0.4,-13.31,8.11,-21.42,0.378618114,-2.218333,16.666667,0,6,0.0,1.0,6.0,6,4.790804,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-02_h17,2025-02,17,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-05-21,2025-05-30,8,2,0.25,-14.0,0.0,-14.0,0.0,-7.0,0.0,0,2,0.0,1.0,6.5,7,2.844673,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-05_h20,2025-05,20,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-12-11,2025-12-17,5,3,0.6,-14.09,11.09,-25.18,0.440428912,-4.696667,33.333333,0,3,0.0,1.0,6.0,6,5.424929,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-12_h17,2025-12,17,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-04-03,2025-04-30,20,3,0.15,-16.35,3.78,-20.13,0.187779434,-5.45,33.333333,0,3,0.0,1.0,6.0,6,5.098261,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-04_h17,2025-04,17,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-10-10,2025-10-22,9,3,0.3333333333,-27.76,0.0,-27.76,0.0,-9.253333,0.0,0,3,0.0,1.0,6.0,7,3.90182,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-10_h20,2025-10,20,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
run364BG_materialize_density_restore_forward_regime_stress_inputs_without_db_v1,2025-01-07,2025-01-21,11,3,0.2727272727,-32.35,0.0,-32.35,0.0,-10.783333,0.0,0,3,0.0,1.0,5.0,6,12.111109,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,short_2025-01_h17,2025-01,17,short_stress_slice(숏 압박 조각),"short restore candidate if positive, stress label otherwise(양수면 숏 복원 후보, 아니면 압박 라벨)",month/hour/side known at entry decision(月/시간/방향은 진입 결정 시점에 알려짐)
