run_id,decision,source_bucket,bar_hour,cycle_count,order_filled_count,mean_p_short,mean_p_long,claim_boundary
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,flat,native_short_threshold,19,3,0,0.4596788188,0.3898079395,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,flat,native_short_threshold,20,3,0,0.4659171104,0.3709535797,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,flat,native_short_threshold,21,1,0,0.4547335505,0.3625802398,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,flat,other_runtime_source,16,812,18,0.38375435,0.3623033054,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,flat,other_runtime_source,17,1660,124,0.3631622347,0.3501636079,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,flat,other_runtime_source,18,2079,129,0.3543645327,0.3443101654,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,flat,other_runtime_source,19,2260,103,0.3443498924,0.3385818948,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,flat,other_runtime_source,20,2401,60,0.3363489151,0.3326233523,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,flat,other_runtime_source,21,2146,75,0.3285138802,0.3272450171,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,flat,other_runtime_source,22,231,3,0.3201476199,0.3222351998,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,long,long_threshold,16,447,161,0.3606728958,0.3799816369,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,long,long_threshold,17,1233,417,0.3545126099,0.3776005827,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,long,long_threshold,18,861,299,0.3508318824,0.3683579128,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,long,long_threshold,19,507,167,0.3412847621,0.3620057137,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,long,long_threshold,20,379,163,0.3445247338,0.362583691,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,long,long_threshold,21,284,102,0.3460453982,0.3626929217,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,long,long_threshold,22,22,14,0.3439672644,0.3585101976,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,short,native_short_threshold,17,8,7,0.4555864818,0.3989897333,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,short,native_short_threshold,18,55,33,0.4713112604,0.3609077584,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,short,native_short_threshold,19,2,1,0.4616716802,0.3909504414,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,short,native_short_threshold,20,3,3,0.4602597455,0.3909101884,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,short,native_short_threshold,21,10,7,0.4635025471,0.3559490383,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,short,synthetic_short_overlay,17,96,44,0.4646211086,0.352078431,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,short,synthetic_short_overlay,19,49,24,0.4638852009,0.3527484779,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BW_review_synthetic_short_source_runtime_probe_without_db_v1,short,synthetic_short_overlay,20,27,18,0.4575636652,0.3551296117,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
