record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_ta_s264_lc_abl_gate_variant_rule_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),tier_only_total,516,1227.99,6329.59,-5101.6,1.240707,2.379826,0.52907,23.185311,-20.994239,1.104365,406.05,26.431589,196,0.887597,7,3.024233,22.97,26.43,2.92,0,0,0.666667,4,2024-07,-86.87,2024-02,297.25,816.61,-74.06,485.44,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_06_s264_lc_abl_gate_variant_rule_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_lc_abl_gate_variant_rule_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,516,1227.99,6329.59,-5101.6,1.240707,2.379826,0.52907,23.185311,-20.994239,1.104365,406.05,26.431589,196,0.887597,7,3.024233,22.97,26.43,2.92,0,0,0.666667,4,2024-07,-86.87,2024-02,297.25,816.61,-74.06,485.44,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_06_s264_lc_abl_gate_variant_rule_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_lc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,337,162.73,1516.65,-1353.92,1.120192,0.482878,0.507418,8.869298,-8.156145,1.087438,191.75,25.573486,263,0.946588,6,0.848657,26.15,25.57,0.83,0,0,0.5,6,2024-07,-73.06,2024-02,137.02,219.56,-106.09,49.26,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_07_s264_lc_abl_trend_strength_direction_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s264_lc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,337,162.73,1516.65,-1353.92,1.120192,0.482878,0.507418,8.869298,-8.156145,1.087438,191.75,25.573486,263,0.946588,6,0.848657,26.15,25.57,0.83,0,0,0.5,6,2024-07,-73.06,2024-02,137.02,219.56,-106.09,49.26,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_07_s264_lc_abl_trend_strength_direction_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s264_lc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,337,162.73,1516.65,-1353.92,1.120192,0.482878,0.507418,8.869298,-8.156145,1.087438,191.75,25.573486,263,0.946588,6,0.848657,26.15,25.57,0.83,0,0,0.5,6,2024-07,-73.06,2024-02,137.02,219.56,-106.09,49.26,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_08_s264_lc_rep_trend_strength_adx_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s264_lc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,337,162.73,1516.65,-1353.92,1.120192,0.482878,0.507418,8.869298,-8.156145,1.087438,191.75,25.573486,263,0.946588,6,0.848657,26.15,25.57,0.83,0,0,0.5,6,2024-07,-73.06,2024-02,137.02,219.56,-106.09,49.26,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_08_s264_lc_rep_trend_strength_adx_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s264_lc_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,312,396.18,1562.29,-1166.11,1.339745,1.269808,0.538462,9.299345,-8.097986,1.148353,121.46,16.100426,160,0.900641,5,3.261815,16.81,16.1,3.12,0,0,0.666667,4,2024-06,-32.37,2024-02,135.04,201.49,28.87,165.82,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_09_s264_lc_rep_volatility_atr_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_lc_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,312,396.18,1562.29,-1166.11,1.339745,1.269808,0.538462,9.299345,-8.097986,1.148353,121.46,16.100426,160,0.900641,5,3.261815,16.81,16.1,3.12,0,0,0.666667,4,2024-06,-32.37,2024-02,135.04,201.49,28.87,165.82,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_09_s264_lc_rep_volatility_atr_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s262_lih_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),tier_only_total,352,-51.96,1520.88,-1572.84,0.966964,-0.147614,0.494318,8.74069,-8.83618,0.989193,339.33,44.563076,308,0.946023,6,-0.153125,45.33,44.56,-0.15,0,0,0.5,6,2024-07,-121.22,2024-02,132.59,157.57,-137.62,-71.91,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_10_s262_lih_abl_gate_rank_bucket_ta_2024.png,"fragile_or_negative_no_extension(취약 또는 음수, 확장 금지)"
mt5_rt_s262_lih_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,352,-51.96,1520.88,-1572.84,0.966964,-0.147614,0.494318,8.74069,-8.83618,0.989193,339.33,44.563076,308,0.946023,6,-0.153125,45.33,44.56,-0.15,0,0,0.5,6,2024-07,-121.22,2024-02,132.59,157.57,-137.62,-71.91,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_10_s262_lih_abl_gate_rank_bucket_rt_2024.png,"fragile_or_negative_no_extension(취약 또는 음수, 확장 금지)"
mt5_ta_s262_lih_abl_ma_trend_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_ma_trend,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,345,98.52,1577.2,-1478.68,1.066627,0.285565,0.498551,9.169767,-8.547283,1.072828,232.42,29.809283,302,0.944928,6,0.423888,31.12,29.81,0.4,0,0,0.5,6,2024-07,-102.83,2024-02,153.1,223.18,-98.98,-25.68,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_11_s262_lih_abl_ma_trend_ta_2024.png,dd_or_month_hole_uncomfortable(손실폭 또는 월별 구멍 불편)
mt5_rt_s262_lih_abl_ma_trend_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_ma_trend,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,345,98.52,1577.2,-1478.68,1.066627,0.285565,0.498551,9.169767,-8.547283,1.072828,232.42,29.809283,302,0.944928,6,0.423888,31.12,29.81,0.4,0,0,0.5,6,2024-07,-102.83,2024-02,153.1,223.18,-98.98,-25.68,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_11_s262_lih_abl_ma_trend_rt_2024.png,dd_or_month_hole_uncomfortable(손실폭 또는 월별 구멍 불편)
mt5_ta_s262_lih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,339,140.02,1499.74,-1359.72,1.102977,0.413038,0.504425,8.770409,-8.093571,1.083627,201.88,26.924513,265,0.946903,6,0.69358,27.5,26.92,0.68,0,0,0.416667,7,2024-07,-83.19,2024-02,137.02,219.56,-135.85,56.31,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_12_s262_lih_abl_trend_strength_direction_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s262_lih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,339,140.02,1499.74,-1359.72,1.102977,0.413038,0.504425,8.770409,-8.093571,1.083627,201.88,26.924513,265,0.946903,6,0.69358,27.5,26.92,0.68,0,0,0.416667,7,2024-07,-83.19,2024-02,137.02,219.56,-135.85,56.31,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_12_s262_lih_abl_trend_strength_direction_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s262_lih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,339,140.02,1499.74,-1359.72,1.102977,0.413038,0.504425,8.770409,-8.093571,1.083627,201.88,26.924513,265,0.946903,6,0.69358,27.5,26.92,0.68,0,0,0.416667,7,2024-07,-83.19,2024-02,137.02,219.56,-135.85,56.31,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_13_s262_lih_rep_trend_strength_adx_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s262_lih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,339,140.02,1499.74,-1359.72,1.102977,0.413038,0.504425,8.770409,-8.093571,1.083627,201.88,26.924513,265,0.946903,6,0.69358,27.5,26.92,0.68,0,0,0.416667,7,2024-07,-83.19,2024-02,137.02,219.56,-135.85,56.31,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_13_s262_lih_rep_trend_strength_adx_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s262_lih_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,313,380.99,1546.09,-1165.1,1.327002,1.21722,0.536741,9.202917,-8.035172,1.145329,131.15,17.384907,163,0.904153,5,2.904994,18.05,17.38,2.79,0,0,0.666667,4,2024-06,-32.37,2024-02,135.04,237.19,-15.66,159.46,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_14_s262_lih_rep_volatility_atr_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s262_lih_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,313,380.99,1546.09,-1165.1,1.327002,1.21722,0.536741,9.202917,-8.035172,1.145329,131.15,17.384907,163,0.904153,5,2.904994,18.05,17.38,2.79,0,0,0.666667,4,2024-06,-32.37,2024-02,135.04,237.19,-15.66,159.46,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_14_s262_lih_rep_volatility_atr_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aia_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,315,408.29,1584.62,-1176.33,1.347088,1.296159,0.539683,9.321294,-8.112621,1.148987,113.81,15.140349,159,0.892063,5,3.58747,15.85,15.14,3.42,0,0,0.666667,4,2024-06,-32.37,2024-02,135.28,197.61,41.42,169.26,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_15_s264_aia_abl_volatility_bandwidth_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
