candidate_id,candidate_label,split,session_feature_set,session_bucket_definitions,model_family_or_rule_family,thresholds,train_session_counts,validation_session_counts,oos_session_counts,tier_a_used_count,tier_b_fallback_used_count,actual_routed_total_count,validation_trade_count,oos_trade_count,long_count,short_count,no_trade_rate,trade_count_thinning_vs_reference,session_activation_rate,per_session_trade_count,session_concentration_share,worst_session_bucket,best_session_bucket,weakest_train_session_bucket,strongest_train_session_bucket,candidate_rejection_reason
c06_cash_close_reliability,late / close session candidate,oos,cash close reliability,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",20,0,20,,20,8,12,0.9976867915799214,-1775,0.015151515151515152,"{""late_cash_240_330"": 20}",1.0,late_cash_240_330,late_cash_240_330,midday_lull_120_240,cash_open_0_30,mt5_pending
c06_cash_close_reliability,late / close session candidate,validation_is,cash close reliability,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",23,6,29,29,,14,15,0.9976248976248976,-2478,0.015151515151515152,"{""late_cash_240_330"": 29}",1.0,late_cash_240_330,late_cash_240_330,midday_lull_120_240,cash_open_0_30,mt5_pending
c07_overnight_reliability,overnight/futures-like candidate,oos,overnight reliability,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,,0,0,0,1.0,-1795,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c07_overnight_reliability,overnight/futures-like candidate,validation_is,overnight reliability,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,0,,0,0,1.0,-2507,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c08_exclude_weak_session_bucket,remove weakest session bucket from reference signal,oos,weak session exclusion,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_reliability_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",1106,130,1236,,1236,604,632,0.8570437196391395,-559,0.6363636363636364,"{""cash_open_0_30"": 304, ""early_cash_30_60"": 219, ""late_cash_240_330"": 356, ""morning_60_120"": 357}",0.28883495145631066,early_cash_30_60,morning_60_120,midday_lull_120_240,cash_open_0_30,mt5_pending
c08_exclude_weak_session_bucket,remove weakest session bucket from reference signal,validation_is,weak session exclusion,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_reliability_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",1517,207,1724,1724,,866,858,0.8588042588042588,-783,0.6363636363636364,"{""cash_open_0_30"": 411, ""early_cash_30_60"": 337, ""late_cash_240_330"": 512, ""morning_60_120"": 464}",0.29698375870069604,early_cash_30_60,late_cash_240_330,midday_lull_120_240,cash_open_0_30,mt5_pending
c09_session_specific_thresholds,session-specific confidence thresholds,oos,session thresholds,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_reliability_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",1367,127,1494,,1494,746,748,0.8272033310201249,-301,1.0,"{""cash_open_0_30"": 273, ""early_cash_30_60"": 190, ""late_cash_240_330"": 275, ""midday_lull_120_240"": 453, ""morning_60_120"": 303}",0.3032128514056225,early_cash_30_60,midday_lull_120_240,midday_lull_120_240,cash_open_0_30,mt5_pending
c09_session_specific_thresholds,session-specific confidence thresholds,validation_is,session thresholds,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_reliability_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",1852,253,2105,2105,,1046,1059,0.8276003276003276,-402,1.0,"{""cash_open_0_30"": 366, ""early_cash_30_60"": 290, ""late_cash_240_330"": 421, ""midday_lull_120_240"": 652, ""morning_60_120"": 376}",0.30973871733966746,early_cash_30_60,midday_lull_120_240,midday_lull_120_240,cash_open_0_30,mt5_pending
c10_session_specific_long_short_thresholds,session-specific long/short thresholds,oos,directional session thresholds,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_directional_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,,0,0,0,1.0,-1795,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c10_session_specific_long_short_thresholds,session-specific long/short thresholds,validation_is,directional session thresholds,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_directional_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,0,,0,0,1.0,-2507,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c11_session_adjusted_label_recheck,broad session-adjusted label recheck,oos,broad session label read,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_label_balance_score,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",272,32,304,,304,143,161,0.9648392320148045,-1491,0.09090909090909091,"{""cash_open_0_30"": 304}",1.0,cash_open_0_30,cash_open_0_30,midday_lull_120_240,cash_open_0_30,mt5_pending
c11_session_adjusted_label_recheck,broad session-adjusted label recheck,validation_is,broad session label read,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_label_balance_score,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",374,37,411,411,,199,212,0.9663390663390663,-2096,0.09090909090909091,"{""cash_open_0_30"": 411}",1.0,cash_open_0_30,cash_open_0_30,midday_lull_120_240,cash_open_0_30,mt5_pending
c12_session_calibration_layer,calibration by session bucket,oos,session calibration,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_reliability_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,,0,0,0,1.0,-1795,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c12_session_calibration_layer,calibration by session bucket,validation_is,session calibration,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_reliability_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,0,,0,0,1.0,-2507,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c13_session_reliability_score,compact session reliability score,oos,session reliability score,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_reliability_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,,0,0,0,1.0,-1795,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c13_session_reliability_score,compact session reliability score,validation_is,session reliability score,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_reliability_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,0,,0,0,1.0,-2507,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c14_session_and_volatility_interaction,session x volatility interaction,oos,session volatility interaction,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,,0,0,0,1.0,-1795,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c14_session_and_volatility_interaction,session x volatility interaction,validation_is,session volatility interaction,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,0,,0,0,1.0,-2507,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c15_session_and_spread_proxy_interaction,session x execution/spread proxy,oos,session spread interaction,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,,0,0,0,1.0,-1795,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c15_session_and_spread_proxy_interaction,session x execution/spread proxy,validation_is,session spread interaction,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",score_table_rule,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,0,,0,0,1.0,-2507,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
c16_direction_specific_session_model,long/short separate session model,oos,direction-specific session model,"0-30 open, 30-60 early, 60-120 morning, 120-240 midday, 240-330 late, 330-390 close, outside unmapped",session_directional_score_table,{},"{""cash_open_0_30"": 3472, ""early_cash_30_60"": 3472, ""late_cash_240_330"": 10418, ""midday_lull_120_240"": 13884, ""morning_60_120"": 6946}","{""cash_open_0_30"": 1110, ""early_cash_30_60"": 1110, ""late_cash_240_330"": 3330, ""midday_lull_120_240"": 4440, ""morning_60_120"": 2220}","{""cash_open_0_30"": 786, ""early_cash_30_60"": 786, ""late_cash_240_330"": 2358, ""midday_lull_120_240"": 3144, ""morning_60_120"": 1572}",0,0,0,,0,0,0,1.0,-1795,0.0,{},0.0,none,none,midday_lull_120_240,cash_open_0_30,mt5_pending
