run_id,comparison_id,membership,open_time,open_type,left_net_profit,right_net_profit,left_source_bucket,right_source_bucket,left_close_month,right_close_month,left_open_hour,right_open_hour,left_close_hour,right_close_hour,claim_boundary
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2025-08-01T17:10:00,sell,-11.9,-inf,synthetic_short_overlay,,2025-08,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2025-08-20T17:05:00,sell,7.08,-inf,synthetic_short_overlay,,2025-08,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,right_only,2025-08-20T17:15:00,sell,-inf,3.96,,native_short_threshold,,2025-08,,17.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2025-08-29T17:05:00,sell,-1.12,-inf,synthetic_short_overlay,,2025-08,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,right_only,2025-08-29T17:15:00,sell,-inf,-1.4,,native_short_threshold,,2025-08,,17.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2025-12-12T17:35:00,sell,17.37,-inf,synthetic_short_overlay,,2025-12,,17.0,,18.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,right_only,2025-12-12T18:00:00,sell,-inf,1.69,,native_short_threshold,,2025-12,,18.0,,18.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2025-12-12T18:10:00,sell,5.24,-inf,native_short_threshold,,2025-12,,18.0,,18.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2026-01-08T17:05:00,sell,-7.56,-inf,synthetic_short_overlay,,2026-01,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2026-02-26T17:05:00,sell,30.22,-inf,synthetic_short_overlay,,2026-02,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,right_only,2026-02-26T17:10:00,sell,-inf,17.04,,native_short_threshold,,2026-02,,17.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx01_vs_bx02_hour17_overlay_increment,left_only,2026-02-26T17:40:00,sell,-5.06,-inf,synthetic_short_overlay,,2026-02,,17.0,,18.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-01-07T17:25:00,sell,11.53,-inf,synthetic_short_overlay,,2025-01,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,right_only,2025-01-07T17:40:00,sell,-inf,-11.51,,native_short_threshold,,2025-01,,17.0,,18.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-02-18T17:10:00,sell,2.98,-inf,synthetic_short_overlay,,2025-02,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-02-25T17:50:00,sell,3.29,-inf,synthetic_short_overlay,,2025-02,,17.0,,18.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,right_only,2025-02-25T18:05:00,sell,-inf,1.81,,native_short_threshold,,2025-02,,18.0,,18.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-05-29T17:05:00,sell,5.42,-inf,synthetic_short_overlay,,2025-05,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,right_only,2025-05-29T17:15:00,sell,-inf,-2.15,,native_short_threshold,,2025-05,,17.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-07-22T17:05:00,sell,-6.96,-inf,synthetic_short_overlay,,2025-07,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-08-01T17:10:00,sell,-11.9,-inf,synthetic_short_overlay,,2025-08,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-08-20T17:05:00,sell,7.08,-inf,synthetic_short_overlay,,2025-08,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,right_only,2025-08-20T17:15:00,sell,-inf,3.96,,native_short_threshold,,2025-08,,17.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-08-29T17:05:00,sell,-1.12,-inf,synthetic_short_overlay,,2025-08,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,right_only,2025-08-29T17:15:00,sell,-inf,-1.4,,native_short_threshold,,2025-08,,17.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,right_only,2025-12-10T22:05:00,buy,-inf,-38.1,,long_threshold,,2025-12,,22.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-12-11T17:05:00,sell,-16.94,-inf,synthetic_short_overlay,,2025-12,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-12-12T17:35:00,sell,17.37,-inf,synthetic_short_overlay,,2025-12,,17.0,,18.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,right_only,2025-12-12T18:00:00,sell,-inf,1.69,,native_short_threshold,,2025-12,,18.0,,18.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2025-12-12T18:10:00,sell,5.24,-inf,native_short_threshold,,2025-12,,18.0,,18.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2026-01-08T17:05:00,sell,-7.56,-inf,synthetic_short_overlay,,2026-01,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2026-02-26T17:05:00,sell,30.22,-inf,synthetic_short_overlay,,2026-02,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,right_only,2026-02-26T17:10:00,sell,-inf,17.04,,native_short_threshold,,2026-02,,17.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bx02_overlay_plus_late_firewall_increment,left_only,2026-02-26T17:40:00,sell,-5.06,-inf,synthetic_short_overlay,,2026-02,,17.0,,18.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-01-02T19:40:00,sell,-inf,-1.8,,synthetic_short_overlay,,2025-01,,19.0,,20.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,left_only,2025-01-02T19:45:00,sell,1.71,-inf,native_short_threshold,,2025-01,,19.0,,20.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-01-08T19:35:00,sell,-inf,-11.25,,synthetic_short_overlay,,2025-01,,19.0,,20.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-01-31T20:40:00,sell,-inf,8.22,,synthetic_short_overlay,,2025-01,,20.0,,21.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-02-27T19:50:00,sell,-inf,-7.98,,synthetic_short_overlay,,2025-02,,19.0,,20.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-03-06T19:45:00,sell,-inf,-0.36,,synthetic_short_overlay,,2025-03,,19.0,,20.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,left_only,2025-03-06T19:55:00,sell,-6.47,-inf,native_short_threshold,,2025-03,,19.0,,20.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-04-04T19:40:00,sell,-inf,7.42,,synthetic_short_overlay,,2025-04,,19.0,,20.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-05-21T20:25:00,sell,-inf,0.88,,synthetic_short_overlay,,2025-05,,20.0,,20.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,left_only,2025-05-21T20:30:00,sell,-6.83,-inf,native_short_threshold,,2025-05,,20.0,,21.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-05-30T19:40:00,sell,-inf,-3.51,,synthetic_short_overlay,,2025-05,,19.0,,20.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,left_only,2025-05-30T20:00:00,sell,-7.17,-inf,native_short_threshold,,2025-05,,20.0,,20.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-06-23T19:40:00,sell,-inf,-9.76,,synthetic_short_overlay,,2025-06,,19.0,,20.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,left_only,2025-06-23T20:10:00,buy,15.33,-inf,long_threshold,,2025-06,,20.0,,20.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-06-23T20:20:00,buy,-inf,10.56,,long_threshold,,2025-06,,20.0,,20.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,left_only,2025-06-23T20:45:00,buy,0.84,-inf,long_threshold,,2025-06,,20.0,,21.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-06-23T20:55:00,buy,-inf,1.51,,long_threshold,,2025-06,,20.0,,21.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,left_only,2025-06-23T21:20:00,buy,-3.7,-inf,long_threshold,,2025-06,,21.0,,21.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-06-23T21:30:00,buy,-inf,-0.9,,long_threshold,,2025-06,,21.0,,22.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,left_only,2025-06-23T21:55:00,buy,27.04,-inf,long_threshold,,2025-06,,21.0,,16.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-06-24T16:40:00,buy,-inf,-1.11,,long_threshold,,2025-06,,16.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,left_only,2025-06-24T17:00:00,buy,1.56,-inf,long_threshold,,2025-06,,17.0,,17.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-06-24T17:15:00,buy,-inf,4.19,,long_threshold,,2025-06,,17.0,,17.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-07-31T21:00:00,sell,-inf,-2.97,,synthetic_short_overlay,,2025-07,,21.0,,21.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,left_only,2025-07-31T21:25:00,sell,-4.91,-inf,native_short_threshold,,2025-07,,21.0,,21.0,,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-09-23T20:45:00,sell,-inf,0.46,,synthetic_short_overlay,,2025-09,,20.0,,21.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BY_review_overlay_hour17_native_short_ablation_runtime_probe_without_db_v1,bx03_vs_bv_full_overlay_and_late_firewall_increment,right_only,2025-10-10T19:25:00,sell,-inf,13.43,,synthetic_short_overlay,,2025-10,,19.0,,19.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
