variant_id,open_hour,trade_count,net_profit,expectancy,win_count,loss_count,win_rate_percent,gross_profit,gross_loss,profit_factor,avg_hold_minutes,claim_boundary
bx02_native_short_only_overlay_disabled,17,292,196.38,0.672534,156,136,53.424658,869.48,-673.1,1.291755,31.799943,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,18,224,53.6,0.239286,116,108,51.785714,580.36,-526.76,1.101754,32.277009,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,19,135,37.41,0.277111,73,62,54.074074,359.55,-322.14,1.11613,35.148148,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,20,125,173.53,1.38824,64,61,51.2,444.71,-271.18,1.639907,44.72,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,21,84,301.33,3.587262,43,41,51.190476,537.78,-236.45,2.274392,794.583333,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,22,13,153.81,11.831538,9,4,69.230769,215.11,-61.3,3.509135,1361.923077,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,16,129,29.87,0.23155,70,59,54.263566,461.53,-431.66,1.069198,30.930233,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,17,300,218.79,0.7293,161,139,53.666667,926.37,-707.58,1.309209,31.668611,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,18,223,55.34,0.248161,115,108,51.569507,582.1,-526.76,1.105057,32.28722,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,19,135,37.41,0.277111,73,62,54.074074,359.55,-322.14,1.11613,35.148148,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,20,125,173.53,1.38824,64,61,51.2,444.71,-271.18,1.639907,44.72,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,21,84,301.33,3.587262,43,41,51.190476,537.78,-236.45,2.274392,794.583333,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,22,12,191.91,15.9925,9,3,75.0,215.11,-23.2,9.271983,1380.416667,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
