attempt_name,axis,worst_bucket,worst_direction,worst_trade_count,worst_net_profit,worst_profit_factor,best_bucket,best_direction,best_trade_count,best_net_profit,regime_judgment,claim_boundary
m48_bal_rf,direction,short,short,61,-54.96,0.79523099851,long,long,216,112.8,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,month,2026-04,short,23,-91.52,0.27232249344,2026-05,long,124,101.11,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,rate,us10yr_z_lt_minus1,short,39,-58.11,0.661462277891,us10yr_z_gt_plus1,long,63,85.47,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,session,session_07_12,long,93,-20.02,0.895924308588,session_13_20,long,117,132.15,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,usd,usdx_z_neutral,long,95,-46.03,0.807542752017,usdx_z_gt_plus1,long,48,80.41,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,vix,vix_z_gt_plus1,short,34,-43.13,0.724848484848,vix_z_neutral,long,104,84.3,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,volatility,vol_low,long,98,-31.15,0.815527656046,vol_high,long,56,115.6,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,adx,adx_20_25,long,58,-44.02,0.710813296544,adx_lt20,long,77,225.26,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,close_hour,08,long,10,-22.97,0.29884004884,18,long,11,51.71,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,direction,short,short,31,40.35,1.47593772116,long,long,238,229.53,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,month,2026-04,short,8,-22.07,0.481681540629,2026-05,long,138,181.0,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,rate,us10yr_z_lt_minus1,short,22,11.19,1.15613227292,us10yr_z_gt_plus1,long,71,127.05,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,session,session_07_12,long,92,-0.36,0.997905880984,session_13_20,long,137,221.19,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,usd,usdx_z_lt_minus1,short,4,-16.8,0.0,usdx_z_lt_minus1,long,72,84.52,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,vix,vix_z_gt_plus1,short,20,11.84,1.1866918953,vix_z_neutral,long,112,94.85,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,volatility,vol_mid,short,11,14.85,1.43510108409,vol_high,long,69,166.57,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,adx,adx_20_25,short,14,-25.69,0.646969905181,adx_lt20,long,81,89.09,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,close_hour,17,short,13,-45.17,0.522818508346,18,long,11,55.98,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,direction,short,short,58,-60.8,0.776593790189,long,long,265,69.46,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,month,2026-04,short,19,-112.93,0.198793898546,2026-05,long,148,73.32,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,rate,feature_missing,short,58,-60.8,0.776593790189,feature_missing,long,265,69.46,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,session,session_13_20,short,36,-30.13,0.802542761649,session_13_20,long,123,69.72,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,usd,feature_missing,short,58,-60.8,0.776593790189,feature_missing,long,265,69.46,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,vix,feature_missing,short,58,-60.8,0.776593790189,feature_missing,long,265,69.46,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,volatility,vol_mid,short,18,-49.9,0.407152191992,vol_high,long,58,49.96,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,adx,adx_lt20,short,8,-70.08,0.0846394984326,adx_lt20,long,94,132.67,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,close_hour,16,long,19,-27.78,0.605061131646,17,long,20,69.67,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,direction,short,short,30,-36.51,0.711269276394,long,long,296,156.42,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,month,2026-04,short,8,-29.2,0.458155501948,2026-05,long,167,118.74,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,rate,feature_missing,short,30,-36.51,0.711269276394,feature_missing,long,296,156.42,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,session,session_07_12,short,5,-18.5,0.402454780362,session_13_20,long,149,129.27,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,usd,feature_missing,short,30,-36.51,0.711269276394,feature_missing,long,296,156.42,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,vix,feature_missing,short,30,-36.51,0.711269276394,feature_missing,long,296,156.42,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_plain_rf,volatility,vol_high,short,23,-40.34,0.630247479377,vol_high,long,73,101.19,diagnostic_regime_risk_only_no_filter,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
