axis,value,candidate_rows,scout_clue_count,materialization_candidate_count,meaningful_signal_count,best_candidate,best_rank_score,best_val_net_pf_dd_tpd,best_oos_net_pf_dd_tpd
side,short,2400,943,410,32,f81b_01793,2017229.9977922274,100.12215747386088/1.3909692392961062/1.9090318777632547/2.040590405904059,105.88384987445208/1.6419275034957515/1.3696771464992707/2.0051546391752577
hold_bars,10,960,0,0,0,f81b_02810,50252.58937321426,3.051612295309276/1.6231884057971013/0.3264515478702947/0.04797047970479705,4.151612076176573/3.5434782608695654/0.3264515478702947/0.03608247422680412
hold_bars,14,960,565,307,48,f81b_01107,2020143.5620178394,131.06586098693595/1.4029339093155304/4.084192734768612/2.6014760147601477,120.89973397988815/1.396125563144892/2.050967333359029/3.4536082474226806
hold_bars,18,960,772,453,56,f81b_04147,2020783.1511846848,145.29843879680283/1.3885833720830922/3.331579981471941/2.5387453874538743,128.0461841691357/1.4582506579636618/2.1716124706154005/2.7422680412371134
hold_bars,20,960,525,253,58,f81b_03083,2019716.6487817026,254.58519121916365/1.4949135414133787/3.3638702976199966/3.3136531365313653,269.2932528052764/1.6573844687946646/2.5548382007240207/3.902061855670103
hold_bars,8,960,0,0,0,f81b_00818,47978.90189347534,0.4258063667873411/1.2222222222222225/0.25548382007240206/0.02214022140221402,0.19516125144419794/1.3055555555555556/0.0/0.010309278350515464
feature_set,compact_exportable_28,1200,451,225,24,f81b_04297,2020316.0448905935,158.15246849419563/1.4876621724751973/4.0460475810772545/2.273062730627306,121.17562102170245/1.4311914442283895/2.4554833818070163/2.7371134020618557
feature_set,price_vol_session,1200,520,310,67,f81b_01107,2020143.5620178394,131.06586098693595/1.4029339093155304/4.084192734768612/2.6014760147601477,120.89973397988815/1.396125563144892/2.050967333359029/3.4536082474226806
feature_set,runtime_fill_context,1200,442,226,38,f81b_03937,2020316.0448905935,158.15246849419563/1.4876621724751973/4.0460475810772545/2.273062730627306,121.17562102170245/1.4311914442283895/2.4554833818070163/2.7371134020618557
feature_set,trend_order_intent,1200,449,252,33,f81b_04147,2020783.1511846848,145.29843879680283/1.3885833720830922/3.331579981471941/2.5387453874538743,128.0461841691357/1.4582506579636618/2.1716124706154005/2.7422680412371134
model,extra_trees_d6_l160,2400,887,493,84,f81b_01107,2020143.5620178394,131.06586098693595/1.4029339093155304/4.084192734768612/2.6014760147601477,120.89973397988815/1.396125563144892/2.050967333359029/3.4536082474226806
model,histgbm_cost_shape_shallow,2400,975,520,78,f81b_04147,2020783.1511846848,145.29843879680283/1.3885833720830922/3.331579981471941/2.5387453874538743,128.0461841691357/1.4582506579636618/2.1716124706154005/2.7422680412371134
regime,all,960,401,234,39,f81b_03065,2018988.5182718388,247.06261207258729/1.4523324990701836/3.945805665562716/3.4760147601476015,262.62228639227476/1.5740237328886653/2.5548382007240433/4.262886597938144
regime,cash_mid,960,359,209,25,f81b_01125,2018461.360269392,181.41036708675915/1.4878804651229371/3.026241332621544/3.0516605166051662,184.22956007353037/1.639006153846154/2.5406446551644764/3.4948453608247423
