side,pnl,entry_hour,entry_month,entry_quarter,source,entry_time,exit_time
long,-7.12,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-29 19:30:00,2025-01-29 20:10:00
long,19.68,21,2025-01,2025Q1,parent_kept(부모 유지),2025-01-29 21:50:00,2025-01-30 16:50:00
long,-14.23,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-30 17:00:00,2025-01-30 17:30:00
long,-12.82,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-30 17:45:00,2025-01-30 18:15:00
long,5.86,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-30 18:30:00,2025-01-30 19:00:00
long,-6.2,19,2025-01,2025Q1,parent_kept(부모 유지),2025-01-30 19:05:00,2025-01-30 19:35:00
long,3.88,20,2025-01,2025Q1,parent_kept(부모 유지),2025-01-30 20:35:00,2025-01-30 21:15:00
long,7.57,16,2025-01,2025Q1,parent_kept(부모 유지),2025-01-31 16:50:00,2025-01-31 17:25:00
long,5.33,17,2025-01,2025Q1,parent_kept(부모 유지),2025-01-31 17:30:00,2025-01-31 18:05:00
long,2.51,18,2025-01,2025Q1,parent_kept(부모 유지),2025-01-31 18:50:00,2025-01-31 19:30:00
short,8.217,20,2025-01,2025Q1,synthetic_short(합성 숏),2025-01-31 20:40:00,2025-01-31 21:10:00
short,34.11,21,2025-01,2025Q1,parent_kept(부모 유지),2025-01-31 21:45:00,2025-02-03 16:45:00
long,13.43,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-03 17:00:00,2025-02-03 17:30:00
long,3.63,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-03 17:35:00,2025-02-03 18:05:35
long,1.29,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-03 18:10:00,2025-02-03 18:40:00
long,-3.82,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-03 18:45:00,2025-02-03 19:15:00
long,8.41,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-03 20:45:00,2025-02-03 21:15:00
long,-0.43,21,2025-02,2025Q1,parent_kept(부모 유지),2025-02-03 21:20:00,2025-02-03 21:50:00
long,10.42,22,2025-02,2025Q1,parent_kept(부모 유지),2025-02-03 22:05:00,2025-02-04 17:05:00
long,2.58,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-04 17:10:00,2025-02-04 17:40:00
long,-8.52,19,2025-02,2025Q1,parent_kept(부모 유지),2025-02-04 19:05:00,2025-02-04 19:35:00
long,2.54,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-04 20:30:00,2025-02-04 21:30:00
long,-11.18,22,2025-02,2025Q1,parent_kept(부모 유지),2025-02-04 22:05:00,2025-02-05 17:05:00
long,2.34,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-05 17:15:00,2025-02-05 17:50:00
long,-0.62,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-05 17:55:00,2025-02-05 18:25:00
long,8.81,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-05 18:30:00,2025-02-05 19:00:00
long,1.63,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-05 20:50:00,2025-02-05 22:05:00
long,-6.02,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-06 17:15:00,2025-02-06 17:45:00
long,3.68,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-06 17:55:00,2025-02-06 18:25:00
long,-16.5,16,2025-02,2025Q1,parent_kept(부모 유지),2025-02-07 16:40:00,2025-02-07 17:10:00
short,-3.12,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-07 17:20:00,2025-02-07 17:50:00
long,7.32,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-07 17:55:00,2025-02-07 18:00:00
short,6.46,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-07 18:00:00,2025-02-07 18:30:03
long,5.28,19,2025-02,2025Q1,parent_kept(부모 유지),2025-02-07 19:20:00,2025-02-07 19:50:00
long,4.23,19,2025-02,2025Q1,parent_kept(부모 유지),2025-02-07 19:55:00,2025-02-07 20:25:00
long,-10.38,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-07 20:40:00,2025-02-07 21:10:00
long,6.94,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-10 17:00:00,2025-02-10 17:30:00
long,2.11,19,2025-02,2025Q1,parent_kept(부모 유지),2025-02-10 19:20:00,2025-02-10 19:50:00
long,4.97,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-11 17:05:00,2025-02-11 17:35:00
long,-0.2,19,2025-02,2025Q1,parent_kept(부모 유지),2025-02-11 19:00:00,2025-02-11 19:30:00
long,9.39,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-12 17:05:00,2025-02-12 17:35:00
long,-5.0,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-12 17:45:00,2025-02-12 18:15:00
long,-0.63,19,2025-02,2025Q1,parent_kept(부모 유지),2025-02-12 19:10:00,2025-02-12 19:40:00
long,5.39,16,2025-02,2025Q1,parent_kept(부모 유지),2025-02-13 16:40:00,2025-02-13 17:10:00
long,11.58,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-13 17:15:00,2025-02-13 17:45:00
long,-4.35,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-13 17:50:00,2025-02-13 18:35:00
long,-1.8,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-13 18:40:00,2025-02-13 19:15:00
long,-1.17,19,2025-02,2025Q1,parent_kept(부모 유지),2025-02-13 19:30:00,2025-02-13 20:05:00
long,-0.27,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-13 20:10:00,2025-02-13 20:45:00
long,4.31,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-13 20:50:00,2025-02-13 21:25:00
short,2.98,17,2025-02,2025Q1,synthetic_short(합성 숏),2025-02-18 17:10:00,2025-02-18 17:40:00
long,6.11,21,2025-02,2025Q1,parent_kept(부모 유지),2025-02-18 21:20:00,2025-02-18 22:00:00
long,0.88,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-19 17:00:00,2025-02-19 17:40:00
long,4.96,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-19 17:45:00,2025-02-19 19:00:00
long,-13.61,16,2025-02,2025Q1,parent_kept(부모 유지),2025-02-20 16:45:00,2025-02-20 17:05:00
short,-5.32,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-20 17:05:00,2025-02-20 17:35:00
long,-2.37,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-20 17:40:00,2025-02-20 18:10:00
long,4.41,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-20 18:50:00,2025-02-20 19:20:00
long,2.76,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-20 20:30:00,2025-02-20 21:10:00
short,-2.66,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-21 17:50:00,2025-02-21 18:20:00
short,-2.31,21,2025-02,2025Q1,parent_kept(부모 유지),2025-02-21 21:35:00,2025-02-24 16:40:00
short,5.88,17,2025-02,2025Q1,synthetic_short(합성 숏),2025-02-24 17:00:00,2025-02-24 17:30:00
long,1.53,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-24 18:35:00,2025-02-24 19:05:00
long,3.63,19,2025-02,2025Q1,parent_kept(부모 유지),2025-02-24 19:10:00,2025-02-24 19:40:00
long,-2.78,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-24 20:25:00,2025-02-24 21:00:00
short,21.143,17,2025-02,2025Q1,synthetic_short(합성 숏),2025-02-25 17:00:00,2025-02-25 17:30:00
short,3.293,17,2025-02,2025Q1,synthetic_short(합성 숏),2025-02-25 17:50:00,2025-02-25 18:20:00
long,-1.83,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-25 20:10:00,2025-02-25 20:40:00
long,2.39,16,2025-02,2025Q1,parent_kept(부모 유지),2025-02-26 16:55:00,2025-02-26 17:25:00
long,6.78,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-26 17:30:00,2025-02-26 18:00:00
long,0.29,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-26 18:05:00,2025-02-26 18:35:00
long,-2.25,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-26 18:40:00,2025-02-26 19:10:00
long,-7.76,19,2025-02,2025Q1,parent_kept(부모 유지),2025-02-26 19:20:00,2025-02-26 19:50:00
short,9.17,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-26 20:35:00,2025-02-26 21:05:00
long,-8.209999999999999,22,2025-02,2025Q1,parent_kept(부모 유지),2025-02-26 22:00:00,2025-02-27 17:00:00
short,-9.15,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-27 17:05:00,2025-02-27 17:35:00
long,-7.61,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-27 18:20:00,2025-02-27 18:50:00
long,-1.62,18,2025-02,2025Q1,parent_kept(부모 유지),2025-02-27 18:55:00,2025-02-27 19:25:00
long,-0.25,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-27 20:20:00,2025-02-27 20:55:00
short,25.52,21,2025-02,2025Q1,parent_kept(부모 유지),2025-02-27 21:40:00,2025-02-28 16:40:00
long,8.28,16,2025-02,2025Q1,parent_kept(부모 유지),2025-02-28 16:45:00,2025-02-28 17:15:00
long,5.76,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-28 17:20:00,2025-02-28 17:50:00
long,-5.9,17,2025-02,2025Q1,parent_kept(부모 유지),2025-02-28 17:55:00,2025-02-28 18:25:00
long,-16.75,19,2025-02,2025Q1,parent_kept(부모 유지),2025-02-28 19:20:00,2025-02-28 19:50:00
short,-13.18,20,2025-02,2025Q1,parent_kept(부모 유지),2025-02-28 20:25:00,2025-02-28 20:55:00
long,29.79,21,2025-02,2025Q1,parent_kept(부모 유지),2025-02-28 21:45:00,2025-03-03 16:45:00
short,-12.045,17,2025-03,2025Q1,synthetic_short(합성 숏),2025-03-03 17:00:00,2025-03-03 17:30:00
short,2.605,20,2025-03,2025Q1,synthetic_short(합성 숏),2025-03-03 20:15:00,2025-03-03 20:45:00
short,-5.47,17,2025-03,2025Q1,synthetic_short(합성 숏),2025-03-04 17:25:00,2025-03-04 17:55:00
short,-1.107,17,2025-03,2025Q1,synthetic_short(합성 숏),2025-03-05 17:00:00,2025-03-05 17:30:00
short,7.22,19,2025-03,2025Q1,parent_kept(부모 유지),2025-03-06 19:10:00,2025-03-06 19:40:00
short,-6.47,19,2025-03,2025Q1,parent_kept(부모 유지),2025-03-06 19:55:00,2025-03-06 20:25:00
short,-0.53,20,2025-03,2025Q1,parent_kept(부모 유지),2025-03-06 20:45:00,2025-03-06 21:15:00
short,-7.845,17,2025-03,2025Q1,synthetic_short(합성 숏),2025-03-07 17:40:00,2025-03-07 18:10:00
short,4.48,18,2025-03,2025Q1,parent_kept(부모 유지),2025-03-10 18:10:00,2025-03-10 18:40:00
short,4.49,18,2025-03,2025Q1,parent_kept(부모 유지),2025-03-10 18:50:00,2025-03-10 19:20:00
short,-1.48,17,2025-03,2025Q1,parent_kept(부모 유지),2025-03-18 17:05:00,2025-03-18 17:35:00
short,4.068,17,2025-03,2025Q1,synthetic_short(합성 숏),2025-03-26 17:05:00,2025-03-26 17:35:00
short,7.393,17,2025-03,2025Q1,synthetic_short(합성 숏),2025-03-28 17:20:00,2025-03-28 17:50:00
short,-4.57,18,2025-03,2025Q1,parent_kept(부모 유지),2025-03-28 18:10:00,2025-03-28 18:40:00
long,-1.86,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-01 17:05:00,2025-04-01 17:35:00
long,13.76,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-01 17:40:00,2025-04-01 18:10:00
long,-1.02,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-01 18:15:00,2025-04-01 18:45:00
long,3.38,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-01 18:50:00,2025-04-01 19:20:00
long,-2.95,19,2025-04,2025Q2,parent_kept(부모 유지),2025-04-01 19:25:00,2025-04-01 19:55:00
long,-15.02,16,2025-04,2025Q2,parent_kept(부모 유지),2025-04-03 16:40:00,2025-04-03 17:10:00
long,-5.13,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-03 17:15:00,2025-04-03 17:45:00
long,-0.6,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-03 17:50:00,2025-04-03 17:55:00
short,-4.75,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-03 17:55:00,2025-04-03 18:25:00
long,-5.7,16,2025-04,2025Q2,parent_kept(부모 유지),2025-04-04 16:40:00,2025-04-04 17:10:00
short,5.88,17,2025-04,2025Q2,synthetic_short(합성 숏),2025-04-04 17:30:00,2025-04-04 18:00:00
long,-11.33,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-04 18:05:00,2025-04-04 18:35:00
long,3.29,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-04 18:40:00,2025-04-04 19:10:00
long,33.88,16,2025-04,2025Q2,parent_kept(부모 유지),2025-04-07 16:55:00,2025-04-07 17:25:00
long,29.2,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-07 17:30:00,2025-04-07 18:00:00
long,-42.71,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-07 18:05:00,2025-04-07 18:35:00
long,-23.95,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-07 18:45:00,2025-04-07 19:15:00
long,-1.01,19,2025-04,2025Q2,parent_kept(부모 유지),2025-04-07 19:20:00,2025-04-07 19:50:00
long,21.37,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-07 20:15:00,2025-04-07 20:45:00
long,8.42,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-07 20:50:00,2025-04-07 21:20:00
long,-21.76,21,2025-04,2025Q2,parent_kept(부모 유지),2025-04-07 21:25:00,2025-04-07 21:55:00
short,-0.66,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-08 18:35:00,2025-04-08 19:05:00
short,25.48,19,2025-04,2025Q2,parent_kept(부모 유지),2025-04-08 19:30:00,2025-04-08 20:00:00
short,18.53,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-08 20:05:00,2025-04-08 20:35:00
long,2.06,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-08 20:50:00,2025-04-08 21:20:00
long,-11.21,21,2025-04,2025Q2,parent_kept(부모 유지),2025-04-08 21:25:00,2025-04-08 21:55:00
long,-3.75,16,2025-04,2025Q2,parent_kept(부모 유지),2025-04-09 16:40:00,2025-04-09 17:10:00
long,4.82,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-09 17:15:00,2025-04-09 17:45:00
long,-7.27,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-09 18:15:00,2025-04-09 18:45:00
long,9.98,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-09 18:55:00,2025-04-09 19:25:00
long,7.29,19,2025-04,2025Q2,parent_kept(부모 유지),2025-04-09 19:30:00,2025-04-09 20:00:00
long,102.29,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-09 20:05:00,2025-04-09 20:35:00
long,-12.1,16,2025-04,2025Q2,parent_kept(부모 유지),2025-04-10 16:40:00,2025-04-10 17:10:00
long,-5.97,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-10 17:30:00,2025-04-10 18:00:00
long,-18.65,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-10 18:15:00,2025-04-10 18:45:00
short,31.81,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-10 18:55:00,2025-04-10 19:25:00
short,-30.07,19,2025-04,2025Q2,parent_kept(부모 유지),2025-04-10 19:30:00,2025-04-10 20:00:00
long,-6.26,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-10 20:05:00,2025-04-10 20:35:00
long,9.38,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-10 20:40:00,2025-04-10 21:10:00
long,32.47,21,2025-04,2025Q2,parent_kept(부모 유지),2025-04-10 21:15:00,2025-04-10 21:45:00
long,2.49,21,2025-04,2025Q2,parent_kept(부모 유지),2025-04-10 21:50:00,2025-04-11 16:50:00
long,-27.0,16,2025-04,2025Q2,parent_kept(부모 유지),2025-04-11 16:55:00,2025-04-11 17:25:00
long,-2.8,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-11 17:40:00,2025-04-11 18:10:00
long,12.49,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-11 18:35:00,2025-04-11 19:05:00
long,15.63,19,2025-04,2025Q2,parent_kept(부모 유지),2025-04-11 19:10:00,2025-04-11 19:40:00
long,-4.52,19,2025-04,2025Q2,parent_kept(부모 유지),2025-04-11 19:45:00,2025-04-11 20:15:00
long,15.27,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-11 20:20:00,2025-04-11 20:50:00
long,-8.97,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-11 20:55:00,2025-04-11 21:25:00
long,-2.82,21,2025-04,2025Q2,parent_kept(부모 유지),2025-04-11 21:30:00,2025-04-11 22:00:00
long,4.88,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-14 17:10:00,2025-04-14 17:40:00
long,-10.78,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-14 17:45:00,2025-04-14 18:15:00
long,-6.93,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-14 18:20:00,2025-04-14 18:35:00
short,11.78,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-14 18:35:00,2025-04-14 19:05:00
long,-2.92,19,2025-04,2025Q2,parent_kept(부모 유지),2025-04-14 19:40:00,2025-04-14 20:10:00
long,1.42,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-14 20:15:00,2025-04-14 20:45:00
long,6.92,20,2025-04,2025Q2,parent_kept(부모 유지),2025-04-14 20:55:00,2025-04-14 21:25:00
long,1.64,21,2025-04,2025Q2,parent_kept(부모 유지),2025-04-14 21:30:00,2025-04-14 22:00:00
long,3.8,22,2025-04,2025Q2,parent_kept(부모 유지),2025-04-14 22:05:00,2025-04-15 17:05:00
long,-9.43,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-15 17:10:00,2025-04-15 17:40:00
long,3.94,17,2025-04,2025Q2,parent_kept(부모 유지),2025-04-15 17:50:00,2025-04-15 18:20:00
long,3.03,18,2025-04,2025Q2,parent_kept(부모 유지),2025-04-15 18:40:00,2025-04-15 19:10:00
long,0.07,19,2025-04,2025Q2,parent_kept(부모 유지),2025-04-15 19:15:00,2025-04-15 19:45:00
long,-9.42,19,2025-04,2025Q2,parent_kept(부모 유지),2025-04-15 19:50:00,2025-04-15 20:20:00
long,1.86,21,2025-04,2025Q2,parent_kept(부모 유지),2025-04-15 21:35:00,2025-04-15 22:05:00
