candidate_alias,candidate_id,candidate_role,test_id,scope_label,state_feature,state_bucket,total_trades,weak_trades,weak_net,weak_expectancy,survivor_trades,survivor_net,survivor_expectancy,weak_share,survivor_share,enrichment,state_read
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,adx_14,high,315,27,-35.16,-1.302222,88,547.47,6.22125,0.402985,0.354839,1.135685,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,adx_14,low,315,6,-147.33,-24.555,40,278.8,6.97,0.089552,0.16129,0.555224,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,adx_14,mid,315,33,-219.42,-6.649091,120,582.44,4.853667,0.492537,0.483871,1.01791,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,adx_14,missing,315,1,-4.4,-4.4,0,0.0,0.0,0.014925,0.0,14925373.134328,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_di_spread_14,high,315,32,-210.04,-6.56375,98,644.41,6.575612,0.477612,0.395161,1.208651,overrepresented_weak_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_di_spread_14,low,315,8,-108.52,-13.565,62,319.72,5.156774,0.119403,0.25,0.477612,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_di_spread_14,mid,315,26,-83.35,-3.205769,88,444.58,5.052045,0.38806,0.354839,1.093623,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_di_spread_14,missing,315,1,-4.4,-4.4,0,0.0,0.0,0.014925,0.0,14925373.134328,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_return_zscore_20,high,315,41,-324.79,-7.921707,128,585.79,4.576484,0.61194,0.516129,1.185634,overrepresented_weak_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_return_zscore_20,low,315,5,-38.72,-7.744,35,361.16,10.318857,0.074627,0.141129,0.528785,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_return_zscore_20,mid,315,20,-38.4,-1.92,85,461.76,5.432471,0.298507,0.342742,0.870939,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_return_zscore_20,missing,315,1,-4.4,-4.4,0,0.0,0.0,0.014925,0.0,14925373.134328,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,high,315,45,-291.61,-6.480222,136,654.06,4.809265,0.671642,0.548387,1.224759,overrepresented_weak_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,low,315,4,35.92,8.98,30,243.4,8.113333,0.059701,0.120968,0.493532,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,mid,315,17,-146.22,-8.601176,82,511.25,6.234756,0.253731,0.330645,0.767383,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,missing,315,1,-4.4,-4.4,0,0.0,0.0,0.014925,0.0,14925373.134328,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,minutes_from_cash_open,high,315,6,-60.85,-10.141667,27,249.69,9.247778,0.089552,0.108871,0.822554,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,minutes_from_cash_open,low,315,48,-274.36,-5.715833,176,996.25,5.660511,0.716418,0.709677,1.009498,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,minutes_from_cash_open,mid,315,12,-66.7,-5.558333,45,162.77,3.617111,0.179104,0.181452,0.987065,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_price_return_range,constructive_curve_watch_not_selection,minutes_from_cash_open,missing,315,1,-4.4,-4.4,0,0.0,0.0,0.014925,0.0,14925373.134328,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,atr_14_over_atr_50,high,325,36,-147.72,-4.103333,114,217.99,1.912193,0.537313,0.44186,1.216025,overrepresented_weak_state
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,atr_14_over_atr_50,low,325,3,-10.28,-3.426667,26,13.81,0.531154,0.044776,0.100775,0.444317,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,atr_14_over_atr_50,mid,325,28,-280.06,-10.002143,118,1113.18,9.433729,0.41791,0.457364,0.913736,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,bollinger_width_20,high,325,23,-166.68,-7.246957,97,122.42,1.262062,0.343284,0.375969,0.913064,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,bollinger_width_20,low,325,7,-42.24,-6.034286,36,246.63,6.850833,0.104478,0.139535,0.748756,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,bollinger_width_20,mid,325,37,-229.14,-6.192973,125,975.93,7.80744,0.552239,0.484496,1.139821,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,historical_vol_5_over_20,high,325,38,-338.9,-8.918421,115,669.49,5.821652,0.567164,0.445736,1.272421,overrepresented_weak_state
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,historical_vol_5_over_20,low,325,5,25.83,5.166,46,259.94,5.65087,0.074627,0.178295,0.418559,neutral_or_survivor
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,historical_vol_5_over_20,mid,325,24,-124.99,-5.207917,97,415.55,4.284021,0.358209,0.375969,0.952762,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,adx_14,high,325,29,-35.77,-1.233448,95,459.04,4.832,0.432836,0.368217,1.175491,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,adx_14,low,325,4,-134.46,-33.615,39,253.61,6.502821,0.059701,0.151163,0.394948,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,adx_14,mid,325,34,-267.83,-7.877353,124,632.33,5.099435,0.507463,0.48062,1.05585,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,abs_di_spread_14,high,325,29,-180.68,-6.230345,105,611.42,5.823048,0.432836,0.406977,1.063539,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,abs_di_spread_14,low,325,8,-108.06,-13.5075,56,313.74,5.6025,0.119403,0.217054,0.550107,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,abs_di_spread_14,mid,325,30,-149.32,-4.977333,97,419.82,4.328041,0.447761,0.375969,1.190952,overrepresented_weak_state
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,abs_return_zscore_20,high,325,38,-303.69,-7.991842,131,648.35,4.949237,0.567164,0.507752,1.11701,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,abs_return_zscore_20,low,325,6,-87.89,-14.648333,36,289.26,8.035,0.089552,0.139535,0.641791,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,abs_return_zscore_20,mid,325,23,-46.48,-2.02087,91,407.37,4.476593,0.343284,0.352713,0.973266,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,high,325,41,-230.86,-5.630732,140,721.51,5.153643,0.61194,0.542636,1.127719,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,low,325,4,13.94,3.485,29,271.11,9.348621,0.059701,0.112403,0.531137,thin_state
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,mid,325,22,-221.14,-10.051818,89,352.36,3.959101,0.328358,0.344961,0.95187,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,minutes_from_cash_open,high,325,6,-65.21,-10.868333,33,220.41,6.679091,0.089552,0.127907,0.700136,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,minutes_from_cash_open,low,325,50,-289.72,-5.7944,174,993.78,5.711379,0.746269,0.674419,1.106536,weak_state_but_not_enriched
s258_stc,s258_short_tight_control,stress_challenger,abl_trend_strength_direction,constructive_curve_watch_not_selection,minutes_from_cash_open,mid,325,11,-83.13,-7.557273,51,130.79,2.56451,0.164179,0.197674,0.830553,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,atr_14_over_atr_50,high,331,35,-37.83,-1.080857,113,163.35,1.445575,0.514706,0.429658,1.197944,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,atr_14_over_atr_50,low,331,3,-16.77,-5.59,27,185.06,6.854074,0.044118,0.102662,0.429739,thin_state
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,atr_14_over_atr_50,mid,331,30,-315.28,-10.509333,123,1137.75,9.25,0.441176,0.467681,0.943329,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,bollinger_width_20,high,331,25,-113.68,-4.5472,93,252.45,2.714516,0.367647,0.353612,1.03969,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,bollinger_width_20,low,331,7,-68.71,-9.815714,37,205.17,5.545135,0.102941,0.140684,0.731717,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,bollinger_width_20,mid,331,36,-187.49,-5.208056,133,1028.54,7.733383,0.529412,0.505703,1.046882,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,historical_vol_5_over_20,high,331,38,-220.59,-5.805,119,695.59,5.845294,0.558824,0.452471,1.235047,overrepresented_weak_state
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,historical_vol_5_over_20,low,331,5,13.23,2.646,47,300.16,6.386383,0.073529,0.178707,0.411452,neutral_or_survivor
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,historical_vol_5_over_20,mid,331,25,-162.52,-6.5008,97,490.41,5.055773,0.367647,0.368821,0.996816,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,adx_14,high,331,31,24.34,0.785161,85,562.05,6.612353,0.455882,0.323194,1.410554,neutral_or_survivor
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,adx_14,low,331,6,-144.02,-24.003333,40,212.66,5.3165,0.088235,0.152091,0.580147,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,adx_14,mid,331,31,-250.2,-8.070968,138,711.45,5.155435,0.455882,0.524715,0.868819,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_di_spread_14,high,331,30,-166.16,-5.538667,96,691.98,7.208125,0.441176,0.365019,1.20864,overrepresented_weak_state
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_di_spread_14,low,331,8,-104.46,-13.0575,66,290.93,4.40803,0.117647,0.250951,0.468806,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_di_spread_14,mid,331,30,-99.26,-3.308667,101,503.25,4.982673,0.441176,0.38403,1.148806,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_zscore_20,high,331,40,-236.46,-5.9115,135,738.1,5.467407,0.588235,0.513308,1.145969,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_zscore_20,low,331,5,-101.07,-20.214,32,247.55,7.735937,0.073529,0.121673,0.60432,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_zscore_20,mid,331,23,-32.35,-1.406522,96,500.51,5.213646,0.338235,0.365019,0.926624,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,high,331,43,-216.14,-5.026512,140,815.2,5.822857,0.632353,0.532319,1.18792,overrepresented_weak_state
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,low,331,4,19.23,4.8075,28,187.97,6.713214,0.058824,0.106464,0.552521,thin_state
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,mid,331,21,-172.97,-8.236667,95,482.99,5.084105,0.308824,0.361217,0.854954,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,minutes_from_cash_open,high,331,7,-50.85,-7.264286,35,349.25,9.978571,0.102941,0.13308,0.773529,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,minutes_from_cash_open,low,331,48,-231.05,-4.813542,180,915.76,5.087556,0.705882,0.684411,1.031373,weak_state_but_not_enriched
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_trend_strength_adx,constructive_curve_watch_not_selection,minutes_from_cash_open,mid,331,13,-87.98,-6.767692,48,221.15,4.607292,0.191176,0.18251,1.047488,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,atr_14_over_atr_50,high,332,36,-67.02,-1.861667,110,233.39,2.121727,0.514286,0.419847,1.224935,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,atr_14_over_atr_50,low,332,4,-6.2,-1.55,25,162.96,6.5184,0.057143,0.09542,0.598857,thin_state
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,atr_14_over_atr_50,mid,332,30,-330.98,-11.032667,127,1398.68,11.013228,0.428571,0.484733,0.884139,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,bollinger_width_20,high,332,22,-107.48,-4.885455,97,365.68,3.769897,0.314286,0.370229,0.848895,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,bollinger_width_20,low,332,7,-84.23,-12.032857,39,302.86,7.765641,0.1,0.148855,0.671795,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,bollinger_width_20,mid,332,41,-212.49,-5.182683,126,1126.49,8.940397,0.585714,0.480916,1.217914,overrepresented_weak_state
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,historical_vol_5_over_20,high,332,40,-292.73,-7.31825,122,826.35,6.773361,0.571429,0.465649,1.227166,overrepresented_weak_state
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,historical_vol_5_over_20,low,332,5,24.82,4.964,45,405.6,9.013333,0.071429,0.171756,0.415873,neutral_or_survivor
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,historical_vol_5_over_20,mid,332,25,-136.29,-5.4516,95,563.08,5.927158,0.357143,0.362595,0.984962,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,adx_14,high,332,32,7.77,0.242813,88,664.87,7.555341,0.457143,0.335878,1.361039,neutral_or_survivor
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,adx_14,low,332,8,-188.57,-23.57125,41,269.36,6.569756,0.114286,0.156489,0.730314,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,adx_14,mid,332,30,-223.4,-7.446667,133,860.8,6.47218,0.428571,0.507634,0.844253,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_di_spread_14,high,332,28,-201.8,-7.207143,100,830.99,8.3099,0.4,0.381679,1.048,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_di_spread_14,low,332,8,-127.13,-15.89125,66,386.29,5.852879,0.114286,0.251908,0.45368,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_di_spread_14,mid,332,34,-75.27,-2.213824,96,577.75,6.018229,0.485714,0.366412,1.325595,overrepresented_weak_state
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_zscore_20,high,332,42,-302.18,-7.194762,133,818.06,6.150827,0.6,0.507634,1.181955,overrepresented_weak_state
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_zscore_20,low,332,5,-111.83,-22.366,36,333.81,9.2725,0.071429,0.137405,0.519841,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_zscore_20,mid,332,23,9.81,0.426522,93,643.16,6.915699,0.328571,0.354962,0.925653,neutral_or_survivor
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,high,332,45,-274.84,-6.107556,137,945.41,6.900803,0.642857,0.522901,1.229406,overrepresented_weak_state
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,low,332,3,25.07,8.356667,32,231.58,7.236875,0.042857,0.122137,0.350893,thin_state
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,abs_return_1_over_atr_14,mid,332,22,-154.43,-7.019545,93,618.04,6.645591,0.314286,0.354962,0.885407,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,minutes_from_cash_open,high,332,7,-44.19,-6.312857,34,396.61,11.665,0.1,0.129771,0.770588,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,minutes_from_cash_open,low,332,51,-259.69,-5.091961,178,1144.46,6.429551,0.728571,0.679389,1.072392,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_trend_strength_adx,constructive_curve_watch_not_selection,minutes_from_cash_open,mid,332,12,-100.32,-8.36,50,253.96,5.0792,0.171429,0.19084,0.898286,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,atr_14_over_atr_50,high,339,35,-39.24,-1.121143,121,272.29,2.250331,0.5,0.449814,1.11157,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,atr_14_over_atr_50,low,339,5,-1.75,-0.35,25,117.76,4.7104,0.071429,0.092937,0.768571,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,atr_14_over_atr_50,mid,339,30,-322.09,-10.736333,123,1164.35,9.46626,0.428571,0.457249,0.937282,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,bollinger_width_20,high,339,24,-105.41,-4.392083,103,305.23,2.963398,0.342857,0.3829,0.895423,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,bollinger_width_20,low,339,7,-90.12,-12.874286,35,223.4,6.382857,0.1,0.130112,0.768571,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,bollinger_width_20,mid,339,39,-167.55,-4.296154,131,1025.77,7.830305,0.557143,0.486989,1.144057,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,historical_vol_5_over_20,high,339,40,-332.61,-8.31525,121,769.92,6.362975,0.571429,0.449814,1.270366,overrepresented_weak_state
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,historical_vol_5_over_20,low,339,7,11.61,1.658571,41,268.99,6.560732,0.1,0.152416,0.656098,neutral_or_survivor
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,historical_vol_5_over_20,mid,339,23,-42.08,-1.829565,107,515.49,4.817664,0.328571,0.39777,0.826035,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,adx_14,high,339,28,13.84,0.494286,88,574.55,6.528977,0.4,0.327138,1.222727,neutral_or_survivor
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,adx_14,low,339,8,-143.47,-17.93375,41,186.2,4.541463,0.114286,0.152416,0.749826,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,adx_14,mid,339,34,-233.45,-6.866176,140,793.65,5.668929,0.485714,0.520446,0.933265,weak_state_but_not_enriched
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,constructive_curve_watch_not_selection,abs_di_spread_14,high,339,30,-182.45,-6.081667,110,650.45,5.913182,0.428571,0.408922,1.048052,weak_state_but_not_enriched
